,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,brand_owner,traceability_code
1371,500G Fusilli Complets - Alce nero - 500g,8009004100053,,500 g,,['Alce nero'],,['Bio'],,,"['France', 'Italie']","['semoule complete de blé dur biologique', 'eau']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,349,,1460 kj(349 kcal),,"2,1",,"0,4",,66,,"3,2",,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Spirelli à l'ortie - Alce nero - 500g,8009004100176,,500 g,"['Sachet', 'Plastique']",['Alce nero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",,,,"['France', 'Italie']","['semoule de blé dur*', 'orties déshydratées* ', '2%', ' *Biologique']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,343,-3%,1435 kj(343 kcal),-3%,"1,7",-4%,"0,5",+32%,70,+0%,3,-5%,12,-3%,0,-100%,0,-100%,1.7 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,-5,,A,,,,,,,,,,,,,,
1373,Conchiglie - Alce nero,8009004118638,,,,['Alce nero'],,['Bio'],,,['France'],"['semoule de blé dur biologique', 'eau']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,351,,1469 kj(351 kcal),,"1,2",,"0,3",,73,,4,,11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,Alce nero - 270g,8009004500075,,270 g,['Vasetto'],['alce nero'],['it:Composta di frutta'],"['Bio', 'Bio européen', 'IT-BIO-009']",,,['France'],[],,,[],,?,,190,,795 kj(190 kcal),,0,,0,,45,,44,,"0,7",,"0,02",,"0,008",,0 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,0.02 g,en faible quantité,11,,D,,,,,,,,,,['Naturali'],http://www.alcenero.com,,,
1375,400G Miel Toutes Fleurs - Alce nero - 400g,8009004800243,,400 g,,['Alce nero'],,['Bio'],,,['France'],"['Italian otqanic Niel de mil flores ec016giQ o Mel de mil notes bio!àçko o Ekologiany', ""wioski mi6d Bio Olas,' vaditég mélo Ecologisk Italiensk 'tild hcnung o""]",,,[],,?,,331,,1385 kj(331 kcal),,0,,0,,"82,5",,"82,5",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,Sauce Tomate Arrabiata - alce nero - 350g e,8009004808508,Sauce tomate arrabiata,350 g e,"['Verre', 'Bocal']",['alce nero'],"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']","['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-009']",['Italie'],,['France'],"['Tomates 90% ', 'coulis de tomate', 'pulpe de tomate', 'concentré de tomate', ""huile d'olive vierge extra "", '4%', 'sel', 'sucre de canne', 'persil', 'ail', 'piments ', '0,1%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,65,-39%,272 kj(65 kcal),-36%,"3,5",-46%,"0,6",-27%,"5,5",-14%,"5,2",-2%,"1,6",0%,"1,3",+19%,"0,52",+19%,3.5 g,en quantité modérée,0.6 g,en faible quantité,5.2 g,en quantité modérée,1.3 g,en quantité modérée,-1,-125%,A,-125%,A,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,"[""Tomates d'Italie""]",,,,
1377,Miels Bio - Alce nero,8009004810082,,,,['Alce nero'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']","['Bio', 'Bio européen']",,,"['France', 'Italie']",[],,,[],,?,,331,+11%,1385 kj(331 kcal),+11%,0,-100%,0,-100%,83,+7%,83,+19%,"0,3",-12%,0,-100%,0,-100%,0 g,en faible quantité,0 g,en faible quantité,83 g,en quantité élevée,0 g,en faible quantité,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Italie'],,,,
1378,Frollini semintegralli - Alce nero,8009004811256,,,,['Alce nero'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']","['Bio', 'Sans arômes ajoutés']",,,['France'],"['harina de de gotas de chocolate ', 'azücar de cafia•', 'pasta de cacao+', 'mantea de emUISionante lecitina de girasol', 'aceite de Oliva extra* ', '11 Étithin', ""AmmoniUmcarbonatt Natriumcar / Kann'spuren von Eierm Milch Schalenfrjchten e honing'"", 'Il']",,,[],,?,,458,-7%,1916 kj(458 kcal),-7%,18,-29%,"5,1",-59%,65,+9%,23,-27%,"6,9",+11%,"0,37",-45%,"0,148",-45%,18 g,en quantité modérée,5.1 g,en quantité élevée,23 g,en quantité élevée,0.37 g,en quantité modérée,13,-42%,D,-42%,C,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,
1379,Cubitos Caldo Vegetal - Alce Nero - 100g,8009004811409,Bouillon Cubes Végétal,100 g,['Boite en carton'],['Alce Nero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons cubes', 'Bouillons de légumes déshydratés', 'Bouillons cube de légumes']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-009', 'Sans huile de palme']",['Italie'],['www.bienmanger.com'],['France'],"['Sel', 'sucre de canne', 'légumes déshydratés ', '13,5%', 'oignons 5%', 'céleri 5%', 'carottes 3,2%', 'persil 0,3%', 'amidon de mais', 'huile de graines de tournesol', 'extrait de levure', 'épices']",,['Céleri'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,83.6,-57%,350 kj(83 kcal),-54%,"4,7",-56%,"0,4",-92%,"34,7",+76%,"12,8",+126%,3,-16%,"5,7",-79%,"2,28",-79%,,,,,,,,,,,,,,,,,,,,,,http://www.alcenero.com,,,
1380,Miel De Coriandre - Alce nero,8009004811478,,,,['Alce nero'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,['France'],[],,,[],,?,,331,+14%,1385 kj(331 kcal),+14%,0,-100%,0,-100%,"82,5",+7%,"82,5",+19%,"0,3",-8%,0,-100%,0,-100%,0 g,en faible quantité,0 g,en faible quantité,82.5 g,en quantité élevée,0 g,en faible quantité,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1381,Cremon,8009120440477,,,,,,['Sans lactose'],,,['France'],[],,,[],,?,,519,,2171 kj(519 kcal),,28,,"4,7",,61,,29,,"5,8",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Molino Peila polenta instantanée - 500g e,8009149132001,,500 g e,"['Sahcet', 'Plastique']",['Molino Peila'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de maïs', 'Semoules de maïs pour polenta']","['Point Vert', 'Fabriqué en Italie']","['Valpenga', 'Italie']",,['France'],['Farine de maïs'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,B,70.7%,16.5%,7.5%,3.4%,2.0%,0.0%,81,['Italie'],,,,
1383,Gressin,8009273001952,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits artisanaux', 'Pains', 'Gressins', 'Gressins artisanaux']",,,,['France'],[],,,[],,?,,423,-1%,1770 kj(423 kcal),-1%,11,-6%,"1,6",-23%,70,+6%,"1,7",-21%,"10,2",-11%,2,+6%,"0,8",+6%,11 g,en quantité modérée,1.6 g,en quantité modérée,1.7 g,en faible quantité,2 g,en quantité élevée,14,+19%,D,+19%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
1384,Torinesi Gourmet - Valledoro - 350g,8009280002157,Gressins avec huile d'olive  vierge extra,350 g,"['Sachet', 'Plastique', '6 sachets fraîcheur']",['Valledoro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,['Marché local'],['France'],"['farine de blé tendre', ""huile d'olive vierge extra "", '5%', 'levure', 'sel iodé', ""farine d'orge maltée"", 'dextrose']",,"[""Farine d'orge maltée"", 'Farine de blé tendre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1702,-4%,403,-4%,1702 kj(403 kcal),-3%,7,-35%,"2,5",+11%,72,+8%,"3,8",+52%,11,-4%,"2,25",+18%,"0,9",+18%,7 g,en quantité modérée,2.5 g,en quantité modérée,3.8 g,en faible quantité,2.25 g,en quantité élevée,12,-6%,D,-6%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,http://www.valledorospa.it/pages/prodotti/prodotti-per-la-famiglia/gressins-torinesi-paquet-familial-350g.aspx,,,
1385,Pesto con tofu 100% vegetal,8009320037774,,,,,"['Epicerie', 'Sauces', 'Sauces Pesto']",['en:gluten-free'],,,"['France', 'Espagne']",[],,,[],,?,,593,+40%,2481 kj(593 kcal),+41%,60,+46%,"7,9",+31%,"6,4",-4%,"0,1",-97%,"5,9",+33%,"2,9",+24%,"1,16",+24%,60 g,en quantité élevée,7.9 g,en quantité élevée,0.1 g,en faible quantité,2.9 g,en quantité élevée,24,+31%,E,+31%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
1386,Waldbeeren-Müesli - Fuchs,8009361004599,,,,['Fuchs'],,['Bio'],,,['France'],"['Waldbeeren-Müesli Zutaten: Haferflocken', 'Weizenvollkornflocken', 'Sultaninen', 'Dinkelvollkornflocken', 'Âpfel', 'Honig menôl', 'j Birnen', 'Pflaumen', 'Waldbeeren im varia - ENERGIE/ blen Verhâltnis von 3% ', 'Himbeeren', 'Erdbeeren', 'ENERGIA: Brombeeren', 'Heidelbeeren', 'Haselnüsse', 'Man', ' DAVON deln', 'Sonnenblumenkerne', ' HinweisfürAllergiker: Enthâlt Gluten und Schalenfrüchte Kann Spuren von Sesam enthalten', ' Kühl und trocken tlagern', ' Mindestenshaltbarbis: siehe Packungsboden', ' CARBOIDRATI Zum Genie13en mit Milch', 'Joghurt und Fruchtsaft DICUIZUCCHERI Oder einfach als knuspriger Snack für zwischen - ', '„BALLASTST0FFE/FlBRE durch', ' SAtZ15ALE Hoher Ballaststoffgehalt Fuchs J', ' SRI Via della Palude 11 Müesli ai frutti di bosco 1-39020 Castelbello ', 'BI', "" Ingredienti: Fiocchi d'avena"", 'fiocchi integrali di Alto Adige • Italia grano tenero', 'uva sultanina,fiocchi integralidifarro', 'www', 'fuchs-cereals', 'com mele', 'miele 3%', 'cranberries ', 'cranberriest zucchero', 'olio di girasole', 'pere', 'prugne', 'frutti di boscoin pro - porzione variabile 3% ', 'lamponi', 'fragole', 'more', 'mirtil• li', 'nocciole', 'mandorle', 'semi di girasole', ' Indicazioni per soggetti allergici: Contiene glutine e fruttaa N A T u R K o s T guscio', 'Pub contenere tracce di semi di sesamo', ' Da 375ge conservare in luogo fresco ed asciutto', ' Da consumarsi preferibilmente entro il: vedi fondo', 'Da gustare con latte', 'yogurt o succo di frutta oppure da sgranocchiare in ogni momento della giornata', 'Ricco in fibre 8 009361 004599']",,"['Gluten', 'Fruits à coque']",[],,?,,360,,1506 kj(360 kcal),,"7,3",,1,,"58,6",,"20,4",,"10,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Condy lemon - Ital lemon,8009490001193,,,,['Ital lemon'],,,,,['France'],[],,,[],,?,,21,,88 kj(21 kcal),,"0,002",,0,,"0,14",,"0,14",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,Jus de citron Condy Lemon - Ital Lemon - 1000ml e,8009490001216,,1000 ml e,"['Plastique', 'Bouteille']",['Ital Lemon'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Epicerie', 'Condiments', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,,['France'],"['Eau', 'jus de citron 7% ', 'issu de concentré', 'acidifiant: acide citrique', ' conservateur : métabisulfite de potassium']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],[],3,?,,20,-26%,84 kj(20 kcal),-25%,0,-100%,0,-100%,"0,14",-96%,"0,14",-92%,"0,03",-91%,0,-100%,0,-100%,0 g,en faible quantité,0 g,en faible quantité,0.14 g,en faible quantité,0 g,en faible quantité,-6,,B,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
1389,Soupe Cereales Et Legumes Secs - Nostraterra,8009736890536,,,,['Nostraterra'],,['Fabriqué en Italie'],,,['France'],[],,,[],,?,,339,,1418 kj(339 kcal),,"1,6",,"0,5",,"65,9",,"6,6",,"11,6",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1390,Le Veneziane Penne Rigate - Santiveri - 250g,8009915001227,,250 g,,['Santiveri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']","['en:gluten-free', 'Sans lactose']",['Italy'],,"['France', 'Italie']",[],,,[],,?,,355,+1%,1485 kj(355 kcal),+0%,"0,95",-44%,"0,14",-62%,"79,12",+13%,"0,6",-79%,"6,45",-46%,"0,03",+156%,"0,012",+156%,0.95 g,en faible quantité,0.14 g,en faible quantité,0.6 g,en faible quantité,0.03 g,en faible quantité,-2,,A,,,,,,,,,,,,,,
1391,Penne Rigate 57 - Italpasta,8009940000578,,,,['Italpasta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",['Fabriqué en Italie'],,,['France'],"['Sémola de grào duro e Pode contener resquicios de ovo', ' ', 'NL', ' DEEGSRAREN VAN HARDE TARWE - in Italie', ' tarwegries', ' Bevat mogelijk sporen van eieren', 'S', ' vattenKan ', 'EL', ' 0KÀnp00 airou - napdyaar ornv MflOPEl NA TIEPIEXEI IXNH ', 'RU', ' M3AEJlhR MAKAPOHHblE', ' rpynnA A', ' COPT - ', 'OCTAB: WKA TBEPAblX COPTOB rtLUEH/Ubl', 'flVlTbEBAfl', ' XPAH', 'lTb TEMrlEPATYPE +10 +25 Id OlHOClhTEJlbHOh B03AYXA HE B03MOh', 'HO coaephQH14e CJËAOB ', 'POK XPAHEHVlfl: CM', ' HA YfÌAKOBKE', ' M3rOTOBhTEJlb: bEPPYTO COMMAPMBA 139/141 - 10022 KAPMAHbOJlA/MTAJlhfl', "" flPOh3BeaeH0 B l'Irannn"", ' ', 'LV', ' MAKARONI - Ralots Itàlija', ' Sastàvs: cietie kvieii milti', ' Nelielos daudzumos var saturét olas', ' Oficiàlais izplatitâjs Battijà: AS ""Konig Distribution""', 'iela 21 b', 'Riga', 'tel', ' +371 67805555', ' ', 'LT', ' MAKARONAI - Pagaminta Italijoje', ' Sudétis: kietagrüdiiq kvieëiq miltai', ' Sudétyje gali buti kiauiiniu pédsakai', ' ', 'EST', ' MAKARONID - Toodetud Itaalias', ' Koostis: duruiii', 'b1i5U', ' VOib sisaldada muna osakesi', 'Maaletooja: D', 'I', 'I', ' Consumer Products As', 'Regati pst l', 'Tallinn 11911', ' Tel', ' +3726398970', 'www', 'dtl', 'ee ', 'HR', "" SUSENA TJESTENINA - Zemlja podrijet!?' Italija"", ' Sastoj', 'i: brasno tvrde pienice ', 'durum', 'vodà', ' jaja u tragovima', ' ', 'RO', ' PASTE FAINOASE - Produs fabricat in Italia', ' Ingrediente: faina de grau dur', ' Poate ', 'online Orme de ou']",,,[],,?,,348,-1%,1456 kj(348 kcal),-2%,"1,1",-35%,"0,1",-73%,71,+2%,"3,5",+20%,12,0%,"0,01",-15%,"0,004",-15%,1.1 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.01 g,en faible quantité,-4,,A,,,,,,,,,,,,,,
1392,Pasta di semola di grano duro - Cavalieri,8009940140571,,,,['Cavalieri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,,['France'],"['semoule de blé dur de qualité supérieure', ' Peut contenir des traces d’œufs']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,348,-1%,1456 kj(348 kcal),-2%,"1,1",-35%,"0,1",-73%,71,+2%,"3,5",+20%,12,0%,"0,01",-15%,"0,004",-15%,1.1 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.01 g,en faible quantité,-4,,A,,,,,,,,,,,,,,
1393,Gressins aux oignons,8009958000775,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,['France'],[],,,[],,?,,410,-3%,1715 kj(410 kcal),-3%,"10,5",-3%,"3,5",+55%,67,+0%,"2,5",0%,10,-12%,"2,1",+11%,"0,84",+11%,10.5 g,en quantité modérée,3.5 g,en quantité modérée,2.5 g,en faible quantité,2.1 g,en quantité élevée,17,+33%,D,+33%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
1394,Pomodori pelati italiani - Galletto,8009995000028,,,,['Galletto'],,,,,['France'],"['Tomates pelées', 'jus de tomates', 'sel', ""correcteur d'acidité: acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,19,,79 kj(19 kcal),,"0,1",,0,,3,,3,,"1,1",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Gaufrettes Chocolat - Loacker - 37.5g,80001645,,37.5 g,"['Sachet', 'Plastique']",['Loacker'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au chocolat']","['Point Vert', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",,,"['France', 'Italie', 'La Réunion', 'Thaïlande']","['Farine de froment', 'huile de coprah', 'sirop de glucose', 'sucre', 'cacao maigre', 'dextrose', 'chocolat noir 8 % dans la crème ', 'pâte de cacao', 'sucre', ' farine de soja', 'lactosérum en poudre ', 'lait', 'lait écrémé en poudre', ""extrait de malt d'orge"", 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'noisettes', 'sel', 'émulsifiant lécithines de soja', 'gousses de vanille Bourbon', 'épices']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,2090,-4%,500,-3%,2090 kj(500 kcal),-4%,24,-13%,20,+14%,60,+1%,26,-26%,"7,9",+29%,"0,35",+32%,"0,14",+32%,24 g,en quantité élevée,20 g,en quantité élevée,26 g,en quantité élevée,0.35 g,en quantité modérée,22,-2%,E,-2%,D,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,,,
1396,Basilico - Grand'Italia - 400g,80023180,Tomatensaus met basilicum,400 g,"['Glazen pot', 'Metalen deksel']","[""Grand'Italia""]","['Epicerie', 'Sauces', 'Sauces tomate']",,,,"['France', 'Pays-Bas']","['Tomates semi-concentré ', '40%', '|6,79 pulpe de tomates ', '35%', 'carotte', ""huile d'olive "", '4%', 'tomates concentrées ', '3,9%', 'oignon ', '3% ', '3,5%', 'basilic ', '1,5%', 'céleri', 'sucre', 'sel', 'poivre', 'arômes naturels']",,"['Céleri', 'Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",4,311,-0%,75,-15%,311 kj(75 kcal),-13%,"4,4",+104%,"0,7",+100%,"6,7",-44%,"5,9",-39%,"1,5",-4%,"0,7",-46%,"0,28",-46%,4.4 g,en quantité modérée,0.7 g,en faible quantité,5.9 g,en quantité modérée,0.7 g,en quantité modérée,3,-42%,C,-42%,B,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,
1397,Tigullio Pesto Genovese Delicato 190g - star - 190g,80036975,,190 g,,['Star'],"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",['en:gluten-free'],,,"['France', 'Italie']",[],,,[],,?,,516,+15%,2159 kj(516 kcal),+15%,51,+15%,"7,6",+16%,5,-15%,"2,3",+0%,"8,7",+84%,"3,3",+34%,"1,32",+34%,51 g,en quantité élevée,7.6 g,en quantité élevée,2.3 g,en faible quantité,3.3 g,en quantité élevée,23,+18%,E,+18%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
1398,Bio mix harmonie - Noberasco,80048121,,,,['Noberasco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",['Bio'],,,"['France', 'Espagne']",[],,,[],,?,,657,+6%,2749 kj(657 kcal),+7%,55,+9%,"5,7",-10%,20,+23%,"4,5",-16%,17,-12%,"0,02",-96%,"0,008",-96%,55 g,en quantité élevée,5.7 g,en quantité élevée,4.5 g,en faible quantité,0.02 g,en faible quantité,13,+164%,D,+164%,,,,,,,,,,,,,
1399,Pomodori secchi (Tomates séchées) 280 g - Zuccato,80082675,Tomates séchées à l'huile en conserve,280 g,"['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve']",['Zuccato'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",,,['Géant Casino'],"['France', 'Italie']","['Tomates séchées ', '56%', ' - huile de tournesol - câpres - huile d‘olive vierge extra - sel - ail - basilic - persil - vinaigre de vin', '\r ', 'antioxygène: E220 résiduel']",,,[],3,?,,280,+30%,1172 kj(280 kcal),+31%,23,+43%,"2,5",+35%,13,+7%,13,+55%,"4,6",+28%,"6,2",+134%,"2,48",+134%,23 g,en quantité élevée,2.5 g,en quantité modérée,13 g,en quantité élevée,6.2 g,en quantité élevée,10,+104%,C,+104%,E,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,['Italie'],,,,
1400,Marmellate Senza Zucchero Arc En Ciel Sanabios Bio Frutti Di Bosco Marm SZ Vaso,8010253000117,,,,['Sanabios'],,['Bio'],,,['France'],"['wildberries* in variable proportion ', 'ras* blackbew*', 'bluebew*', 'red currant*', ' 65g per product', 'apple juice concentrate*', 'apple purée*', 'gelfr agent pedin', ' *from organicfarming']",,,[],,?,,140,,586 kj(140 kcal),,"0,5",,"0,1",,32,,26,,"0,9",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Tarallini casarecci - Carrefour,8010397006280,,,,['Carrefour'],,,,['Carrefour'],['France'],"['PRODUIT PAR FOUR INGRÉDIENTS', ""' Farine de blé type '0'"", 'semoule de blé dur', 'vin blanc ', 'sulfites', ""huile d'olive 15%"", ""huile extra vierge d'olive 5%"", 'sel', "" // peut contenir traces d'autres céréales contenant gluten"", 'graines de sésame', 'Œufs', 'lait', 'soja et noix']",,['Anhydride sulfureux et sulfites'],['Non végétalien'],,?,,454,,1900 kj(454 kcal),,16,,2,,68,,"1,5",,"8,7",,"2,63",,"1,052",,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Mozzarella di latte di Bufala,8010749101113,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,,,['France'],[],,,[],,?,,285,+6%,1192 kj(285 kcal),+6%,25,+8%,16,+1%,1,+34%,1,+63%,14,-3%,"0,8",+31%,"0,32",+31%,25 g,en quantité élevée,16 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,11,+8%,D,+8%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
1403,Demeter Yog.gr.500 Bianco Magro - Scaldasole,8010795001023,,,,['Scaldasole'],,"['Bio', 'Bio-dynamie']",,,['France'],[],,,[],,?,,55,,230 kj(55 kcal),,"0,9",,"0,7",,"6,3",,"5,2",,"5,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1404,Chips A La Truffe - Tartuflanghe - 45g,8010939404406,,45 g,,['Tartuflanghe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['en:gluten-free'],,,"['France', 'Suisse']",[],,['Gluten'],[],,2226,+1%,?,,2226 kj(532 kcal),+1%,32,0%,"1,7",-42%,53,+3%,"0,1",-96%,"0,1",-98%,"0,75",-48%,"0,3",-48%,32 g,en quantité élevée,1.7 g,en quantité modérée,0.1 g,en faible quantité,0.75 g,en quantité modérée,10,-12%,C,-12%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,
1405,Poulpe mariné - BLUVER et MDD,8011019010029,,,"['LS', 'Foodservice', 'ATM']",['BLUVER et MDD'],['Marinade de la mer'],['IFS et BRC'],['Italie'],,['France'],[],,,[],,?,,360,,1506 kj(360 kcal),,"33,78",,"4,39",,"0,8",,"0,2",,"13,38",,"0,45",,"0,18",,33.8 g,en quantité élevée,4.39 g,en quantité modérée,0.2 g,en faible quantité,0.45 g,en quantité modérée,3,,C,,,,,,,,,,['Italie'],http://www.bluversas.com,,,['IT 3034 CE']
