,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
1500,Scoubidou cola,3116740037613,,,,,,['France'],[],,,[],,?,356,1490 kj(356 kcal),"2,8","1,6",75,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Perle de sirop,3760276520325,,,,,,['France'],[],,,[],,?,6,25 kj(6 kcal),25,21,21,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Le mélange grillé salé,3609761201212,,,,,,['France'],[],,,[],,?,620,2594 kj(620 kcal),50,"7,3",15,0,24,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Puree pommes poires,3515210001077,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Rôti de porc cuit supérieur 4 tranches,2471211020015,,,,,,['France'],[],,,[],,?,139,582 kj(139 kcal),"5,2","2,1","0,9","0,8","22,2","1,98","0,792",E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,5.2 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,1.98 g,en quantité élevée,,-3%,-2%,+3%,+0%,+10%,+28%,-1%,+15%,+15%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,
1505,Ravioles à la poêle au fromage frais basilic de provence,3266140062606,,,,,,['France'],[],,,[],,?,210,879 kj(210 kcal),"8,6","4,2",24,"1,6","8,4","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Noisettes grillées en poudre,8435177065699,,,,,,['France'],[],,,[],,?,680,2845 kj(680 kcal),63,5,"6,5",4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Yogi Kombucha Tea,0076950650213,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Préparation pour pain au lait,3760130790567,,,,,,['France'],[],,,[],,?,349,1460 kj(349 kcal),"2,7","1,5","68,2","10,9","11,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Filet de poulet fumé,3154230801146,,,,,,['France'],[],,,[],,?,109,456 kj(109 kcal),2,"0,8","0,8","0,5",22,"1,5","0,6",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,2 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-17%,-16%,-31%,+7%,+67%,+106%,-4%,+100%,+100%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1510,Viomé,4260629445217,,,,,,['France'],[],,,[],,?,303,1268 kj(303 kcal),"0,1","0,01","70,8","65,8","2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Lentilles assaisonnées,0218893043169,,,,,,['France'],[],,,[],,?,215,900 kj(215 kcal),"12,1","0,82","10,7","0,5",10,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Fried garlic,8852646031007,,,,,,['France'],[],,,[],,?,532,2226 kj(532 kcal),33,"5,6",49,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Filet de poulet jaune du Gers,0206845058316,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1514,Chocolate slab,8719925811456,,,,,,['France'],[],,,[],,?,161,674 kj(161 kcal),9,"4,5",18,16,2,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Vin blanc,3357340300213,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Gourmand et vegetal au lait de coco - Andros,3608580055792,,,['Andros'],,,['France'],[],,,[],,?,73,305 kj(73 kcal),"4,9","4,1","6,5","0,3","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Juvenki,8423263101239,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Bean to bar chocolat Darkness 100% cacao,7350083513519,,,,,,['France'],[],,,[],,?,610,2552 kj(610 kcal),55,"33,5","8,8","0,3","11,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Kiwi - Mourgues Fruits - 1kg,8476655080094,1 kg,"['Barquette plastique', 'Sachet plastique']",['Mourgues Fruits'],,['EMB 95035'],['France'],['Kiwi Hayward Calibre : 65/70'],,,[],,?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",['Italie'],,,,,,,,,,,,,,,,,,,,,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,['Carrefour'],,,,
1520,Pizza krydderi,4250546405227,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Sac De Congélation - X50 - Moyen Modèle,3258561541648,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Hipro,0205853007354,,,,,,['France'],[],,,[],,?,589,2464 kj(589 kcal),"0,4","0,4","3,6","3,3","9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Zitronen - panaché,7611889122115,,,,,,['France'],[],,,[],,?,32,134 kj(32 kcal),"0,5",0,"7,8",0,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,T Plus - Multea Lemon & Peach Green Tea + Vitamins,5060463210014,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,"0,5","0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Pineapple Cake,4712972150381,,,,,,['France'],[],,,[],,?,447,1870 kj(447 kcal),23,19,58,21,"3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Formule detente - Daco bello - 200g,2720080421950,200 g,['Sachet'],['Daco bello'],['Point Vert'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Recettes de saucisses fumées aux légumes du soleil Ô P'tits Légumes - Madrange - 198g,3180940089123,198 g,"['Sachet', 'Plastique', 'sous vide']",['Madrange'],"['Viande Française', 'Viande Porcine Française', 'Sans colorants', ""Saveurs de l'Année"", ""Saveurs de l'Année 2021""]","['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)""]",['France'],"['Viande de porc ', '52%', 'lentilles corail cuites ', '10%', ' [eau', 'lentilles corail ', '4,0%', ']', 'poivrons grillés ', '6,5%', 'purée de tomates ', '5,5%', 'courgettes grillées ', '4,0%', 'aubergines grillées ', '4,0%', 'oignons grillés ', '4,0%', 'purée de tomates 28% ', '3,5%', 'carottes ', '3,5%', 'bouillon de porc déshydraté', 'arôme naturel', 'eau', 'sel de mer et minéraux de mer ', 'potassium', 'magnésium', 'calcium', 'fécule de pomme de terre', 'fibres végétales', 'oignons frits ', '0,2%', ' [oignons ', '0,1%', 'huile de tournesol]', 'sucre de canne', 'bouillon déshydraté ', 'blettes', 'acérola', 'carotte', 'basilic ', '0,3%', 'poudre de tomate ', '0,1%', 'thym citron ', '0,1%', 'romarin ', '0,1%', 'ferments', '\r Porc français élevé sans antibiotique dès la fin du sevrage ', '42ème jour', '\rLentilles corail cuites origine non UE', '\rPoivrons grillés', 'purée de tomates', 'courgettes grillées', 'oignons grillés', 'purée de tomates 28%', 'carottes', 'bouillon de porc déshydraté', 'basilic', 'romarin origine UE', '\rOignons frits', 'poudre de tomates', 'thym', 'citron origine France']",,,"['Non végétalien', 'Non végétarien']",4,803,192,803 kj(192 kcal),11,"4,5",9,"3,1",13,1,"0,4",D,SAUCISSES CUITES FUMÉES AUX LÉGUMES,"['Viandes', 'Plats préparés', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Légumes préparés', 'Saucisses de Strasbourg', 'Knacks industrielles', 'Saucisses fumées']","['France', 'Union européenne', 'Non Union Européenne']",['France'],https://www.madrange.fr/nos-produits/recette-de-saucisses-fumees-aux-legumes-du-soleil/,11 g,en quantité modérée,4.5 g,en quantité modérée,3.1 g,en faible quantité,1 g,en quantité modérée,-33%,-33%,-34%,-55%,-52%,+638%,+338%,-16%,-53%,-53%,-2,-110%,A,-110%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,
1528,Élimination et bien-être - Éléphant,1740260807221,,,['Éléphant'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Picnic,7622201432539,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Popcorn,0040232311307,,,,,,['France'],[],,,[],,?,100,418 kj(100 kcal),10,2,32,19,49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Té verde bio,8412680019913,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Miel de thym,0712221461095,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Croissant,0203280018370,,,,,,['France'],[],,,[],,?,385,1611 kj(385 kcal),21,14,40,"6,9","0,92","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Tablette blanche noisette caramélisée,3760078997752,,,,,,['France'],[],,,[],,?,581,2431 kj(581 kcal),40,20,48,47,8,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Mochis japonais sésame noir,4976977000700,,,,,,['France'],[],,,[],,?,332,1389 kj(332 kcal),"0,5",0,"76,8","74,3",5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Notre fromage blanc bio,2024879000006,,,,,,['France'],[],,,[],,?,109,456 kj(109 kcal),"7,6","4,7","3,6","3,2","6,6","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Confiture de cerises noires,3760286630090,,,,,,['France'],[],,,[],,?,226,946 kj(226 kcal),0,0,57,"56,5","0,75",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,REXONA Men Anti-Transpirant Cobalt Dry Bille Lot 2x50ml - 100ml,8710447349915,100 ml,['Bouteille'],['Rexona'],,,['France'],"['Cyclopentasiloxane', 'Aluminum Zirconium Tetrachlorohydrex GLY', 'PPG-14 Butyl Ether', 'Stearyl Alcohol', 'Hydrogenated Castor Oil', 'PEG-8Distearate', 'Talc', 'Parfum', 'BHT', 'Caprylic/Capric Triglyceride', 'Gelatin Crosspolymer', 'Cellulose Gum', 'Sodium Benzoate', 'Hydrated Silica', 'Aqua', 'SodiumStarch Octenylsuccinate', 'Maltodextrin', 'Hydrolysed Corn Starch', 'Silica', 'BenzylAlcohol', 'Benzyl Salicylate', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin,Geraniol', 'Limonene', 'Linalool']","['E173 - Aluminium', 'E553b - Talc', 'E321 - Butylhydroxytoluène', 'E428 - Gélatine', 'E466 - Carboxyméthylcellulose', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,[],,?,?,,?,,?,,?,,,,Déodorant Homme Bille Anti Transpir,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Signal White Now Dentifrice Infinite Shine - 75ml,8717163738085,75 ml,['Tube'],['Signal'],,,['France'],"['Hydrogenated Starch Hydrolysate', 'Aqua', 'Hydrated Silica', 'Sodium Lauryl Sulfate', 'PEG-32', 'Aroma', 'Cellulose Gum', 'Sodium Fluoride', 'Sodium Saccharin', 'PVM/MA Copolymer', 'Calcium Aliminum Borosilicate', 'Trisodium Phosphate', 'Glycerin', 'Sodium Laureth Sulfate', 'Lecithin', 'Tin Oxide', 'Caprylyl Glycol', 'Limonene', 'CI 74160', 'CI 77891']","['E487 - Laurylsulfate de sodium', 'E466 - Carboxyméthylcellulose', 'E339iii - Phosphate trisodique', 'E422 - Glycérol', 'E322i - Lécithine']",,[],,?,?,,?,,?,,?,,,,Dentifrice,"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Miel de fleurs de printemps,3770002062173,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Integrale spaghettoni quadrati n° - De Cecco,8001250008831,,,['De Cecco'],,,['France'],[],,,[],,?,345,1443 kj(345 kcal),"2,8","0,6",61,"2,4",15,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,2 escalopes extra fines,2600491015224,,,,,,['France'],[],,,[],,?,105,439 kj(105 kcal),"0,5","0,5","0,5","0,5",25,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Iso whey,5999076222483,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Miel de Brière,3770000253245,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Xcess Day burn - Prozis,5600854627375,,,['Prozis'],,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Soja cacao - ViviCosi - 1l,8032625743217,1 l,"['brique carton', 'Tetra Brik']",['ViviCosi'],['100% végétal'],['FSC-C014047'],['France'],"['Eau', 'soja italien ', '5,8%', 'sucre', 'cacao faible en gras ', '1,3%', 'carbonate de calcium', 'stabilisant: carraghénane', "" correcteur d'acidité : phosphates de potassium "", ' sel de mer', 'arôme', 'vitamines ', 'riboflavine', 'B12', 'D2', ' Allergène: SOJA', ' Conserver dans un endroit frais et sec', ' Une fois ouvert', 'conserver au réfrigérateur et consommer dans les 3/4 jours', ' GLUTEN FREE LACTOSE FREE  На 100% рослинна основа Наnій соєвий з какао - Склад: Вода', 'соя талійська ', '5,8%', 'цукор', 'какао з низьким вмістом жиру ', '1,3%', 'карбонат кальцію', 'стабілізатор: карагенан', ' регулятор кислотності: фосфати калію', ' морська сіль', 'ароматизатор', 'вітаміни ', 'рибофлавін', 'В12', 'D2', ' Алерген: соя', ' 3берігrати в прохолодному та сухому місці', ' Після відкриття зберігати В ХОЛОДИЛЬНИКУ', 'виКористовувати протягом 3-4 днів', ' - мпортер та отримувач претензій: ТОВ «Омега»', 'вул', ' Панікахи 15', 'м', ' Дніпро', '49041', 'Україна', ' - Телефон для приймання скарг та пропозицй: +380800307080', ' Da consumarsi preferibilmente entro: vedi lato superiore', ' Best before: see top side', ' Consumir preferentemente antes de: ver parte superior del envase', ' Mindestens haltbar bis: siehe Oben']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition']",['Soja'],[],4,?,255,1067 kj(255 kcal),"1,6","0,3","8,3","6,7",0,16,"6,4",,,['Boisson végétale au cacao'],['Italie'],['Italie'],http://www.intfood.it,1.6 g,en faible quantité,0.3 g,en faible quantité,6.7 g,en quantité modérée,16 g,en quantité élevée,,,,,,,,,,,14,,D,,,,,,,,,['Noz'],,,,
1547,Origine : Bolivie Café grains pur arabica - Le Torref'Acteur - 450g,3376221121914,450g,"['Sachet plastique', 'Sachet en plastique']","[""Le Torref'Acteur""]","['Bio', 'Commerce équitable', 'Fairtrade International', 'Max Havelaar']",,['France'],"['Ingrédient issu', 'du commerce équitable certifié Fairtrade/Max Havelaar : café ', '100% du poids total']",,,[],1,?,?,,?,,?,,?,,,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Café Arabica', 'Grains de café', 'Grains de café arabica']",['Bolivie'],,,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,
1548,Biscuits bio sésame,3585730034398,,,,,,['France'],[],,,[],,?,424.7,1777 kj(424 kcal),"19,6","2,5","53,3","17,4","7,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,73700977700008,73700977700008,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Marmelade orange douce,3556009995740,,,,"['Bio', 'Bio européen']",,['France'],[],,,[],,?,236,987 kj(236 kcal),0,0,57,55,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Noir caramel 125g,3370077588679,,,,,,['France'],[],,,[],,?,100,418 kj(100 kcal),"32,1","19,5","45,7","41,8","4,7","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,lentille - Freshona - 410,07915017,410,['Metal'],['Freshona'],"['Nutriscore', 'Nutriscore E']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Sablé d asnelle,3430660000015,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,abricot sec,2609842028739,,,,,,['France'],[],,,[],,?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Pain choco beurre×8,0208530028864,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Liberté chaï,3329770076686,,,,,,['France'],[],,,[],,?,133,556 kj(133 kcal),"7,6","5,1","12,5","11,4","2,7","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Vinaigre de Jerez,8429874234014,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Pitch Choco Barre,4020833939663,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Miel de fleur Le rucher d'Alex,3770016191074,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Duo de chocolats,39742499,,,,,,['France'],[],,,[],,?,484.4444,2027 kj(484 kcal),"22,222","9,556","55,556","21,333","6,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,La généreuse,2644667006562,,,,,,['France'],[],,,[],,?,302,1264 kj(302 kcal),"1,4","0,3",61,"2,54","9,9","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Oued eddahab,3664887000323,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Darth Vader tinned mints - star wars - 35g,5024095215670,35g,['métal'],['star wars'],['Conformité européenne (CE)'],,['France'],"['Dextrose', 'Glucose Syrup', 'Peppermint Flavour', 'Anti-caking agent ', 'Magnesium Stearate', ' & Menthol']",['E572 - Stéarate de magnésium'],,['Sans huile de palme'],4,?,?,,?,,?,,?,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons dragéifiés']",,['Chine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Poitrine de porc fumée,0290081025126,,,,,,['France'],[],,,[],,?,297,1243 kj(297 kcal),"25,6","10,3",1,"0,5","15,7","1,97","0,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Cocktail Natural,8423371006556,,,,,,['France'],[],,,[],,?,625,2615 kj(625 kcal),"53,5","11,5","10,1","3,2","20,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,White Anastasia,3585810080581,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Confiture de fraises,7061283279159,,,,,,['France'],[],,,[],,?,148.79,623 kj(148 kcal),0,0,"35,55","35,48","0,53",,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,0 g,en faible quantité,0 g,en faible quantité,35.5 g,en quantité élevée,,,,-31%,-32%,-100%,-100%,-33%,-30%,+20%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,
1568,Baie de gogi,3770015399235,,,,,,['France'],[],,,[],,?,348,1456 kj(348 kcal),"3,2","0,39","67,8","51,4","11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Confit de noisette au miel,3770010129059,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Sape di sapori miele millefiori italiano,8003100914095,,,,,,['France'],[],,,[],,?,323,1351 kj(323 kcal),0,0,80,80,"0,6",0,0,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0 g,en faible quantité,,+9%,+8%,-100%,-100%,+3%,+15%,+77%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1571,Nesquik,30747456,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),"3,6","1,6","78,9","75,1","5,1","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Noisettes en poudre - Auchan,3596710345243,,,['Auchan'],,"['EMB 13208A', 'Marseille 8e  Arrondissement (Bouches-du-Rhône, France)']",['France'],[],,,[],,?,639,2674 kj(639 kcal),"59,7","4,3",13,"5,7",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
1573,Poitrine cuite supérieure 3 tranches VPF 225g,2478872021191,,,,,,['France'],[],,,[],,?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Pain de mie brioché,0209017011157,,,,,,['France'],[],,,[],,?,260,1088 kj(260 kcal),"6,4","3,6",43,10,"6,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Poitrine cuite supérieure 3 tranches VPF 169g,2478872015947,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",['France'],[],,,[],,?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Fruit me up,3608580005018,,,,,,['France'],[],,,[],,?,56,234 kj(56 kcal),"0,2",0,12,12,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Världsklok,1705061950002,,,,,,['France'],[],,,[],,?,164,686 kj(164 kcal),"8,7","0,6",11,"1,5","9,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Sliced and grilled minced kebab,5902082437130,,,,,"['EMB 30120', 'Gagnières (Gard, France)']",['France'],[],,,[],,?,296,1238 kj(296 kcal),23,"10,3","6,7","1,3",17,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Muesli choco,0200318016278,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Yerba Mate Campo Sur - 500g,7790387015553,500 g,,,,,['France'],[],,,[],,?,61,255 kj(61 kcal),0,0,12,0,3,"0,122","0,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Jambon,3236330008677,,,,,,['France'],[],,,[],,?,111,464 kj(111 kcal),3,"1,5",1,1,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Donuts,0262004017051,,,,,,['France'],[],,,[],,?,394,1648 kj(394 kcal),20,12,47,13,"5,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Tarallini del re grano arso,8023734007826,,,,,,['France'],[],,,[],,?,470,1966 kj(470 kcal),19,"3,5","65,3","0,1","8,4","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
