,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,labels,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,link,manufacturing,palm_ingredients,producer_info,brand_owner,origin_detail
1922,Pasta Coquillettes - Carrefour - 500g,3560070328857,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes', 'Coquillettes de blé dur']","['Belgique', 'France']",['Semoule de blé dur de qualité supérieure'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.03 g,en faible quantité,?,,344,-3%,1439 kj(344 kcal),-4%,2,+14%,"0,5",+48%,68,-5%,"3,5",+9%,12,0%,"0,03",+173%,"0,012",+173%,-4,,A,,C,500 g,"['Sachet plastique', 'Point vert', 'Sachet à jeter', 'Sachet plastique']","['Labels de distributeurs', 'Testé par le panel test Carrefour']",,"['Carrefour', 'Carrefour market']",65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,Pâtes alimentaires au blé dur de qualité supérieure,,['Espagne'],,,,
1923,Macaroni (Al dente 6 min) - Carrefour - 500g,3560070328949,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Macaroni']",['France'],['Semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.025 g,en faible quantité,1458,-4%,348,-3%,1458 kj(348 kcal),-3%,2,+9%,"0,5",+28%,68,-5%,"3,5",+13%,12,-1%,"0,025",+30%,"0,01",+30%,-4,,A,,C,500 g,['Sachet plastique'],"['Labels de distributeurs', 'Qualité Carrefour']",,"['Carrefour market', 'Carrefour']",65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,Pâtes alimentaires au blé dur de qualité supérieure,,,,,,
1924,"Cola - Carrefour - 1,5l",3560070345724,['Carrefour'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",['France'],"['Eau gazéifiée', ""colorant: caramel au sulfite d'ammonium"", 'acidifiants: acide orthophosphorique et citrates de sodium', 'édulcorants: acésulfame-K et sucralose', 'arômes naturels ', 'dont extraits végétaux', 'caféine']","[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E950 - Acésulfame K', 'E955 - Sucralose']",,['Sans huile de palme'],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,1,-50%,0,-100%,1 kj(0 kcal),-50%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,02",+29%,"0,008",+29%,1,+2%,B,+2%,,"1,5 l",['Bouteille plastique'],"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Sans sucre']","['EMB 49090K', 'Cheffes (Maine-et-Loire, France)', 'EMB 49099K', 'Cholet (Maine-et-Loire, France)']",['Carrefour'],,,,,,,,['France'],Boisson rafraîchissante gazéifiée aux extraits végétaux avec édulcorants.,,,,Fabriqué en France par EMB 49099k pour Interdis,,
1925,Thé glacé saveur pêche - Produits Blancs - 2l,3560070355143,"['Produits Blancs', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Thés glacés saveur pêche']","['France', 'Pologne']","['Eau', 'jus de pêche à base de concentré ', '0,6%', 'acidifiant: acide citrique', 'extraits de thé ', '1,0 g/L', ""correcteur d'acidité: citrates de sodium"", 'antioxydant : acide ascorbique', 'arôme', 'édulcorants: sucralose et acésulfame K']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique', 'E955 - Sucralose', 'E950 - Acésulfame K']",,[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,5,-95%,1,-96%,5 kj(1 kcal),-95%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,05",+84%,"0,02",+84%,1,-87%,B,-87%,C,2 l,"['Bouteille', 'Plastique', 'PET']",['Avec édulcorants'],"['EMB 42198', 'Saint-Alban-les-Eaux (Loire, France)']",['Carrefour'],45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,"Boisson aux extraits de thé aromatisée pêche, avec édulcorants.",,['France'],,Conditionné par EMB 42198 pour Interdis.,,
1926,Chips saveur barbecue - carrefour - 135g,3560070430901,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['pommes de terre 58%', 'huile de tournesol 34%', 'sucre', 'sel', 'tomate en poudre', 'extrait de levure', 'épices ', 'paprika fumé', 'poivre noir', 'oignon en poudre', 'acidifiants ', 'acide citrique', 'acide malique', 'ail en poudre', 'arôme naturel', 'extrait de paprika']","['E330 - Acide citrique', 'E296 - Acide malique', 'E160c - Extrait de paprika']",['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,34 g,en quantité élevée,3.1 g,en quantité modérée,3 g,en faible quantité,1.4 g,en quantité modérée,?,,549,+4%,2297 kj(549 kcal),+4%,34,+7%,"3,1",+8%,52,+1%,3,+2%,6,-4%,"1,4",+2%,"0,56",+2%,10,-11%,C,-11%,B,135g,"['Sachet à jeter', 'Point vert']","['Labels de distributeurs', 'Qualité Carrefour', 'Sans huile de palme', 'Nutriscore', 'Nutriscore C']","['EMB 56213D', 'Saint-Gérand (Morbihan, France)', 'EMB 07181D', 'Pouzin (Ardèche, France)']","['Carrefour Market', 'Carrefour']",62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Pommes de terre de France'],Chips de pomme de terre aromatisées barbecue,,['France'],,,,
1927,Choux de Bruxelles - Carrefour - 800g,3560070445523,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Choux de Bruxelles', 'Choux de Bruxelles en conserve']","['France', 'Suisse']","['Choux de Bruxelles', 'eau', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,1.9 g,en faible quantité,0.48 g,en quantité modérée,128,-11%,31,-11%,128 kj(31 kcal),-13%,"0,5",+30%,"0,1",+19%,"3,3",-15%,"1,9",-10%,"2,1",-15%,"0,48",-16%,"0,192",-16%,-7,,A,,B,800 g,['Conserve'],"['Labels de distributeurs', 'Qualité Carrefour', 'Cultivé en France']",,['Carrefour'],24.6%,34.4%,16.4%,8.2%,9.6%,6.7%,88,,Choux de Bruxelles,,['Pays-Bas'],,Fabriqué aux Pays-Bas par COROOS Conserven B.V. pour Interdis,,Ces Choux de Bruxelles sont cultivés en France et fabriqués aux Pays-Bas.
1928,"Sauce vinaigrette a la pomme, bio - Carrefour Bio",3560070483532,"['Carrefour Bio', 'Carrefour']","['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",['France'],"['Huile de tournesol bio 40%', 'vinaigre de cidre bio 15,8%', 'jus de pomme concentré bio 13,2%', ""huile d'olive vierge extra bio 10%"", 'moutarde de Dijon bio ', 'graines de moutarde bio', ""vinaigre d'alcool bio"", 'eau', 'sel', ""vinaigre d'alcool bio"", 'vinaigre balsamique bio', 'vinaigre de vin bio et moût de raisin concentré bio', 'téguments de moutarde bio', 'sel']",,['Moutarde'],[],3,52 g,en quantité élevée,8.2 g,en quantité élevée,1 g,en faible quantité,2.7 g,en quantité élevée,?,,0.5,-100%,2 kj(0 kcal),-100%,52,+41%,"8,2",+118%,"6,7",+41%,1,-70%,"0,9",+54%,"2,7",+41%,"1,08",+41%,17,+14%,D,+14%,C,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']","['EMB 87036', 'Champsac (Haute-Vienne, France)']",['Carrefour'],80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
1929,"Ratatouille - Produits Blancs - 750g, 850ml",3560070486274,"['Produits Blancs', 'Interdis', 'Groupe Carrefour']","['Conserves', 'Plats préparés', 'Légumes préparés', 'Plats préparés en conserve', 'Ratatouilles']",['France'],"['Courgettes 34 %', 'tomates 25 %', 'jus de tomate 10 %', 'poivrons rouges et verts 10 %', 'aubergines 8 %', 'oignons 6 %', 'double concentré de tomates', 'huile de tournesol', 'sucre', 'sel', 'amidon modifié de maïs', 'oignons grillés', 'ail', 'plantes aromatiques', 'jus de citron concentré', 'acidifiant : acide citrique', 'poivre blanc', 'arôme naturel basilic avec autres arômes naturels']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1.2 g,en faible quantité,0.2 g,en faible quantité,3.6 g,en faible quantité,0.85 g,en quantité modérée,146,-40%,?,,146 kj(35 kcal),-48%,"1,2",-68%,"0,2",-63%,"4,5",-12%,"3,6",-7%,"0,9",-24%,"0,85",+19%,"0,34",+19%,-3,-407%,A,-407%,B,"750 g, 850 ml","['Boîte', 'Conserve', 'Métal']","['Point Vert', 'Fabriqué en Espagne', 'Triman', 'Eco-Emballages', 'Qualité contrôlée']","['EMB 56251E', 'Theix (Morbihan, France)', 'EMB 56251', 'Theix (Morbihan, France)']","['Carrefour market', 'Carrefour']",69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,Mélange de légumes (83 %) cuisinés,,['Espagne'],,,,
1930,Galettes de riz nappées chocolat blanc saveur yaourt Bio - Carrefour - 90g,3560070503209,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat blanc']",['France'],"['Chocolat blanc bio 59% ', 'sucre de canne bio', 'beurre de cacao bio', 'poudre de lait bio', 'poudre de lait fermenté bio', 'lécithine de soja', 'riz bio 41 %']",['E322i - Lécithine'],['Soja'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,25 g,en quantité élevée,15 g,en quantité élevée,30 g,en quantité élevée,0.2 g,en faible quantité,?,,507,+17%,2121 kj(507 kcal),+17%,25,+112%,15,+135%,63,-11%,30,+136%,"6,8",-8%,"0,2",+10%,"0,08",+10%,21,+149%,E,+149%,B,90 g,['sachet plastique'],"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'BE-BIO-02', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fabriqué en Belgique']",,"['Carrefour', 'Carrefour market']",57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['Italie'],Galettes de riz nappées chocolat blanc,https://www.carrefour.fr/p/galettes-de-riz-chocolat-blanc-carrefour-bio-3560070503209,['Belgique'],,,,
1931,Penne rigate - Carrefour BIO - 500g,3560070510047,['Carrefour BIO'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Penne', 'Penne rigate']",['France'],['Semoule de blé dur biologique de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.03 g,en faible quantité,1500,0%,354,+1%,1500 kj(354 kcal),+1%,"1,5",-11%,0,-100%,72,+3%,"3,5",+20%,12,0%,"0,03",+156%,"0,012",+156%,-3,,A,,A,500 g,['Film plastique'],"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert', 'Fabriqué en Belgique', 'AB Agriculture Biologique']",,['Carrefour'],65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Union Européenne et Non Union Européenne', 'Blé dur biologique de diverses origines']",Pâtes alimentaires au blé dur de qualité supérieure issues de l'agriculture biologique,,['Belgique'],,,,
1932,Oursons Guimauve chocolat au lait - Carrefour - 1kg,3560070521715,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Guimauves enrobées de chocolat']",['France'],"['Sirop de glucose-fructose', 'sucre', 'eau', 'beurre de cacao', 'pâte de cacao', 'poudre de lait écrémé', 'gélatine de porc', 'matière grasse de lait anhydre', 'lactosérum en poudre', 'émulsifiant : lécithines ', 'tournesol', 'arômes', ' Peut contenir des traces de fruits à coque et de gluten']","['E428 - Gélatine', 'E322i - Lécithine']","['Lait', 'Porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,9.4 g,en quantité modérée,5.8 g,en quantité élevée,53 g,en quantité élevée,0.08 g,en faible quantité,1544,-5%,366,-7%,1544 kj(366 kcal),-7%,"9,4",-17%,"5,8",-18%,66,-4%,53,-6%,"4,1",+4%,"0,08",+17%,"0,032",+17%,19,-9%,E,-9%,,1 kg,['Plastic'],['Fabriqué en France'],"['EMB 59020', 'Ascq (Nord, France)']",['Carrefour'],,,,,,,,,Bonbon de chocolat : Guimauve enrobée de chocolat au lait (30%).,,,,Fabriqué en France par EMB 59020 pour Interdis.,,
1933,NOIR Équateur Boisé & Fruité - Carrefour - 80g,3560070670017,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['France', 'Espagne']","['Pâte de cacao origine Équateur', 'sucre', 'beurre de cacao', 'émulsifiant : lécithines ', 'tournesol', 'arôme naturel de vanille', ' Cacao : 60% minimum', ' Peut contenir des traces de fruits à coque', 'de céréales contenant du gluten et de lait']",['E322i - Lécithine'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,35 g,en quantité élevée,21 g,en quantité élevée,41 g,en quantité élevée,0 g,en faible quantité,2264,-1%,544,-2%,2264 kj(544 kcal),-2%,35,-11%,21,-9%,45,+17%,41,+29%,"7,5",-2%,0,-100%,0,-100%,20,-6%,E,-6%,D,80 g,"['Carton', 'Aluminium']",['Fabriqué en France'],"['EMB 61486A', 'Tinchebray (Orne, France)']",['Carrefour'],85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Équateur'],Chocolat noir,,"[""Chocolaterie de l'Abbaye Suisse Normande"", 'Groupe Cémoi', 'Tinchebray', 'Argentan (arrondissement)', 'Orne', 'Basse-Normandie', 'France']",,Fabriqué par EMB61486A pour Interdis.,,
1934,Grillé & salé cocktail - Carrefour - 110g,3560070713615,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']","['Belgique', 'France']","['Cacahuètes ', 'arachides', ' 50,6%', 'noisettes 13,8%', 'amandes 13,8%', 'noix de cajou 13,8%', 'huile de tournesol 5,5%', 'sel 2,5%']",,"['Fruits à coque', 'Arachides']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,58 g,en quantité élevée,8.5 g,en quantité élevée,4.3 g,en faible quantité,0.31 g,en quantité modérée,?,,657,+6%,2749 kj(657 kcal),+7%,58,+15%,"8,5",+35%,"5,6",-65%,"4,3",-20%,25,+29%,"0,31",-35%,"0,124",-35%,2,-59%,B,-59%,,110 g,"['Sachet', 'Sachet à jeter', 'Green dot']","['Labels de distributeurs', 'Qualité Carrefour', 'Fabriqué en Espagne', 'en:Not advised for children younger than 3']",['RGSEAA 21-04309/T'],"['Carrefour', 'Dia']",,,,,,,,,mélange de graines grillées et salées,,['Espagne'],,,,
1935,Pâté de campagne Breton IGP au sel de Guérande IGP - Reflets de France - 180g,3560070717545,"['Reflets de France', 'Carrefour']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Charcuteries diverses', 'Pâté', 'Porc', 'Pâtés de porc', 'Pâtés de campagne', 'Produits au sel de Guérande']",['France'],"['Foie de porc', 'gorge de porc', 'gras de porc', 'couennes de porc', 'oignons frais', 'gros sel de Guérande IGP 1', '4%', 'crépine de porc', 'ail', 'poivre', 'Viande de porc origine France', 'Peut contenir des traces de blé', 'œuf', 'lait', 'fruits à coque', 'céleri et moutarde']",,,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,30 g,en quantité élevée,12 g,en quantité élevée,0.8 g,en faible quantité,1.2 g,en quantité modérée,1453,+17%,351,+13%,1453 kj(351 kcal),+12%,30,+11%,12,+19%,"2,6",+8%,"0,8",-13%,17,+20%,"1,2",-28%,"0,48",-28%,19,0%,E,0%,C,180 g,"['Plastique', 'Paquet', 'Frais']","['Point Vert', 'IGP', 'Eco-Emballages']","['FR 22.277.007 CE', ""Saint-Brandan (Côtes-d'Armor, France)"", 'FR 22.272.028 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",['Carrefour'],74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['France', 'Guérande', 'Loire-Atlantique', 'Pays de la Loire']",Pâté de campagne Breton IGP,http://www.refletsdefrance.fr/charcuterie-traiteur/pates-rillettes/pate-de-campagne-de-bretagne-au-sel-de-guerande,"[""Guyader Pays d'Armor (Filiale Guyader Gastronomie) - Lieu dit Le Bras d'Argent - 22800 Saint-Brandan"", ""Côtes-d'Armor"", 'Bretagne', 'France']",,Elaboré par Guyader Gastronomie 22200 St Agathon pour Interdis.,,
1936,Crackers Goût Pizza - Carrefour - 85g,3560070718542,['Carrefour'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Belgique', 'France']","['Farine de blé', 'huile de colza et de tournesol', 'lactosérum en poudre', 'double concentré de tomate 6,3%', 'emmental râpé déshydraté 4,5%', 'sucre', 'sirop de sucre inverti', ""poudres à lever : phosphate monocalcique - carbonate acide d'ammonium"", 'carbonate acide de sodium', 'sel', 'herbes de Provence 1%', ""farine d'orge maltée"", ""extrait d'origan"", 'extrait de levure', 'oignon en poudre', 'colorant : acide carminique']","['E341i - Phosphate monocalcique', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E120 - Acide carminique']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,29 g,en quantité élevée,3 g,en quantité modérée,7 g,en quantité modérée,1.5 g,en quantité modérée,?,,514,+11%,2151 kj(514 kcal),+10%,29,+46%,3,-45%,53,-11%,7,+79%,10,+1%,"1,5",-25%,"0,6",-25%,13,-16%,D,-16%,B,85 g,"['Carton', 'Plastique', 'Triman', 'Sachet à jeter', 'Étui à jeter']","['Labels de distributeurs', 'Qualité Carrefour', 'Point Vert', 'Fabriqué en France']","['EMB 85208A', 'Saint-Denis-la-Chevasse (Vendée, France)']","['Carrefour', 'Dia']",60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,
1937,Dés de Fromage (Herbes de Provence & Poivrons) - Carrefour - 300g,3560070719921,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages à pâte fondue', 'Fromages apéritif']",['France'],"['Fromage 50 % ', 'lait de vache pasteurisé', 'sel', 'ferments lactiques', 'enzyme coagulante', 'huile de colza 49,3 %', 'herbes de Provence 0,4 %', 'poivrons rouges 0,3 %']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,60 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,575,+102%,2406 kj(575 kcal),+106%,60,+145%,10,-38%,0,-100%,0,-100%,"8,9",-16%,"1,7",+5%,"0,68",+5%,17,+13%,D,+13%,D,300 g,"['Pot', 'Bocal', 'Verre']",['Point Vert'],['DK M 166 EC'],"['Carrefour City', 'Carrefour']",78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,Dés de fromage au lait pasteurisé mariné dans l'huile d'olive aux herbes de Provence et poivrons rouges.,,['Danemark'],,,,
1938,Carrés gourmands chocolat au lait - Carrefour - 200g e,3560070776238,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']","['Chine', 'France']","['Sucre', 'poudre de lait entier', 'noisettes entières 15 %', 'raisins secs 15 % ', 'raisins secs', ""agent d'enrobage : huile de tournesol"", 'beurre de cacao', 'pâte de cacao', 'émulsifiant : lécithines ', 'tournesol', 'arôme vanille']",['E322i - Lécithine'],"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,32 g,en quantité élevée,15 g,en quantité élevée,46 g,en quantité élevée,0.17 g,en faible quantité,?,,515,-9%,2155 kj(515 kcal),-9%,32,-16%,15,-14%,47,+1%,46,+5%,"8,2",-2%,"0,17",-10%,"0,068",-10%,23,-6%,E,-6%,E,200 g e,"['Carton', 'Aluminium']","['Point Vert', 'Fabriqué en France']","['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",['Carrefour'],84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,Chocolat supérieur au lait aux noisettes entières et aux raisins secs,,['France'],,,,
1939,Yaourt saveur vanille - Carrefour - 500g (4x 125g),3560070778157,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés', 'Yaourts entiers']",['France'],"['Lait entier 83 %', 'sucre 8,4 %', 'concentré de lait écrémé', 'ferments lactiques', 'arôme']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3 g,en quantité modérée,1.9 g,en quantité modérée,13 g,en quantité élevée,0.11 g,en faible quantité,?,,90,-1%,377 kj(90 kcal),-1%,3,-16%,"1,9",-17%,13,+19%,13,+26%,"2,9",-17%,"0,11",-1%,"0,044",-1%,3,+20%,C,+20%,A,500 g (4 x 125 g),"['Carton', 'Pots']","['Labels de distributeurs', 'Qualité Carrefour', 'Nutriscore', 'Nutriscore C']","['FR 35.288.001 CE', 'Saint-Malo (Ille-et-Vilaine, France)', 'EMB 53054A', 'Changé (Mayenne, France)']","['Carrefour Market', 'Carrefour']",58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,Yaourt au lait entier sucré et aromatisé saveur vanille,,['France'],,,,
1940,Nuggets de poulet - Carrefour - 200g,3560070812950,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Pains', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet', 'Nuggets']",['France'],"['Ingrédients ', 'à la mise en oeuvre', ' : Préparation de viande de poulet 38,6%', 'eau', 'chapelure ', 'farine de blé', 'levure', 'sel', 'eau', 'peau de volaille', 'gluten de blé', 'fibres de blé', 'farine de blé', 'conservateurs : lactate de potassium et acétates de sodium', 'arômes naturels', 'sel', 'Huile de tournesol et de colza', 'Pourcentages exprimés sur le total de la recette avant friture', 'Peut contenir des traces de lait', 'Ce produit est fabriqué à partir de viande de volaille origine UE']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,2.2 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en quantité modérée,1077,+13%,258,+12%,1077 kj(258 kcal),+10%,13,+7%,"2,2",0%,20,+17%,"1,2",-12%,13,+2%,"1,2",+11%,"0,48",+11%,3,+9%,C,+9%,D,200 g,['Carton'],,"['FR 44.014.001 CE', 'Bignon (Loire-Atlantique, France)', 'EMB 44014B', 'Bignon (Loire-Atlantique, France)']",['Carrefour'],71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,"Préparation de viande de poulet traitée en salaison reconstituée (60%), panée (40%), frite et cuite.",,,,Fabriqué en France par EMB 44014B pour Interdis.,,Volaille origine Union Européenne.
1941,La Panna cotta - Carrefour - 240g,3560070816415,['Carrefour'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Panna cottas au coulis de fruits']",['France'],"['Crème 31,7%', 'eau', 'sirop de glucose', 'framboise 10,4%', 'sucre', 'lait écrémé en poudre 5,9%', 'huile de coco', 'alcool', 'amidon de tapioca', 'épaississants : carraghénanes et alginate de sodium', ""correcteur d'acidité : acide citrique"", 'gélifiant : pectines', 'arômes naturels', ""émulsifiant : mono - et diglycérides d'acides gras"", 'extrait de sureau', 'conservateur : sorbate de potassium', ' Peut contenir des traces de blé et œuf', 'Teneur en alcool 1,0%']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E330 - Acide citrique', 'E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,13 g,en quantité modérée,9.3 g,en quantité élevée,19 g,en quantité élevée,0.14 g,en faible quantité,990,+20%,237,+20%,990 kj(237 kcal),+19%,13,+13%,"9,3",+17%,25,+24%,19,+14%,"2,9",+7%,"0,14",+21%,"0,056",+21%,14,+23%,D,+23%,C,240 g,"['Carton', 'Plastique']","['Fabriqué en Italie', 'Nutriscore', 'Nutriscore D']","['IT 03 200 CE', 'IT Q7S5F CE']",['Carrefour'],62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,,"Dessert lacté et sa dosette de sauce à base de framboise (20,8%).",,['Italie'],,Fabriqué en Italie par A-27 pour Interdis.,,Ce produit est fabriqué en Italie à partir de crème provenant de l'Union Européenne et de framboises originaires d'Europe.
