,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
264,Préparation gnocchis - 1000g,8025566001003,1000 g,,['France'],[],[],?,341,1427 kj(341 kcal),"0,9","0,5","77,1","15,8","4,1","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Grissini Rubata',8024555013775,,,['France'],[],[],?,419,1753 kj(419 kcal),10,1,71,"2,9",10,2,"0,8",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['Sans conservateurs'],10 g,en quantité modérée,1 g,en faible quantité,2.9 g,en faible quantité,2 g,en quantité élevée,,-0%,-0%,-7%,-56%,+6%,+16%,-12%,+5%,+5%,13,+2%,D,+2%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,,,,,
266,"Modifast Snack, Schokolade",3175681029323,,,['France'],[],[],?,413,1728 kj(413 kcal),4,"2,7",16,11,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Haricots fins verts extra fins - En Cuisine,3184830054499,,['En Cuisine'],['France'],[],[],?,0,0 kj(0 kcal),0,0,3,"0,8",0,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,,,,,,,,,
268,Proteine De Chanvre goût vanille,3770010956266,,,['France'],[],[],?,420,1757 kj(420 kcal),8,"1,23","15,5","7,5","65,1","0,38","0,152",,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,KEX ROLL Cocoa Filling,20451011,,,['France'],[],[],?,497,2079 kj(497 kcal),"23,7","14,7","64,3","33,8","5,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lenticchie Bio,8005695013023,,,['France'],[],[],?,95,397 kj(95 kcal),"0,2",0,"15,4","1,3",6,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Riz long indica étuvé qualité supérieure,3061435001526,,,['France'],[],[],?,79,331 kj(79 kcal),"0,8","0,2",79,"0,3","7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Aiguillettes de poulet,2245349028072,,,['France'],[],[],?,154,644 kj(154 kcal),"1,8","0,5",0,0,23,"0,1","0,04",D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Nutriscore', 'Nutriscore A']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,+22%,+23%,-3%,+5%,-100%,-100%,+1%,-77%,-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
273,Guindilla Saski,8422414660014,,,['France'],[],[],?,14,59 kj(14 kcal),1,"0,2","1,7","0,5","0,5","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,JungleJuice,4260636580093,,,['France'],[],[],?,27.2,114 kj(27 kcal),"0,1","0,1","53,1","49,4","12,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Froot Loops - Kellogg's,0064100222205,,"[""Kellogg's""]",['France'],[],[],?,407.40740740741,1705 kj(407 kcal),"3,704","1,852","88,889","37,037","3,704","0,926","0,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Noix de coco - Fresh & Good - 130g,3760288131762,130 g,['Fresh & Good'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Pérou 100% arabica - Carrefour,3560071227616,,['Carrefour'],['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
278,Crémant d'Alsace,3560070683024,,,['France'],[],[],?,311,1301 kj(311 kcal),0,0,2,2,"0,2",0,0,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Brechbohnen - Campo Verde - 340g,4045178002728,340g,['Campo Verde'],"['France', 'Allemagne']",[],[],?,18,75 kj(18 kcal),"0,1",0,"2,4","1,8",1,"0,33","0,132",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']","['Bio', 'Bio-dynamie', 'Demeter']",0.1 g,en faible quantité,0 g,en faible quantité,1.8 g,en faible quantité,0.33 g,en quantité modérée,,-25%,-24%,-60%,-100%,-10%,+134%,-32%,-51%,-51%,-4,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,,,,,,,,,,,
280,Noodle style - Slendier,9346976000455,,['Slendier'],['France'],[],[],?,10,42 kj(10 kcal),1,1,1,1,1,0,0,,,"['Bio', 'Bio européen', 'en:CN-BIO-141']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Pate bridee - La Vie Claire,6184700,,['La Vie Claire'],['France'],[],[],?,290,1213 kj(290 kcal),11,"1,8",44,"0,7","2,1","1,1","0,44",,,"['Bio', 'Bio européen', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,['La Vie Claire'],,,,,,,
282,Houmous de pois chiches,3498976220541,,,['France'],[],[],?,259,1084 kj(259 kcal),18,"2,2",16,"2,8","9,3","0,74","0,296",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,18 g,en quantité modérée,2.2 g,en quantité modérée,2.8 g,en faible quantité,0.74 g,en quantité modérée,,-2%,-1%,-11%,-11%,+51%,+109%,+43%,-29%,-29%,3,-40%,C,-40%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,,,
283,Lentilles rosés rosana,3770016675130,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Lait soja bio - Auchan Bio - 25cl,3596710481101,25 cl,"['Auchan Bio', 'Auchan']",['France'],[],[],?,61,255 kj(61 kcal),2,"0,3","6,8","5,8","3,7","0,02","0,008",A,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Laits de soja naturel avec du sucre', 'Boissons végétales de soja à la vanille']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore A']",2 g,en quantité modérée,0.3 g,en faible quantité,5.8 g,en quantité modérée,0.02 g,en faible quantité,,+39%,+41%,+19%,+4%,+90%,+111%,+21%,-76%,-76%,-1,,A,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,,['Brique'],,,,['Auchan'],,,,,,,
285,Pralines amandes concassés poudre,3760092790391,,,['France'],[],[],?,412,1724 kj(412 kcal),"6,6","0,5",84,77,"3,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,"Kiddy sun, multivitamin - 200ml",8606108536322,200 ml,,['France'],[],[],?,42,176 kj(42 kcal),"0,1",0,10,10,"0,1",11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Chocolat noir amandes noisettes - 70g,3770011572014,70 g,,['France'],[],[],?,582,2435 kj(582 kcal),46,22,28,23,10,"0,19","0,076",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Mon bouillon,8003802070303,,,['France'],[],[],?,16,67 kj(16 kcal),"0,1",0,"0,2","0,1","0,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Purée fraîche - Maison Tino - 550g,3338310001903,550 g,['Maison Tino'],['France'],"['Pommes de terre 70%', 'crème légère', 'huile de tournesol', 'beurre', 'lait demi-écrémé', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,155,649 kj(155 kcal),"8,7","4,2",16,1,24,"0,68","0,272",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']",,8.7 g,en quantité modérée,4.2 g,en quantité modérée,1 g,en faible quantité,0.68 g,en quantité modérée,,-37%,-38%,+252%,+211%,-65%,-55%,+331%,+14%,+14%,3,+108%,C,+108%,,,,,,,,"['FR 47.091.005 CE', 'Estillac (Lot-et-Garonne, France)']",,"['Plastique', 'Métal', 'Barquette', 'Film en plastique']",,3,['Lot-et-Garonne'],['Carrefour'],['Lait'],['France'],,,,,
290,Boisson pétillante ananas,3770011720026,,,['France'],[],[],?,38,159 kj(38 kcal),0,0,"9,5","9,4",0,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Poêlée du poissonnier citron basilic,2416866045525,,,['France'],[],[],?,127,531 kj(127 kcal),7,"1,5",0,0,16,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,puro sciroppo d’acero -,8033162410129,,,['France'],[],[],?,266,1113 kj(266 kcal),"0,5","0,5","66,4",58,"0,5",,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]","['Bio', 'Bio européen']",0.5 g,en faible quantité,0.5 g,en faible quantité,58 g,en quantité élevée,,,,-3%,-2%,+735%,+1487%,-3%,-5%,+927%,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Cute,5060722610456,,,['France'],[],[],?,371,1552 kj(371 kcal),"5,6","1,1",49,3,"30,1","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Spaghetti tricolores - Moulin des moines,3347430019811,,['Moulin des moines'],['France'],[],[],?,360,1506 kj(360 kcal),"1,2","0,2",71,3,"12,5",,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Trockenpfaume in apfel,4058172438196,,,['France'],[],[],?,60.8,254 kj(60 kcal),"0,48","0,24","12,24","10,88","6,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Vanille mini bâtonnets - Trium,3564706628335,,"['Trium', 'Marque Repère']",['France'],[],[],?,303,1268 kj(303 kcal),18,12,32,28,"2,9","0,11","0,044",,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,
297,Yaourts brassés sur lit à la châtaigne - Franprix - 500g,3263859683917,500 g,['Franprix'],['France'],[],[],?,112,469 kj(112 kcal),"2,8","1,9",18,14,"3,8","0,11","0,044",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,,,,,
298,Bioc - Voelkel,4015533033872,,['Voelkel'],['France'],"['Jus de pomme* 63,44%', 'jus de betterave* lactofermenté 10%', 'jus de carotte noire* 7%', ""purée d'acérola* 6%"", 'jus de cassis* 6%', 'purée de mangue* 6%', 'jus de fruit de la passion* 1,5%', 'extrait de feuille de curry* 0,06%', "" *issu de l'agriculture biologique""]",[],?,44,184 kj(44 kcal),"0,2",0,"9,7","9,1","0,3","0,1","0,04",,,"['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biocoop Caluire'],,,,,,,
299,Aloe vera zenzero,8023788011190,,,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Kombucha,3770006135163,,,['France'],[],[],?,18,75 kj(18 kcal),0,0,"2,4","2,4",0,0,0,B,"['Boissons', 'Boissons au thé', 'Kombuchas']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",0 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,0 g,en faible quantité,,0%,0%,-100%,-100%,-37%,-30%,-100%,-100%,-100%,5,-13%,C,-13%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,,,,
301,Chewing-gum au siwak,3760171580097,,,['France'],[],[],?,183,766 kj(183 kcal),0,0,74,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Protein recovery shake,5060468520385,,,['France'],[],[],?,51.2,214 kj(51 kcal),"0,5","0,2",11,"8,6",20,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Thé vert glacé Fruit de la passion gingembre,3700994200628,,,['France'],[],[],?,13,54 kj(13 kcal),"0,5","0,1","3,1","3,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,crevettes entières crues surgelées - La table des pêcheurs - 1kg,3270120056585,1 kg,['La table des pêcheurs'],['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,"['EMB 14630A', 'Saint-Martin-des-Entrées (Calvados, France)']",,"['Film en plastique', 'Etui en carton']",,,,,,,,,,,
305,ST. Dalfour Himbeer granatapfel Aufstrich - 284g,3492390009065,284 g,,['France'],[],[],?,232,971 kj(232 kcal),"0,8",0,56,53,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Épeautre cuisiné aux Cèpes et Poulet mariné - Lechef - 270g,3701222801976,270 g,['Lechef'],['France'],"['Épeautre cuit 30%', 'viande de poulet 21% ', 'Origine France', 'cèpe 16%', 'crème 15%', 'eau', 'oignon', 'beurre', 'ail', 'persil', 'arôme naturel', 'sel', ""huile d'olive vierge extra"", 'farine de tapioca', 'thym', 'poivre', ' Conditionné sous atmopshère protectrice']","['Non végétalien', 'Non végétarien']",?,165,690 kj(165 kcal),"8,1","5,2",12,"0,5","9,7","0,68","0,272",D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",,8.1 g,en quantité modérée,5.2 g,en quantité élevée,0.5 g,en faible quantité,0.68 g,en quantité modérée,,+11%,+12%,+37%,+210%,-12%,-74%,+21%,-19%,-19%,5,+250%,C,+250%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['FR 47.091.011 CE', 'Estillac (Lot-et-Garonne, France)']",,"['Plastique', 'Barquette', 'Film en plastique']",,4,,['Carrefour'],"['Gluten', 'Lait']",,,,,,
307,Extra Virgin Olive Oil - Sprouts,0646670311703,,['Sprouts'],['France'],[],[],?,800,3347 kj(800 kcal),"93,333","13,333",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-7%,-7%,-2%,-5%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
308,Curry veggie - protéines de tournesol - Priméal - 150g,3380380092053,150 g,"['Priméal', 'Ekibio']",['France'],"['Farine de tournesol déshuilée ', '37%', '*', 'lentilles vertes précuites*', 'lentilles corail précuites* raisins secs*', 'farine de riz précuite*', 'sel marin', 'curry*', '1,3%', ' ', 'moutarde*', ""huile d'olive vierge extra*"", 'coriandre*', ""paillettes d'huiles essentielles* "", 'agave*', 'huile essentielle de citron*', 'curcuma*', "" *issus de l'agriculture biologique""]",[],1355,321,1355 kj(321 kcal),"2,2","0,4","35,4","23,3","31,6","2,2","0,88",,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,,+10%,+26%,+23%,-53%,-72%,-22%,+171%,+309%,-80%,-80%,,,,,,,,,,,,,,['Plastique'],,3,['France'],"['Biocoop', 'Biocoop Caluire']",['Moutarde'],,,,,,
309,Sangría Blanca Atlántica,8414825339078,,,['France'],[],[],?,0,0 kj(0 kcal),6,6,6,6,6,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Botella'],,,,,,,,,,,
310,Mayonnaise Dr Will's classic,0706502216474,,,['France'],[],[],?,761,3184 kj(761 kcal),"83,7","8,1","0,1",0,"1,5",1,"0,4",D,"['Epicerie', 'Sauces', 'Mayonnaises']",,83.7 g,en quantité élevée,8.1 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+24%,+24%,+26%,+31%,-96%,-100%,+22%,-25%,-25%,21,+17%,E,+17%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
311,Lardons allumettes,3268750010046,,,['France'],[],[],?,0,0 kj(0 kcal),"21,2","7,9","1,2","1,2","14,4","3,56","1,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 42175A', 'Pouilly-lès-Feurs (Loire, France)']",,,,,,,,,,,,,
312,Flower candy - Look-O-Look - 145g,8713600637577,145 g,['Look-O-Look'],['France'],[],[],?,337,1410 kj(337 kcal),"0,4","0,3",77,49,"5,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,['en:Pays-Bas'],,,,,
313,Granola,3770007543516,,,['France'],[],[],?,482,2017 kj(482 kcal),"26,7","6,7","43,4","9,3","11,9",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Bio', 'Sans additifs', 'Sans huile de palme']",26.7 g,en quantité élevée,6.7 g,en quantité élevée,9.3 g,en quantité modérée,,,,+21%,+21%,+207%,+205%,-35%,-44%,+28%,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,,
314,Hipro - Danone,3033490005511,,['Danone'],['France'],[],[],?,58,243 kj(58 kcal),"0,4","0,3","5,3","5,1","8,3","0,2","0,08",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,0.4 g,en faible quantité,0.3 g,en faible quantité,5.1 g,en quantité modérée,0.2 g,en faible quantité,,-37%,-37%,-88%,-85%,-52%,-50%,+120%,+74%,+74%,-4,-231%,A,-231%,,,,,,,,,,,,,,,,,,,,,
315,Smooth peanut butter choco noisette,5013665115496,,,['France'],[],[],?,562,2351 kj(562 kcal),45,11,16,"8,2",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Patée chien - Carrefour,3560070015559,,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture humide pour animaux', 'Nourriture pour chiens', 'Pâtées pour chien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 62447', 'Hesdin (Pas-de-Calais, France)']",,,,,,['Carrefour'],,,,,,,
317,Frescu frescu Orange Mangue Passion,3770010551027,,,['France'],[],[],?,43.7,183 kj(43 kcal),"0,2",0,"9,2","9,2",0,0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Metamucil Fiber - Orange,0037000337102,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Pâte de curry rouge,3269714127893,,,['France'],[],[],?,208,870 kj(208 kcal),15,"1,5",12,"3,3","3,4","5,9","2,36",,"['Epicerie', 'Sauces', 'Pâtes de curry', 'Pâtes de curry rouges']",,15 g,en quantité modérée,1.5 g,en quantité modérée,3.3 g,en faible quantité,5.9 g,en quantité élevée,,+28%,+31%,+70%,+6%,-12%,-37%,+11%,-21%,-21%,13,+10%,D,+10%,,,,,,,,,,,,,,,,,,,,,
320,Miel de fleurs crémeux - La Vie Claire - 500g,3266191023250,500 g,['La Vie Claire'],['France'],"['miel de fleurs crémeux issu de l’agriculture biologique', ' Miel d’origine Roumanie']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,"['Bocal', 'Verre']",,2,"['France', 'Roumanie']",['La vie claire'],,['Roumanie'],,,,,
321,Langoustines entières -  - 1kg,5705510000148,1 kg,,['France'],[],[],?,94.4,395 kj(94 kcal),"1,3","0,1","0,8","0,1",20,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Chips à l’ancienne,3770013783203,,,['France'],[],[],?,543,2272 kj(543 kcal),"33,3",3,"60,1","0,2","0,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Macchiato Espresso,20243227,,,['France'],[],[],?,59,247 kj(59 kcal),"1,2","0,8",9,9,3,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Bulgur Salat - Edeka - 200g,4311501614457,200 g,['Edeka'],['France'],[],[],?,180,753 kj(180 kcal),"7,7","0,6","22,1","3,1","3,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Courgettes en rondelles surgelé - 1kg,3280378146617,1 kg,,['France'],[],[],?,0,0 kj(0 kcal),"0,3","0,1","2,5","1,9","1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Praliné cacahuètes porridge lab,3770014104175,,,['France'],[],[],?,586,2452 kj(586 kcal),41,"6,9",29,21,22,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Croissants ecológico de espelta sin grasa de palma,8421615022102,,,['France'],[],[],?,436,1824 kj(436 kcal),24,"3,8",46,12,"8,8",1,"0,4",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Saumon sauvage fumé,3701318600346,,,['France'],[],[],?,125,523 kj(125 kcal),4,"0,9","0,1","0,1",22,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Quinoa d'anjou,3760205350191,,,['France'],[],[],?,365,1527 kj(365 kcal),"6,6","0,8",57,"3,3",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Kefir,8033247774061,,,['France'],[],[],?,58,243 kj(58 kcal),"3,6","1,87","3,5","3,3","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Pimelia Gommes Réglisse Anisée - 1 Sachet De - 100g,3401529452719,100 g,,['France'],[],[],?,194,812 kj(194 kcal),"0,4","0,1","60,3","28,9",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Protein balls nuts,3700225605840,,,['France'],[],[],?,25.5,107 kj(25 kcal),"9,4","1,6","50,3","46,3","19,3",,,,,['Sans arômes artificiels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"Jus & infusion (pomme, orange, gingembre) - Cidou - 33cl",3760225493410,33 cl,['Cidou'],['France'],"['fruit juice ', '61%', ': apple* ', '45%', 'orange*: ', '15%', 'lern on ', '1%', '- ginger* infusion ', '39%', ' water', 'ginger"" ', '0,4%']",[],111,26,111 kj(26 kcal),"0,1",0,6,"5,7","0,2","0,01","0,004",A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']","['Bio', 'Bio européen', 'Sans sucre ajouté', 'Nutriscore', 'Nutriscore C', 'AB Agriculture Biologique']",0.1 g,en faible quantité,0 g,en faible quantité,5.7 g,en quantité modérée,0.01 g,en faible quantité,+693%,+271%,+362%,+126%,-100%,+709%,+1172%,+12%,+76%,+76%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,"Jus & infusion (pomme, orange, gingembre)",['Tetra Pak'],,,['France'],,,,http://www.cidou.fr,,,,
