,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1059,Pain aux céréales,3602826539305,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Yaourt Activia au bifidus - danone - 1kg,11284178,A,"['Danone', 'Activia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts au bifidus aromatisés']",['France'],"['lait entier ', 'Origine: France', 'fruits ', '7,3% en moyenne', ': figue 8%', 'ananas 8%', 'rhubarbe 8%', 'pruneau réhydraté 5%', 'sucre ', '6% en moyenne', 'lal écrémé concentré ou en poudre ', 'Origine: UE', 'crème ', 'lait', ' ', 'Origine: France', 'épaississants ', 'amidon transformé', 'pectine', 'arómes naturels', 'concentré de carottes ', 'dans variétés figue et ananas', 'sirop de SUcre caramélisé ', 'dans varieté rhubarbe', ""correcteurs d'acidité citrique"", 'citrates de sodium', 'ferments lactiques dont ', 'acide bifidobacterium ', 'Bifidus ActiRegularis', ' laiD']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E331 - Citrates de sodium']",['Lait'],['Non végétalien'],4,3.3 g,en quantité modérée,2.3 g,en quantité modérée,13.8 g,en quantité élevée,0.16 g,en faible quantité,?,,466,+412%,1950 kj(466 kcal),+406%,"3,3",+11%,"2,3",+18%,"14,1",+11%,"13,8",+10%,"4,1",+15%,"0,16",+33%,"0,064",+33%,8,+259%,C,+259%,56.7%,18.0%,11.6%,7.6%,4.8%,1.3%,91,['Sans arômes artificiels'],"['FR 32.464.040 CE', 'Villecomtal-sur-Arros (Gers, France)']",1 kg,,['étui carton de 8 yaourt'],,,['Lait origine France'],,http://www activia.fr,,,
1061,Olives vertes sans noyau à l'huile et aux herbes fraîches - non pasteurisées - bio-verde - 4.55kg,4000915103816,A,['Bio-verde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['France'],"['olives vertes ', '68%', 'huile de tournesol désodorisée', ""huile d'olive"", 'sel marin', 'herbes"" ', '1% - persil', 'basilic', 'romarin', 'thym', 'origan']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'DE-ÖKO-007']",,4.55 kg,['Biocoop'],"['Verre', 'Bocal']",,,['Union européenne'],,,,,
1062,Spreadable Original,5017838811314,,,,['France'],[],,,[],,,,,,,,,,?,,264,,1105 kj(264 kcal),,20,,"13,6",,"5,6",,"4,1",,"15,5",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
1063,Saucisson sec au Munster,26095066,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],,,[],,32 g,en quantité élevée,15 g,en quantité élevée,1.7 g,en faible quantité,4.9 g,en quantité élevée,?,,396,-2%,1657 kj(396 kcal),-2%,32,+1%,15,+22%,"1,7",-24%,"1,7",+24%,25,-9%,"4,9",+5%,"1,96",+5%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,
1064,Caramels au beurre salé - La Maison d'Armorine,3561770001125,,"[""La Maison d'Armorine""]",,['France'],[],,,[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,"12,5",,7,,72,,"47,4",,"4,3",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,,,
1065,J.L. Parsat Merlot Vin de Pays rouge la fontaine de 5 l,3394292405252,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,
1066,Huile végétale d'avocat,3580256111776,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', ""Huiles d'avocat""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
1067,Jagermeister - 0.7l,4067700019523,,['Jagermeister'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Boissons à base de végétaux']",['France'],['56 plantes'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,0.7 l,,['Verre'],,,,['Allemagne'],,,,
1068,Gyoza aux legumes - Picard,3270162001000,,['Picard'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais', 'Gyoza aux légumes']",['France'],[],,,[],,5.7 g,en quantité modérée,0.8 g,en faible quantité,5 g,en quantité modérée,1.1 g,en quantité modérée,?,,164,-2%,686 kj(164 kcal),-2%,"5,7",+17%,"0,8",-28%,24,+6%,5,+86%,"3,7",-47%,"1,1",+6%,"0,44",+6%,5,+148%,C,+148%,,,,,,,,,,,['Picard'],,,,,,,,,
1069,Pizza Prosciutto & funghi - Schär,8008698026151,C,['Schär'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage', 'en:Pizza with ham and mushrooms']",['France'],[],,,[],,8.4 g,en quantité modérée,4.5 g,en quantité modérée,1.3 g,en faible quantité,1.2 g,en quantité modérée,?,,217,-1%,908 kj(217 kcal),-2%,"8,4",+23%,"4,5",+32%,26,-5%,"1,3",-56%,"7,5",-29%,"1,2",-15%,"0,48",-15%,11,+39%,D,+39%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,
1070,Pomme de terre Raclette Tartiflette,3360190016364,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Huile olive,3760081691432,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Dark Praliné,5410976504511,,,,['France'],[],,,[],,,,,,,,,,?,,550,,2301 kj(550 kcal),,38,,20,,39,,36,,"8,2",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
1073,Baked Beans - By Sainsbury's,00358484,B,"[""By Sainsbury's""]","['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']","['France', 'Royaume-Uni']",[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,4.3 g,en faible quantité,0.53 g,en quantité modérée,?,,84,-8%,351 kj(84 kcal),-4%,"0,5",-13%,"0,1",-12%,13,+6%,"4,3",+75%,"4,6",-7%,"0,53",-31%,"0,212",-31%,1,,B,,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,,,,,,,,,,,,,
1074,Caramel au beurre salé,3601000000006,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],[],,,[],,31.6 g,en quantité élevée,18.6 g,en quantité élevée,51.7 g,en quantité élevée,0.4 g,en quantité modérée,?,,519,+26%,2171 kj(519 kcal),+26%,"31,6",+131%,"18,6",+109%,"52,6",-22%,"51,7",+2%,"4,8",+104%,"0,4",-59%,"0,16",-59%,27,+9%,E,+9%,,,,,,,,,,,,,,,,,,,,
1075,Pindakaas - Horizon,8712439011602,C,['Horizon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']","['France', 'Pays-Bas']",[],,,[],,49 g,en quantité élevée,7 g,en quantité élevée,5 g,en quantité modérée,0.32 g,en quantité modérée,?,,617,+3%,2582 kj(617 kcal),+3%,49,+2%,7,-16%,17,+18%,5,-21%,27,+10%,"0,32",-40%,"0,128",-40%,15,+36%,D,+36%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,['Agriculture non UE'],,,['Ekoplaza'],"['Bokaal', 'Glas']",,,,,,,,
1076,Confit de canard du sud ouest,3700028400420,,,,['France'],[],,,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,"18,8",,"7,26",,"3,31",,"0,14",,"25,7",,"1,44",,"0,576",,,,,,,,,,,,,,,,,,,,,,,,,
1077,Preparation a base d'huile d'olive saveur truffe noire - balme - 100ml,3760277850001,,['Balme'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles aromatisées']",['France'],"[""Huile d'olive vierge extra"", 'huile de pépins de raisins', 'arôme,truffe lyophilisée ', 'Tuber Melanosporum']",,,[],4,99.9 g,en quantité élevée,11.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,899,+3%,3761 kj(899 kcal),+3%,"99,9",+3%,"11,1",-9%,0,,0,,0,-100%,0,-100%,0,-100%,11,+29%,D,+29%,,,,,,,,,"['FR 64.545.008 CE', 'Urrugne (Pyrénées-Atlantiques, France)']",100ml,,['Bouteille'],,,,,,,,
1078,Vodka black,7610113003527,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Organic Baby Cereal (Multi Grain) - Hipp - 200g,9062300130581,,['Hipp'],"['Aliments pour bébé', 'Dès 6 mois']","['France', 'Singapour']",[],,,[],,,,,,,,,,?,,378,+294%,1582 kj(378 kcal),+336%,"3,9",+145%,"0,6",-7%,"69,7",+416%,1,-87%,"12,1",+465%,"0,05",-15%,"0,02",-15%,,,,,,,,,,,,,,200g,,,,,,,,,,
1080,Jambon cuit grillé,20232191,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],,,[],,3 g,en quantité modérée,1.1 g,en faible quantité,1 g,en faible quantité,2.4 g,en quantité élevée,?,,100,-24%,418 kj(100 kcal),-24%,3,-38%,"1,1",-40%,1,+49%,1,+68%,20,-5%,"2,4",+28%,"0,96",+28%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
1081,Pain d'épices - Tout feu tout frais - 350g,3700520500291,B,"['Tout feu tout frais', 'Brédial']","['Biscuits et gâteaux', ""Pains d'épices""]",['France'],"['farine de blé ', 'GLUTEN', 'miel', 'sucre', 'OEUF entier', 'LAIT', 'beurre ', 'LAIT', ""épices à pain d'épices"", 'bicarbonate de sodium']",['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,7 g,en quantité modérée,4.6 g,en quantité modérée,35 g,en quantité élevée,0.59 g,en quantité modérée,1499,+2%,?,,1499 kj(358 kcal),+6%,7,+101%,"4,6",+271%,67,-5%,35,-14%,"5,4",+24%,"0,59",+35%,"0,236",+35%,17,+21%,D,+21%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",350g,,['Barquette'],,,,['Bretagne'],https://www.toutfeu-toutfrais.com/pain-depices-350-promo-dlc-30012019-xml-423_422-353594.html,,,
1082,Bonbon sans sucres BERRY MIX - Halter,7610114042235,E,['Halter'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,239,-33%,1000 kj(239 kcal),-33%,0,-100%,0,-100%,97,+16%,"0,5",-99%,0,-100%,0,-100%,0,-100%,2,-86%,B,-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
1083,Wedel Czekolada Gorzka - Lotte,5901588017006,,['Lotte'],,['France'],[],,,[],,,,,,,,,,?,,502,,2100 kj(502 kcal),,32,,20,,39,,35,,"8,4",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1084,Aiguillette de poulet,3435660754739,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 44.003.002 CE', 'Ancenis (Loire-Atlantique, France)']",,,,,,,,,,,
1085,Jus de citron BIO de sicile - Casa Rinaldi,8006165408264,D,['Casa Rinaldi'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,?,,28,+4%,117 kj(28 kcal),+4%,0,-100%,0,-100%,"6,5",+82%,"1,7",+2%,"0,4",+19%,0,-100%,0,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Bio'],,,,,,,,,,,,
1086,Persil feuilles - Spigol,3102870040562,,['Spigol'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Biscuits étoile thé matcha citron - Belledonne,3760109053082,,['Belledonne'],,['France'],[],,,[],,,,,,,,,,?,,521,,2180 kj(521 kcal),,27,,12,,67,,29,,"7,2",,"0,35",,"0,14",,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,
1088,Eila laktoositon kevytmaitojuoma - Valio,6408430011681,D,['Valio'],"['Produits laitiers', 'Laits', 'Laits sans lactose']","['Finlande', 'France']",[],,,[],,1.5 g,en faible quantité,0.9 g,en faible quantité,3.1 g,en faible quantité,0.1 g,en faible quantité,?,,39,-34%,163 kj(39 kcal),-23%,"1,5",+2%,"0,9",-5%,"3,1",-37%,"3,1",-34%,"3,3",+2%,"0,1",-8%,"0,04",-8%,-2,-3697%,A,-3697%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Sans lactose'],,,,,,,,,,,,
1089,Madeleines,3193840719212,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],[],,,[],,21 g,en quantité élevée,13 g,en quantité élevée,30 g,en quantité élevée,0.72 g,en quantité modérée,?,,444,+1%,1858 kj(444 kcal),+1%,21,-8%,13,+88%,57,+8%,30,+9%,"5,9",+4%,"0,72",-11%,"0,288",-11%,24,+30%,E,+30%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,
1090,Miel d'acaia,3760175221309,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Lemon Plus Bio - Jus de citron,8016278001153,,,,['France'],[],,,[],,,,,,,,,,?,,28,,117 kj(28 kcal),,"0,1",,0,,"6,5",,"1,7",,"0,4",,0,,0,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1092,café dosette nespresso,8715342008684,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
1093,Arome naturel de vanille,3700105223218,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Confiture fruits sauvages,3286462500099,,,,['France'],[],,,[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,"0,1",,0,,61,,57,,"0,23",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
1095,Jambon superieur sans couenne,2273695024530,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],,,[],,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,111,-16%,464 kj(111 kcal),-15%,3,-38%,"1,2",-35%,1,+49%,"0,5",-16%,20,-5%,"2,1",+12%,"0,84",+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Viande Française', 'Viande Porcine Française', 'Qualité supérieure']","['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,
1096,Rote bete saft - Dm Bio,4010355582997,,"['Dm Bio', 'DmBio']",,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,42,,176 kj(42 kcal),,"0,5",,"0,1",,"9,2",,"9,2",,1,,"0,13",,"0,052",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-007', 'en:EG-Öko-Verordnung', 'en:FSC', 'Fabriqué en Allemagne']",['FSC-C081801'],,,,,,,,,,,
1097,Le jambon zero nitrite - Fleury Michon,2302734025136,,['Fleury Michon'],,['France'],[],,,[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"2,8",,1,,"0,7",,"0,7",,22,,"1,9",,"0,76",,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,
1098,Pissaladière niçoise,3257630006378,,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', ""Tartes à l'oignon""]",['France'],[],,,[],,12 g,en quantité modérée,1.4 g,en faible quantité,6.5 g,en quantité modérée,1.5 g,en quantité modérée,?,,238,-5%,996 kj(238 kcal),-4%,12,-11%,"1,4",-61%,26,+3%,"6,5",+39%,"5,4",+4%,"1,5",+10%,"0,6",+10%,7,-33%,C,-33%,,,,,,,,,,,,,,,,,,,,
1099,Gratin raclette,0209148019688,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Gratin raclette,0209148019688,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Le monde du café,3266191015729,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,
1102,Beignets à la pomme sans huile de palme - Brioche Pasquier,3187670024011,,['Brioche Pasquier'],"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],,,['Sans huile de palme'],,8.7 g,en quantité modérée,1.2 g,en faible quantité,12 g,en quantité modérée,0.69 g,en quantité modérée,?,,282,-21%,1180 kj(282 kcal),-21%,"8,7",-45%,"1,2",-65%,41,-9%,12,-26%,"6,1",-4%,"0,69",-6%,"0,276",-6%,6,-50%,C,-50%,,,,,,,,['en:palm-oil-free'],,,,,,Beignets fourrés à la purée de pomme,,,,,,
1103,Yes!,7613036703864,,,,['France'],[],,,[],,,,,,,,,,?,,539,,2255 kj(539 kcal),,38,,"5,8",,"23,7",,14,,18,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1104,Emental français L.T PAST. 29%,2890525022834,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Milk chocolate - Lidl,20639327,E,['Lidl'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],"['cukr', 'kakaová hmota', 'kakaové máslo', 'sušené plnotučné mléko', 'sušená syrovátka', 'sušené odstředěné mléko', 'mléčný tuk', 'emulgátory: sójový lecitin', 'polyglycerylpolyricinoleát', ' aroma', ' Může obsahovat stopy arašídů', 'skořápkových plodů a obilovin obsahujících lepek']","[""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,['Non végétalien'],4,27 g,en quantité élevée,17 g,en quantité élevée,61 g,en quantité élevée,0.21 g,en faible quantité,?,,515,-7%,2155 kj(515 kcal),-7%,27,-22%,17,-13%,62,+19%,61,+24%,"4,7",-34%,"0,21",-10%,"0,084",-10%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,Mléčná čokoláda.,,,,,,
1106,Chá verde - Pingo Doce,5601009962549,,['Pingo Doce'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Rosemary ans sea salt flatbreads,0612322000776,,,,['France'],[],,,[],,,,,,,,,,?,,430,,1799 kj(430 kcal),,"14,2",,"5,6",,63,,"2,8",,9,,"1,8",,"0,72",,,,,,,,,,,,,['en:gluten-free'],,,,"['card-box', 'wrapper', 'hdpe film-wrapper']",,,,,,,,
1108,Rognon de bœuf,20331221,,,,['France'],[],,,[],,,,,,,,,,?,,88,,368 kj(88 kcal),,"2,7",,"0,5",,"0,8",,"0,8",,15,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
1109,Vol au vent - Lidl,20437855,,['Lidl'],,['France'],[],,,[],,,,,,,,,,?,,123,,515 kj(123 kcal),,"8,4",,"4,7",,"4,9",,"0,7",,"6,5",,"1,2",,"0,48",,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,
1110,Farine d'épautre complète type 150 - Moulin des Moines - 500g,3347430001823,B,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', ""Farines d'épeautre"", ""Farines d'épeautre T150""]",['France'],[],,,[],,2.55 g,en faible quantité,0.34 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,?,,332,-4%,1389 kj(332 kcal),-4%,"2,55",+24%,"0,34",+16%,64,-4%,"0,8",-53%,"14,2",+15%,"0,01",-25%,"0,004",-25%,-6,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,500 g,,,,,,,,,,
1111,Maybelline Fit Me Foundation (310) - 30g,0041554238761,,['Maybelline'],,"['France', 'Singapour']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,30 g,,,,,,,,,,
1112,Master Salt,5283003301212,,,,['France'],[],,,[],,,,,,,,,,?,,552,,2310 kj(552 kcal),,35,,16,,51,,1,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Beignets chocolat -,3070112540005,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],"['Farine de blé - Huiles végétales ', 'colza', 'tournesol', ""-Sucre - CEufs Eau - Cacao maigre en poudre 1,5 % - Levure - Jaunes d'ceufs-Lactosérum en poudre "", 'lait', ' Lactose Emulsifiants: E471', 'E472', 'lécithines de tournesol-Sel-Gluten de blé - Noisettes 0,5% - Aromes naturels Colorant:caroténoides']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472 - Esters d'acides gras alimentaires"", 'E322i - Lécithine', 'E160 - Caroténoïdes']","['Gluten', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",4,18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,?,,385,+8%,1611 kj(385 kcal),+8%,18,+14%,2,-42%,47,+4%,19,+17%,"6,5",+3%,"0,71",-4%,"0,284",-4%,12,0%,D,0%,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,
1114,Le yaourt nature,3760228060060,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,,,,,,
1115,Macaron coco,3307930102000,D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons', 'Macarons à la noix de coco']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,
1116,0088,0088,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Carottes,3000029037879,,,,['France'],[],,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,"0,6",,"0,5",,"6,6",,"6,6",,"0,84",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
1118,Médaillons de porc avec tagliatelles - Forster - 400g,4042115083529,,['Forster'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Porc']","['France', 'Suisse']","['Pâtes alimentaires cuites 43% ', 'eau', 'semoule de blé dur', 'sel', 'huile de colza', 'sauce à la crème et au poivre 38% ', 'crème 48%', 'eau', 'beurre', ""mélange d'épices "", 'condiments', 'maltodextrine', 'sel', 'épices ', 'contient du céleri', 'poudre de caramel', 'sucre', 'poudre de tomate', 'dextrose', 'acidifiant : acide citrique', 'amidon de mais cireux', 'farine de blé', 'poivre ', 'verte', 'noir', 'blanc', ' et baies roses 1%', ""poudre d'oignon"", 'épaississant: gomme xanthane', 'gomme de guar', ' poudre de jus de citron ', 'sirop de glucose', 'jus de citron concentré', 'dextrose', 'arôme naturel', 'poivrons', 'produit à base de viande de porc rôtis', 'assaisonnés 19% ', 'viande de porc 97% ', 'UE', 'sel', 'dextrose', 'maltodextrine', 'sirop de glucose', ' ', 'Peut contenir des traces d’œufs et soja', ' Pasteurisé']","['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Céleri', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,9 g,en quantité modérée,5 g,en quantité modérée,1 g,en faible quantité,0.85 g,en quantité modérée,781,+1%,186,-3%,781 kj(186 kcal),-1%,9,-20%,5,+16%,18,+1920%,1,+63%,8,-60%,"0,85",-55%,"0,34",-55%,5,-55%,C,-55%,,,,,,,,,,400 g,['Denner'],['Barquette'],,,,['Allemafne'],http://www.forster.de,,,
