,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,palm_ingredients,generic_name,link,manufacturing,traceability_code,ingredients_origins,brand_owner,origin_detail,producer_info
1045,Tpaxavac,5202336021796,,,['France'],[],[],,?,18,75 kj(18 kcal),"3,9","1,8","29,2","0,5","6,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Manouri - Thessaasl - 200g,5202336055685,200 g,['Thessaasl'],['France'],"['KOMMATI TYPI Ano riAETEPlQMENO AironPOBElO rAAA nPOETATEYOMENHE ONOMAEIAE nPOEAEYEHE ', 'n', 'o', 'n', ' EYEKEYAEMENO nPOETATEYTlKH ATMOEOAIPA EAAXIETO Alnoz Enl ±HPOY: 70%', ' ME-rlETH yrPAElA: 60%', ' EYETATIKA: Tupéyaìo KPÉpa yéìaKtos ané alyonp6PE10 yéìa ', 'npoéìaons e€ooaìias', 'aìétl', ' ', 'IEPIÉXEI ìaKté', 'n']",[],,?,633,2648 kj(633 kcal),"47,5","34,7","1,4","0,7","7,4","2,1","0,84",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Manouri']",,,47.5 g,en quantité élevée,34.7 g,en quantité élevée,0.7 g,en faible quantité,2.1 g,en quantité élevée,,+121%,+123%,+101%,+124%,+73%,+99%,-54%,-10%,-10%,22,+28%,E,+28%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['AOP'],,,,,,,,,,
1047,Violife slices with herbs - viotros - 200g,5202390015366,200 g,['Viotros'],"['France', 'Royaume-Uni']",[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,285,1192 kj(285 kcal),23,21,20,0,0,"2,3","0,92",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts du fromage']",,,23 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,+4%,+4%,+5%,+28%,+20%,-100%,-100%,+33%,+33%,23,+25%,E,+25%,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose', 'en:palm-oil-free']",,,Slices of vegan cheese,,,,,,,
1048,Violife for pizza,5202390015410,,['Violife'],['France'],"['eau', 'huile de noix de coco ', '21%', 'amidon,amidon modifié', 'sel de mer', 'arômes végétalien', ""extrait d'olive"", 'vitamine B12', 'couleur : b-Carotene']","['Végétalien', 'Végétarien']",4,?,270,1130 kj(270 kcal),21,19,21,0,0,"2,2","0,88",,,,['E14XX - Amidons modifiés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,
1049,Mozzarella flavour - Violife,5202390015991,,['Violife'],['France'],"['Eau', 'huile de coco', 'amidon modifié', 'amidon', 'sel de mer', ""mozzarella arômes végétalien extrait d'olive"", 'vitamine b12', 'couleur: b-carotene']","['Végétalien', 'Végétarien']",4,?,285,1192 kj(285 kcal),23,21,20,0,0,"2,3","0,92",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['E14XX - Amidons modifiés'],,23 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,-13%,-13%,-14%,+18%,+1553%,-100%,-100%,+77%,+77%,23,+68%,E,+68%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,
1050,Panetto Per Pizza 400G Violife - Alternativa Al Formaggio - 400g,5202390016141,400 g,['Violife'],['France'],"['Eau', 'huile de noix de coco', 'amidon', 'amidon modifié', 'sel de mer', 'mozzarella', 'arômes végétaliens', ""extrait D'olive"", 'vitamine B12', 'b-carotène']",['Non végétalien'],4,?,270,1130 kj(270 kcal),21,19,21,0,0,"1,7","0,68",,,,['E14XX - Amidons modifiés'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Point Vert', 'Sans conservateurs']",,,,,,,,,,
1051,Violife 200 G,5202390016554,200 g,['Violife'],['France'],[],"['Végétalien', 'Végétarien']",,?,285,1192 kj(285 kcal),23,21,20,0,0,"2,3","0,92",,['Plastique'],['Fromage végétal'],,,23 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,,,,,,,,,,23,,E,,,,,,,,,"['Végétarien', 'Végétalien']",['un monde vegan'],,,,,,['Grèce'],,,
1052,Mature cheddar flavour - Violife,5202390017599,,['Violife'],['France'],"[""Préparation alimentaire a base d'huile végétale Ingrédlents: Eau"", 'huile de noix de coco ', '2396', 'emidon modifié', ' amidon se! de mer', ""êrome végétalien de Cheddar eerect d'olive Poids net"", ""'itemine BI 2"", ' couleur: b-Caroténe']","['Végétalien', 'Végétarien']",,?,285,1192 kj(285 kcal),23,21,20,0,0,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,
1053,Bloque Vegano Sabor Queso Azul 150GR Bio - Violife,5202390017971,,['Violife'],['France'],"['Eau', 'huile de noix de coco ', '1 6%', 'farine de riz', 'amidon modifié', 'amidon', 'sel de mer', 'noyau de tournesol organique broyé', 'extrait de chicorée', ' arômes', ""extrait d'olive"", 'épaississant: carraghénane', 'Température de stockage: +20C 80C vitamine BI 2 Poids 150g e Utiiisez par', "" Voir sur l' emballage""]",[],4,?,215,900 kj(215 kcal),16,15,16,"0,4",2,"2,4","0,96",,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1054,Feta Grecque Aop Mini Dés 19 % - HOTOS,5202425000282,,['HOTOS'],['France'],"['formaggio in salamoia D', 'O', 'P', ' con latte di pecc capra', ' REDIENTI: Latte di e Capra ', '30%', 'Pastorizzato', 'Sal% Caglio,fermenti lattici', 'UMIDITA MASSIMA56% 1 MIN', ' GRASSI IN MATTERIA SECCA 43%', ' {SERVARE IN FRIGO DA +2 a +6 OCI DA CONSUMARSI ENTRO: Vedidata confezione', ' ', 'DOTTO E CONFEZIONATO HOTos S', 'A', '10 VLACHAVA', '40011 ', 'FALANI - [ARISA', 'GRECIA +30 2410941815', 'FAR: +302410941549', 'www', 'hotos', 'gr eek FETA cheese P', 'D', 'O', ' from sheepTs & goatts mill brine', ' CHEESE PDO - INGREDIENTS', "" Pasteurized sheep's "", '70%', "" & goat's "", '30%', ' milk', 'sait', 're tic culture', 'calcium chloride', ' MAXIMUM HUMIDITY 56% 1 MINIMUM FAT IN DRY MATTER 43% REFRIGERATED AT+2 -+60 BEST BEFORE: ON PACK', ' ', 'DUCED & PACKED BY: HOTOS S', 'A', '10 VLACHAVASTR', '40011 FALANI - LARISA', 'GREECE : +302410 941815', 'FAX: +30 2410 941549', 'info@hotos', 'gr I www', 'hotos', ""gr 'Pi OETA arré AtyorrpéPE10 rdÀa OE dÀpq"", ' NHNIKO TYPI OETA n', 'o', 'n', ' EYETATIKA: ', '70%', ' & ', '30%', ' ydÀa', 'Id', 'KantÉpyEta', 'XÀUPlObXO aoPÉ0T10', ' rtETH 56% 1 EAAXIETO 43% 1 OEPMOKPAEIA +2 - +60 C KATA nPOTlMHEH riPlN A110: & Ano TH: xnroz ABEE 10 BAAXABA', '40011 - N: +30 2410 941815', 'FAX: +30 2410 941549', 'EMAIL: info@hotos', 'gr I www', 'hotos', 'gr']",[],,?,267,1117 kj(267 kcal),22,15,"0,2","0,2","16,8","2,24","0,896",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages de brebis', 'Fetan']",,['Lait'],22 g,en quantité élevée,15 g,en quantité élevée,0.2 g,en faible quantité,2.24 g,en quantité élevée,,-6%,-5%,-6%,-3%,-75%,-38%,+4%,-5%,-5%,17,-1%,D,-1%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,
1055,Original Feta Cheese Greek Feta in Brine -,5202425000626,,,['France'],[],[],,?,267,1117 kj(267 kcal),22,"15,6","0,2","0,2","16,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['AOP'],,,,,,,,,,
1056,Olives vertes grecques farcies au poivron rouge,5202429105020,,,['France'],[],[],,?,130,544 kj(130 kcal),"12,8","1,4","2,1","0,5","1,4","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Raw almond,5202576250260,,,['France'],[],[],,?,588,2460 kj(588 kcal),49,"2,6","7,3","2,5","23,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Choco Fine Frozen - Chocotime - 120g,5202659381058,120 g,['Chocotime'],['France'],"['Chocolat au lait ', '50 %', ' : Sucre', 'beurre de cacao', 'lait en poudre', 'lactosérum en poudre ', 'lait', 'masse de cacao', 'émulsifiants : E476', 'lécithine de soja', 'vanilline', ' Fourrage ', '50 %', ' : sucre', 'lait entier en poudre', 'graisses végétales ', 'palmiste', 'oléine de palme', 'lactose ', 'lait', 'lécithine de soja', 'vanilline', 'céréales croustillantes ', '5 %', ' ', 'farine de blé', 'gluten de blé']","['Huile de palme', 'Non végétalien']",4,?,?,,?,24,57,56,"4,2","0,12","0,048",E,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons', 'Bonbons de chocolat au lait']","[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E322i - Lécithine']","['Gluten', 'Lait', 'Soja']",,,24 g,en quantité élevée,56 g,en quantité élevée,0.12 g,en faible quantité,,,,,+30%,+6%,+11%,-33%,-42%,-42%,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Action'],"['Huile de palme', 'Oléïne de palme']",Petits oeufs en chocolat au lait avec un fourrage aromatisé vanille et des céréales croustillantes,,['Grèce'],,,,,
1059,loukoum -,5202713101042,,,['France'],[],[],,?,171,715 kj(171 kcal),0,0,43,38,0,0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,0 g,en faible quantité,0 g,en faible quantité,38 g,en quantité élevée,0 g,en faible quantité,,-52%,-52%,-100%,-100%,-47%,-40%,-100%,-100%,-100%,10,-25%,C,-25%,,,,,,,,,,,,,,,,,,
1060,Loukoumi - Vasaki,5202713102049,,['Vasaki'],['France'],"['Sugar', 'water', 'syrup of starch', 'Corn Starch ', 'Mix Nuts {Selected from: walnut - almond - peanut ', '2', '77%', ' } ', 'Modulator of acidity : citric acid It may contain jots of : eggs', 'Arachis peanuts ', 'soya', 'pistachio', 'sesame', 'mill sulphurus and Other nuts']",['Non végétalien'],,?,350,1464 kj(350 kcal),"1,5","0,2","83,9","74,9","0,6",0,0,,,,,"['Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Tarama,5202722030067,,,['France'],[],[],,?,463,1937 kj(463 kcal),"48,22","7,76","5,5","0,9","1,73","2,49","0,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Mastiha chewing gum - ELMA - 100g,5202772236525,100g,['ELMA'],['France'],[],[],,?,?,,?,,?,,?,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
1063,Mastiha chewin gum cannelle,5202772236822,,,['France'],[],[],,?,168,703 kj(168 kcal),0,0,0,0,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Pasteli sesame bar,5202831501809,,,['France'],[],[],,?,471,1971 kj(471 kcal),28,"5,7",40,39,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Authentique Feta - Roussas - 200g,5202853102015,200 g,['Roussas'],['France'],"['Lait de brebis pasteurisé ', '70% min', 'lait de chèvre pasteurisé ', '30% max', 'sel', 'ferments ', 'dont lait', 'coagulant']","['Non végétalien', 'Végétarien']",3,1180,?,1180 kj(282 kcal),"24,2",15,"0,2","< 0,1",16,3,"1,2",D,['Plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages de Grèce', 'Fromages pasteurisés', 'Fromages de brebis', 'Fetan']",,['Lait'],24.2 g,en quantité élevée,15 g,en quantité élevée,0.1 g,en faible quantité,3 g,en quantité élevée,+2%,,0%,+3%,-3%,-75%,-69%,-1%,+27%,+27%,18,+5%,D,+5%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,"['Végétarien', 'AOP', 'AgroCert']",['Simply Market'],,,,['Grèce'],['GR 35.67 EC'],,,,
1066,Tzatziki -,5202872027023,,,['France'],[],[],,?,138,577 kj(138 kcal),12,"4,5","2,4","2,2",4,1,"0,4",,,"['Epicerie', 'Sauces', 'Tzatzíki']",,,12 g,en quantité modérée,4.5 g,en quantité modérée,2.2 g,en faible quantité,1 g,en quantité modérée,,-1%,-0%,+8%,+59%,-37%,-19%,-19%,+15%,+15%,7,+47%,C,+47%,,,,,,,,,,,,,,,,,,
1067,Kiwi - Kavala Coop,5202985500116,,['Kavala Coop'],['France'],[],[],,?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",,,,,,,,,,,,,,,,,,,,,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,,,,,,,,,,,
1068,Cookie 175KG Chocolate Chip,5203064001159,,,['France'],[],[],,?,499,2088 kj(499 kcal),"25,2","13,4","60,6","37,1",6,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,"Demi-Pêches Jaunes au sirop léger - Almme Growers - 822g (480g net égoutté), 850ml",5203347000299,"822 g (480 g net égoutté), 850 ml",['Almme Growers'],['France'],"['Demi-pêches 58,54 %', 'eau 33,16 %', 'sucre 4,90 %', 'sirop de glucose-fructose 3,30 %', 'acidifiant : acide citrique 0,1 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,250,1046 kj(250 kcal),"0,1","0,1",14,14,"0,5",0,0,B,"['Boîte', 'Conserve', 'Métal', 'Couvercle ouverture facile']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Pêches au sirop']",['E330 - Acide citrique'],,0.1 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,,+268%,+280%,-12%,+312%,-7%,+2%,+23%,-100%,-100%,1,,B,,67.0%,17.7%,7.3%,4.5%,3.5%,0.0%,77,"['Point Vert', 'Eco-Emballages']",['Banque alimentaire'],,Fruits au sirop,http://www.almme.gr/,"['Almme - Kouloura Imathias - 59100 Véria', 'Imathie', 'Macédoine-Centrale', 'Grèce']",,,,,
1070,Demi-peche jaune au sirop - Almme,5203347000619,,['Almme'],['France'],[],[],,?,250,1046 kj(250 kcal),"0,1",0,14,14,"0,5","0,05","0,02",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Pêches au sirop']",,,0.1 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.05 g,en faible quantité,,+268%,+280%,-12%,-100%,-7%,+2%,+23%,+129%,+129%,0,,B,,67.0%,17.7%,7.3%,4.5%,3.5%,0.0%,77,,,,,,,,,,,
1071,Feta pimentée,5203379005484,,,['France'],[],[],,?,203,849 kj(203 kcal),25,7,"5,2","0,5",10,"2,2","0,88",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages de brebis', 'Fetan']",,,25 g,en quantité élevée,7 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,,-28%,-28%,+7%,-55%,+560%,+55%,-38%,-7%,-7%,12,-30%,D,-30%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,
1072,Huile d olive olympia - Optima,5203618001642,,['Optima'],['France'],"['natives ', ' OLIVENOL griechischen Koroneiki- vierge extra issue olives Koroneiki fruchtig / fruité e Optima — riechenland / Grèce']",[],,?,828,3464 kj(828 kcal),92,13,"0,5","0,5","0,5","0,01","0,004",,,['Matières grasses'],,,92 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,,+3%,+3%,+4%,-43%,+123%,+209%,+182%,-95%,-95%,11,-3%,D,-3%,,,,,,,,['Bio'],,,,,,,,,,
1073,Huile d'olive vierge extra biologique - Evlogia,5203817200099,,['Evlogia'],['France'],"['ACIDITÉ< 0', ""30/'0 PEROXYDESs20mEq02/Kg CIRESs 150mg/Kg • Absorption ultraviolette,' al K232s2"", '5 K270sO', '2 conserver à un endroit frais']",[],,?,824,3448 kj(824 kcal),"91,6","12,6",0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,91.6 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-10%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Bio'],,,,,,,,,,
1074,Chopped Tomatoes in tomato juice,5203912822004,,,['France'],[],[],,?,26,109 kj(26 kcal),"0,1","0,1","4,8","4,4",1,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Miel de thym sauvage - Sitia Crète - 250g,5203922102004,250 g,['Sitia Crète'],['France'],['Miel de thym'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,?,,?,,?,,?,,,B,"['Verre', 'Bocal']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels liquides', 'Miels de thym']",,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
1076,Fruit for snack,5203927598987,,,['France'],[],[],,?,370,1548 kj(370 kcal),0,0,91,74,0,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Sdoukos Figs Partially Rehydrated - Fruit d or,5203927999920,,['Fruit d or'],['France'],[],[],,?,249,1042 kj(249 kcal),"0,9","0,1",64,48,"3,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Dried apricots,5203927999937,,,['France'],[],[],,?,241,1008 kj(241 kcal),"0,5",0,63,53,"3,4","0,03","0,012",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,0.5 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.03 g,en faible quantité,,-8%,-8%,+3%,-100%,+8%,+17%,+10%,-15%,-15%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,
1079,Orino Natural Sesame Bar With Honey,5203937002177,,,['France'],"['SESAME 55%', 'SIROP DE GLUCOSE ', 'DERIVÉ DU MAÏS', 'SUCRE', 'MIEL 59%', 'AIA CO 55% SCIROPPO DI GLUCOSIO ', 'DERIVATO DAL MAIS', 'UTI DI']",[],,?,538,2251 kj(538 kcal),31,"4,8","50,8","27,6","11,7","0,15","0,06",,,,,['Graines de sésame'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Green delight - cretamel - 1,5203937007349,1,['Cretamel'],['France'],[],[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Délices Grecs aux Amandes- Loukoums - Cretamel - 300g e,5203937007721,300 g e,['Cretamel'],"['France', 'Grèce']","['Sucre', 'sirop de glucose', 'eau', 'amidon de maïs', 'amandes 5 %', 'acidifiant : acide citrque', ' colorant : E100', 'arôme']",[],4,1542,?,1542 kj(369 kcal),"1,7",0,"86,4","70,6","0,6","0,01","0,004",,"['Boîte', 'Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",['E100 - Curcumine'],['Fruits à coque'],1.7 g,en faible quantité,0 g,en faible quantité,70.6 g,en quantité élevée,0.01 g,en faible quantité,,,+4%,-14%,-100%,+6%,+12%,-38%,-95%,-95%,9,-33%,C,-33%,,,,,,,,['Point Vert'],,,Loukoums - Greek Delights Almond,,['Grèce'],,,,,
1082,Kantaifi - Cretamel,5203937008674,,['Cretamel'],"['France', 'Espagne']",[],[],,?,377,1577 kj(377 kcal),"12,5","5,8","62,1","23,9","4,1","0,06","0,024",,,"['Desserts', 'Biscuits et gâteaux']",,,12.5 g,en quantité modérée,5.8 g,en quantité élevée,23.9 g,en quantité élevée,0.06 g,en faible quantité,,+113%,+114%,+84%,+61%,+162%,+30%,+30%,-55%,-55%,14,+107%,D,+107%,,,,,,,,,,,,,,,,,,
1083,Baklavas - Cretamel,5203937008681,,['Cretamel'],['France'],[],[],,?,374,1565 kj(374 kcal),"8,4","3,6","70,5",21,"4,1","0,1","0,04",D,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,,8.4 g,en quantité modérée,3.6 g,en quantité modérée,21 g,en quantité élevée,0.1 g,en faible quantité,,-5%,-6%,-39%,-5%,+17%,-31%,-29%,-62%,-62%,11,-26%,D,-26%,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,,,,,,,,,,,
1084,Huile d'olive -,5204401560063,,,['France'],[],[],,?,82,343 kj(82 kcal),"9,3","1,3",0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
1085,Extra virgin olive oil - Creta verde - 1l,5204472400114,1 l,['Creta verde'],['France'],[],[],,?,828,3464 kj(828 kcal),92,13,0,0,0,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,,,,-3%,-3%,-4%,-7%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['AOP'],,,,,,,['Grèce'],,,
1086,Vinaigre balsamique de Crète - Minos - 500ml,5204783770517,500 ml,['Minos'],['France'],[],[],,?,?,,?,,?,,?,,,A,['Verre'],"['Vinaigres', 'Vinaigres balsamiques']",,,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Sans conservateurs'],,,,,,,['Crète'],,,
1087,Poivrons farcis au fromage - Ail Ail Ail - 130g PNE,5205270204119,130 g PNE,['Ail Ail Ail'],['France'],"['Huile de tournesol 48%', 'poivrons rouges 31 % ', ""poivrons rouges d'Afrique"", 'sucre', 'vinaigre', 'sel', 'affermissant: chlorure de calcium', 'garniture au fromage ', 'fromage a pâte molle', 'Feta', 'herbes', 'épices', 'eau', 'stabilisant : amidon modifié de pomme de terre', ""régulateur d'acidité:  acide lactique""]",['Non végétalien'],4,?,398,1665 kj(398 kcal),38,"8,6","8,9","8,4","3,2","0,5","0,2",,"['Pot', 'Verre', 'Couvercle', 'Metal']","['Plats préparés', 'Légumes préparés', 'Poivrons farcis']","['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E14XX - Amidons modifiés', 'E270 - Acide lactique']",['Lait'],38 g,en quantité élevée,8.6 g,en quantité élevée,8.4 g,en quantité modérée,0.5 g,en quantité modérée,,+133%,+135%,+225%,+154%,+24%,+146%,-17%,-55%,-55%,15,+147%,D,+147%,,,,,,,,,"['Carrefour', 'Leclerc', 'Auchan', 'Intermarché', 'Super U']",,,http://ailailail.fr/home/932-poivronsfarcisfromage-5205270204119.html,['France'],,['Europe'],,,
1088,Pesto crunchy au parmesan - Ail ail ail - 230g,5205270204126,230 g,['Ail ail ail'],['France'],"['huile de tournesol 46%', 'basilic 21%', 'parme%n ', 'lait', ' ', '13%', 'noix de cajou 13%', 'flocons de pomme de terre', 'sucre', 'ail', 'pignons de pin 0,11%', 'régulateur diacidité : acide lactique,']",['Non végétalien'],,?,500,2092 kj(500 kcal),43,"7,1",22,"3,7","6,6","1,2","0,48",,,,['E270 - Acide lactique'],"['Lait', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
