,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
923,Confiture de tamarin,3328382887321,['France'],[],[],?,266,"0,3","65,3","0,3",1113 kj(266 kcal),"0,29","62,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Brioches au taro congelées,3364699117218,['France'],[],[],?,244,"3,5","48,8","4,3",1021 kj(244 kcal),0,"18,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,NONI,3417871100895,['France'],[],[],?,23,0,"0,8","0,45",96 kj(23 kcal),0,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
926,Meringue Cookies,0791091700039,['France'],[],[],?,0,0,90,0,0 kj(0 kcal),0,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
927,Double IPA,0055480008510,['France'],[],[],?,?,?,?,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'en:India Pale Ale']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,
928,soja coco,13737919,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,3760049316261,3760049316261,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Miel de Tilleul de Caudéran -,3811912180028,['France'],[],[],?,?,?,?,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
931,Organic Toaster Pastries - Strawberry with Frosting - Annie's,0013562002320,"['France', 'États-Unis']","['Whole Wheat Flour*', 'Invert Sugar*', 'Water', 'Sugar*', 'Palm Oil*', 'Powdered Sugar*', 'Honey*', 'Wheat Flour*', 'Dried Apples*', 'Non Fat Dry Milk*', 'Cornstarch*', 'Lemon Juice Concentrate*', 'Salt', 'Calcium Carbonate', 'Strawberry Puree Concentrate*', 'Natural Flavor*', 'Rice Flour*', 'Baking Soda', 'Cream of Tartar', 'Carrot', 'Apple and Blackcurrant Juice ', 'Color', '*', 'Tapioca Starch*', 'Whey Protein Concentrate*', 'Sodium Alginate ', 'Thickener', 'Calcium Citrate', 'Sunflower Oil*', 'Sodium Citrate', 'Red Radish Juice ', 'Color', '*', ' *ORGANIC']","['Huile de palme', 'Non végétalien']",?,346,"7,69","65,38","5,77",1448 kj(346 kcal),"3,85","36,54","0,578","0,231",,"['Biscuits et gâteaux', 'Pâtisseries']",7.69 g,en quantité modérée,3.85 g,en quantité modérée,36.5 g,en quantité élevée,0.578 g,en quantité modérée,,-8%,-8%,-54%,-53%,+36%,+25%,+8%,+39%,+39%,13,-24%,D,-24%,,,,,,,,,,"[""Annie's""]",['Bio'],,,"['E500ii - Carbonate acide de sodium', 'E336i - Tartrate monopotassique', 'E401 - Alginate de sodium']",4,,Best,['Gluten'],,,,
932,Pain fibres  300g - 300g,2061228949685,['France'],[],[],?,241,"1,3",48,"7,5",1008 kj(241 kcal),"0,2","0,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,
933,Sauce aneth - Polonia,3760013720155,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Polonia'],"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
934,Miel de Fleurs - Rucher des Trois Frontières,8333363563434,['France'],[],[],?,?,?,?,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['Rucher des Trois Frontières'],,,,,,"['France', 'Lorraine']",,,,,,
935,Pâte à tartiner miel noisette - Les Ruchers de la Courcelle - 500g,3770011150212,['France'],"['70% miel bio', '30% purée noisettes bio']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",,,,,,,,,,,,,,,,,,,,,,,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,500 g,,['Les Ruchers de la Courcelle'],,,,,3,,,,,,,
936,Muscletech,17638487,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Muscletech'],,,,,,,,,,,,
937,Pavé,0260083009844,['France'],[],[],?,248,"1,1","48,8","9,3",1038 kj(248 kcal),"0,3","1,5","1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Breakfast Muffin Banana Honey,5060406461152,['France'],[],[],?,371,19,34,12,1552 kj(371 kcal),"3,3",14,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Le gruyère switzerland,2409784006006,['France'],[],[],?,392,32,0,27,1640 kj(392 kcal),0,0,"1,5","0,6",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",32 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,-2%,-2%,-2%,-100%,-100%,-100%,+0%,+3%,+3%,5,-65%,C,-65%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['Bio', 'Bio européen', 'CH-BIO-006', 'Fabriqué en Suisse']",,,,,,,,,,,
940,Passata Di Pomodoro Basil - Piacelli,9002859077333,['France'],[],[],?,28,"0,4","3,8","1,6",117 kj(28 kcal),0,"3,8","0,5","0,2",,['it:Passata di pomodoro'],0.4 g,en faible quantité,0 g,en faible quantité,3.8 g,en faible quantité,0.5 g,en quantité modérée,,,,,,,,,,,2,,B,,,,,,,,,,,['Piacelli'],,,,,,,,,,,,
941,Confiture pomme au calvados - Les Comtes de Provence - 340g,3324498002542,['France'],"['Pomme', 'sucre de canne', 'calvados Busnel', 'jus concentré de citron', 'gélifiant : pectine de fruits']",[],?,234,0,55,0,979 kj(234 kcal),0,55,"0,02","0,008",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pommes']",0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.02 g,en faible quantité,,+4%,+4%,-100%,-100%,+3%,+7%,-100%,+2%,+2%,9,-6%,C,-6%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,340 g,"['Pot', 'Verre']",['Les Comtes de Provence'],['Cuisiné en France'],,,['E440 - Pectines'],4,,Confiture pomme au calvados,,,,,"['Peyruis', 'France', 'Provence']"
942,2040342006634,2040342006634,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Mini bagels aperitifs - Franprix,3263856731710,['France'],[],[],?,307,18,28,"8,3",1284 kj(307 kcal),11,"6,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,['Franprix'],,,,,,,,,,
944,Infusion tilleul - Transgourmet,3554983009774,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Transgourmet'],,,,,,,,,,,,
945,Poitrine Fumée,0291891020738,['France'],[],[],?,230,18,"2,27","14,9",962 kj(230 kcal),"6,9","0,56","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,OMI,8809299409578,['France'],[],[],?,40,0,"9,4",0,167 kj(40 kcal),0,"6,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Joghurt,4337185263590,['France'],[],[],?,149,"4,7",21,"4,6",623 kj(149 kcal),"2,1",16,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Haldiram Gulab Jamun - Haldiram's,8904063210012,['France'],[],[],?,316,8,55,6,1322 kj(316 kcal),5,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Haldiram's""]",,,,,,,,,,,,
949,Gingembre,2600121029911,['France'],[],[],?,374,0,93,0,1565 kj(374 kcal),0,75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Saumon fumé,3250390308287,['France'],[],[],?,?,?,?,?,,,,,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,
951,Arachides sucrees,3449711002045,['France'],[],[],?,512,"26,3","50,2","15,7",2142 kj(512 kcal),"3,4","47,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 13210N', 'Marseille 10e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,
952,Noix de saint jacques,3325096050102,['France'],[],[],?,91,"0,8","4,7","16,3",381 kj(91 kcal),"0,5","0,9","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,choucroute cuisinée,2433186016400,['France'],[],[],?,40,"2,9","2,2","0,5",167 kj(40 kcal),"0,3","0,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Poulet fermier,0217013067047,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Guyader,3276770242552,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Guyader'],,,,,,,,,,,,
956,Boudin Basque,2676350024805,['France'],[],[],?,248,20,1,18,1038 kj(248 kcal),"6,8",1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Gala bio,3590920638829,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Point Vert', 'AB Agriculture Biologique']",,,,,,,,,,,
958,Roti de dinde - Volandry,2860122047752,['France'],[],[],?,177,"9,9",0,22,741 kj(177 kcal),"3,4",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Volandry', 'Marque Repère']",,['Leclerc'],,,,,,,,,,
959,Maccheroni With Cheese Sauce - Muji,4550002531812,['France'],[],[],?,399,"9,7",63,14,1669 kj(399 kcal),"2,8","8,9","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Muji'],,,,,,,,,,,,
960,Vin chaud traditionnel - Quai Sud,3662051002036,['France'],[],[],?,240,3,39,5,1004 kj(240 kcal),1,13,"0,062","0,025",,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,+390%,+405%,+40%,+36%,+689%,+494%,+179%,-87%,-87%,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,
961,Pommes noisettes u,3256224305651,['France'],[],[],?,164,"6,5",23,"2,1",686 kj(164 kcal),1,"0,5","0,9","0,36",,"['Chips et frites', 'Pommes noisettes']",6.5 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,,-9%,-10%,-9%,+11%,-8%,-12%,-15%,-2%,-2%,4,+5%,C,+5%,,,,,,,,,,['U'],,,,,,,,,,,,
962,Escalopes de dinde,0209464042902,['France'],[],[],?,?,?,?,?,,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,
963,Cigarettes Fourrées Chocolat Noisettes,3700348812453,['France'],[],[],?,488,21,67,6,2042 kj(488 kcal),21,67,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Organic Protein - Prozis,5600499503027,['France'],[],"['Végétalien', 'Végétarien']",?,380,"5,6",18,59,1590 kj(380 kcal),"1,8",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prozis'],"['Végétarien', 'Végétalien']",,,,,,,,,,,
965,Daurade coryphene,6091315900295,['France'],[],[],?,96,"0,7","0,5",22,402 kj(96 kcal),"0,1","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,London Dry Gin - 70cl,3222471575741,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 cl,,,,,,,,,London Dry Gin,,,,,
967,Saucisson de Filet Mignon - PHILIPPE WAGNER - 250g,3240650084648,['France'],['Filet mignon de porc - Sel - Arômes naturels - Epices et plantes aromatiques - Ferments\rBoyaux naturel de porc\r125g de viande de porc ont été mis en oeuvre pour fabriquer 100g de produit fini'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,123,3,0,24,515 kj(123 kcal),"1,2",0,"3,1","1,24",,"['Snacks', 'Viandes', 'Snacks salés', 'Apéritif', 'Charcuteries']",3 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,3.1 g,en quantité élevée,,-74%,-74%,-88%,-71%,-100%,-100%,+214%,+99%,+99%,12,-6%,D,-6%,,,,,,,,250g,"['Frais', 'Sous-vide']",['PHILIPPE WAGNER'],"['Viande Française', 'Viande Porcine Française', 'Bleu Blanc Cœur']",,"['EMB 70093A', 'Breuches (Haute-Saône, France)']",,4,['France'],Saucisson de Filet Mignon,,,,,['BREUCHES-LES-LUXEUIL (70300)']
968,Croissant pur beurre x5,2644839016078,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Decoupe poulet du périgord,2233107043627,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 24.437.001 CE', 'Saint-Laurent-des-Vignes (Dordogne, France)']",,,,,,,,,
970,Pommes de terre Aardappelen,4008596501754,['France'],[],[],?,62,"0,5",12,"1,4",259 kj(62 kcal),"0,1","0,6","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,"Le petit Gauchnot - PHILIPPE WAGNER - 1,5kg",3240650084365,['France'],"['Jambon de porc ', '89%', 'eau', 'sel de Lorraine', 'arômes naturels', 'acide ascorbique', 'bouillon de porc ', 'viande et os de porc']","['Non végétalien', 'Non végétarien']",?,187,11,"0,5",22,782 kj(187 kcal),"4,4","< 0,5","1,8","0,72",C,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon supérieur']",11 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+42%,+43%,+129%,+139%,-25%,-16%,+4%,-4%,-4%,13,+84%,D,+84%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"1,5 kg","['Frais', 'Sous-vide']",['PHILIPPE WAGNER'],"['Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise']",,"['EMB 70093A', 'Breuches (Haute-Saône, France)']",,4,['France'],Jambon cuit supérieur fumé VPF fabriqué à partir de viande de porc française.,,,,http://www.philippe-wagner.fr/,['BREUCHES-LES-LUXEUIL (70300)']
972,Cervelas obernois - Auchan,3596710467884,['France'],[],[],?,268,23,"1,6",14,1121 kj(268 kcal),"8,9",1,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,['Auchan'],,,,,,,,,,
973,Pure ceylan tea,4791075005811,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Palette de porc cuite,2211322048542,['France'],[],[],?,186,14,0,15,778 kj(186 kcal),"4,8",0,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,
975,Saumon fumé,3283040313560,['France'],[],[],?,240,10,26,10,1004 kj(240 kcal),"1,5","4,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Cuisses de poulet - La Nouvelle Agriculture,0213312031956,['France'],[],[],?,198,14,0,18,828 kj(198 kcal),"3,5",0,"0,18","0,072",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,+3%,+13%,+4%,-100%,-100%,-2%,-76%,-76%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['La Nouvelle Agriculture'],,,,,,,,,,,,
977,Dattes,2609923036349,['France'],[],[],?,322,"0,2",75,"1,8",1347 kj(322 kcal),0,"66,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Cassolette de poisson sauce legume,20612450,['France'],[],[],?,141,"9,7","3,3","9,8",590 kj(141 kcal),4,"1,3","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Gourde Banane Pomme Mangue Abricot 90G - Holle,7640104959298,['France'],[],[],?,73,"0,18","16,1","0,81",305 kj(73 kcal),"0,06","14,4","0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Holle'],"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,
980,Riz cantonais animation,2412418065607,['France'],[],[],?,?,?,?,?,,,,,,C,"['Plats préparés', 'Céréales préparées', 'Riz préparés', 'Riz cantonais']",,,,,,,,,,,,,,,,,,,,,,,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,,,,,,,,,,,,,,,
981,Poitrine fumée bio,2231710022046,['France'],[],[],?,244,20,0,15,1021 kj(244 kcal),"8,1",0,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Viande Française', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Viande Porcine Française']",,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,
982,2770051830984,2770051830984,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Aceto balsamico di modena,8015352302803,['France'],[],[],?,?,?,?,?,,,,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,['Italie'],,,,,,
984,Lard cru fumé Paysan - Philippe Wagner - 250g,3240650084631,['France'],"['Poitrine de porc ', '89%', ' - Eau - Sel - Arômes naturels - Epices et plantes aromatiques - Ferments - Enrobage : sang de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,297,25,0,18,1243 kj(297 kcal),10,0,"2,5",1,,"['Viandes', 'Charcuteries', 'Charcuteries à cuire']",25 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,,+13%,+15%,+16%,+20%,-100%,-100%,+13%,+16%,+16%,22,+17%,E,+17%,,,,,,,,250 g,"['Frais', 'Sous-vide']",['Philippe Wagner'],"['Viande Française', 'Viande Porcine Française', 'Bleu Blanc Cœur']",,"['EMB 70093A', 'Breuches (Haute-Saône, France)']",,4,['France'],Poitrine de porc français enrobée et fumée. Recette Régionale,,,,http://www.philippe-wagner.fr/,['BREUCHES-LES-LUXEUIL (70300)']
985,Poulet - Maître Coq,52336416,['France'],[],[],?,171,"9,4","0,6",21,715 kj(171 kcal),"2,5",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,
986,Pain complet,0250913006563,['France'],[],[],?,287,"1,5",58,"9,6",1201 kj(287 kcal),"0,4",15,"0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Thee Pickwick Groene Thee Cranberry 20 Zakjes Van 2GR,8711000239629,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Pain cereales et graine,0203050009713,['France'],[],[],?,290,"3,8",48,13,1213 kj(290 kcal),"0,6","1,3",3,"1,2",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",3.8 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en faible quantité,3 g,en quantité élevée,,-12%,-12%,-38%,-49%,-12%,-67%,+37%,+134%,+134%,13,+155%,D,+155%,,,,,,,,,,,,,,,,,,,,,,
989,2253163023616,2253163023616,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.181.005 CE', 'Mans (Sarthe, France)']",,,,,,,,,
990,Oeuf de poisson volant - Dom Petroff,3019897972502,['France'],[],[],?,78,"1,5",8,8,326 kj(78 kcal),1,8,"6,3","2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dom Petroff'],,,,,,,,,,,,
991,Trio ananas coco framboise,3334320009410,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Échine crue fumée - PHILIPPE WAGNER,3240650084570,['France'],"['Echine de porc s/os ', '90%', ' - Eau - Sel - Bouillon ', 'viande de porc et os de porc', ' - Arômes naturels - Ferments']","['Non végétalien', 'Non végétarien']",?,203,15,0,17,849 kj(203 kcal),6,0,"2,3","0,92",,"['Viandes', 'Charcuteries', 'Porc', 'Charcuteries à cuire']",15 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,-23%,-21%,-30%,-28%,-100%,-100%,+7%,+6%,+6%,17,-10%,D,-10%,,,,,,,,,"['Frais', 'Sous-vide']",['PHILIPPE WAGNER'],"['Viande Française', 'Viande Porcine Française', 'Bleu Blanc Cœur']",,"['EMB 70093A', 'Breuches (Haute-Saône, France)']",,4,['France'],Échine de porc crue fumée,,,,http://www.philippe-wagner.fr/,['BREUCHES-LES-LUXEUIL']
993,Amande BIO chocolat caramel - Optimys,7640149390605,['France'],[],[],?,593,44,35,12,2481 kj(593 kcal),17,34,"0,13","0,052",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Amandes enrobées de chocolat']",44 g,en quantité élevée,17 g,en quantité élevée,34 g,en quantité élevée,0.13 g,en faible quantité,,+4%,+5%,+9%,+4%,-5%,+3%,+9%,+36%,+36%,24,+6%,E,+6%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,['Optimys'],['Bio'],,,,,,,,,,,
994,2 filets de poulet bio - Bio Village,2860294054121,['France'],[],[],?,?,?,?,?,,,,,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bio Village'],"['Bio', 'Bio européen', 'FR-BIO-09']",['Leclerc'],,,,,,,,,,
995,Mousse au chocolat noir -,0211129008406,['France'],"['Chocolat noir 23 % ', 'pâte de cacao ', 'dont beurre de cacao : 6,2%', 'sucre', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille', ""blanc d'oeuf 23 %"", 'lait entier ', 'origine: France', 'beurre', ""jaune d'oeuf 11%"", 'sucre', 'cacao en poudre 6 %', ""fibre d'agrume"", 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,323,21,25,"7,5",1351 kj(323 kcal),15,25,"0,18","0,072",D,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",21 g,en quantité élevée,15 g,en quantité élevée,25 g,en quantité élevée,0.18 g,en faible quantité,,+18%,+20%,+27%,+49%,+14%,+26%,+27%,-18%,-18%,19,+44%,E,+44%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,['E322i - Lécithine'],4,,,"['Œufs', 'Lait', 'Soja']",,,,
996,Classique 3 graines bio,59565635,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
997,Amande BIO chocolat au lait - Optimys,7640149390599,['France'],[],[],?,593,44,35,12,2481 kj(593 kcal),17,34,"0,13","0,052",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Amandes enrobées de chocolat']",44 g,en quantité élevée,17 g,en quantité élevée,34 g,en quantité élevée,0.13 g,en faible quantité,,+4%,+5%,+9%,+4%,-5%,+3%,+9%,+36%,+36%,24,+6%,E,+6%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,['Optimys'],['Bio'],,,,,,,,,,,
998,LE FOUET,2343719021224,['France'],[],[],?,489,"40,2","5,5","27,6",2046 kj(489 kcal),"13,9",5,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
