,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
907,Chia mangue - O’Sushi,3357190003548,['O’Sushi'],,['France'],[],,[],?,130,544 kj(130 kcal),"8,2",6,"11,9","10,2","1,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Compote pomme poire -,3357190003647,,,['France'],[],,[],?,113,473 kj(113 kcal),"2,8","1,3",21,"12,1","0,9","0,8","0,32",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']",,1.3 g,en faible quantité,12.1 g,en quantité modérée,0.8 g,en quantité modérée,,+82%,+81%,+759%,+1417%,+53%,-2%,+156%,+9435%,+9435%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,2.8 g,en faible quantité,2,,B,,,,,,,,,,,
909,Poule Tikka Semoule,3357190003678,,,['France'],[],,[],?,138,577 kj(138 kcal),"4,05","0,63","18,62","0,76","6,26","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Ananas Melon Pasteque,3357190003708,,,['France'],[],,[],?,103,431 kj(103 kcal),"0,4",0,21,19,"1,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Crazy mix -,3357190011444,,,['France'],[],,[],?,190,795 kj(190 kcal),"6,6","0,7","25,1","5,7","6,4","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 06.084.003 CE', 'Mouans-Sartoux (Alpes-Maritimes, France)']",,,,
912,Funky cheese - O'sushi,3357190011796,"[""O'sushi""]",,['France'],"['04', '117017']",,[],?,255,1067 kj(255 kcal),"11,7","4,3","25,3","3,8","12,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 06.084.003 CE', 'Mouans-Sartoux (Alpes-Maritimes, France)']",,,,
913,Sweet mix  - O'Sushi - 245g,3357190011895,"[""O'Sushi""]",,['France'],[],,[],?,?,,?,,?,,?,,,245g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Simply saumon,3357190040017,,,['France'],[],,[],?,183,766 kj(183 kcal),"8,5","0,9","21,7",5,"7,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Mix box zen mix 9 pieces,3357190040031,,,['France'],[],,[],?,190,795 kj(190 kcal),"7,2","0,6",24,"5,3","6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,CHABLIS -  - 750mL,3357400600406,,,['France'],[],,[],?,?,,?,,?,,?,,,750mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Quenelles à la lyonnaise Brochet - La Royale - 1kg,3357440400042,['La Royale'],,['France'],"['Eau', 'œufs frais', 'farine de blé', 'chair de brochet 13 %', ""blanc d'œufs "", 'épaississant : gomme xanthane', 'huile de colza', 'sel', ""extrait d'épices""]","['Œufs', 'Poisson', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,202,845 kj(202 kcal),12,"1,3","1,6","1,2","7,6","1,1","0,44",1 kg,,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",4,1.3 g,en faible quantité,1.2 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+5%,-2%,-74%,-88%,+56%,+4%,+7%,+7%,,,,,,,,12 g,en quantité modérée,3,-64%,C,-64%,['E415 - Gomme xanthane'],,"['Barquette', 'Plastique', 'Frais']",,,"['FR 01.166.001 CE', 'Frans (Ain, France)']",['Grand Frais'],['France'],,
918,Quenelles de Volaille - Sibilia - 320g,3357440402053,['Sibilia'],['Fabriqué en France'],['France'],"['œufs frais 28', '5%', 'eau', 'semoule de blé dur', 'beurre 14,5%', 'viande de dinde 13%', 'lait entier', 'sel', 'arôme naturel ', 'lait']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,234,979 kj(234 kcal),13,"9,8",13,"0,5","9,1","1,4","0,56",320 g,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Quenelles', 'Quenelle de volaille', 'Quenelles de poulet']",4,9.8 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+26%,+29%,+10%,+71%,+10%,-20%,+45%,+32%,+32%,84.3%,9.6%,2.5%,2.3%,1.1%,0.3%,37,13 g,en quantité modérée,17,+75%,D,+75%,,,"['Frais', 'Plastique', 'Barquette', 'Atmosphère protectrice']",,,"['EMB 01166', 'Frans (Ain, France)', 'FR 01.166.001 CE', 'Frans (Ain, France)']",,['France'],,
919,Melon du quercy,3357650600003,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,VSOP Cognac - Isle de Ré - 700ml,3357730004714,['Isle de Ré'],,['France'],['Cognac'],,"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,700 ml,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Cognac']",3,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,"['Bouteille', 'Verre']",,,"['EMB 17339', 'Saint-Germain-de-Lusignan (Charente-Maritime, France)', 'EMB 27239', 'Ferrières-Saint-Hilaire (Eure, France)']",,['France'],,
921,Pommes de terre ile de ré,3357735111400,,,['France'],[],,[],?,180,753 kj(180 kcal),1,1,100,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Pomme de terre charlotte,3357735302105,,,['France'],[],,[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre', 'Pommes de terre Charlotte']",,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,,,
923,Crepes bretonnes,3358030000123,,,['France'],[],,[],?,343,1435 kj(343 kcal),"8,1","4,2",59,27,"8,5","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Tommes Du Tonnelier,3358150000805,,,['France'],[],,[],?,331,1385 kj(331 kcal),27,18,2,"0,5",20,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Faisselle de chevre - Fromagerie de la drome - 4x 100g,3358150003851,['Fromagerie de la drome'],,['France'],"['FROMAGE FRAIS EN FAISSELLE au lait de chèvre pasteurisé 100% lait de chèvre', "" Contient plus de 82 % d'humidité""]",['Lait'],[],?,113,473 kj(113 kcal),6,"4,3",4,4,"5,7","0,1","0,04",4 x 100g,D,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,4.3 g,en quantité modérée,4 g,en faible quantité,0.1 g,en faible quantité,,+31%,+32%,+13%,+28%,-9%,+17%,+29%,-10%,-10%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,6 g,en quantité modérée,2,+36%,B,+36%,,,,,,,,,,
926,St Félicien affiné à coeur 27 % Mat. Gr. - Fromagerie de la Drôme - 180g,3358150023019,['Fromagerie de la Drôme'],,['France'],['Fromage de vache au lait thermisé et à la crème pasteurisée'],['Lait'],[],?,?,,27,,?,,?,,,180 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages au lait thermisé', 'Saint-Félicien']",,,,,,,,,,,+1%,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27 g,en quantité élevée,,,,,,,"['Ramequin', 'Frais']",,,"['FR 38.500.001 CE', 'Têche (Isère, France)']",['Leclerc'],,,
927,Saint-Marcellin - Fromagerie de la Drôme - 80g,3358150025570,['Fromagerie de la Drôme'],['IGP'],['France'],['Fromage au lait de vache thermisé'],['Lait'],[],1160,?,1160 kj(277 kcal),23,16,"2,2","1,4",16,"1,3","0,52",80 g,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages à pâte molle à croûte naturelle', 'Fromages à pâte molle à croûte lavée', 'Saint-Marcellin']",,16 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,+5%,,+3%,+2%,-5%,+67%,+79%,+1%,-2%,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,23 g,en quantité élevée,13,-4%,D,-4%,,,['Frais'],,"['France', 'Lait origine France']","['FR 38.500.001 CE', 'Têche (Isère, France)']",,,,
928,Pommes de terre aux lardons,3358170201725,,,['France'],[],,[],?,183,766 kj(183 kcal),14,"1,3",10,"0,1",3,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Tisane bouquet de manon,3358510620100,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Cabroton - Grandjean - 250g,3358600041082,['Grandjean'],,['France'],"['LAIT de vache 50 %', 'LAIT de chèvre 50 %', 'sel', 'présure', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1394,?,1394 kj(333 kcal),25,14,1,"0,4",24,1,"0,4",250 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages au lait cru']",3,14 g,en quantité élevée,0.4 g,en faible quantité,1 g,en quantité modérée,+1%,,-1%,-9%,-24%,+79%,+23%,+10%,-33%,-33%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,25 g,en quantité élevée,13,-12%,D,-12%,,Fromage fermier au lait cru mi-chèvre,"['Plastique', 'Frais']",,,"['FR 71.235.001 CE', 'Hurigny (Saône-et-Loire, France)']",['Carrefour City'],"['Saône-et-Loire', 'France']",,
931,Fromage Petits Cabrotons -,3358600041099,,,['France'],[],,[],?,336,1406 kj(336 kcal),25,14,1,"0,4",24,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,"Grandjean, Fromages chevre fermiers, le lot de 8",3358600041174,,,['France'],[],,[],?,308,1289 kj(308 kcal),25,18,5,1,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Roche Mélange - Grandjean - 300g,3358600042010,['Grandjean'],['Fabriqué en France'],['France'],"['LAIT de vache 80 %', 'LAIT de chèvre 20 %', 'sel', 'présure', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1394,?,1394 kj(333 kcal),25,14,1,"0,4",24,1,"0,4",300 g,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",3,14 g,en quantité élevée,0.4 g,en faible quantité,1 g,en quantité modérée,+1%,,-1%,-9%,-24%,+79%,+23%,+10%,-33%,-33%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,25 g,en quantité élevée,13,-12%,D,-12%,,,"['Plastique', 'Frais']",,['France'],"['FR 71.235.001 CE', 'Hurigny (Saône-et-Loire, France)']",['Leclerc'],['France'],,
934,Bresse - Grandjean - 160g,3358600043017,['Grandjean'],['Fabriqué en France'],['France'],"['LAIT cru de chèvre', 'sel', 'présure', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1290,?,1290 kj(308 kcal),25,18,5,1,20,2,"0,8",160 g,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru']",3,18 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,-7%,,-9%,-9%,-3%,+794%,+208%,-9%,+34%,+34%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,25 g,en quantité élevée,16,+9%,D,+9%,,Bresse Chèvre,"['Frais', 'Plastique']",,,"['FR 71.235.001 CE', 'Hurigny (Saône-et-Loire, France)']",['Leclerc'],['France'],,
935,Roche Vache sec - Grandjean - 300g,3358600052071,['Grandjean'],,['France'],"['LAIT cru de vache', 'sel', 'présure', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2024,?,2024 kj(484 kcal),39,20,5,1,28,"1,5","0,6",300 g,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages au lait cru']",3,20 g,en quantité élevée,1 g,en faible quantité,1.5 g,en quantité modérée,+47%,,+44%,+42%,+8%,+794%,+208%,+28%,+1%,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,39 g,en quantité élevée,17,+16%,D,+16%,,,"['Frais', 'Plastique']",,['France'],"['FR 71.235.001 CE', 'Hurigny (Saône-et-Loire, France)']",['Leclerc'],['France'],,
936,Roche Vache,3358605209005,,,['France'],[],,[],?,0,0 kj(0 kcal),39,20,5,1,28,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Bloc de Foie Gras de Canard du Sud-Ouest - Montfort - 300g,3358720007166,['Montfort'],['Fabriqué en France'],['France'],"['Foie gras de canard', 'morceaux de foie grad de canard 30 %', 'eau', 'sel 1 %', 'Armagnac', 'sucre', 'poivre 0,1 %', 'antioxydant : ascorbate de sodium', 'muscade', 'conservateur : nitrite de sodium']",,"['Non végétalien', 'Non végétarien']",?,488,2042 kj(488 kcal),50,21,"3,1","0,9",6,"1,1","0,44",300 g,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Bloc de foie gras avec morceaux']",3,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,,-1%,-0%,-2%,-5%,+39%,-29%,-5%,-12%,-12%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,50 g,en quantité élevée,20,-2%,E,-2%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Frais', 'Plastique']",,['France'],,,"['France', 'Sud-Ouest de la France']",,
938,Foie gras de canard entier - Toque Blanche - 1kg,3358721003907,['Toque Blanche'],,['France'],"['Foie gras de canard', 'sel', 'Armagnac', 'sucre', 'poivre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2177,?,2177 kj(520 kcal),54,23,"2,7","0,9","7,6","1,2","0,48",1 kg,A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",3,23 g,en quantité élevée,0.9 g,en faible quantité,1.2 g,en quantité modérée,-1%,,-1%,-1%,-0%,+12%,-33%,+1%,+0%,+0%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,54 g,en quantité élevée,21,+1%,E,+1%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Carton', 'Aluminium']",,['France'],"['FR 24.520.002 CE', 'Sarlat-la-Canéda (Dordogne, France)']",,['France'],,
939,"Le roquet, Pâté de foie pur porc, le pot de 130 gr - Leader Price",3358940101309,['Leader Price'],,['France'],"['Foie 35 0%', 'gras et gorge de porc dorigine française lait', 'sel', 'protéines de lait', 'cognac']",['Lait'],['Non végétalien'],?,368,1540 kj(368 kcal),"35,3","11,54",1,"0,5","12,5","1,9","0,76",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,
940,"Paté Le Roquet, 200g - 200g",3358940102009,,,['France'],[],,[],?,368,1540 kj(368 kcal),"35,3","11,54",1,"0,5","12,5","3,8","1,52",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Pâté de foie pur porc -,3358940105000,,,['France'],[],,[],?,368,1540 kj(368 kcal),"35,3","11,54",1,"0,5","12,5","1,9","0,76",,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",,11.5 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+3%,+5%,+8%,-6%,-51%,-38%,+10%,+17%,+17%,,,,,,,,35.3 g,en quantité élevée,22,+9%,E,+9%,,,,,,,,,,
942,Rillettes d'Auvergne,3358940501819,,,['France'],[],,[],?,260,1088 kj(260 kcal),20,7,"0,4","0,4",20,"1,9","0,76",,,"['Produits à tartiner', 'Produits à tartiner salés', 'Rillettes']",,7 g,en quantité élevée,0.4 g,en faible quantité,1.9 g,en quantité élevée,,-11%,-11%,-20%,-21%,-73%,-40%,+36%,+60%,+60%,,,,,,,,20 g,en quantité modérée,17,+20%,D,+20%,,,,,,,,,,
943,Beurre des garennes,3359053000114,,,['France'],[],,[],?,732,3063 kj(732 kcal),80,55,1,1,"0,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Confiture abricot -  - 325g,3359070020164,,,['France'],[],,[],?,256,1071 kj(256 kcal),0,0,62,62,1,,,325 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,0 g,en faible quantité,62 g,en quantité élevée,,,,+17%,+17%,-100%,-100%,+17%,+23%,+99%,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,0 g,en faible quantité,,,,,,,,,,,,,,
945,Cchoucroute Cuisinée - Le Pic - 1000g,3359162012015,['Le Pic'],,['France'],"['Choucroute crue ', 'chou cru', 'sel', 'jus de cuisson', 'riesling 2 %', 'saindoux', 'bouillon de volaille déshydraté', 'baies de genièvre', 'arôme', 'antioxydant : acide ascorbique']",,"['Non végétalien', 'Non végétarien']",?,31,130 kj(31 kcal),"1,5","0,7","1,5","0,5",1,"1,4","0,56",1000 g,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E300 - Acide ascorbique'],,,,,,,,,
946,Choux rouge fermenté - Le Pic,3359168018028,['Le Pic'],,['France'],"['Chou rouge fermenté ', 'chou rouge cru', 'sel', 'lardons fumés origine France 12 % ', 'poitrine de porc', 'sel', 'dextrose', 'antioxydant : E301', 'conservateur : E250', 'pruneaux 8 % ', 'pruneaux', 'eau', 'conservateur : acide sorbique', ""huile d'olive"", 'sucre', 'condiment balsamique blanc ', 'vinaigre de vin blanc', 'moût de raisin concentré', 'plantes aromatiques']",,"['Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),"6,6","1,8","8,9","6,3","2,8","0,63","0,252",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,,,,,,,,
947,Saucisses chipolatas,3359537364046,,,['France'],[],,[],?,1379,5770 kj(1379 kcal),37,"14,8","0,6","0,5",11,"1,2","0,48",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,14.8 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+477%,+477%,+96%,+105%,-49%,-21%,-29%,-33%,-33%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,37 g,en quantité élevée,25,+51%,E,+51%,,,,,,,,,,
948,Gyoza Raviolis à la japonaise aux légumes,3359610003244,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,80 Bouchon poulet,3359610010822,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Chapelure dorée -,3359810074891,,,['France'],[],,[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Rizola: riz mexicain - Saveurs Cuisinees,3359810125333,['Saveurs Cuisinees'],,['France'],"['Riz basmati 3 0%', 'légumes déshydratés tomate', 'oignon poivron', 'maïs', 'petit pois', 'épices et plantes aro atiques', 'arôme ', 'céleri', 'exhaus eur de goût : E621', 'sel', 'colorant caramel E150c', ' Contient du céleri']",['Céleri'],[],?,338,1414 kj(338 kcal),"2,5","0,1","69,6","2,3",7,"4,2","1,68",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,,,,,
952,Rizola,3359810125388,,,['France'],[],,[],?,325,1360 kj(325 kcal),"0,9","0,01","71,2","0,8","7,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Fumet de crustacés - Saveur Cuisiniees,3359810206728,['Saveur Cuisiniees'],,['France'],"['Amidon de fromcnt ', 'blé', ' aròme$', ' sucre', ' sel', 'crustacés et poissons déshydrates poudre de tomate', ' acidifiant : acide citrique', 'colorant : extrait do paptiko', ' aromate', 'Contient du blé', 'crustacés poissons sans OGM 3 359810 206728']","['Crustacés', 'Gluten']",[],?,293,1226 kj(293 kcal),"0,61","0,06","62,2","16,6","9,3","12,7","5,08",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
954,3359813501011,3359813501011,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Tropicana essentiels antioxydant,3359841149377,['Tropicana'],,['France'],[],,[],?,58,243 kj(58 kcal),0,0,13,"12,9","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Café Taillefer,3359892120004,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Noix De Cajou Salées - Maison taillefer,3359894000120,['Maison taillefer'],,['France'],[],,[],?,619,2590 kj(619 kcal),"46,8","8,4","29,1","4,4","20,2","2,36","0,944",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']",,8.4 g,en quantité élevée,4.4 g,en faible quantité,2.36 g,en quantité élevée,,+1%,+1%,-3%,-8%,+22%,-30%,+6%,+165%,+165%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,46.8 g,en quantité élevée,15,+84%,D,+84%,,,,,,,,,,
958,Amandes Frites Salées,3359894000144,,,['France'],[],,[],?,629,2632 kj(629 kcal),51,"9,1","14,2","1,6","28,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Graines De Tournesol Grillées Et Salées,3359894000199,,,['France'],[],,[],?,641,2682 kj(641 kcal),50,6,18,2,22,"9,82","3,928",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,6 g,en quantité élevée,2 g,en faible quantité,9.82 g,en quantité élevée,,+12%,+12%,+9%,+21%,+35%,-17%,0%,+443%,+443%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,50 g,en quantité élevée,23,+73%,E,+73%,,,,,,,,,,
960,Le temps des cerises cacahuètes bistrot,3359899902528,['Le Temps Des Cerises'],,['France'],[],,[],?,628,2628 kj(628 kcal),"54,7","9,5","19,6","3,1","21,8","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Cacahuetes piment d'Espelette - Le Temps des Cerises - 250g,3359899902610,['Le Temps des Cerises'],,['France'],"['ARACHIDES', 'huile végétale ', 'palme', ""mélange d'épices 4% "", 'sel', 'piment de Cayenne', 'paprlka', ""piment d'Espelette AOP 10%"", 'poivrons rouges']",['Arachides'],['Huile de palme'],?,657,2749 kj(657 kcal),"55,6","11,6","14,6","2,5","24,7","0,81","0,324",250 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes salées']",3,11.6 g,en quantité élevée,2.5 g,en faible quantité,0.81 g,en quantité modérée,,+8%,+9%,+15%,+61%,+18%,-53%,-3%,-31%,-31%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,55.6 g,en quantité élevée,11,+83%,D,+83%,,,,['Huile de palme'],,,,,,
962,Cacahuétes Basques - Le Temps Des Cerises,3359899994615,['Le Temps Des Cerises'],,['France'],[],,[],?,657,2749 kj(657 kcal),"55,6","11,6","14,6","2,5","24,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
