,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
1585,Arachides en coque grillees - Fruidelys - 500g,3700195610059,['France'],[],[],?,614,2569 kj(614 kcal),50,11,"9,6","4,6",27,,,500 g,,['Fruidelys'],,,,"['EMB 59400', 'Merville (Nord, France)']",,,,,,,,,,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
1586,Graine de sésame dorée - Fruidyllic - 250g,3700196700025,['France'],['GRAINE DE SESAME'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,565,2364 kj(565 kcal),48,"6,7",26,10,17,E,,250 g,,['Fruidyllic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame', 'Sésame toasté']",,,,,['Graines de sésame'],1,48 g,en quantité élevée,6.7 g,en quantité élevée,10 g,en quantité modérée,0 g,en faible quantité,,-5%,-5%,-7%,-8%,+177%,+2122%,-11%,0,-100%,0,-100%,15,+22%,D,+22%,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,,,,,,
1587,Raisin sec golden - Fruidelys,3700198680035,['France'],"['Raisin sec', 'huile de tournesol conservateur: anhydride sulfureux']",[],?,359,1502 kj(359 kcal),"0,5","0,1",84,64,"3,2",D,,,,['Fruidelys'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",,,,,,1,0.5 g,en faible quantité,0.1 g,en faible quantité,64 g,en quantité élevée,0 g,en faible quantité,,+14%,+14%,-14%,-29%,+16%,+2%,+13%,0,-100%,0,-100%,8,+42%,C,+42%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,
1588,Purée de pruneaux - Fleurance Nature - 295g,3700211161015,['France'],"['Pruneaux 73 eau 27%', "" ingrédients issus de l'agricule biologique"", ' Certifié par ECERT SAS F', "" 37 O L' ISLE JOURDAIN Analyse nutricionnelle moy a pour 100 g Énergie Graisses"", ' VEGAN']",[],?,125,523 kj(125 kcal),"0,21","0,1",29,24,"1,2",A,,295 g,['pot verre'],['Fleurance Nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes sans sucres']",['Sud ouest'],['FRANCE'],"['EMB 47027', 'Bias (Lot-et-Garonne, France)']",,,,0.21 g,en faible quantité,0.1 g,en faible quantité,24 g,en quantité élevée,0.025 g,en faible quantité,,+112%,+113%,-45%,+20%,+125%,+107%,+160%,"0,025",+31%,"0,01",+31%,1,,B,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,['Bio'],,,,,
1589,Andouillettes de Troyes refourrées,3700212512151,['France'],[],[],?,992,4151 kj(992 kcal),17,"7,9","0,3","0,3",21,E,,,,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",,,"['FR 14.762.026 CE', 'Vire (Calvados, France)']",['Magasins U'],,,17 g,en quantité modérée,7.9 g,en quantité élevée,0.3 g,en faible quantité,2.1 g,en quantité élevée,,+320%,+326%,-3%,-3%,-31%,-14%,+14%,"2,1",+17%,"0,84",+17%,26,+49%,E,+49%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,
1590,"Pois chiches, sachet 500g - Grain de Vitalité - 500g",3700225106088,['France'],['Pois chiches'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,B,,500 g,"['Sachet', 'Plastique']",['Grain de Vitalité'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",['France'],['France'],,,,1,,,,,,,,,,,,,,,,,,,,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,['Origine France'],,,,,
1591,Pur Jus de multifruits Bio - O'Nature - 1l,3700232010125,['France'],"['Jus de pomme*', 'purée de poire*', 'purée de pêche*', ""purée d'abricot "", ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",182,43,182 kj(43 kcal),0,0,"9,7","9,3","0,5",B,,1 l,"['Bouteille', 'bouteille verre', 'capsule en métal']","[""O'Nature"", 'Terres du Sud', 'Vallée Verte']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['France'],"['Chemin de Cazeaux', '47200 Marmande']",,,,1,0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0.02 g,en faible quantité,-9%,-10%,-9%,-100%,-100%,-13%,-11%,+16%,"0,02",+150%,"0,008",+150%,4,-11%,C,-11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",LES JUS DU SOLEIL,LES JUS DU SOLEIL,,,Sud
1592,"Canto - ,300kg",3700238309100,['France'],[],[],?,482,2017 kj(482 kcal),"19,9","13,8","70,3","27,1","6,2",C,,",300 kg",,['Canto'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,,,,19.9 g,en quantité modérée,13.8 g,en quantité élevée,27.1 g,en quantité élevée,0.7 g,en quantité modérée,,-3%,-3%,-22%,-16%,+16%,+5%,+5%,"0,7",-20%,"0,28",-20%,25,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,
1593,Sauce bearnaise,3700238323540,['France'],[],[],?,450,1883 kj(450 kcal),"47,1","5,6","4,5","4,5","1,9",D,,,,,"['Epicerie', 'Sauces', 'Sauces béarnaises']",,,,,,,47.1 g,en quantité élevée,5.6 g,en quantité élevée,4.5 g,en faible quantité,4.48 g,en quantité élevée,,+2%,+5%,+7%,-1%,-7%,+88%,+62%,"4,48",+177%,"1,792",+177%,20,+23%,E,+23%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,,,
1594,Gaufrette aperitive - Trésor Gourmands,3700254081691,['France'],"['farine de blé', 'Roquefort AOP ', 'lait', ' 30%', 'sirop de glucose', 'beurre pâtissier 12%', 'poudre de lait entier', 'miel 6,5%', 'œufs entiers', 'fibre de blé', 'arôme naturel', 'sel', 'graines de pavot']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,500,2092 kj(500 kcal),26,16,52,17,13,C,,,,['Trésor Gourmands'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",,,,,"['Œufs', 'Gluten', 'Lait']",4,26 g,en quantité élevée,16 g,en quantité élevée,17 g,en quantité élevée,2.8 g,en quantité élevée,,0%,+0%,+5%,+9%,-16%,-51%,+136%,"2,8",+716%,"1,12",+716%,29,+32%,E,+32%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,"['Arômes naturels', 'AOP']",,,,,
1595,Papaye déshydratée - Bio soleil - 80g,3700254501076,['France'],[],[],?,344,1439 kj(344 kcal),0,0,86,"66,6","0,1",,,80 g,,"['Bio soleil', ""o'Soleil""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Papaye séchée']",['Thaïlande'],,"['EMB 76540X', 'Rouen (Seine-Maritime, France)', 'EMB 76540', 'Rouen (Seine-Maritime, France)']",,,,0 g,en faible quantité,0 g,en faible quantité,66.6 g,en quantité élevée,0.4 g,en quantité modérée,,+2%,+2%,-100%,-100%,+48%,+54%,-98%,"0,4",+356%,"0,16",+356%,10,+109%,C,+109%,,,,,,,,,"['Bio', 'Sans colorants', 'Sans arômes ajoutés']",,,,,
1596,MONT BLANC Crème Dessert Caramel 3x570g Lot Familial - 1710g,3700279301651,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79%', ' ', 'LAIT* origine France', ' ', ' 10 % de caramel ', 'sucre', 'eau', ' ', ' sirop de glucose ', ' amidon de maïs ', ' amidon transformé de maïs', ' sucre', ' épaississants : alginate de sodium', 'gomme guar ', ' arôme', 'Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",546,130,546 kj(130 kcal),"3,5","2,1",22,15,"2,9",,"Crème dessert au caramel, saveur caramel",1710 g,['Boite'],['Mont blanc'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert caramel']",,,,,['Lait'],4,3.5 g,en quantité modérée,2.1 g,en quantité modérée,15 g,en quantité élevée,0.17 g,en faible quantité,-1%,-4%,-3%,-25%,-27%,+14%,-7%,-10%,"0,17",-9%,"0,068",-9%,5,-6%,C,-6%,,,,,,,,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E412 - Gomme de guar']","['EU Ecolabel', 'Nutriscore', 'Aquaculture responsable', 'Aquaculture responsable ASC', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT', 'MARINE_STEWARDSHIP_COUNCIL_LABEL']",,,,,
1597,Halloumi fromage de Chypre a griller - Mavrommatis - 225g,3700286922108,"['France', 'Luxembourg']","['Lait pasteurisé ', 'mélange de lait de vache', 'de brebis et de chèvre', 'sel', 'présure non animale', 'menthe séchée', ' Humidité maximale : 46%', ' Matières grasses dans produit fini : 24%min', ' Convient aux végétariens', ' Sans OGM']","['Non végétalien', 'Végétarien']",?,322,1347 kj(322 kcal),"24,6","17,3","2,2","2,2","22,9",D,,225 g,,['Mavrommatis'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Halloumi']",,,['CY 0058 EC'],,,,24.6 g,en quantité élevée,17.3 g,en quantité élevée,2.2 g,en faible quantité,3 g,en quantité élevée,,+3%,+3%,+3%,+15%,+3%,+35%,+6%,3,+15%,"1,2",+15%,19,+9%,E,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['Végétarien', 'Sans OGM']",,,,,
1598,10 Croissants - Tous les jours - 400g,3700311821062,['France'],"['Farine de blé - eau - matières grasses végétales ', 'palme', 'colza', 'coprah en proportion variable', "" - sucre - levure - sel - lait écrémé en poudre - œufs - émulsifiants : mono - et diglycérides d'acides gras"", ""esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras - arômes naturels "", 'contient lait et alcool', ' - colorant : caroténoïdes - conservateur : propionate de calcium - antioxydant : acide ascorbique', ' Traces de fruits à coque']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1564,373,1564 kj(373 kcal),16,"8,8",48,8,"7,6",B,10 croissants,400 g,"['Sachet', 'Plastique']",['Tous les jours'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants ordinaires']",,,,,"['Œufs', 'Gluten', 'Lait']",4,16 g,en quantité modérée,8.8 g,en quantité élevée,8 g,en quantité modérée,1.1 g,en quantité modérée,-7%,-1%,-7%,-20%,-20%,+3%,+3%,+0%,"1,1",+5%,"0,44",+5%,14,-23%,D,-23%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E160 - Caroténoïdes', 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']",,,,,,
1599,Salade mexicaine - Tous les jours - 260g,3700311864342,['France'],"[""Maïs 22% - haricots rouges prétrempés 17% - eau - thon 15% - carottes 7,6% - oignons 7,6% - poivrons 7,6% - huile de colza - vinaigre d'alcool - sel - amidon de riz - épaississant : gomme guar - arôme naturel - épice"", ' Traces de blé', 'moutarde']","['Non végétalien', 'Non végétarien']",463,110,463 kj(110 kcal),"3,5","0,3",10,"6,4","7,9",,Salade de légumes au poisson,260 g,"['Boîte', 'Métal']",['Tous les jours'],"['Plats préparés', 'Salades', 'Salades composées', 'Salades mexicaines']",,,"['EMB 85222D', 'Saint-Gilles-Croix-de-Vie (Vendée, France)', 'FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']",['Géant'],['Poisson'],4,3.5 g,en quantité modérée,0.3 g,en faible quantité,6.4 g,en quantité modérée,0.8 g,en quantité modérée,-3%,-5%,-5%,-12%,-34%,+22%,+161%,-13%,"0,8",-12%,"0,32",-12%,-2,,A,,,,,,,,,['E412 - Gomme de guar'],"['Point Vert', 'Aucun']",,,,,
1600,Salade melangée - Tous les jours,3700311867060,['France'],"['Scarole ', 'mini 30%', 'mélange de 2 à 3 salades parmi les variétés : frisée', 'chicorée rouge', 'pain de sucre', 'iceberg', 'batavia']",[],?,?,,?,,?,,?,,,,['Sachets'],['Tous les jours'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Beurre Doux Micro-pain - Candia,3700342338270,['France'],"['Beurre doux 82% de matières grasses / Unsalted butter 82% fat / Ongezouten boter 82% vet / Mantequilla sin sal 82% de materias grasas / Butter 82% Fett / Masb zwykfe 82% tluszczu - lait origine France ETUI CARTON PENSEZÂ AU TRI ! À RECYCLER CONSIGNE POUVANT VARIER LOCALEMENT > WWW', 'CONSIGNESDETRI', 'FR VALABLE UNIQUEMENT POUR LA FRANCE']",['Non végétalien'],?,743,3109 kj(743 kcal),82,55,"0,6","0,6","0,7",,,,,['Candia'],['Matières grasses'],,,,,,,82 g,en quantité élevée,55 g,en quantité élevée,0.6 g,en faible quantité,0 g,en faible quantité,,-8%,-7%,-7%,+141%,+168%,+270%,+295%,0,-100%,0,-100%,19,+68%,E,+68%,,,,,,,,,,,,,,
1602,Ananas Victoria île de la réunion cat7 - L'Ilot Fruits - 1pièce,3700389400923,"['Belgique', 'France']",['Ananas Victoria'],[],?,?,,?,,?,,?,A,,1 pièce,['Carton'],"[""L'Ilot Fruits""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",['La Réunion'],,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,
1603,Quiches Lorraines lardons & Emmental - Carte Nature - 230g,3700477606510,['France'],"['Garniture 65 % : crème fraîche', 'eau', 'œuf', 'lardons 10 % cuits fumés ', 'poitrine de porc', 'sel', 'dextrose', 'sucre de canne', 'lactose', 'antioxydant : ascorbate de sodium', 'conservateur: nitrite de sodium', 'emmental 7 %', 'poudre de lait', 'sel', 'muscade', 'poivre', ' Pâte 35 % : farine de blé', 'beurre', 'œuf', 'eau', 'sel']","['Non végétalien', 'Non végétarien']",?,300,1255 kj(300 kcal),19,12,20,"3,3",11,C,2 Quiches Lorraines,230 g,"['Frais', 'Plastique']",['Carte Nature'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Réfrigérés', 'Quiches', 'Plats préparés réfrigérés', 'Quiches lorraines']",,['France'],,,"['Œufs', 'Gluten', 'Lait']",4,19 g,en quantité modérée,12 g,en quantité élevée,3.3 g,en faible quantité,1.5 g,en quantité modérée,,+14%,+14%,+17%,+38%,+4%,+43%,+19%,"1,5",+44%,"0,6",+44%,19,+34%,E,+34%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,
1604,Carottes et pois chiche au cumin - Carte Nature,3700477660826,['France'],"['Carottes* 38%', 'lentilles* vertes réhydratées 24%', 'vinaigrette* ', 'huile de tournesol*', 'eau', ""vinaigre d'alcool*"", 'MOUTARDE* ', ""vinaigre d'alcool*"", 'graines de MOUTARDE*', 'eau', 'sel', 'sel', 'épaississants : gomme xanthane gomme guar*', 'pois chiches* réhydratés 12%', 'écorces de citron* confits 4,1% ', ""sirop d'amidon de mais*"", 'écorces de citron*', 'sel', 'jus de citron* 4%', 'graines de courge*', 'coriandre* 0,9%', 'sel', 'cumin* graine 0,3%', "" *Ingrédients issus de l'Agriculture Biologique""]",[],548,131,548 kj(131 kcal),"5,3","0,7",14,"5,6","4,5",,,,['Plastique'],['Carte Nature'],"['Plats préparés', 'Légumes préparés']",,,,,['Moutarde'],4,5.3 g,en quantité modérée,0.7 g,en faible quantité,5.6 g,en quantité modérée,1.2 g,en quantité modérée,+62%,+46%,+48%,+16%,-2%,+103%,+77%,+118%,"1,2",+65%,"0,48",+65%,0,-100%,B,-100%,,,,,,,,['E415 - Gomme xanthane'],['Bio'],,,,,
1605,Pain au levain traditionnel - Belledonne - 400g,3700531251229,['France'],"['LIN da Eau', '150,1', ""courge flé»cons d'AVC"", 'lt de BLEN {farine de BLÉ eau', 'tei gris cie GLterandee Ingredient allergène en MAJUSCULE', ' Traces possibles en Savoie 73110 : lait', "" lupin et ingrédients issus cie l'agriculture bioletlique"", "" Il 'farine transformée en région Midi-Pyrenées à pattir de ceréales - cultivées majoritairement dans la région "", 'blé minimum 95%1']",['Non végétalien'],?,261,1092 kj(261 kcal),"7,2","1,1",37,"1,1","9,6",,,400 g,,['Belledonne'],['Boulangerie'],,,,,['Gluten'],,7.2 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en faible quantité,1.3 g,en quantité modérée,,+5%,+9%,+68%,-8%,-10%,-44%,+22%,"1,3",+7%,"0,52",+7%,0,-100%,B,-100%,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",,,,,
1606,Hachis parmentier bio - Dietbon - 300g,3700569001131,['France'],"['Pommes de terre* 43%', 'eau', 'viande de bœuf* [ORIGINE UE] 20%', 'carottes*', 'oignons*', 'BEURRE ', 'LAIT', ' doux*', 'BOULGOUR ', 'GLUTEN', '*', 'CREME fraîche* 1,2%', 'huile de colza*', 'sel', 'ail déshydraté*', 'épaississants : gomme guar* et gomme xanthane', 'fécule de pomme de terre*', 'curcuma*', 'poivre*', ""* ingrédients issus de l'agriculture biologique""]","['Non végétalien', 'Non végétarien']",413,98,413 kj(98 kcal),"5,6","2,5","4,5","0,5","7,5",D,,300 g,"['Sous-vide', 'Carton', 'Plastique']","['Dietbon', 'Kitchen Diet', 'Kitchen-Diet']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Hachis parmentier']",['Union européenne'],['France'],"['FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']",,"['Gluten', 'Lait']",4,5.6 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,0.9 g,en quantité modérée,-15%,-22%,-20%,-9%,-14%,-55%,-69%,+21%,"0,9",+23%,"0,36",+23%,1,-65%,B,-65%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,['E412 - Gomme de guar'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09', 'Point Vert', 'Fabriqué en France', 'Triman']",,,,,
1607,Mix Energie Graines de Courges Raisins Noix de cajou Goji - SANS GLUTEN - 240g,3700569023508,['France'],"['Graines de courges 34,90% *', 'Raisins secs 25,20% *', 'NOIX DE CAJOU ', 'FRUITS A COQUES', ' 24,90% *', ""Baies de goji 15% ** issu de l'agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",2062,491,2062 kj(491 kcal),28,"5,2","41,8","23,9","15,5",,,240 g,,,,,,,,['Fruits à coque'],,,,,,,,,,,,,,,,,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,
1608,Dessert Chocolat - Lehmann - 125g,3700613100247,['France'],"['Lait entier', 'chocolat noir 64% de cacao', 'sucre', 'amidon de manioc', 'poudre de lait', 'gélifiant ', 'algues marines E407', 'arôme']",['Non végétalien'],?,170,711 kj(170 kcal),"8,4","5,2","19,5",18,"3,7",,,125g,,['Lehmann'],"['Desserts', 'Desserts au chocolat']",,,,,['Lait'],4,8.4 g,en quantité modérée,5.2 g,en quantité élevée,18 g,en quantité élevée,0.1 g,en faible quantité,,-14%,-12%,-11%,-9%,-4%,+2%,-18%,"0,1",-43%,"0,04",-43%,8,-5%,C,-5%,,,,,,,,,,,,,,
1609,Crepes - 300g,3700621710001,['France'],[],[],?,219,916 kj(219 kcal),"6,3","3,3","35,5",15,"5,2",,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
1610,Aperitivo Festivo,3700656402575,['France'],[],[],?,329,1377 kj(329 kcal),26,13,"1,5","0,5",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,
1611,"Soupe Bio Potimarron, Poire, Piment - Marcel bio - 48cl",3700749302102,['France'],"['Eau,potimarron 38% purée de poires 8% carotte huile d’olive vierge extra sel piment doux piment fort 0,3%']",[],?,?,,?,,?,,?,,,48cl,['Bouteille'],['Marcel bio'],"['Plats préparés', 'Soupes']",['France'],['Provence'],"['EMB 13089H', 'Saint-Andiol (Bouches-du-Rhône, France)']",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,
1612,Champignons de Paris Blancs biologiques - Le Champicard - 200g,3700789600084,['France'],"['Champignons de Paris blancs ', 'catégorie 2 - calibre M']",[],?,21,88 kj(21 kcal),"0,36","0,07","1,33","1,06","2,62",B,,200 g,"['Barquette', 'Plastique']",['Le Champicard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais', 'Champignons de Paris entiers']","['France', 'Picardie']","['Picardie', 'France']",,['Auchan'],,,0.36 g,en faible quantité,0.07 g,en faible quantité,1.06 g,en faible quantité,0 g,en faible quantité,,-9%,-6%,+7%,-26%,-10%,+149%,+17%,0,-100%,0,-100%,-7,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,"['Bio', 'Bio européen', 'Catégorie II', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,
1613,Sablé caramel,3700796300359,['France'],[],[],?,521,2180 kj(521 kcal),"23,1","14,6","66,7","28,8","6,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,
1614,Mousse de foie forestière - L'assiette D'Antoine - 160g,3700912300652,['France'],"['Gras de porc', 'foie de porc 22%', 'foie de poulet', 'couenne de porc', 'eau', 'champignons forestiers 39% ', 'bolets jaunes', 'cèpes', 'pleurotes', 'champignons noirs', 'farine de blé', 'protéines de blé', 'plantes aromatique déshydratées', 'sel', 'dextrose', 'arômes naturels', 'conservateur : nitrite de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,330,1381 kj(330 kcal),30,11,3,"1,7",12,,,160 g,,"[""L'assiette D'Antoine""]","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']",,,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,['Gluten'],4,30 g,en quantité élevée,11 g,en quantité élevée,1.7 g,en faible quantité,1.3 g,en quantité modérée,,-0%,-1%,-3%,-4%,+5%,+8%,+15%,"1,3",-18%,"0,52",-18%,19,-2%,E,-2%,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
1615,Soupe de poisson - L’assiette D’Antoine,3700912301895,['France'],"['Eau', 'poissons ', '30%', 'concentré de tomates', 'vin blanc', ""huile d'olive"", 'épices', 'plante aromatique', 'sel', 'épaississant : gomme de xanthane', 'colorant : oléorésine de paprika']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,37,155 kj(37 kcal),"1,1","0,5","1,2","0,5","5,2",E,,,,['L’assiette D’Antoine'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,['Poisson'],4,1.1 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,,-23%,-22%,-42%,+11%,-34%,-23%,+1%,1,+13%,"0,4",+13%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,"['E415 - Gomme xanthane', 'E160c - Extrait de paprika']",['Sans conservateurs'],,,,,
1616,Les Biscuits de Montbozon - Jours Heureux - 110g,3700956431022,['France'],[],[],?,353,1477 kj(353 kcal),"4,9","1,3",69,40,"8,9",,,110 g,,['Jours Heureux'],,,,,,,,,,,,,,,,,,,,,,,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,
1617,Camomille - 1336 - 37.5g (25sachets),3700968100107,['France'],[],[],?,?,,?,,?,,?,B,,37.5 g (25 sachets),,['1336'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés en sachets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
