,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
608,Fraises coup de soleil Le fragole - 500g,3661030020160,,,500 g,"['Film plastique', 'Barquette plastique', 'Plastique', 'Film plastique']",['Fragole'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['Catégorie I'],['Espagne'],['Spain'],['ES B 21158076'],,['France'],"['Fraises d’origine Espagne', ' CAT 1']",,[],1,1 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en faible quantité,0.1 g,en faible quantité,?,,32,-82%,134 kj(32 kcal),-82%,1,+39%,"0,5",+225%,7,-81%,"2,1",-93%,1,-36%,"0,1",+229%,"0,04",+229%,-5,-708%,A,-708%,,,,,,,,,"['Super U', 'Leclerc']",,,,
609,Blancs de poulet à la provencale 4 tranches - Tradilège - 120g,3661112052591,D,"Blanc de poulet cuit de qualité supérieure à la provençale, traité en salaison",120 g,"['Barquette', 'Film', 'Plastique', 'Frais', 'Sous atmosphère protectrice']","['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Frais', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches', 'Blancs de poulet à la provençale']","['Viande-francaise', 'Qualité supérieure', '100% filet', 'Volaille-francaise', 'Alimentation 100\xa0% végétale et minérale', 'Info-Tri Point Vert']","['France', 'Volaille']","['Kermené (Filiale E.Leclerc) - Le Perey - 22330 Saint-Jacut-du-Mené', ""Côtes-d'Armor"", 'Bretagne', 'France']","['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]","http://www.e-leclerc.com/catalogue/marques-distributeurs/marque-repere/alimentaire/frais/charcuterie-LS/blancs-de-poulet-a-la-provencale-4-tranches---120-g,4041",['France'],"['Filet de poulet 88%', ' origine ue', 'eau', 'sel', 'tomate deshydratee 1', '3%', 'aromes naturels', 'dextrose', 'plantes aromatique ', 'persil', 'basilic', '0', '02%', 'ciboulette', 'cerfeuil', 'estragon', 'ail', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'colorant: caramel ordinaire']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1.3 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,1.8 g,en quantité élevée,438,-1%,?,,438 kj(105 kcal),-2%,"1,3",-37%,"0,2",-67%,1,-7%,1,+17%,"21,2",+2%,"1,8",-3%,"0,72",-3%,3,-33%,C,-33%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",['Leclerc'],,,,
610,Allumettes fumées Tradilège VPF -25% sel - 150g,3661112069469,,,150g,['sous vide'],['Tradilege'],,"['Viande Française', 'Viande Porcine Française']",,,,,['France'],[],,[],,,,,,,,,,?,,250,,1046 kj(250 kcal),,20,,9,,"0,6",,"0,6",,17,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
611,Viande de porc hachée - Férial - 350g,3661112087463,,,350 g,['Barquette'],"['Férial', 'Marque Repère']",,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs']",,,,,['France'],"['Epaule de porc ', '98%', 'sel', 'arome naturel', 'poivre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,876,,?,,876 kj(209 kcal),,14,,"5,5",,"0,3",,"0,3",,18,,"1,8",,"0,72",,,,,,,,,,,,,,['Leclerc'],,,,
612,Faux-filet bio x 1 - Marque Repère - 160g,3661112098100,,,160 g,,"['Marque Repère', 'Bio Village']",,"['Bio', 'Viande Française', 'Viande-bovine-francaise']",,,,,['France'],"['1x faux-filet*** a griller ou a poeler bio', ' viande bovine origine france']",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
613,Jambon supérieur avec couenne 4 tranches - Bio Village - 180g,3661112500429,D,,180 g,,"['Bio Village', 'Marque Repère']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'Qualité supérieure', 'AB Agriculture Biologique']",,['France'],,,['France'],"[""issus de l'agriculture biologique""]",,[],3,7.4 g,en quantité modérée,1.3 g,en faible quantité,0.1 g,en faible quantité,1.6 g,en quantité élevée,588,+16%,?,,588 kj(141 kcal),+7%,"7,4",+54%,"1,3",-29%,"0,1",-85%,"0,1",-83%,21,-0%,"1,6",-14%,"0,64",-14%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Leclerc'],,,,
614,Jambon supérieur découenné dégraissé 2 tranches sans OGM et antibiotique - Tradilège - 70g,3661112500931,C,,70 g,['Barquette'],"['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['en:without-antibiotics', 'Viande Française', 'Sans antibiotique après le premier âge', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore C', 'Qualité supérieure']",['France'],,,,['France'],"[""Jambon de porc issu d'animaux nourris sans ogm "", '< 0,9%', ' et eleves sans traitement antibiotique apres le 1er age ', ' 42 jours', 'sel', 'dextrose', 'aromes naturels', 'antioxydant:e316', 'conservateur: e250']",,"['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,514,+2%,?,,514 kj(123 kcal),-6%,4,-17%,"1,6",-13%,"0,5",-25%,"0,5",-16%,21,-0%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Leclerc'],,,,
615,Boudins blancs - Bio Village - 220g,3661112601331,D,,220g,,"['Bio Village', 'Marque Repère']","['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']","['Bio', 'Bio européen']",,,,,['France'],"['Viande de porc* 50 % ', 'origine UE', 'lait*', 'gras deporc* ', 'origine UE', ""blanc d'oeuf"", 'fécule* oignons,sel*', 'dextrose*', 'épices* et plantes aromatiques*', 'arômes naturels', ' Boyau naturel de porc', ""*ingrédients issus de l'agriculture biologique""]","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,6.6 g,en quantité élevée,2.4 g,en faible quantité,1.3 g,en quantité modérée,?,,235,-3%,983 kj(235 kcal),-4%,19,-6%,"6,6",-16%,"5,1",+19%,"2,4",+22%,10,-3%,"1,3",-13%,"0,52",-13%,13,-19%,D,-19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,['Leclerc'],,,,
616,Bio à boire framboises - Les 2 vaches,3661344273214,E,,,,['Les 2 vaches'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']","['Bio', 'Fair for Life']",,,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,['France'],"['Lait demi-écrémé* ', '74,2%', ' framboise* ', '16,1 %', 'sucre de canne* ', '6,9 %', 'crème* ', 'lait', ' ', '2,5 %', 'poudre de lait écrémé', 'ferments lactiques ', 'lait', ' Lait:Origine France', "" Issu de l'agriculture biologique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2.1 g,en quantité modérée,1.4 g,en quantité modérée,10.5 g,en quantité élevée,0.08 g,en faible quantité,?,,74,+3%,310 kj(74 kcal),+2%,"2,1",+39%,"1,4",+48%,"10,5",-7%,"10,5",-2%,"2,8",-3%,"0,08",-25%,"0,032",-25%,18,+12%,E,+12%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,['Magasins U'],,,,
617,Bio a boire - Les 2 Vaches - 536g,3661344283251,D,,536 g,['Cartons'],['Les 2 Vaches'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aux fruits', 'Yaourts à la framboise']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fair for Life']",,,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,['France'],"['Lait demi-écrémé* ', '68', '7%', 'framboise* cuite ', ' 21', '1%', ' ', 'soit 24', '8%  framboise fraiche', 'sucre de canne* ', '6,9 %', 'creme* ', 'lait', 'poudre de lait écrémé*', 'ferments lactiques ', 'lait', ""\r*Issu de l'agriculture biologique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2.2 g,en quantité modérée,1.4 g,en quantité modérée,11 g,en quantité élevée,0.09 g,en faible quantité,?,,77,-21%,322 kj(77 kcal),-21%,"2,2",-26%,"1,4",-23%,11,-17%,11,-9%,"2,8",-21%,"0,09",-17%,"0,036",-17%,19,+657%,E,+657%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,21,,['Magasins U'],,,,
618,Riz Parfumé jasmin superieur,3661945140014,,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Magasins U'],,,,
619,Sauce Aigre Douce - Mont Asie - 300ml,3661945210014,A,,300 ml,"['Verre', 'Bouteille']",['Mont Asie'],"['Epicerie', 'Sauces', 'Sauces aigre-douces']",,,,,,['France'],"['Sucre', 'vinaigre', 'pâte de tomate', 'eau', 'amidon de maïs', 'sel acide acétique', 'arôme', 'épaississant : E415']",,[],4,0 g,en faible quantité,0 g,en faible quantité,36.5 g,en quantité élevée,0.9 g,en quantité modérée,703,+58%,?,,703 kj(168 kcal),+37%,0,-100%,0,-100%,"41,4",+57%,"36,5",+66%,"0,5",+0%,"0,9",-23%,"0,36",-23%,13,+31%,D,+31%,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,['E415 - Gomme xanthane'],['Magasins U'],,,,
620,"Sauce Soja Sucrée Oishiya, Carafe De",3661945230012,B,,,,['Oishiya'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",,,,,,['France'],"['sucre 49%', 'eau', 'graine de soja', 'sel', ""farine'de blé"", 'levure', ""correcteurs d'acidité: E270"", 'conservateur E202', ' Heurs']","['Gluten', 'Soja']",[],3,0.2 g,en faible quantité,0.01 g,en faible quantité,26.2 g,en quantité élevée,15.1 g,en quantité élevée,?,,126,-44%,527 kj(126 kcal),-45%,"0,2",+12%,"0,01",-66%,"28,5",-45%,"26,2",-43%,2,-39%,"15,05",+87%,"6,02",+87%,16,-23%,D,-23%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"['E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
621,"Nouilles de riz ""Phò"" - Ôngxen - 300g",3661945420055,,,300 g,['Paquet'],['Ôngxen'],,,,,,,['France'],"['Riz', 'sel', 'eau']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,354,,1481 kj(354 kcal),,0,,0,,2,,2,,"1,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,
622,La Pâte Feuilletée Pur Beurre - Marie,3661987000826,D,,,,['Marie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,,,,['France'],[],,[],,21 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,?,,373,-2%,1561 kj(373 kcal),-2%,21,-3%,14,+24%,38,-1%,1,-34%,6,+3%,1,-1%,"0,4",-1%,18,+9%,D,+9%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,,
623,Puff Pastry Vivagel - 230g,3661987001649,,,230g,,['Vivagel'],,,,['France'],"['EMB 01451A', 'Viriat (Ain, France)']",,['France'],"['Farine de blé', 'margarine végétale 22%[graisses et huiles végétales ', 'palme', 'coprah', 'colza,tournesol,palmiste', ' - eau', ' émulsifiant : mono', "" et diglycérides d'acides gras"", 'sel', ""correcteur d'acidité : acide citrique"", 'colorant : bêta-carotène eau', ' alcool', ' sel', 'gluten de blé', ""vinaigre d'alcool"", 'agent de traitement de la farine : L cysteine']",['Gluten'],['Huile de palme'],4,,,,,,,,,?,,336,,1406 kj(336 kcal),,"18,3",,"9,6",,"36,5",,"0,8",,"5,7",,"1,275",,"0,51",,,,,,,,,,,,,"['E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E920 - L-Cystéine et ses chlorhydrates']",,['Huile de palme'],,,
624,BCAA 6.1.1 - Harder,3662072011123,,,,,"['Harder', 'Aptonia']",,,,,,,['France'],"['L-Leucine', 'maltodextrine', 'L-lsoleucine', 'L-Vaiine', 'correcteur acide citrique', 'arômes', 'édulcorants : sucralose et acésulfame de potassium * E 129 ', ""peut avoir des effets indésirables sur l'activité et l'attention chez les Conseils d'utilisation : Prendre 10 g de poudre "", '1 dosette', "" parjouravec200rl\\z Attention : Les compléments alimentaires doivent être utilisés dans le cadre de vie sain et ne pas être utilisés comme substituts d'un régime équi!ibré"", ' Ne pas dépasser la dose journalière indiquée', ' Réservé à radulte', 'femme enceinte ou allaitante', ' Tenir hors de portée des enfants', 'ConseNer au et à Cabri de la lumière']",,[],4,,,,,,,,,?,,370,,1548 kj(370 kcal),,1,,0,,12,,4,,78,,"0,57",,"0,228",,,,,,,,,,,,,"['E641 - L-leucine', 'E955 - Sucralose']",['Décathlon'],,,,
625,Lentilles Mémé Georgette,3662790001314,,,,,['Mémé Georgette'],,['Bio'],,,,,['France'],[],,[],,,,,,,,,,?,,82,,343 kj(82 kcal),,"0,3",,0,,"12,8",,"0,5",,6,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,
626,Petits pois bio - Mémé Georgette - 350g,3662790001963,A,,350g,"['Conserve', 'Verre', 'Bocal']",['Mémé Georgette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']","['Bio', 'Bio européen', 'NL-BIO-01']",,['Pays-Bas'],,http://memegeorgette.com/legumes/,['France'],"['petits pois*', 'eau', 'sel marin', ""\r *ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0 g,en faible quantité,3.7 g,en faible quantité,0.3 g,en quantité modérée,201,-39%,?,,201 kj(48 kcal),-37%,"0,3",-57%,0,-100%,"9,5",-6%,"3,7",+12%,"3,6",-25%,"0,3",-46%,"0,12",-46%,-9,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,['Carrefour'],,,,
627,Petits pois et carottes bio - Mémé Georgette - 350g,3662790001987,,,350g,"['Conserve', 'Verre', 'Bocal']",['Mémé Georgette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']","['Bio', 'Bio européen', 'NL-BIO-01']",,['Pays-Bas'],,http://memegeorgette.com/legumes/,['France'],"['petits pois*', 'carottes*', 'eau', 'sel marin', ""\r* = ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,3.3 g,en faible quantité,0.6 g,en quantité modérée,147,-19%,?,,147 kj(35 kcal),-22%,"0,2",-62%,0,-100%,"7,6",+30%,"3,3",+35%,2,-5%,"0,6",-23%,"0,24",-23%,-6,,A,,,,,,,,,,['Carrefour'],,,,
628,Champignon De Paris - Mémé Georgette,3662790002090,A,,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Mémé Georgette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve']",['Bio'],,,,,['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,1.4 g,en faible quantité,0.5 g,en quantité modérée,?,,19,-14%,79 kj(19 kcal),-10%,"0,2",-40%,0,-100%,"2,3",+174%,"1,4",+347%,"2,2",-2%,"0,5",-23%,"0,2",-23%,-4,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,
629,Maïs doux bio - Mémé Georgette - 350g,3662790002106,,,350g,"['Conserve', 'Verre', 'Bocal']",['Mémé Georgette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes bio']","['Bio', 'Bio européen', 'NL-BIO-01']",,['Pays-Bas'],,http://memegeorgette.com/legumes/,['France'],"['maïs doux*', 'eau', 'sel marin', ""\r* = ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,3.9 g,en faible quantité,0.6 g,en quantité modérée,250,,?,,250 kj(60 kcal),+60%,"0,8",+208%,"0,2",+300%,"11,6",+55%,"3,9",+86%,2,+4%,"0,6",+3%,"0,24",+3%,-5,,A,,,,,,,,,,['Carrefour'],,,,
630,Moutarde a l'ancienne - piment d'espelette - L'origine Du Gout - 100g,3664335000844,B,,100 g,,"[""L'origine Du Gout""]","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,['France'],[],,[],,10 g,en quantité modérée,0.7 g,en faible quantité,2.8 g,en faible quantité,4.8 g,en quantité élevée,?,,146,-14%,611 kj(146 kcal),-14%,10,-7%,"0,7",-15%,"4,5",-35%,"2,8",-27%,"6,7",+2%,"4,8",+2%,"1,92",+2%,6,-48%,C,-48%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,
631,Chocolat noir grand cru Jinotega 70% - L'origine Du Goût - 70gr,3664335001445,E,,70gr,['aluminium et papier'],"[""L'origine Du Goût""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['Nicaragua'],,,http://www.loriginedugout.fr,['France'],"['Pâte de cacao ', 'Nicaragua', 'sucre', 'beurre de cacao', ' Cacao : 70 % minimum', ' Traces de lait']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,36 g,en quantité élevée,12 g,en quantité élevée,30 g,en quantité élevée,0.01 g,en faible quantité,?,,528,-5%,2209 kj(528 kcal),-5%,36,-9%,12,-48%,38,-2%,30,-5%,"7,5",-2%,"0,01",-79%,"0,004",-79%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['Leclerc'],,,,
632,300G Champignon a La Grecque Mix Buffet - Les mousquetaires - 300g,3700009201541,B,,300 g,['Conserve'],['Les mousquetaires'],"['Plats préparés', 'Légumes préparés', 'Champignons à la grecque']",,,,,,['France'],"['CHAMPIGNONS DE PARIS À LA GRECQUE hampignons de Paris et oignons dans une sauce à base de double concentré e tomates', ' narédients : Champignons de Paris 58%', 'sauce à la grecque 27,5% [eau', 'ùoncentré de tomates 5,6%', 'huile de colza', ""vinaigre d'alcool"", 'sel', 'arn', 'mt', ' mMfié de pomme de terre', 'épaississant : gomme xanthane', 'infusion ', 'dont céleìl', '12,4%', 'sucre', 'vin blanc', 'basilic', 'poivre blanc', 'acidifiant : acide cimque', 'mnscrvatctr: sorbate de potassium', 'épices', 'persil', 'jus de citron concenté']",,[],4,3.6 g,en quantité modérée,0.3 g,en faible quantité,3.9 g,en faible quantité,1.3 g,en quantité modérée,?,,65,-4%,272 kj(65 kcal),-4%,"3,6",-14%,"0,3",-11%,"5,4",+14%,"3,9",+29%,"1,7",-1%,"1,3",+11%,"0,52",+11%,1,-68%,B,-68%,64.9%,4.7%,11.1%,12.1%,5.6%,1.5%,93,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
633,Piémontaise au jambon supérieur - Carrefour,3700009204214,C,,,,['Carrefour'],"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']","['Viande Française', 'Viande Porcine Française']",,,,,['France'],"['PIÉMONTAISE AU JAMBON SUPÉRIEUR Pommes de terre cuites', 'tomates', 'jambon cuit supérieur et Œufs durs en mayonnaise', ' : Pommes de terre cuites salées 43,1 mayonnaise 18,8% [huile de colza', ""jaune d'œuf"", 'eau', ""vinaigre d'alcool"", 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', ']', 'tomates 13,9%', 'jambon blanc cuit supérieur 11 ,9% ', 'jambon de porc 10,8%', 'eau', 'sel', 'dextrose', 'arômes', 'antioxydant : éoftrbate de sodium', 'conservateur : nitrite de sodium', 'Œufs durs 6,9%', 'comichons', 'poivre blanc', 'persil', ' Viande de porc origine France']","['Œufs', 'Moutarde']","['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,209,+39%,874 kj(209 kcal),+41%,17,+59%,"1,4",+36%,"9,7",+17%,"0,5",-31%,"3,5",-14%,"0,9",-10%,"0,36",-10%,3,-11%,C,-11%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Carrefour'],,,,
634,Macédoine de Légumes - mayonnaise - Carrefour,3700009215081,,,,,['Carrefour'],"['Plats préparés', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']",,,,,,['France'],"['Macédoine de légumes 77', '6% ', 'carottes', 'navets', 'haricots verts', 'petits pois', 'flageolets verts', 'sauce 21,5% [huile de colza', 'eau', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'sel', ""jaune d'oeuf"", ""vinaigre d'alcool"", 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane]', 'sucre', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'poivre blanc', ' * Conformément à la réglementation en vigueur']","['Œufs', 'Moutarde']",['Non végétalien'],4,9.1 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en faible quantité,0.78 g,en quantité modérée,?,,121,+32%,506 kj(121 kcal),+30%,"9,1",+62%,"0,7",+42%,"5,5",-6%,"1,9",+17%,"2,4",+2%,"0,78",+0%,"0,312",+0%,0,-100%,B,-100%,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Carrefour'],,,,
635,Quinoa & Boulgour - Lidl,3700009263518,,,,"['Frais', 'Plastique']",['Lidl'],"['Plats préparés', 'Salades', 'Salades composées']",,,,,,['France'],"['Blé dur cuit 27,3%', 'betteraves rouges cuites vinaigrées 21,1%', 'quinoa rouge et blanc cuit 13,1%', 'pois chiches cuits 8,9%', 'huile de colza', 'cranberries 3,1 % ', 'sucre', 'cranberrie', 'huile de tournesol', 'féta AOP au lait pasteurisé de brebis et de chèvre 2,8%', 'eau', 'carottes', 'fromage de chèvre au lait pasteurisé 2,2%', 'graines de courges 2%', 'huile de tournesol aromatisée au basilic ', 'huile de tournesol', 'basilic', 'fromage', ""jeunes pousses d'épinards"", ""vinaigre d'alcool"", 'crème de cassis de Dijon 0,6%', 'sel', 'coriandre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'ail', ""jaune d'?uf"", 'amidon modifié de pomme de terre', 'sucre', 'épaississant : gomme xanthane', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'poivre blanc', ' Traces éventuelles de soja', 'céleri', 'lupin', 'fruits à coque et sulfites', ' Informations en gras destinées aux personnes allergiques']","['Lait', 'Moutarde']",['Non végétalien'],4,11 g,en quantité modérée,1.9 g,en quantité modérée,4.8 g,en faible quantité,0.73 g,en quantité modérée,?,,177,+16%,741 kj(177 kcal),+17%,11,+23%,"1,9",+41%,14,+39%,"4,8",+112%,"3,9",-29%,"0,73",-17%,"0,292",-17%,2,+32%,B,+32%,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lidl'],,,,
