,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
894,Pecorino frais pepato,2480231024347,,,['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,"35,3",,"24,2",,"1,21",,"1,2",,"22,8",,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Amandel marsepein,2019974799993,,,['France'],[],[],,,,,,,,,?,,431,,1803 kj(431 kcal),,"15,4",,"1,6",,67,,"63,3",,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Infuselle - Ricola,3174331000576,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,0,,0,,96,,94,,0,,0,,0,,,,,,,,,,,,,,['Ricola'],,,,,,,,,,,,,
897,01240009,01240009,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Comté,2460578038245,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.82 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,"0,5",+8%,"0,5",+80%,27,+7%,"0,82",-16%,"0,328",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
899,India gate Basmati rice - KRBL limited - 1kg,0690225101103,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']","['France', 'Inde']",['basmati rice'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,,,,,0.263 g,en faible quantité,?,,344,+5%,1439 kj(344 kcal),+4%,"0,5",-52%,,,77,+8%,,,"6,7",-11%,"0,262",+633%,"0,105",+633%,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['KRBL limited'],1 kg,,,['Plastic'],['Ajanta'],,,1,basmati rice,http://www.krblrice.com/super.html,,,
900,Galettes fines - Les délices de josephine - 300g,3760009688407,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Les délices de josephine'],300g,,,,,,,,,,,,
901,Délice d'artichauts bio,3277250017004,,,['France'],[],[],,,,,,,,,?,,225,,941 kj(225 kcal),,21,,"2,5",,"5,5",,1,,"1,7",,"0,6",,"0,24",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
902,Chocolat noir lin - Le Clos de l'Arche - 90g,3760027471210,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs au lin']",['France'],[],[],39.9 g,en quantité élevée,29 g,en quantité élevée,26.4 g,en quantité élevée,0.17 g,en faible quantité,2313,+1%,?,,2313 kj(553 kcal),-0%,"39,87",+1%,29,+26%,36,-7%,"26,42",-17%,"8,14",+6%,"0,17",+264%,"0,068",+264%,16,-25%,D,-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Bio'],"[""Le Clos de l'Arche""]",90 g,,,,,,,,,,,,
903,Instant chai,4032108123554,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"16,5",,"10,4",,"5,82",,"5,82",,"15,9",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Yaourt naturale biologico - Scaldasole,8010795001894,,,['France'],[],[],,,,,,,,,?,,83,,347 kj(83 kcal),,"4,8",,"3,3",,"5,9",,"4,9",,4,,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio-dynamie']",['Scaldasole'],,,,,,,,,,,,,
905,Sushi Chef Graines de Sésame (Baycliff Onc. Compagny),0047834060121,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,turron de coco - Picó,8412115000554,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron à la noix de coco']",['France'],"['45% NOIX DE COCO RAPÉE', 'SUCRE', 'SIROP DE GLUCOSE ET CONSERVATEUR E-200']",[],26 g,en quantité élevée,24 g,en quantité élevée,44 g,en quantité élevée,0.004 g,en faible quantité,?,,470,-3%,1966 kj(470 kcal),-3%,26,-4%,24,+22%,52,+0%,44,+10%,"2,1",-34%,"0,004",-89%,"0,002",-89%,23,+6%,E,+6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['en:gluten-free'],['Picó'],,,,,,,,3,,http://turronpico.com/productos/calidad-suprema/turron-coco-calidad-suprema/,,,
907,poivre noir du Vietnam - HORECA - 160ge,3439495103236,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Produits destinés aux professionnels'],['HORECA'],160ge,,,['Plastique'],['Metro'],,,,,,,,
908,Shark,8851123229883,,,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,0,,0,,"15,3",,"15,3",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Saint émulsion grand cru - La grâce Dieu - 75cl,3760196260080,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['La grâce Dieu'],75cl,,,,,,,,,,,,
910,"pizzas -  - 1,500g",3398572941003,,"['Plats préparés', 'Pizzas tartes salées et quiches']",['France'],"['pâte à pains', 'sauce tomate ,olives']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"1,500g",,['Bio'],,['Boulangerie'],,,3,,,['Boulangerie'],,
911,Pasta Sauce,4335896764344,,,['France'],[],[],,,,,,,,,?,,38,,159 kj(38 kcal),,"0,5",,"0,1",,"7,4",,"5,7",,"1,1",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Crème de framboise - Suprex,3171870002856,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Suprex'],,,,,,,,,,,,,
913,Requins shaeks - Fini,8410525202476,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,0,,0,,76,,52,,6,,"0,1",,"0,04",,,,,,,,,,,,,,['Fini'],,,,,,,,,,,,,
914,Soft dry Mango,8859259300070,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,0,,0,,26,,15,,0,,0,,0,,,,,,,,,,,,,['Sans arômes artificiels'],,,,,,,,,,,,,,
915,Hamburger,8008168001503,,,['France'],[],[],,,,,,,,,?,,294,,1230 kj(294 kcal),,17,,4,,"9,6",,"0,7",,14,,"1,4",,"0,56",,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,
916,Crevettes des mers froides - Qualité & Prix,7613413028313,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,"0,9",,"0,2",,0,,0,,18,,"0,85",,"0,34",,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']","['Qualité & Prix', 'Coop']",,,,,,,,,,,,,
917,Gourmet Backschinken,4337185365034,,,['France'],[],[],,,,,,,,,?,,130,,544 kj(130 kcal),,5,,2,,1,,"0,9",,20,,"2,25",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Yupo Sour Meter,8690840226337,,,['France'],[],[],,,,,,,,,?,,1397,,5845 kj(1397 kcal),,"1,24",,"1,24",,"73,5",,"43,2",,"2,64",,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Babas à la fleur d'oranger,3701138800049,,,['France'],[],[],,,,,,,,,?,,182,,761 kj(182 kcal),,"3,7",,"2,2",,"35,1",,"26,6",,"1,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
920,gaufrettes amusantes -  - 175g,10954621,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées à la vanille']",['France'],"['Sucre', 'farine de blé', 'matières grasses végétales non hydrogénées ', 'palme*', 'arôme', 'colorant : béta-carotène', 'sel', 'émulsifiant : lécithine de soja', 'poudre à lever : carbonate de magnésium', "" Peut contenir des traces d'euf"", ' durable', ' www', 'rspo', 'info', "" * Ce produit contribue à la production d'huile de palme certifiée CONSERVATION: sachet fermé"", 'au sec à température ambiante']",['Huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,175g,,,,,"['E160ai - Bêta-carotène', 'E322i - Lécithine']",['Gluten'],4,,,,,['Huile de palme']
921,Pasta de usturoi,5941466011238,,,['France'],[],[],,,,,,,,,?,,222,,929 kj(222 kcal),,"19,9",,"2,1",,"9,9",,"2,5",,"0,4",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Chocolat supérieur au lait,4006446001683,,,['France'],[],[],,,,,,,,,?,,578,,2418 kj(578 kcal),,39,,24,,50,,49,,"6,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
923,3179200273501,3179200273501,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Macaron - 154g,0214098036081,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],11 g,en quantité modérée,1.3 g,en faible quantité,54 g,en quantité élevée,0.15 g,en faible quantité,?,,380,-11%,1590 kj(380 kcal),-11%,11,-38%,"1,3",-71%,60,+8%,54,+7%,9,+5%,"0,15",+5%,"0,06",+5%,15,-15%,D,-15%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,154 g,,,,,,,,,,,,
925,Nectar de fraise - Le Paysan Catalan,3760286660011,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de fraise']",['France'],"['Purée de fraise ', '55%', 'eau ', '38%', 'sucre ', '7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,11.2 g,en quantité élevée,0.01 g,en faible quantité,?,,48,-9%,201 kj(48 kcal),-9%,"0,5",+146%,"0,1",+421%,"11,6",-4%,"11,2",-3%,"0,5",+68%,"0,01",-7%,"0,004",-7%,13,-13%,E,-13%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Le Paysan Catalan'],,,,,,,,3,,,,,
926,4006227761621,4006227761621,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,
927,Vegi-aufschnit,7640144050405,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,241,,1008 kj(241 kcal),,"13,8",,"10,2",,"5,9",,"2,2",,"23,9",,"1,45",,"0,58",,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Suisse']",,,,,,,,,,,,,,
928,80787129,80787129,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Véritable Chorizo Espagnol doux - Auchan - 225g,3413761665437,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['France'],"['Viande de porc', ""piment d'Espagne"", 'sel', 'ail', 'boyau naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",43 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,3.5 g,en quantité élevée,1999,+15%,?,,1999 kj(478 kcal),+17%,43,+26%,15,+16%,1,-66%,"0,5",-72%,23,+0%,"3,5",-7%,"1,4",-7%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,"['Sans colorants', 'Sans conservateurs']",['Auchan'],225g,,,['Plastique'],['Auchan'],,,3,,,,,
930,Les délices de Coline,3565700002077,,,['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,"0,2",,0,,97,,67,,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,['Fabriqué en France'],['Les Délices de Coline'],,,,,,,,,,,,,
931,La font de JOSEPH - Beautés de Venise - 750ml,3280790000320,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Beautés de Venise'],750 ml,,,,,,,,,,,,
932,3419180010025,3419180010025,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Miel,8420433003126,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,75.1 g,en quantité élevée,0 g,en faible quantité,?,,302,+4%,1264 kj(302 kcal),+4%,0,-100%,0,-100%,"75,1",-2%,"75,1",+8%,"0,4",+23%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
934,Yaourt Nature Fermier Demi-écrémé,3760175730290,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Jambon superieur - Auchan,2600476033915,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'en:Raw-cured-ham']",['France'],[],[],11 g,en quantité modérée,3.8 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,?,,191,-20%,799 kj(191 kcal),-20%,11,-19%,"3,8",-27%,"0,6",-8%,"0,6",+38%,22,-24%,"1,8",-63%,"0,72",-63%,12,-29%,D,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Auchan'],,"['FR 71.076.001 CE', 'Chalon-sur-Saône (Saône-et-Loire, France)']",,,['Auchan'],,,,,,,,
936,All butter - Tesco Finest,5057373816481,,,['France'],[],[],,,,,,,,,?,,554,,2318 kj(554 kcal),,"34,4",,"21,6",,"54,4",,"16,5",,"5,8",,"0,5",,"0,2",,,,,,,,,,,,,,['Tesco Finest'],,,,,,,,,,,,,
937,Guloseimas,5605408232203,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,80,,61,,4,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Jardin bio' coco ananas,3760020502096,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['Jardin Bio'],,,,,,,,,,,,,
939,Escalope de dinde - Le Gaulois,0217638022568,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,120,-1%,502 kj(120 kcal),-0%,0,-100%,0,-100%,0,-100%,0,-100%,22,-4%,0,-100%,0,-100%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Le Gaulois'],,,,,,,,,,,,,
940,Brazil nut and guarana,4260075592039,,,['France'],[],[],,,,,,,,,?,,427,,1787 kj(427 kcal),,"24,6",,"7,3",,"42,5",,"39,6",,"8,2",,"0,027",,"0,011",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
941,Dip & crunch - Fromageries Bel,3073781104479,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,16,,10,,"25,5",,"5,5",,10,,"1,6",,"0,64",,,,,,,,,,,,,,['Fromageries Bel'],,,,,,,,,,,,,
942,Café décaféiné 100% arabica intensité 6 - La Bio Idea,8718976016414,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['La Bio Idea'],,,,,,,,,,,,,
943,Banana split,4260075590424,,,['France'],[],[],,,,,,,,,?,,346,,1448 kj(346 kcal),,"10,3",,"3,2",,"57,7",,50,,"6,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Teisseire Sirop Poure - Teisseire spécial barman - 700ml,3092718611453,,['Sirops'],['France'],"['sucre', 'eau', 'jus de poire à base de concentré ', '10 %', 'arômes naturels', 'acidifiant: acide citrique', 'colorant: caramel E150a']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,84 g,en quantité élevée,0 g,en faible quantité,?,,336,+31%,1406 kj(336 kcal),+28%,0,-100%,0,-100%,84,+29%,84,+37%,0,-100%,0,-100%,0,-100%,14,+14%,D,+14%,,,,,,,,,['Teisseire spécial barman'],700 ml,,,['Bouteille en verre'],,"['E330 - Acide citrique', 'E150a - Caramel E150a']",,4,,,['France'],,
945,340g,3770002595053,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,,
946,Préparation pour flan citron,3770002635193,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour flans']",['France'],[],[],,,,,,,,,?,,381,+27%,1594 kj(381 kcal),+20%,1,-46%,"0,4",-43%,91,+39%,72,+77%,"1,4",-32%,"0,15",+10%,"0,06",+10%,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
947,Huile D'olive Picholine,3433110000405,,,['France'],[],[],,,,,,,,,?,,899,,3761 kj(899 kcal),,90,,15,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Museau de porc,3061432119934,,,['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,"12,6",,"3,4",,"1,65",,"0,95",,"7,55",,"1,69",,"0,676",,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Coarse Mustard,2078507499991,,,['France'],[],[],,,,,,,,,?,,123,,515 kj(123 kcal),,"7,5",,"0,4",,"7,5",,"1,5",,6,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
950,MadeGood Strawberry Granola Bars - MADE GOOD - 24g,0687456213170,,,"['Canada', 'France']","['Pure rolled oats*', 'agave nectar*', 'strawberry pieces* ', 'apple juice concentrate*', 'apple puree *', 'strawberry puree*', 'cherry juice concentrate*', 'apple pectin', 'natural flavour*', 'brown rice syrup*', 'sunflower oil*', 'whole grain crisp brown rice*', 'currants*', 'agave inulin*', 'molasses*', 'vegetable powder ', 'spinach', 'broccoli', 'carrots', 'tomatoes', 'beets', 'shiitake mushrooms', 'strawberry flavour']",[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"8,333",,"1,25",,"66,667",,25,,"4,167",,"0,104",,"0,042",,,,,,,,,,,,,['en:gluten-free'],['MADE GOOD'],24g,,,,,"['E440 - Pectines', 'E406 - Agar-agar']",,4,,,,,
951,Sera Granatapfeldressing,8690777318037,,,['France'],[],[],,,,,,,,,?,,260,,1088 kj(260 kcal),,0,,0,,60,,60,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Mousse à La Mangue - Alsa,8722700200017,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"1,8",,"1,6",,"6,9",,"5,3",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,"['Alsa', 'Unilever']",,,,,,,,,,,,,
953,Carambar atomics,3664346304191,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,"6,2",,"3,1",,84,,65,,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,['Carambar'],,,,,,,,,,,,,
954,Soho Starfruit - 70cl,3047100057821,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Soho'],70cl,,,,,,,,,,,,
955,chicorée vincart - vincart fils - 500g,5410031000262,,['Boissons'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['vincart fils'],500 g,,,['Paquet'],,,,,,,['Belgique'],,
956,3568901026996,3568901026996,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Gevrey-Chambertin']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,['France'],,,,,,,,,,
957,Chocolate con lacasitos crujiente - Lacasa - 100g,8410740910644,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']","['France', 'Espagne']",[],[],30.5 g,en quantité élevée,18.4 g,en quantité élevée,51.8 g,en quantité élevée,0.41 g,en quantité modérée,?,,537,+3%,2247 kj(537 kcal),+3%,"30,5",+0%,"18,4",+12%,"59,2",+10%,"51,8",+10%,"5,7",-7%,"0,41",+109%,"0,164",+109%,27,+11%,E,+11%,,,,,,,,,['Lacasa'],100 g,,,,,,,,,,,,
958,Lapin Crétins kukuxumusu,3307215586365,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,87,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Chocolat lait cloche Confiserie Rohan,3273070083038,,,['France'],[],[],,,,,,,,,?,,542,,2268 kj(542 kcal),,32,,20,,57,,56,,6,,"0,15",,"0,06",,,,,,,,,,,,,,['Rohan'],,,,,,,,,,,,,
960,La milanese,2839129012049,,,['France'],[],[],,,,,,,,,?,,225,,941 kj(225 kcal),,13,,"2,2",,12,,"0,6",,15,,"1,3",,"0,52",,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,
961,Halloween Marshmallow Lolipop - Dekora,8435035225067,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', ""Aliments et boissons d'Halloween"", 'Guimauves']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0.03 g,en faible quantité,?,,363,-10%,1519 kj(363 kcal),-10%,0,-100%,0,-100%,86,+19%,56,+2%,4,+6%,"0,03",-88%,"0,012",-88%,14,-20%,D,-20%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,['en:gluten-free'],['Dekora'],,,,"['Sachet', 'Plastique']",,,,,Halloween Marshmallow Lolipop,,,,
962,Glace Café,3770011774135,,,['France'],[],[],,,,,,,,,?,,172,,720 kj(172 kcal),,"6,8",,"4,5",,"24,3",,"20,9",,"3,3",,"0,149",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Foie gras de canard - R.Junca,3293540161912,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['France'],[],[],56.1 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,"56,1",+3%,"23,6",+2%,"2,2",-8%,"0,9",-32%,"7,5",-0%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['R.Junca'],,,,,,,,,,,,,
964,Nectar Cerise - Interlude Ardéchois,3770007299277,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de cerise']",['France'],"['Eau ', '50%', ""Cerises d'Ardèche "", '40% minimum de purée', 'Sucre', 'Acide ascorbique', 'Jus de Citron concentré']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.104 g,en faible quantité,0.024 g,en faible quantité,15.1 g,en quantité élevée,0.008 g,en faible quantité,?,,63,+15%,264 kj(63 kcal),+16%,"0,104",-60%,"0,024",-61%,"15,06",+14%,"15,05",+28%,"0,478",+6%,"0,008",-52%,"0,003",-52%,19,+22%,E,+22%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Interlude Ardéchois'],,,,,,,,3,,,,,
965,Torrone siciliano all'arancia,8030525001727,,,"['France', 'Italie']",[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,28,,"6,5",,49,,48,,"9,6",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Dos de cabillaud fumés -,3324030006953,E,"['Produits de la mer', 'Poissons', 'Morues', 'Poissons fumés']",['France'],[],[],0.5 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,2.5 g,en quantité élevée,?,,69,-71%,289 kj(69 kcal),-70%,"0,5",-97%,"0,3",-89%,"0,1",-97%,"0,1",-69%,"17,3",+42%,"2,5",+193%,1,+193%,5,+2%,C,+2%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,,
967,2090225034704,2090225034704,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Palets poire chocolat - Biscuiterie de Chambord,3555140003536,,,['France'],[],[],,,,,,,,,?,,408,,1707 kj(408 kcal),,"25,7",,"16,1",,"62,9",,"38,4",,5,,"0,16",,"0,064",,,,,,,,,,,,,,['Biscuiterie de Chambord'],,,,,,,,,,,,,
969,Filet mignon porc - Cochon Paysan - 200g,3497720367877,,"['Viandes', 'Porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['IGP', 'Label Rouge']",['Cochon Paysan'],200 g,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']",['France'],['Plastique'],,,,,,,,,
970,"Glutathion Intracel 400 MG - 90 Gélules - MGD - 44,55g",3505630901811,,['Compléments alimentaires'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Mgd'],"44,55g",,['France'],['gélules'],,,,,,,['France'],,
