,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
269,Petit pois extra fin carotte en rondelle - Lidl,4056489136453,,,"['Pot en verre', 'Couvercle en métal']","['Lidl', 'Freshona']",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,['France'],[],[],?,,50,,"0,5",,"6,8",,"2,9",,,,,,,,,,,209 kj(50 kcal),"0,1","3,8","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,
270,Boules miel - Simplement BON et BIO - 300g,2006050011223,B,300 g,['Cartonnette'],['Simplement BON et BIO'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au miel']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['Aldi'],['France'],"['Farine de maïs*** ', '72,5%', 'sucre***', 'sirop de glucose***', 'miel*** ', '5%', 'sel', "" *** Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,395,-0%,"2,5",-47%,87,+12%,5,-32%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,4,1653 kj(395 kcal),"1,2",25,"0,4","0,16",,,2.5 g,en faible quantité,1.2 g,en faible quantité,25 g,en quantité élevée,0.4 g,en quantité modérée,-0%,+14%,-0%,-14%,-14%,11,+46%,D,+46%,,,,,
271,Pistaches grillées et salées,8435177064937,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Pistache grillée salée']",,,,,,['France'],[],[],?,,607,-0%,50,+2%,10,-33%,25,+11%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,2540 kj(607 kcal),"6,5",9,"0,83","0,332",,,50 g,en quantité élevée,6.5 g,en quantité élevée,9 g,en quantité modérée,0.83 g,en quantité modérée,-0%,+1%,+32%,-31%,-31%,7,+11%,C,+11%,,,,,
272,Huile d’olive vietge extra,8423243010094,,,,,,,,,,,['France'],[],[],?,,900,,100,,0,,0,,,,,,,,,,,3766 kj(900 kcal),15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
273,Ricola Menthol,7610700012567,E,,,['Ricola'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['FSC-C016368'],,,['France'],[],[],?,,235,-34%,0,-100%,97,+16%,0,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,983 kj(235 kcal),0,0,0,0,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-34%,-100%,-100%,-100%,-100%,2,-86%,B,-86%,,,,,
274,Rosette - Carrefour,3560071243135,D,,"['sous Vide', 'Frais']","['Carrefour', 'Carrefour Bio']","['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['Bio', 'Bio européen', 'Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore E', 'AB Agriculture Biologique']",,"['FR 11.262.047 CE', 'Narbonne (Aude, France)']",,['Carrefour'],['France'],[],[],?,,373,+2%,30,+5%,"2,3",+19%,24,-6%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,1561 kj(373 kcal),11,"1,2","4,7","1,88",['France'],,30 g,en quantité élevée,11 g,en quantité élevée,1.2 g,en faible quantité,4.7 g,en quantité élevée,+2%,-4%,-17%,+4%,+4%,24,+2%,E,+2%,,,,,
275,Zenzerini - Barilla - 220g,8076809577786,C,220 g,,"['Barilla', 'Mulino Bianco']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['Sans huile de palme'],,,,,"['France', 'Italie']","['Farina di frumento', 'zucchero', 'farina integrale di grano saraceno 12', '2%', 'olio di girasole', 'fibra di frumento', ""succo d'uva concentrato 3,2%"", ' amido di frumento', 'latte scremato in polvere', 'agenti lievitanti ', 'carbonato acido di sodio', 'carbonato acido d ammonio', 'emulsionante: lecitina di soia', 'zenzero 0,3%', ' aromi', 'sale']",['Non végétalien'],?,,424,-6%,"11,7",-28%,68,+2%,"7,8",+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",4,1774 kj(424 kcal),1,20,"0,575","0,23",,"['Gluten', 'Lait', 'Soja']",11.7 g,en quantité modérée,1 g,en faible quantité,20 g,en quantité élevée,0.575 g,en quantité modérée,-6%,-84%,-37%,+22%,+22%,6,-64%,C,-64%,"biscotti frollini con farina integrale di grano saraceno, succo d'uva e zenzero",,,,
276,Purée de pomme - Auchan - 580g,3596710483525,,580g,['Verre'],['Auchan'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A']",['France'],,,['Auchan'],['France'],"['Purée de pommes** ', 'origine France', ' 99,5%', 'antioxydant : acide ascorbique', ' **biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,59,,"0,6",,12,,2,,,,,,,,,['E300 - Acide ascorbique'],,247 kj(59 kcal),"0,2",10,"0,5","0,2","['Lubersac', 'France']",,,,,,,,,,,,,,,,,,,,,,,
277,BUITONI FOUR A PIERRE pizza surgelée 4 Fromages - 330g,7613039972083,C,330 g,"['Boite', 'Film en plastique', 'Etui en carton', 'Etui']","['Buitoni', 'Four à Pierre']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux quatre fromages']","['Point Vert', 'Fabriqué en France', 'Sans arômes ajoutés', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C', 'Blé français', 'Triman']",,,,,['France'],"['Farine de BLE ', '32%', 'FROMAGES ', 'LAIT', ' ', 'EDAM ', '14,6%', 'MOZZARELLA ', '10,3%', 'sauce au CHEVRE ', 'FROMAGE de CHEVRE ', '3,1%', 'eau', 'EMMENTAL ', '1%', 'eau', 'purée de tomates ', '11,1%', 'levure boulangère', 'huile de tournesol', 'sucre', 'sel', 'levain de BLE et de SEIGLE ', 'SOJA', 'amidon modifié de pomme de terre', ""extrait de malt d'ORGE et maïs"", 'épices et plantes aromatiques', ""pulpe d'ail"", ' Peut contenir : céleri', 'poissons', 'sésame', 'fruits à coque']",['Non végétalien'],971,-8%,231,-8%,"8,5",-18%,"25,8",-4%,"11,9",+3%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,['E14XX - Amidons modifiés'],4,971 kj(231 kcal),"4,1","3,6","1,3","0,52",['France'],"['Gluten', 'Lait', 'Soja']",8.5 g,en quantité modérée,4.1 g,en quantité modérée,3.6 g,en faible quantité,1.3 g,en quantité modérée,-8%,-27%,+29%,+2%,+2%,10,-15%,C,-15%,Pizza surgelée,,,"France, Blé français",
278,Mini-beignets cœur chocolat-noisettes - 200g,3270160822614,,200 g,['Film en plastique'],['Mini beignets'],"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,"['EMB 62820', 'Tincques (Pas-de-Calais, France)']",,,['France'],"['farine de blé', 'gluten', '\rFourrage au chocolat et à la noisette 24 %', 'sucre', 'huile de colza', 'noisette 3,1 %', 'lait écrémé en poudre', 'chocolat 2,1 %', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', 'émulsifiant lécithine de soja', 'arôme naturel de vanille', '\rhuiles végétales', 'karité', 'tournesol', 'colza', 'eau', 'sucre', 'beurre', 'lait', 'œuf entier liquide pasteurisé 3,6 %', ""blanc d'oeuf liquide pasteurisé 3,6 %"", 'gluten de blé', 'levure', 'sel', ""émulsifiant: Mono et diglycérides d'acides gras d'origine végétale"", 'farine de blé malté ', 'gluten', 'antioxydant acide ascorbique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,503,+42%,36,+128%,38,-16%,"7,2",+14%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",4,2105 kj(503 kcal),14,14,"0,62","0,248",,"['Gluten', 'Lait', 'Fruits à coque']",36 g,en quantité élevée,14 g,en quantité élevée,14 g,en quantité élevée,0.62 g,en quantité modérée,+41%,+303%,-14%,-16%,-16%,21,+75%,E,+75%,,,,,
279,Garden peas et duo de carotte - Picard,3270160879328,,,['Film en plastique'],['Picard'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,['Picard'],['France'],[],[],?,,55,,"0,5",,62,,4,,,,,,,,,,,230 kj(55 kcal),0,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,
280,Macédoine de légumes - Carrefour Bio,3560071238605,B,,,['Carrefour Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes préparés', 'Entrées', 'Macédoines de légumes en conserve', 'Entrées froides', 'Macédoines de légumes', 'en:Canned-drained-diced-mixed-vegetables']","['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,,['Carrefour'],['France'],[],[],?,,43,-53%,0,-100%,5,-14%,3,+28%,24.4%,36.8%,17.2%,8.6%,7.9%,5.0%,89,,,180 kj(43 kcal),0,2,,,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,,,-54%,-100%,+23%,,,,,,,,,,,
281,Aux fruits d'ici - Danone - 2x 145g,3033491659232,B,2 x 145 g,"['Pot en plastique', 'Carton']",['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']",['Sans additifs'],['France'],"['FR 32.464.040 CE', 'Villecomtal-sur-Arros (Gers, France)']",https://www.danone.fr/nos-produits-laitiers-frais/danone/fruits-dici.html,['Carrefour market'],['France'],"['Yaourt 75,4%', 'fraises 17,6%', 'sucre 8,4%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,92,-6%,2,-33%,"12,3",-7%,"3,9",+6%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,3,385 kj(92 kcal),2,"12,3","0,19","0,076",['France'],['Lait'],2 g,en faible quantité,2 g,en quantité modérée,12.3 g,en quantité modérée,0.19 g,en faible quantité,-5%,+5%,-1%,+78%,+78%,2,-26%,B,-26%,yaourt aux fraises,,,,
282,Fruit Punch - Arizona - 500ml,00133324,D,500 ml,['Plastique'],['Arizona'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus multifruits', 'Jus multifruits à base de jus concentré']",,,,,,['France'],[],[],?,,23,-51%,0,-100%,"5,7",-48%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,96 kj(23 kcal),0,"4,8",0,0,['Pays-Bas'],,0 g,en faible quantité,0 g,en faible quantité,4.8 g,en quantité modérée,0 g,en faible quantité,-51%,-100%,-54%,-100%,-100%,-2,-146%,B,-146%,,,,,
283,Extra epaisse,3155251210528,,,,,,,,,,,['France'],[],[],?,,192,,17,,7,,"2,7",,,,,,,,,,,803 kj(192 kcal),13,"4,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,
284,3401581537201,3401581537201,,,,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Chorizo Extra fort - Carrefour,3560071252045,,,,['Carrefour'],,,,"['FR 81.144.022 CE', ""Lescure-d'Albigeois (Tarn, France)""]",,['Carrefour'],['France'],[],[],?,,497,,45,,"2,9",,20,,,,,,,,,,,2079 kj(497 kcal),18,2,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,
286,Tajine au poulet semoule et fruits secs - Picard - 350g,3270160729203,,350 g,"['Etui en carton', 'Opercule en plastique']",['Picard'],"['en:plats-a-la-volaille', 'en:plats-au-poulet', 'en:plats-prepares', 'en:plats-prepares-a-la-viande', 'en:produits-a-la-viande', 'en:tajines-de-poulet']",,['en:Maroc'],['00000'],,['Picard'],['France'],"['Semoule de blé réhydratée cuisinée [eau', 'semoule de blé dur 15,4% ', 'gluten', 'huile de colza', 'sel', 'cannelle', 'curcuma]', 'pilon de poulet cuit en bouillon 22,8% [pilon de poulet ', 'origine : France*', 'eau', 'sel', 'concentré', ' de tomate', ""préparation à base de jus concentré d'oignon "", ""jus concentré d'oignon"", 'huile de tournesol', 'curcuma]', 'eau', 'oignon 3,7%', 'carotte 3,3%', 'courgette 3,3%', 'aubergine prefrite 3,3% ', 'aubergine', 'huile de tournesol', 'amande effilée 1,4%', 'figue sèche 1,1% ', 'figue', 'farine de riz', 'abricot sec 1,1% [abricot', 'farine de riz', 'conservateur : anhydride sulfureux ', 'sulfites', ']', 'raisin sec 1,1% ', 'raisin', 'huile de colza', 'concentrẻ de tomate', ""huile d'olive vierge extra"", 'ail', 'sel', 'gingembre', 'zeste de citron', 'jus de citron concentré', 'amidon de riz', 'coriandre', 'cannelle', 'cumin', "" *Issu d'animaux nés"", 'élevés', 'abattus et transformés en France Produit élaboré dans un atelier qui utilise : crustacés', 'œuf', 'poissons', 'soja', 'lait', 'autres fruits à coque', 'céleri', 'sésame', 'mollusques']",[],?,,138,-3%,"5,5",-13%,14,+4%,"7,5",+22%,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,577 kj(138 kcal),"0,9",3,"0,66","0,264",['Maroc'],"['Gluten', 'Anhydride sulfureux et sulfites']",5.5 g,en quantité modérée,0.9 g,en faible quantité,3 g,en faible quantité,0.66 g,en quantité modérée,-3%,-43%,+20%,-18%,-18%,-1,-136%,A,-136%,,,,,
287,Poulet au basilic thai -,3355570004154,D,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats au poulet']",,,"['FR 83.054.001 CE', 'Farlède (Var, France)']",,,['France'],"['Riz basmati cuit ', '36,1%', ' ', 'eau', 'riz basmati', 'poulet origine France ', '26,9%', ' ', 'filèt de poulet ', '21,5%', ' et aiguillette de poulet ', '5,4%', ' poivron rouge ', '9,7%', ',`oignon', 'eau', 'ciboule', 'basilic thaï ', '3,3%', 'huile de tournesol', 'sauce nuoc mam ', 'POISSON', 'sel', 'eau', 'amidon transformé de mais', 'ail', 'sucre', 'gingembre', 'concentré de tomate', 'caramel ', 'sucre', 'eau', 'citronnelle', 'sel', 'curry ', 'dont MOUTARDE', ' Peuf contenir des traces de gluten', 'lait et fruits à coques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,126,-19%,"3,3",-28%,16,-16%,"7,6",+17%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['E14XX - Amidons modifiés'],4,527 kj(126 kcal),"0,47","1,4","0,578","0,231",,"['Poisson', 'Moutarde']",3.3 g,en quantité modérée,0.47 g,en faible quantité,1.4 g,en faible quantité,0.578 g,en quantité modérée,-17%,-69%,-5%,-28%,-28%,-1,-158%,A,-158%,,,,,
288,Haribo croco,3103220047521,,,,['Haribo'],,,,,,,['France'],[],[],?,,345,,"0,5",,79,,"5,7",,,,,,,,,,,1443 kj(345 kcal),"0,1",51,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Tomate concassees bio - Markal,3329489901613,,,,['Markal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés']",,,,,,['France'],[],[],?,,23,-66%,0,-100%,"3,3",-56%,1,-49%,,,,,,,,,,96 kj(23 kcal),0,"2,3",0,0,,,0 g,en faible quantité,0 g,en faible quantité,2.3 g,en faible quantité,0 g,en faible quantité,-65%,-100%,-60%,-100%,-100%,-5,,A,,,,,,
290,Pur jus pressé  pommes non traitées - U - 1l,3256228118271,A,1 l,"['Bocal en verre', 'Capsule en métal']",['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Sans sucre ajouté', 'Ct872']",['France'],,,,['France'],['Jus de pomme 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,52,+13%,"< 0,5",+178%,11,0%,"< 0,5",+128%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,1,218 kj(52 kcal),"0,1",10,"< 0,01","0,004",,,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,+14%,+197%,-4%,-20%,-20%,5,+20%,C,+20%,,,,,
291,Cioccoavena - Barilla,8076809577779,,,,"['Barilla', 'Mulino Bianco']",,,,,,,"['France', 'Italie']",[],[],?,,429,,"12,4",,"67,9",,"7,8",,,,,,,,,,,1795 kj(429 kcal),"3,2",20,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,
292,Uhu stic - 21g,40267654,,21g,['fort et rapide'],['Uhu'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts']",,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Soupe  Légumes de France - La Potagère - 1L,3274930002145,A,1L,['Carton'],['La Potagère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']","['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",['France'],['FSC-C020428'],,['géant casino'],['France'],"['Légumes 54% ', 'courge 189%', 'pommes de terre 16,2%', 'carottes 8,6%', 'oignons 4,3%', 'poireaux 3,2%', 'panais 1,6%', 'cálerit-rave ', 'eau', 'lait de coco ', 'extrait de coco', 'eau', 'sel', 'poivre', 'muscade']",[],?,,30,-27%,"1,4",-19%,3,-34%,"0,791",-15%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,3,126 kj(30 kcal),"1,3","1,5","0,55","0,22",['29860 Plouvien'],,1.4 g,en faible quantité,1.3 g,en faible quantité,1.5 g,en faible quantité,0.55 g,en quantité modérée,-27%,+131%,-23%,-16%,-16%,1,-30%,B,-30%,,,,,
294,Le Gratin de Morue Parmentier purée à la crème fraîche - Fleury Michon - 300g,3302740044816,,300 g,"['Barquette en plastique', 'Etui en carton']",['Fleury Michon'],"['Plats préparés', 'Gratins', 'Plats préparés au poisson', 'Gratins de poisson']","['Sans conservateurs', 'Nutriscore', 'Nutriscore B']",,"['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",,['Carrefour'],['France'],"['Pommes de terre 24% ', 'pommes de terre', 'sel', 'lait écrémé réhydraté', 'eau', 'morue 14% ', 'morue', 'sel', 'flocons de pommes de terre', ""huile d'olive vierge 3"", '3%', 'crème fraîche 2', '9%', 'emmental 2', '2%', 'chapelure 2', '1% ', 'contient blé', 'crème de riz', 'ail 0', '6%,\xa0persil 0', '5%', 'sel', 'huile de colza', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",497,+4%,?,,"5,4",-14%,12,+42%,"4,5",-36%,,,,,,,,,3,497 kj(119 kcal),"1,7","1,8","0,8","0,32",['France'],"['Poisson', 'Gluten', 'Lait']",5.4 g,en quantité modérée,1.7 g,en quantité modérée,1.8 g,en faible quantité,0.8 g,en quantité modérée,-1%,-35%,+15%,+8%,+8%,2,+18%,B,+18%,,,,,
295,Choux de Bruxelles surgelés,14113615,,,,,,,,,,,['France'],[],[],?,,43,,"0,6",,"4,8",,"2,8",,,,,,,,,,,180 kj(43 kcal),"0,2","3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,
296,Forcapil,3578835502879,,,,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,6 bouchées pois chiches et raisins secs au cumin - Carte Nature - 180g,3700477661878,,180 g,['Plastique'],['Carte Nature'],['Bouchées galettes'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Union Européenne et Non Union Européenne'],,,"['Biocoop', 'Biocoop Caluire']",['France'],"['Carottes* 36%', 'riz* 26% ', 'eau', 'riz', 'chapelure ', 'farine de BLE', 'levure', 'sel', 'pois chiche réhydratés 6%', 'oignons', 'raisins secs 4%', 'farine de blé', 'amandes  3%', 'huile de tournesol non hydrogénée', 'herbes aromatiques 1%', 'sel', 'cumin 0,5%', 'Friture : huile de tournesol non hydrogénée']",['Sans huile de palme'],999,,238,,11,,30,,"4,3",,,,,,,,,,3,999 kj(238 kcal),"1,1","7,3","0,83","0,332",['France'],"['Gluten', 'Fruits à coque']",11 g,en quantité modérée,1.1 g,en faible quantité,7.3 g,en quantité modérée,0.83 g,en quantité modérée,,,,,,1,,B,,,,,,
298,Fromage tranché,3090291123073,,,,,,,,,,,['France'],[],[],?,,352,,28,,"0,5",,25,,,,,,,,,,,1473 kj(352 kcal),19,"0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,
299,Sauce Béchamel Président - 300g,3155251210542,B,300 g,"['Frais', 'Plastique']",['Président'],"['Epicerie', 'Sauces', 'Sauces béchamel']",,['France'],"['FR 72.253.002 CE', 'Roézé-sur-Sarthe (Sarthe, France)']",,,['France'],"['Lait entier reconstitué 65%', ' eau', 'farine de blé', 'beurre ', 'lait', ' sel', 'muscade 0,05%', 'poivres']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,83,-54%,"4,4",-44%,"7,8",-56%,3,-18%,66.1%,14.4%,8.0%,5.6%,3.4%,2.4%,81,,3,347 kj(83 kcal),"2,9","3,1","0,82","0,328",,"['Gluten', 'Lait']",4.4 g,en quantité modérée,2.9 g,en quantité modérée,3.1 g,en faible quantité,0.82 g,en quantité modérée,-53%,-32%,-40%,-52%,-52%,5,-34%,C,-34%,,,,,
300,"Santagata Acqua Minerale Efferv. Nat. LT 1, 5",80331926,,,,,,,,,,,"['France', 'Italie']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Guimauves noir et lait,3110842011557,,,,,,,,,,,['France'],[],[],?,,419,,13,,69,,4,,,,,,,,,,,1753 kj(419 kcal),"8,1",62,,,,,,,,,,,,,,,,,,,,,,,,,,
302,3600550049220,3600550049220,,,,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Velouté potimarron et emmental,3422440003903,,,,,,,,,,,['France'],[],[],?,,33,,"1,4",,"2,6",,"1,9",,,,,,,,,,,138 kj(33 kcal),"0,9","1,5","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,
304,M&m's - U - 400g,5900951286322,,400g,,['U'],,,,,,,['France'],"['Chocolat au lait ', '51%', ' fourré de caramel ', '21%', ' et dragéifié', ' Ingrédients: sucre', 'pâte de cacao', 'lait entier en poudre', 'lactose', 'beurre de cacao', 'sirop de glucose', 'matière grasse de paime beurre ', 'lait', 'amidon', 'lait écrémé concentré sucré', 'matiere grasse de karité', 'stabilisant ', 'gomme arabique', 'émulsifiants ', 'lécithine de soja', 'E471', 'sel', 'épaississant ', 'dextrine', 'colorants ', 'E100', 'E133', 'E160a', 'E160e', 'E162', 'E170', 'E172', 'arôme naturel', 'poudre à lever ', 'E500', 'cacahuètes', ""agent d'enrobage "", 'cire de carnauba', 'huile de palme', 'extrait naturel de vanille arôme', ' ', 'Peut contenir: noisette', ' Le chocolat au lait contient des matières grasses végétales en plus du beurre de cacao']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,484,,19,,73,,"3,9",,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E162 - Rouge de betterave', 'E170 - Carbonates de calcium', 'E172 - Oxyde et hydroxyde de fer', 'E500 - Carbonates de sodium']",4,2025 kj(484 kcal),12,66,"0,285","0,114",,['Lait'],,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
305,3450601031670,3450601031670,,,,,,,,,,,"['France', 'Suisse']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Galettes aux flocons d'avoine - Biocoop,3760121215246,C,,,['Biocoop'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Bio'],,,,,['France'],[],[],?,,501,+6%,24,+15%,62,-3%,"6,4",-2%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,2096 kj(501 kcal),14,37,"0,6","0,24",,,24 g,en quantité élevée,14 g,en quantité élevée,37 g,en quantité élevée,0.6 g,en quantité modérée,+5%,+39%,+25%,+2%,+2%,21,+6%,E,+6%,,,,,
307,3176582052649,3176582052649,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Brioche tranchée nature 485g - Harrys - 485g,3228857001439,C,485 g,['Enveloppe'],['Harrys'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']","['Nutriscore', 'Nutriscore C']",,,,,"['Belgique', 'France']","['Farine de BLÉ 54%', 'eau', 'sucre 10,5%', 'OEUFS frais 9,5%', 'sirop de glucose-fructose', 'BEURRE pâtissier', 'huile de colza', 'levure', 'sel', ""poudre de jaune d'OEUFS"", 'rhum', 'arômes', 'extraits végétaux à pouvoir colorant ', 'curcuma', 'paprika', 'gluten de BLÉ', 'fibre de BLÉ', ""extrait d'acérola"", ' Peut contenir des traces de SOJA', 'FRUITS A COQUE', 'GRAINES DE SÉSAME']","['Sans huile de palme', 'Non végétalien']",1440,-2%,343,-3%,"10,9",-11%,"50,2",-3%,"8,4",+5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,4,1440 kj(343 kcal),"4,3","13,9","1,1","0,44",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",10.9 g,en quantité modérée,4.3 g,en quantité modérée,13.9 g,en quantité élevée,1.1 g,en quantité modérée,-3%,-29%,+5%,+10%,+10%,10,-33%,C,-33%,Brioche tranchée,,,,
