,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
1506,base pizza - 2x 260g,8032947240012,,2 x 260 g,,,,['France'],[],[],,,,,,,,,?,,302.5,,1266 kj(302 kcal),,"6,9",,"2,1",,"47,5",,"0,6",,"11,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1507,Pâte à tartiner Kikamboise,3700774300265,,,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],,,,,,,,,?,,566,,2368 kj(566 kcal),,40,,"7,1",,42,,40,,6,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1508,Scamorzina fumée - L'Italie des Fromages,8059070742091,,,,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,26,,18,,1,,1,,25,,1,,"0,4",,,,,,,,,,,,,,,"[""L'Italie des Fromages""]",,,,,,,,,,
1509,Râpé vegan violife - 1kg,5202390019999,,1kg,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,298,,1247 kj(298 kcal),,24,,22,,21,,0,,0,,"2,2",,"0,88",,,,,,,,,,,,,,,['Violife'],,,,,,,,,,
1510,Confiture de lait - Le Bois Jumel - 250g,3176630004149,B,250 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,['France'],[],[],13 g,en quantité modérée,9.36 g,en quantité élevée,45 g,en quantité élevée,0.46 g,en quantité modérée,?,,355,+20%,1485 kj(355 kcal),+20%,13,+135%,"9,36",+189%,"55,1",0%,45,-11%,"4,3",-34%,"0,46",+36%,"0,184",+36%,24,+45%,E,+45%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,"['Pot', 'Verre']",['Le Bois Jumel'],,,,,,,,,,
1511,"ORANGES NAVEL - Fruit's Legume - 1,5kg",26061412,,"1,5kg","['de:Saftorangen', 'ORANGE A JUS']",['VALENCIA'],"['EMB 94065BI', 'Rungis (Val-de-Marne, France)', 'EMB 94065', 'Rungis (Val-de-Marne, France)']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Netz'],"[""Fruit's Legume""]",,,['Afrique du Sud'],,,['ALDI'],,,,
1512,"Beltion Latte Di Mandorla (mandel-sirup), 500ML - 500mL",8003695001026,,500 mL,,['en:gluten-free'],,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"3,2",,"0,4",,83,,82,,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Yaourts aux fruits - Leader Price,3291330006658,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",,,['France'],[],[],3.1 g,en quantité modérée,1.9 g,en quantité modérée,14 g,en quantité élevée,0.12 g,en faible quantité,?,,106,+6%,444 kj(106 kcal),+7%,"3,1",-1%,"1,9",-4%,15,+12%,14,+13%,"3,9",+7%,"0,12",+5%,"0,048",+5%,3,+8%,C,+8%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,['Leader Price'],,,,,,['Leader Price'],,,,
1514,Caramel au Beurre Bordier Nature,3760191054868,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,,['France'],[],[],18.2 g,en quantité modérée,14.1 g,en quantité élevée,64.3 g,en quantité élevée,0.3 g,en quantité modérée,?,,432,+3%,1807 kj(432 kcal),+3%,"18,2",-6%,"14,1",+18%,"65,8",+12%,"64,3",+35%,"0,6",-67%,"0,3",-51%,"0,12",-51%,26,+6%,E,+6%,,,,,,,,,,['Bordier'],,,,,,,,,,
1515,Fresa - Tropical,7862113550048,,,"['Boissons', 'Boissons gazeuses', 'Sodas']",,,"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,5 g,en quantité élevée,?,,32,+19%,134 kj(32 kcal),+16%,0,-100%,0,-100%,"7,9",+17%,"7,9",+20%,0,-100%,5,+35871%,2,+35871%,21,+128%,E,+128%,,,,,,,,,,['Tropical'],,,,,,,,,,
1516,Tapas d’esturgeon - Perlita - 150gr,3770003617679,,150gr,,,,['France'],[],[],,,,,,,,,?,,184,,770 kj(184 kcal),,12,,"1,8",,"7,5",,"4,3",,11,,"0,67",,"0,268",,,,,,,,,,,,,,,['Perlita'],,,,,,,,,,
1517,Feuille de vigne -,8691573023194,,,"['Plats préparés', 'Feuilles de vigne farcies']",,,['France'],"['Oignon', 'Riz', 'Eau', 'Huil de Tournesol', 'Feuile de Vigne Sel', 'Sauce Tomate', 'Raisin de Corinthe', 'Menthe', 'Persil', 'Poivre', 'Jus de Citron', ' TUR Direkt güneş işığına maruz bırakmayınız', '/ Serin ve rutubetsiz yerde saklayınIz', '/ Tavsiye edilen tüketim tarihi ', 'TETT', ' ve parti no', ' kapaktadır', '/ Bombajlı ve sızıntılı kutuları almayınız', ' Best before date and Serial No', ' is written on the cover', '/ Keep out of direct sunlight Mindestens haltbar bis und Seriennummer', ' siehe Dosendeckel', '/Lichtgeschützt lagem ربن الانتاج و تاريخ انتهاء الصلاحية و رقم التسلسل مدون فوق الغطاء يجب ان لا يترك تحمت الشمعة الشمر Kühl und trocken lagern', '/Beschädigte Konservendosen nicht kaufen', ' e de péremption et numéro de série est sur le couvercle de la boite/ labn durayonnement solaire direct', '/Conserver dans un endroit frais etsec acheter pas les boites bpmbées et avec présentant de fuite']",[],7.5 g,en quantité modérée,0.7 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en quantité modérée,?,,187,+29%,782 kj(187 kcal),+29%,"7,5",+1%,"0,7",-31%,26,+61%,"0,8",-32%,3,+36%,"0,7",-44%,"0,28",-44%,4,-24%,C,-24%,,,,,,,,,,,,,,,,,,,,
1518,Glace façon Stracciaella - Carrefour - 900ml,3560070048304,B,900 ml,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Fabriqué en France'],"['EMB 29181', 'Plouédern (Finistère, France)']","['Belgique', 'France']","['Glace saveur crème 78% : Eau', 'lait écrémé reconstitué', 'sirop de glucose-fructose', 'sucre', 'graisse de coprah', 'lactose et protéines de lait', ""émulsifiant mono - et diglycérides d'acides gras"", 'gélifiants farine de graines de caroube et gomme ġuar', 'arômes', ' \rSauce au cacao maigre 18% Eau', 'sirop de glucose-fructose', 'sucre', 'cacao maigre en poudre 1,8%', 'fécule modifiée de tapioca', 'sel', ' \rMorceaux de chocolat 4% : Sucre', 'masse de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'vanilline', "" \r Pourcentages exprimés sur l'ensemble du produit""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",8.8 g,en quantité modérée,7.6 g,en quantité élevée,27 g,en quantité élevée,0.1 g,en faible quantité,?,,205,-12%,858 kj(205 kcal),-12%,"8,8",-25%,"7,6",0%,29,+4%,27,+15%,"1,9",-40%,"0,1",-33%,"0,04",-33%,14,+4%,D,+4%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,['Carrefour'],"['Œufs', 'Lait', 'Soja']",4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E322i - Lécithine']",['Carrefour'],,,,
1519,Ketchup - Heinz,8715700419688,,,,,,['France'],[],[],,,,,,,,,?,,102,,427 kj(102 kcal),,"0,1",,"0,1",,"23,2",,"22,8",,"1,2",,"1,8",,"0,72",,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,
1520,Confiture,3519623612059,,,,,,['France'],[],[],,,,,,,,,?,,232,,971 kj(232 kcal),,"1,4",,"0,2",,53,,51,,"0,58",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
1521,Almonds - Tesco,03221365,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",,,"['France', 'Royaume-Uni']",[],[],55.8 g,en quantité élevée,4.4 g,en quantité modérée,4.2 g,en faible quantité,0.1 g,en faible quantité,?,,635,+2%,2657 kj(635 kcal),+2%,"55,8",+7%,"4,4",+6%,"6,9",-42%,"4,2",+1%,"21,1",-5%,"0,1",-60%,"0,04",-60%,1,+15%,B,+15%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,['Tesco'],,,,,,,,,,
1522,Pur  jus de pomme,,,,,['Sans conservateurs'],,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,"5,4",,"2,6",,38,,25,,4,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
1523,Anchois au sel -  - 320g,3296942222120,B,320 g,"['Produits de la mer', 'Poissons', 'Anchois']",,,['France'],[],[],2.6 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,15.4 g,en quantité élevée,?,,116,-43%,485 kj(116 kcal),-44%,"2,6",-79%,"0,9",-62%,0,-100%,0,-100%,23,+9%,"15,4",+130%,"6,16",+130%,11,-9%,D,-9%,64.2%,0.0%,6.1%,25.8%,3.1%,0.8%,78,,,,,,,,,,,,,
1524,100% cacao dégustation Noir - Au Bord du Lac - 100g,3760159103249,D,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Pâte de cacao ', 'Pérou', ' Cacao : 100% minimum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",53 g,en quantité élevée,33.5 g,en quantité élevée,6.2 g,en quantité modérée,0.023 g,en faible quantité,?,,590,+6%,2469 kj(590 kcal),+6%,53,+35%,"33,5",+45%,7,-82%,"6,2",-80%,"11,8",+54%,"0,023",-51%,"0,009",-51%,13,-39%,D,-39%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Au Bord du Lac'],,3,['Pérou'],,,,,,,
1525,Gazpacho Andaluz,8437001133161,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,,['France'],[],[],6.3 g,en quantité modérée,1 g,en faible quantité,2.5 g,en faible quantité,0.81 g,en quantité modérée,?,,78,+90%,326 kj(78 kcal),+88%,"6,3",+157%,1,+159%,"4,1",+22%,"2,5",-2%,"0,8",+2%,"0,81",+22%,"0,324",+22%,3,+152%,C,+152%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,,,
1526,L'eau gazeuse Vöslauer mild 1L - Vislauer mineralwasser GmbH - 1litre,90097218,,1 litre,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,,['Vislauer mineralwasser GmbH'],,,,,,,,,,
1527,Carré croustillant aux grains de chocolat,0687456211275,,,,['en:gluten-free'],,['France'],[],[],,,,,,,,,?,,409.09090909091,,1712 kj(409 kcal),,"11,364",,"4,545",,"72,727",,"31,818",,"4,545",,"0,795",,"0,318",,,,,,,,,,,,,,,,,,,,,,,,,
1528,Lait de coco - Thai Orchid,0642076123896,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,,['France'],[],[],17.5 g,en quantité élevée,15 g,en quantité élevée,2.5 g,en quantité modérée,0.141 g,en faible quantité,?,,175,+11%,732 kj(175 kcal),+12%,"17,5",+12%,15,+10%,"3,75",+35%,"2,5",+49%,0,-100%,"0,141",+93%,"0,056",+93%,12,+26%,D,+26%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,"['Conserve', 'métal']",['Thai Orchid'],,,,['Thaïlande'],,,,,,
1529,Rillettes de poulet rôti - Le Bois Jumel,3176630600297,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",,,['France'],[],[],42 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,437,+38%,1828 kj(437 kcal),+37%,42,+51%,15,+70%,0,-100%,0,-100%,15,-10%,"1,6",+34%,"0,64",+34%,22,+30%,E,+30%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,['Le Bois Jumel'],,,,,,,,,,
1530,Kusterbier bière et limonade panaché saveur grenadine,26003627,,,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"0,5",,"0,1",,8,,"7,5",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1531,Nectarine - EARL Racamier - 1kg,3662117000099,,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Barquette', 'Plastique']",['EARL Racamier'],,,['France'],['st Martin de crau'],,['leader price'],,,,
1532,Lot de 2 saucisses sèches,3377440010140,,,,['Sans colorants'],,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,"26,6",,"10,1",,"2,4",,2,,"25,1",,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,
1533,Assortiment chocolats,8013108614194,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",['en:gluten-free'],,['France'],[],[],34 g,en quantité élevée,10 g,en quantité élevée,43 g,en quantité élevée,0.08 g,en faible quantité,?,,559,+1%,2339 kj(559 kcal),+1%,34,-7%,10,-53%,50,+8%,43,+4%,"8,5",+19%,"0,08",-41%,"0,032",-41%,24,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,
1534,Camembert au lait cru - La fromagerie d'Eugénie - 250G,3760214680050,D,250 G,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",,"['FR 56.101.513 CE', 'Languidic (Morbihan, France)']",['France'],"['Produit fermier avec du lait cru entier', 'de la présure', 'du sel', ""des ferments et c'est tout !""]",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"[""La fromagerie d'Eugénie""]",,3,,,,['E.Leclerc'],,,,
1535,Il rigatello,8008891000156,,,,,,['France'],[],[],,,,,,,,,?,,459.49,,1923 kj(459 kcal),,"15,33",,"5,38",,"74,16",,"25,52",,"6,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Les milanaises - Le Gaulois,0217217027816,D,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,,['France'],"['Escalopes de dinde marinées à la milanaise', ' Ingrédients ', 'à la mise en euvre', ' : Escalope de dinde origine France: 88%', 'chapelure de blé : 8% ', 'farine de blé', 'levure', 'sel', 'eau', 'sel', ""extraits d'épices"", 'acidifiants acétate de sodium', 'lactate de calcium']",[],0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.9 g,en quantité modérée,?,,121,-8%,506 kj(121 kcal),-8%,"0,8",-49%,0,-100%,"5,8",-15%,"1,9",+3%,22,+3%,"0,9",-0%,"0,36",-0%,-1,-246%,A,-246%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Le Gaulois'],['Gluten'],3,,,"['E262i - Acétate de sodium', 'E327 - Lactate de calcium']",,,,,
1537,Petites sèches saumurées,3760169081728,,,,,"['FR 34.336.503 CE', 'Villeneuve-lès-Béziers (Hérault, France)']",['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,5",,"0,2",,"0,2",,"0,2",,"11,9",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
1538,Filet de poulet avec peau rôti,2227548025526,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['France'],[],[],7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,168,+28%,703 kj(168 kcal),+29%,"7,1",+147%,"1,9",+155%,"0,8",+67%,"0,7",+188%,25,+10%,"1,4",+87%,"0,56",+87%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Barquette'],,,,,,,,,,,
1539,Aceitunas negras - Jolca - 350g,8410667001616,B,350 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",,,['France'],[],[],16.3 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,2 g,en quantité élevée,?,,155,-19%,649 kj(155 kcal),-18%,"16,3",-11%,"2,6",-7%,0,-100%,0,-100%,"0,5",-62%,2,-43%,"0,8",-43%,11,-11%,D,-11%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,['Jolca'],,,,,,,,,,
1540,Cookie choco blanc framboise,2090000190311,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Canistrelli amandes,3760073580133,,,,,,['France'],[],[],,,,,,,,,?,,496,,2075 kj(496 kcal),,"21,3",,"7,8",,"67,2",,"24,2",,"7,6",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,
1542,Chorizo Iberique de cebo,8436554003310,,,,,,['France'],[],[],,,,,,,,,?,,393,,1644 kj(393 kcal),,33,,"14,4",,"1,1",,"0,5",,"22,8",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
1543,Cannoli Alla Gianduia,8011629007907,,,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,"33,1",,10,,"55,5",,"47,6",,"5,4",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
1544,Apple Crumble Clusters,9315090206708,,,,,,['France'],"['whole grain rolled oats ', '48%', 'glucose', 'puffed rice ', 'rice flour', 'sugar', 'salt', 'golden syrup', 'apple ', '5%', ' ', 'preservative [220]', 'canola oil', 'oat flour', 'pepitas ', '4,5%', 'raw sugar', 'golden syrup', 'hazelnuts ', '1,7%', 'tapioca starch', 'cinnamon', 'natural flavour', 'ginger', 'antioxidant ', 'vitamin e', 'contains: gluten-containing cereals and tree nuts', 'may be present: lupin', 'milk', 'peanuts', 'sesame seeds and soy', 'dry place store']",[],,,,,,,,,?,,410,,1715 kj(410 kcal),,13,,2,,61,,17,,9,,"0,4",,"0,16",,,,,,,,,,,,,,,,['Fruits à coque'],4,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,
1545,Jus d'Orange - Sunland - 1liter,8718226323118,D,1 liter,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,"['France', 'Guinée']",[],[],0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,?,,41,-5%,172 kj(41 kcal),-5%,0,-100%,0,-100%,"9,5",-2%,"9,5",+4%,"0,8",+28%,0,-100%,0,-100%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Sunland'],,,,,,,,,,
1546,pâté au piment d'espelette,3263480110059,,,,,,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,36,,12,,"1,3",,"0,4",,12,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
1547,Vinaigrette à la moutarde de dijon -,3258831105525,D,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,,['France'],[],[],26 g,en quantité élevée,1.1 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,?,,241,-33%,1008 kj(241 kcal),-33%,26,-29%,"1,1",-71%,"5,3",+12%,0,-100%,0,-100%,12,+525%,"4,8",+525%,14,-6%,D,-6%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
1548,Jambon Cuit Biologique (tranches),0775225020019,,,,['Bio'],,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,3,,1,,2,,2,,22,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
1549,Bouchées de biscuits Caramel au sel de mer,0628834620746,,,,,,['France'],[],[],,,,,,,,,?,,140,,586 kj(140 kcal),,9,,5,,19,,11,,1,,"0,338",,"0,135",,,,,,,,,,,,,,,,,,,,,,,,,
1550,Heera Madras Curry Powder Hot - 100g,5031416220312,,100 g,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,12,,1,,49,,0,,13,,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,
1551,Fruit De Palme Sirop Lourd Cock,0084909901279,,,,,,['France'],[],[],,,,,,,,,?,,168,,703 kj(168 kcal),,0,,0,,"41,7",,30,,0,,"0,071",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
1552,Bio Bandits Passionate Pepper Sauce -,8718421270040,,,"['Epicerie', 'Sauces']",['Bio'],,"['France', 'Suède']",[],[],18.9 g,en quantité modérée,2 g,en quantité modérée,28 g,en quantité élevée,0.9 g,en quantité modérée,?,,291,+22%,1218 kj(291 kcal),+24%,"18,9",+4%,2,-7%,28,+183%,28,+333%,"2,4",-11%,"0,9",-63%,"0,36",-63%,13,+12%,D,+12%,,,,,,,,,,,,,,,,,,,,
1553,Cassolettes Saint-Jacques sauce à la champenoise - U Saveurs - 2x 120g,3368951156434,,2 x 120 g,"['Surgelés', 'Entrées et snacks surgelés']","['Arômes naturels', 'Sans colorants', 'Transformé en France']",,['France'],"[""Noix de SAINT-JACQUES 30% [la lettre indiquée à la fin du numéro de lot indique l'espèce et l'origine de la noix de Saint-Jacques utilisée dans la recette : Chlamys opercularis"", 'origine France ', 'D', ' ou Royaume-Uni ', 'E', ' ou Irlande ', 'G', ' ', ' Zygochlamys patagonica', 'origine Argentine ', 'A', ']', 'eau', 'CREME fraîche', 'champagne ', 'origine: France', ' ', 'sulfites', ' 6%', 'carottes', 'oirnon', 'LAIT en poudre', 'BEURRE', 'farine de BLE', 'amidon transformé en mais', 'arômes naturels ', 'contient CRUSTACES et MOLLUSQUES', 'ail en purée', 'sel', ' Soit dans le produit 70% de sauce au champagne']","['Non végétalien', 'Non végétarien']",8 g,en quantité modérée,5.3 g,en quantité élevée,1.9 g,en faible quantité,0.65 g,en quantité modérée,501,-46%,120,-46%,501 kj(120 kcal),-46%,8,-38%,"5,3",-16%,"3,5",-78%,"1,9",-39%,"7,8",-7%,"0,65",-38%,"0,26",-38%,3,-67%,C,-67%,,,,,,,,,['Surgelés'],"['U Saveurs', 'U']","['Crustacés', 'Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites', 'JACQUES', 'SAINT']",4,,,['E14XX - Amidons modifiés'],['Magasins U'],,,,
1554,Girolles Saveurs - U Saveurs - 300g,3368951152290,,300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",,,['France'],"['Girolles ', 'Cantharellus cibarius']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.02 g,en faible quantité,156,-9%,37,-20%,156 kj(37 kcal),-17%,"0,5",-53%,"0,1",-63%,"4,4",-6%,"1,1",-48%,"1,9",-16%,"0,02",-88%,"0,008",-88%,-10,,A,,,,,,,,,,"['Sachet', 'Surgelés']","['U Saveurs', 'U']",,1,,,,['Magasins U'],,,,
1555,Concassee de poivrons au chorizo,3760037594152,,,,,,['France'],[],[],,,,,,,,,?,,122,,510 kj(122 kcal),,"6,2",,"1,3",,13,,11,,3,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
1556,Bonito del norte en aceite de oliva bajo en sal - Ortiz,8411320234037,E,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs', ""Thon germon à l'huile d'olive""]",,,"['France', 'Espagne']","['White tuna and olive oil', ' CONTAINS WHITE TUNA', ' WHITE TUNA IN OLIVE OIL LOW SODIUM']",[],12 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0.12 g,en faible quantité,?,,208,-8%,870 kj(208 kcal),-8%,12,-13%,2,-27%,0,-100%,0,-100%,25,+4%,"0,12",-88%,"0,048",-88%,-2,-139%,A,-139%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,['Ortiz'],,,,,,,,,,
1557,Organic rice chips,3800233070859,,,,"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'BG-BIO-13', 'Agriculture UE', 'Agriculture UE/Non UE']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,409,,1711 kj(409 kcal),,15,,"2,4",,5,,"0,7",,"6,7",,"0,99",,"0,396",,,,,,,,,,,,,,,,,,,,,,,,,
1558,Ventrèche de Thon - J.C.David - 125g net (82g égoutté),3461820210494,E,125 g net (82 g égoutté),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",['Friend of the Sea'],['IT Y5G4Y CE'],['France'],"['Ventrèche Thon albacore ', 'Thunnus albacares', ""huile d'olive"", 'sel']","['Non végétalien', 'Non végétarien']",12 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,0.9 g,en quantité modérée,886,-16%,212,-16%,886 kj(212 kcal),-16%,12,-31%,"2,4",-21%,0,-100%,0,-100%,26,+10%,"0,9",-8%,"0,36",-8%,2,-63%,B,-63%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,Ventrèche de thon albacore à l'huile d'olive,"['Conserve', 'Etui carton']","['J.C.David', 'JC David']","['Poisson', 'Thon albacore']",3,,['Italie'],,['Monoprix'],,,,
