,name,bar_code,eco_score,quantity,brand,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,labels,ingredients_origins,manufacturing,nova_score,additives,palm_ingredients,allergens,generic_name,link,producer_info,origin_detail,brand_owner
1241,le gelée - Haribo,8691216094093,,,['Haribo'],,,['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"0,5",,"0,1",,85,,67,,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Oeufs de poule elevees en plaine air - bienvenue à la ferme - 6oeufs,3760053320001,B,6 oeufs,['bienvenue à la ferme'],"[""Produits d'élevages"", 'Œufs']","['FR 77.320.001 CE', 'Mouroux (Seine-et-Marne, France)']",['France'],['Oeufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['boîte'],['cueillette de chante loup en brie'],['Mangeons local en Île de France'],['France'],['Seine et Marne'],1,,,['Œufs'],,,,,
1243,sorbet fraises d Alsace - Franprix,3263856633014,B,,['Franprix'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,['France'],[],[],0.01 g,en faible quantité,0.01 g,en faible quantité,25 g,en quantité élevée,0.01 g,en faible quantité,?,,110,-53%,460 kj(110 kcal),-53%,"0,01",-100%,"0,01",-100%,27,-3%,25,+7%,"0,01",-100%,"0,01",-93%,"0,004",-93%,6,-55%,C,-55%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Franprix'],,,,,,,,,,,,
1244,Lasagne semola - Rapunzel,4006040152293,,,['Rapunzel'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées']",,"['France', 'Allemagne']",[],[],1.4 g,en faible quantité,1 g,en faible quantité,2 g,en faible quantité,,,?,,362,+170%,1515 kj(362 kcal),+172%,"1,4",-77%,1,-61%,74,+492%,2,-24%,12,+93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Spanische Oliven gefüllt mit Mandeln - Feinkost Dittmann - 140g,4002239446006,A,140 g,['Feinkost Dittmann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies aux amandes']",,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",22.4 g,en quantité élevée,3.6 g,en quantité modérée,0.3 g,en faible quantité,3.53 g,en quantité élevée,?,,222,+6%,929 kj(222 kcal),+6%,"22,4",+12%,"3,6",+24%,"0,3",-88%,"0,3",-40%,"3,1",-17%,"3,53",+5%,"1,412",+5%,15,+15%,D,+15%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Glas'],,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose', 'de:Hefefrei']",,,,,,,,,,,
1246,Nuggets de poissons - 400g,27071526,,400 g,,,['MSC-C-50356'],['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,"8,4",,1,,18,,"1,5",,11,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Pom'potes,3021760400081,B,,['Pom Potes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",,['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,13.9 g,en quantité élevée,0.01 g,en faible quantité,?,,72,+16%,301 kj(72 kcal),+14%,"0,5",+37%,"0,5",+282%,"15,2",+12%,"13,9",+11%,"0,5",+23%,"0,01",+7%,"0,004",+7%,-2,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,['en:gluten-free'],,,,,,,,,,,
1248,CONFETTURA EXTRA mirtillo nero - Selex,8003100817815,,,['Selex'],,,['France'],[],[],,,,,,,,,?,,242,,1013 kj(242 kcal),,"0,3",,0,,58,,50,,"0,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Barre noisette épeautre lait de chèvre - Avril&May - 40g,3770010862109,,40 g,"['Avril&May', 'Avril May']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,['France'],"['Orpaic bar with goat milk', 'spelt and hazelnuts GEDIENTS : Date poste""', 'powdered goat milk 20% ', 'from France', '*', 'spelt flakes 15%*', 'whole hazelnuts 10', '4%""', ' Zay cataia gieces at date pits and traces of other nuts', ' Store in a cool dry place', ' *Organic ingredients']",[],16 g,en quantité modérée,4 g,en quantité modérée,40 g,en quantité élevée,0.15 g,en faible quantité,1618,-13%,154,-64%,1618 kj(154 kcal),-9%,16,+1%,4,-33%,50,-17%,40,+47%,10,+34%,"0,15",-62%,"0,06",-62%,10,-24%,C,-24%,,,,,,,,['Plastique'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,['France'],,,,,Barre noisette épeautre lait de chèvre,,,,
1250,Ty'noeuds,3294518000950,,,,,,['France'],[],[],,,,,,,,,?,,485,,2029 kj(485 kcal),,29,,20,,54,,27,,"3,9",,"0,68",,"0,272",,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,,,,
1251,Vitalis Crunchy mysli - Dr oetker vitalis - 525g,5701073028872,C,525 g,['Dr oetker vitalis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",,"['France', 'Norvège']","['54 % TÄYSJYVÄKAURAHIUTALE', 'auringonkukkaöljy', 'sokeri', 'oligofruktoosi 7,8%', 'kuivattu VEHNÄNALKIO', 'riisijauho', 'glukoosisiirappi', 'TÄYSJYVÄVEHNÄJAUHO', '2,4 % pakkaskuivattu vadelmapala', 'hunaja', 'VEHNÄJAUHO', 'suola', 'kuivattu OHRAMALLASUUTE', 'rasvaton MAITOJAUHE', 'aromi', ' Saattaa sisältää: PÄHKINÄÄ', 'SOIJAA']",['Non végétalien'],15 g,en quantité modérée,1.9 g,en quantité modérée,15 g,en quantité élevée,0.9 g,en quantité modérée,?,,434,+5%,1816 kj(434 kcal),+4%,15,+22%,"1,9",-42%,57,-9%,15,-15%,11,+15%,"0,9",+291%,"0,36",+291%,7,+35%,C,+35%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['boite carton'],['Noz'],,['fi:Norvège'],['Norvège'],4,,,"['Gluten', 'Lait']",,,,,
1252,Olives Kalamata,3382510019176,,,,,,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,30,,"3,3",,"2,2",,"0,3",,"1,5",,"4,3",,"1,72",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
1253,Sesam geröstet - K-Bio - 250g,4335896751115,D,250 g,['K-Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame', 'Sésame toasté']",,"['France', 'Allemagne']","['OBio-Sesam geröstet""', ""'auUs kontrolliert biologischer Landwirtschaft"", ' Produkt kann Spu Von Gluten', 'Soja und Schalenfri ten enthalten', ' Mindestens baltbar bis: siehe Beutelseite', ' Kühl und trocken lagern', ' Unter Schutzatmosphäre verpackt', ' K-Bio garantiert Ihnen Lebensmittel aus biologischer JI Landwirtschaft', ' Die Einhaltung der cal strenoen Richtlinien der Fi-0ko']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,['Tüte'],,"['Bio', 'Bio européen', 'DE-ÖKO-003', 'en:EG-Öko-Verordnung']",,,,,,['Soja'],,,,,
1254,Transit - Le comptoir d’herboristerie - 100g,3481899005302,B,100g,['Le comptoir d’herboristerie'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-86%,4 kj(1 kcal),-83%,0,-100%,0,-100%,"0,2",-73%,0,-100%,"0,1",-44%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
1255,Thé des Marseillais - Aix&terra - 25cl,3760158961116,,25 cl,['Aix&terra'],"['Boissons', 'Thés glacés']","['EMB 26252', 'Portes-lès-Valence (Drôme, France)']",['France'],"['Infusion ', 'thé vert de Chine', 'citronnelle', 'anis', 'écorces de citron', 'arômes naturels ', 'anis', 'fenouil', 'badiane reglisse', 'sucre', 'jus de citron']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-95%,4 kj(1 kcal),-96%,0,-100%,0,-100%,"0,2",-96%,0,-100%,"0,1",-32%,0,-100%,0,-100%,1,-86%,B,-86%,,,,,,,,,,['Fabriqué en France'],,,4,,,,,,,,
1256,Baobab bio - La Conquête des Saveurs,3390120010261,,,['La Conquête des Saveurs'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
1257,Manna- Sauce Andalouse,5412723011013,,,['Manna'],,,['France'],[],[],,,,,,,,,?,,578,,2418 kj(578 kcal),,"60,3",,"4,8",,6,,"2,8",,"2,2",,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Jelly Babies,7622210654199,,,,,,['France'],"['sugar', 'glucose syrup', 'water', 'gelatine', 'concentrated fruit juices** ', '1 %', ' ', 'apple', 'lime', 'orange', 'strawberry', 'blackcurrant', 'lemon', 'raspberry', 'acid ', 'citric acid', 'flavourings', 'colours ', 'anthocyanins', 'paprika extract', 'vegetable carbon', 'lutein', 'curcumin', ' **equivalent to 5', '5 % fruit juice', ' may contain wheat']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,330,,1381 kj(330 kcal),,"0,1",,"0,1",,78,,74,,"3,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,4,"['E428 - Gélatine', 'E330 - Acide citrique', 'E163 - Anthocyanes', 'E160c - Extrait de paprika', 'E153 - Charbon végétal médicinal', 'E161b - Lutéine', 'E100 - Curcumine']",,,,,,,
1259,Orecchiette - 500g,8013034003772,,500g,['Orecchiette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Orecchiette']",,['France'],"['semola integrale di grano duro bio Italian organic durum whole-wheat semolina pasta Ingredients: organic durum whole - wheat semolina Italienische Vollkom-Hartweizen Pasta Zutaten: kontrolliert biologisches Hartweizen-Vollkormmehl aus italienischer', ""regionaler Produktion Pasta de sémola integral de trigo duro biológico Ingredientes: sémola integral de trigo duro biológico Pates de semoule complète de blé dur ssu de l'agriculture biologique italienne Ingredients: semoule complète de Dle dur biologique Blologische italiaanse volkorenpasta van harde tarwe Ingrediënten: biologisch volkorenmeel van harde tarwe Consen""]",[],1.8 g,en faible quantité,0.3 g,en faible quantité,2.8 g,en faible quantité,0.02 g,en faible quantité,?,,341,-1%,1427 kj(341 kcal),-0%,"1,8",+28%,"0,3",-12%,"64,8",-4%,"2,8",+5%,"12,5",+6%,"0,02",-37%,"0,008",-37%,-1,,A,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,
1260,Pogne au chocolat,3760081210305,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Warheads Super Sour Spray Candy,0032134217009,,,['Warheads'],,,['France'],['lactic acid'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,307,,1284 kj(307 kcal),,0,,0,,76,,55,,0,,0,,0,,,,,,,,,,,,,,,,,,,['E270 - Acide lactique'],,,,,,,
1262,Galette végétale Poivre et Persil - Sojasun - 6x 90g,3273220086643,,6 x 90 g,['Sojasun'],,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"8,9",,"0,9",,13,,"3,1",,17,,"1,2",,"0,48",,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,
1263,Sweet chili dipping sauce,3760275571328,,,,,,['France'],[],[],,,,,,,,,?,,229,,958 kj(229 kcal),,"0,5",,0,,56,,53,,"0,5",,"4,3",,"1,72",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'en:TH-BIO-121', 'AB Agriculture Biologique']",,,,,,,,,,,
1264,Confiture cerise noire - 370g,3665000370484,,370 g,,,,['France'],[],[],,,,,,,,,?,,263,,1100 kj(263 kcal),,"0,2",,0,,63,,62,,"0,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Rapé de fromages - Pouce - 1kg,3596710474561,D,1 kg,"['Pouce', 'Auchan']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,1536,-2%,370,-1%,1536 kj(370 kcal),-2%,29,+0%,20,+3%,"2,5",+159%,"0,5",+39%,25,-9%,1,0%,"0,4",0%,13,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Auchan'],"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,
1266,Nutridia bio herbes,5400910301740,,,['Nutridia'],,,['France'],"['Huile de mudhar tot zie tournesol""', 'graines de tournesol""', 'eau', 'eet bewaren en courgette"" 18%', 'jus de citren de concentré e Non ouvert', 'à de jus de citron""', 'ciboulette* 3%', 'concentré jus de pomme""', 'sel', 'oignon""', 'basilic*', 'persil""', "" = İssus d'agriculture biologique"", ' ERA avant le: 0nsenver au f purs']","['Végétalien', 'Végétarien']",,,,,,,,,?,,335,,1402 kj(335 kcal),,32,,"3,1",,"4,8",,"3,1",,"5,9",,"1,5",,"0,6",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,
1267,Tranches saveur fumé - Violife - 200g,5202390016325,D,200 g,['Violife'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages en tranches', 'Substituts du fromage']",,"['Belgique', 'France', 'Allemagne', 'Espagne']","['Eau', 'huile de noix de coco ', '23%', 'amidon modifié ', 'E1404', 'amidon', 'sel de mer', 'arôme naturel de fumé', ""extrait d'olive"", 'colorant', 'vitamine B12']","['Sans huile de palme', 'Végétalien', 'Végétarien']",23 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,1190,+4%,285,+4%,1190 kj(285 kcal),+3%,23,+5%,21,+28%,20,+20%,0,-100%,0,-100%,"2,3",+33%,"0,92",+33%,23,+25%,E,+25%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['mixed plastic-bag'],"['Edeka', 'Carrefour', 'Amazon', 'Colruyt', 'Delhaize', 'Cora', 'Match']","['Végétarien', 'Kascher', 'Sans gluten', 'Végétalien', 'Halal', 'Sans lactose', 'Sans huile de palme', 'Sans conservateurs', 'Sans soja']",,['Grèce'],4,"['E14XX - Amidons modifiés', 'E1404 - Amidon oxydé']",,,,,,,
1268,Thé glacé goût citron,8005200556564,,,,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,"4,8",,"4,7",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,IPA Session - Jenlain - 33cl,3271914600335,C,33 cl,['Jenlain'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'en:India Pale Ale']",,['France'],"['Bière', "" Contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre']",,['Déconseillé aux femmes enceintes'],,['France'],3,,,['Gluten'],,,,,
1270,Pains au chocolat - K-Classic - 8pcs,4337185507465,D,8pcs,"['K-Classic', 'Kaufland']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,"['France', 'Allemagne']",[],[],22 g,en quantité élevée,12 g,en quantité élevée,13 g,en quantité élevée,1 g,en quantité modérée,?,,416,+5%,1741 kj(416 kcal),+5%,22,+0%,12,-10%,46,+9%,13,+8%,7,-2%,1,+11%,"0,4",+11%,21,+7%,E,+7%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,['Kunststoff'],,,,,,,,,,,,,
1271,Eau de bouleau a la menthe,4779031611627,,,,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,5,,"4,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,10 for two - Schöller - 65g 100ml,5900130031552,B,65 g 100 ml,"['Schöller', 'Nestle']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Sandwichs à la crème glacée']",,"['France', 'Allemagne', 'Espagne']",[],[],25 g,en quantité élevée,22 g,en quantité élevée,26 g,en quantité élevée,0.09 g,en faible quantité,1482,,354,+25%,1482 kj(354 kcal),+26%,25,+94%,22,+144%,29,-18%,26,+21%,"2,8",-27%,"0,09",-58%,"0,036",-58%,18,+18%,D,+18%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Karton'],,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,,,,,,,
1273,Lasagnes aux légumes grillés sans gluten - Carrefour - 400g,3560071098407,B,400 g,['Carrefour'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes', 'Lasagnes aux légumes']","['FR 79.005.001 CE', 'Airvault (Deux-Sèvres, France)']",['France'],[],[],5.5 g,en quantité modérée,1.8 g,en quantité modérée,2.3 g,en faible quantité,0.84 g,en quantité modérée,?,,121,-5%,506 kj(121 kcal),-3%,"5,5",+4%,"1,8",-2%,13,0%,"2,3",-27%,"4,2",-6%,"0,84",+16%,"0,336",+16%,3,+55%,C,+55%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,['Carrefour'],['en:gluten-free'],,,,,,,,,,,
1274,Capsule café latte (dolce gusto),5400101257474,,,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,395,,1653 kj(395 kcal),,"2,3",,"2,2",,"2,6",,"2,6",,"2,1",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Mini Kouign Amann bretons pur beurre - 2x 80g,3560070958603,B,2 x 80 g,,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",,['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,27 g,en quantité élevée,0.83 g,en quantité modérée,?,,496,+10%,2075 kj(496 kcal),+10%,30,+19%,20,+21%,53,+1%,27,0%,3,-24%,"0,83",+3%,"0,332",+3%,24,+4%,E,+4%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,,,,,
1276,Confitura extra de melocoton - Tamara,24042741,B,,['Tamara'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",,"['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,?,,244,+13%,1021 kj(244 kcal),+13%,"0,5",+163%,"0,1",+400%,59,+13%,56,+11%,"0,5",+13%,0,-100%,0,-100%,8,-13%,C,-13%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,
1277,Palets de Bretagne,3337442019077,,,,,,['France'],[],[],,,,,,,,,?,,516,,2159 kj(516 kcal),,"26,7",,"17,9",,"62,7",,"27,2",,"6,3",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Entremets vanille - Comme j'aime - 20g,3700977708516,,20 g,"[""Comme j'aime""]",,,"['Belgique', 'France']","['Sucre', 'amidon de maïs', 'fibre de chicorée', 'gélifiant : pectine', 'arômes naturels de vanille', 'sel', 'extrait de carotte']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,1540,,368,,1540 kj(368 kcal),,"0,4",,"0,1",,"86,9",,"55,6",,"0,3",,"0,6",,"0,24",,,,,,,,,,,,,,,"['Fabriqué en France', 'Nutriscore', 'Nutriscore B']",,,4,['E440 - Pectines'],,,,,,,
1279,Sorbet artisanal mangue Alphonso plein fruit - Monoprix Bio - 334g / 500ml,3350033647077,C,334 g / 500 ml,"['Monoprix Bio', 'Monoprix']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mangue']","['EMB 05040C', 'Chorges (Hautes-Alpes, France)', 'FR 05.040.186 CE', 'Chorges (Hautes-Alpes, France)']",['France'],"['Purée de mangue* 45% ', 'origine Inde', ' - eau - sucre de canne* - sirop de glucose déshydraté* - sirop de sucre inverti* - stabilisant : farine de graine de caroube*', "" *Ingrédients issus de l'agriculture biologique"", ' Traces de fruits à coque', 'lait', 'gluten et oeufs']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0.02 g,en faible quantité,?,,134,+9%,561 kj(134 kcal),+9%,0,-100%,0,-100%,33,+13%,27,+6%,0,-100%,"0,02",-39%,"0,008",-39%,5,-7%,C,-7%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['opercule plastique', 'à jeter', 'pot carton', 'couvercle carton', 'à recycler']",['Monoprix'],"['Bio', 'Triman']",,,4,['E410 - Gomme de caroube'],,,,,,,
1280,Fizzy sweet,3395503060741,,,,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"0,5",,0,,87,,51,,"0,5",,"0,9",,"0,36",,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,
1281,Taralli pugliesi,8027023888806,,,,,,['France'],[],[],,,,,,,,,?,,450,,1883 kj(450 kcal),,"16,2",,"2,7",,"64,3",,"1,1",,"10,7",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Patatas bravas - McCain,3256830007574,,,['McCain'],,,['France'],[],[],,,,,,,,,?,,157,,657 kj(157 kcal),,"3,5",,"0,4",,"20,5",,"0,5",,2,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Tartelette alpine aux myrtilles,3321927611238,D,,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la myrtille']",,['France'],[],[],11.9 g,en quantité modérée,4.1 g,en quantité modérée,40.8 g,en quantité élevée,0.17 g,en faible quantité,?,,408,+12%,1707 kj(408 kcal),+11%,"11,9",-16%,"4,1",-48%,"71,2",+31%,"40,8",+41%,"4,1",-4%,"0,17",-40%,"0,068",-40%,18,+4%,D,+4%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,,,,
1284,Pancrostino farina integrale - Divella,8005121219104,,,['Divella'],,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,6,,"2,2",,76,,2,,"11,7",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Chio Micro Popcorn,3577060130017,B,,,"['Snacks', 'Popcorn']",,['France'],"['corn', 'salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",21 g,en quantité élevée,10 g,en quantité élevée,1.1 g,en faible quantité,2.5 g,en quantité élevée,?,,428,-3%,1791 kj(428 kcal),-3%,21,+31%,10,+113%,48,-24%,"1,1",-94%,"8,1",+22%,"2,5",+174%,1,+174%,24,+73%,E,+73%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,3,,,,,,,,
1286,Mango chips,0855378004613,,,,,,['France'],[],[],,,,,,,,,?,,452.20001220703,,1892 kj(452 kcal),,"8,6",,"3,8",,"84,6",,"63,8",,"3,4",,0,,0,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,
1287,Gingerlime,8053908880511,,,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,"9,8",,"9,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Taralli ai semi di finocchio - Compagnia de' Panettieri - 400g,8019730039961,B,400 g,"[""Compagnia de' Panettieri""]","['Snacks', 'Snacks salés', 'Apéritif', 'Plats préparés', 'Biscuits apéritifs', 'Entrées']",,['France'],"['Farine de froment', 'vin blanc', ""huile d'olive 11%"", ""huile d'olive extra vierge 2%"", 'graines de fenouil 0,9%', 'sel']",[],17.1 g,en quantité modérée,3.3 g,en quantité modérée,1.3 g,en faible quantité,1.98 g,en quantité élevée,?,,457,+96%,1912 kj(457 kcal),+103%,"17,1",+35%,"3,3",+44%,65,+230%,"1,3",-55%,"9,39",+87%,"1,98",+85%,"0,792",+85%,13,+117%,D,+117%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,['Italie'],['Bolzano'],,,,,,http://www.mdspa.it,,,
1289,"Danone Activia 0,1 Kiwi GR 125X4",8001630005962,,,['Activia'],,,['France'],[],[],,,,,,,,,?,,224,,937 kj(224 kcal),,"0,1",,0,,"8,4",,"8,2",,"4,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1290,Chocolat L'Odyssée des glaces,3760255322018,,,,,,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,"6,1",,"4,17",,"27,72",,"27,12",,"4,6",,"0,13",,"0,052",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,
