,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
839,Filets de thon - Brezzo - 200g,8000571099016,['France'],"['Filets de thon Thon', ""huile d'olive"", 'sel', ' Il peut contenir traces de pistaches', 'amandes', 'huile de soja']",[],1215,188,1215 kj(188 kcal),"17,3","1,14",0,0,"2,1","2,13","0,852",E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile""]",,17.3 g,en quantité modérée,1.14 g,en faible quantité,0 g,en faible quantité,2.13 g,en quantité élevée,+20%,-21%,+22%,+9%,-55%,-100%,-100%,-91%,+107%,+107%,8,+78%,C,+78%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,['Brezzo'],200g,['glass jar'],,,,,,,,,,
840,Hamburge di chianina,8029251003259,['France'],[],[],?,143,598 kj(143 kcal),"7,5","4,1",0,0,18,"0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Pogne,3770014766496,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Brownies pocket,0205542007122,['France'],[],[],?,468,1958 kj(468 kcal),28,7,46,29,"5,3","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pain,0206258012790,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Peeled tomatoes,8002464001038,['France'],[],[],?,26,109 kj(26 kcal),"0,1","0,1","5,2","1,9","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Boisson a base de fèves de soja noir,4550182169126,['France'],[],[],?,0.3,1 kj(0 kcal),"0,1",0,"0,5","0,5","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Conchiglie,0878602008928,['France'],[],[],?,380,1590 kj(380 kcal),1,0,42,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Junge Erbsen Extra Fein Mit Pariser Karotten,4311501345207,['France'],[],[],?,42,176 kj(42 kcal),"0,7","0,2",6,4,3,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Confiserie,2600280022761,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Encornet,2416851022968,['France'],[],[],?,45,188 kj(45 kcal),"0,5","0,2","0,5","0,5",11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Box printemps 2021,3701292614674,['France'],[],[],?,153,640 kj(153 kcal),5,"1,3",21,"0,5","5,7","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Elite,5397136006378,['France'],[],[],?,538,2251 kj(538 kcal),33,10,49,30,12,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Oeuf,3252520008159,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Tomato Ketchup,8204450743735,['France'],[],[],?,89,372 kj(89 kcal),10,"2,01",20,"16,9","1,1","2,01","0,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Roti de poulet - Fleury Michon - 160g,3302740051050,['France'],[],[],?,115,481 kj(115 kcal),"2,5","0,7",1,1,22,"1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Rôtis de poulet']","['Nutriscore', 'Nutriscore B']",2.5 g,en faible quantité,0.7 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,,-4%,-26%,-29%,-7%,+51%,+6%,-19%,-19%,2,-50%,B,-50%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Fleury Michon'],160 g,,['Poulet origine Union européenne'],,,,,,,,,
855,Filet de poulet roti - Volaé,0211791026760,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']","['Nutriscore', 'Nutriscore E']",5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,,-3%,-3%,+2%,+3%,+4%,+39%,-6%,-6%,-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Volaé'],,,,,,,,,,,,
856,Aiguillettes,0233430017717,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,
857,Coconut water,83528972,['France'],[],[],?,2,8 kj(2 kcal),0,0,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Chicchi di natura cous cous con riso integrale,8001420010800,['France'],[],[],?,369,1544 kj(369 kcal),"2,5","0,6","77,1","1,2","7,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Solomon's Seal Tea,8801005641333,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Meule fruitée râpée - Pâturages - 150g,3250393007248,['France'],[],[],?,415,1736 kj(415 kcal),"33,4","23,8","1,5","0,5","27,3","1,18","0,472",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,33.4 g,en quantité élevée,23.8 g,en quantité élevée,0.5 g,en faible quantité,1.18 g,en quantité modérée,,+11%,+11%,+16%,+23%,+55%,+39%,-0%,+18%,+18%,15,+16%,D,+16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Pâturages'],150 g,,,,,,,,,,,
861,La tisane Verveine odorante,3770006487200,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Parmigiano reggiano dop bio,8010883002864,['France'],[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
863,Protein+ Barretta Cocco 40G,8023826111318,['France'],[],[],?,395,1653 kj(395 kcal),13,8,44,43,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Meringues -,3760200922911,['France'],[],[],1251,295,1251 kj(295 kcal),"0,1",0,"69,7","69,6","3,7","0,15","0,06",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",,0.1 g,en faible quantité,0 g,en faible quantité,69.6 g,en quantité élevée,0.15 g,en faible quantité,-22%,-22%,-21%,-90%,-100%,-20%,-16%,-8%,-7%,-7%,13,-10%,D,-10%,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,,,,,,,,,,,,
865,3663602791751,3663602791751,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Parmigiano Reggiano Dop,2293135039757,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+1%,+1%,+1%,-100%,,-1%,0%,0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
867,Tomate bien vu filet 1Kg,3660992001767,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,7798094222486,7798094222486,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Miel d'Auvergne,3770011028108,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
870,Hedonist,8033300480274,['France'],[],[],?,537,2247 kj(537 kcal),32,16,57,28,"7,1","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Stracchino,8001609230364,['France'],[],[],?,262,1096 kj(262 kcal),22,16,24,14,15,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,0263995011813,0263995011813,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Itchebi brebis chevre,0203079031290,['France'],[],[],?,157,657 kj(157 kcal),32,23,1,0,22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Corn crisp,8437001246847,['France'],[],[],?,517,2163 kj(517 kcal),28,"13,1","61,3",4,8,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Happy Bears - apple & Lemon,5060276371018,['France'],[],[],?,209,874 kj(209 kcal),0,0,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,2 cuisses de canard,3760260131056,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Rouleau pâte d'amande,3700392476502,['France'],[],[],?,451,1887 kj(451 kcal),"17,9","1,8",66,"65,7","5,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Côtes du Rhône,3263810146925,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['cotes du rhone'],,,,,,,,,,,,
879,Chebakia aux amandes,3302040000024,['France'],[],[],?,394.7,1651 kj(394 kcal),7,"0,9","76,2","44,3","5,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Pavesini,8003240060164,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Huile de saumon,3700602102672,['France'],[],[],?,?,,?,0,?,0,?,,,B,"['Matières grasses', 'Matières grasses animales', 'Huiles de poissons', 'Huiles de saumon']",,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,,,,,,,,
882,Pure jus de pomme et crise - Les producteurs d'abord,3770003987574,['France'],[],[],?,43,180 kj(43 kcal),"0,5","0,1","9,95","9,07","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Les producteurs d'abord""]",,,,,,,,,,,,
883,Aceto balsamico di modena igp - fattorie giacobazzi - 500ml,07060134,['France'],"['Vinaigre de vin', 'mout de raisin concentré*', 'moût de raisin cuit""', 'colorant: E150d*', ' *Contient sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,0,,20,20,1,"0,04","0,016",A,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,,,20 g,en quantité élevée,0.04 g,en faible quantité,,,,-100%,,-37%,-32%,+50%,-44%,-44%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['fattorie giacobazzi'],500 ml,['Verre'],['Italie'],,,"[""E150d - Caramel au sulfite d'ammonium""]",4,,,,,
884,Pao de queijo,8719326427195,['France'],[],[],?,381,1594 kj(381 kcal),"21,5","8,8","32,9",1,"13,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Figues séchées,3665967000967,['France'],[],[],?,249,1042 kj(249 kcal),"0,93","0,54","63,9","47,9","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Jambon supérieur decoue degraisse,3483190012805,['France'],[],[],?,478,2000 kj(478 kcal),3,"1,1","0,6","0,6",22,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Poulpe,8435223281097,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits de la mer', 'Mollusques', 'Poulpe']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Le Porc Mincerette,2409032026763,['France'],[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Porc']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Champignons de Paris blancs,3420022004768,['France'],[],[],?,22,92 kj(22 kcal),"0,5","0,1","2,7","0,5","1,8",0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons de Paris', 'Champignons blancs de Paris']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,-8%,-4%,+24%,+21%,+121%,+28%,-17%,-100%,-100%,-6,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,,
890,Chlorelle,3770010225072,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Himalayan Pink Salt Grinder,0052100036670,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,"Tartinable végétalien saveur ""thon""",5201310722988,['France'],[],[],?,356,1490 kj(356 kcal),"34,9","3,8","6,6","0,8","2,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Arachide wasabi,2600287011874,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Ventreche roulée 6 tranchée - Montauzer - 170g,0233075016663,['France'],[],[],?,55,230 kj(55 kcal),30,12,"0,5","0,5",21,"5,9","2,36",,"['Viandes', 'Porc', 'Porc français', 'Ventreches']",['Pur porc'],30 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,5.9 g,en quantité élevée,,-72%,-72%,+122%,+168%,-29%,-28%,-2%,+130%,+130%,20,+49%,E,+49%,,,,,,,,"['FR 64.094.001 CE', 'Bardos (Pyrénées-Atlantiques, France)']",['Montauzer'],170g,"['Sous vide', 'Frais']",,,,,,,['France'],,,
895,Safran - Ducros,08898702,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Safran']",,,,,,,,,,,,,,,,,,,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,['Ducros'],,,,,,,,,,,,
896,Life on Wings - SHOTIMAA,87178534915,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['SHOTIMAA'],,,,,,,,,,,,
897,"Chocolat 88% cacao, éclats de noisette",3760094310856,['France'],[],[],?,614,2569 kj(614 kcal),53,30,17,12,"9,7","0,1","0,04",,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Pizza La Ruche,0204759045859,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Filet de poulet ail et fines herbes - 1KG,04650386,['France'],"['Pour 100g', 'Énergie 512kcak', '121 MG', '1,8acides gras saturés', '0,6 glucides', 'protéines 22,1', 'sel 0,66']",[],?,?,,?,,4,"1,5","22,1","0,66","0,264",,"['Viandes', 'Surgelés', 'Viandes surgelées']",,,,,,1.5 g,en faible quantité,0.66 g,en quantité modérée,,,,,,+153%,+228%,+27%,+15%,+15%,,,,,,,,,,,,,,1KG,,['25 03 20'],,,,,,,,['NOZ'],
900,Huile de pépins de courge,3535400019958,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Produits de la plante de courge', 'Huiles', 'Graines de courge et dérivés', 'Huiles de pépins de courge']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Gomasio à l'ail des ours - Senfas,3412940200537,['France'],[],[],?,501,2096 kj(501 kcal),"44,8","5,3","10,1","0,4",16,"7,7","3,08",,"['Epicerie', 'Condiments']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",44.8 g,en quantité élevée,5.3 g,en quantité élevée,0.4 g,en faible quantité,7.7 g,en quantité élevée,,+258%,+250%,+654%,+735%,-23%,-94%,+278%,+38%,+38%,21,+108%,E,+108%,,,,,,,,,['Senfas'],,,,,,,,,,,,
902,Pain de mie tranché à la farine de riz - Gerblé,6164033,['France'],[],[],?,263,1100 kj(263 kcal),"7,4",1,37,12,"5,2","0,65","0,26",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,7.4 g,en quantité modérée,1 g,en faible quantité,12 g,en quantité modérée,0.65 g,en quantité modérée,,-1%,-2%,+66%,+54%,-19%,+130%,-38%,-43%,-43%,4,+176%,C,+176%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,['Gerblé'],,,,,,,,,,,,
903,Perle de tapioca,6927055902100,['France'],[],[],?,220,920 kj(220 kcal),0,0,54,0,0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Chapelure semoule craquante,3770013667305,['France'],[],[],?,352,1473 kj(352 kcal),"1,25","0,21","71,6",1,"10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Olives vertes pasteurisées farcies aux amandes,2609826024207,['France'],[],[],?,173,724 kj(173 kcal),14,3,6,"1,3","3,2","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Crème Fraîche 38% M.G. -  - 20cl,3760205420412,['France'],[],[],1494,363,1494 kj(363 kcal),38,"25,5","3,1","2,6","2,1","0,08","0,032",B,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",38 g,en quantité élevée,25.5 g,en quantité élevée,2.6 g,en faible quantité,0.08 g,en faible quantité,+35%,+24%,+24%,+28%,+28%,-5%,-9%,-11%,-5%,-5%,14,+8%,D,+8%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,20 cl,"['Verre', 'Frais']",,,,,,,,,,
907,Bio mais tel à spaghetti,4018722344728,['France'],[],[],?,353,1477 kj(353 kcal),"1,4","0,5",77,1,"7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C116415'],,,,,,,,,,,,,
908,TOFU SHISHAMO FISH EGG,5050979001534,['France'],[],[],?,269,1125 kj(269 kcal),24,"3,5","3,3","3,1",11,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Belvita Moelleux soft baies chocolat,7622210222121,['France'],[],[],?,400,1674 kj(400 kcal),14,"3,2",60,20,"5,9","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Coreff Ambrée Bio 75cl,3425230000625,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,
911,SASSY,3770004927296,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,,,,
912,Diplomate,3021990194989,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Nectare Pêche jaune,3327026100017,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,2600215053532,2600215053532,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 46.128.002 CE', 'Gramat (Lot, France)']",,,,,,,,,,,,,
915,Haricots blancs,3760240723318,['France'],[],[],?,69.84,292 kj(69 kcal),"0,4","0,1","12,7","0,5","4,8","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Ratatouille,3760252300040,['France'],[],[],?,?,,?,,?,,?,,,B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,,,,,,,,,,,,,,,,,,,,,,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,,,
917,Chocolat de cuisine (blanc),5601055008543,['France'],"['sugar', 'cocoa butter', 'milk powder', 'whey powder', 'concentrated butter', 'emulsifier ', 'soya lecithin', ' and flavouring', 'cocoa solids: 28% minimum', 'milk solids: 23% minimum in white chocolate', 'may contain']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,556,2326 kj(556 kcal),32,19,62,55,"4,9","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Soja'],['E322i - Lécithine'],4,,,,,
918,Lasagne à la bolognaise,3146907120223,['France'],[],[],?,149,623 kj(149 kcal),"10,02","5,18","5,21","2,19","8,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Poivre gris - Belle France,3258561160030,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres gris']",,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,['Belle France'],,,,,,,,,,,,
920,Les escalo,2447038027551,['France'],[],[],?,482,2017 kj(482 kcal),"1,3","0,4","0,5","0,4",25,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Coconut milk,8938507849315,['France'],[],[],?,45,188 kj(45 kcal),"1,5","1,5",8,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Melange Japonais,2600153009257,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Amer picon biere 18%vol 1l + verre collector offert,5010103936347,['France'],[],[],?,191,799 kj(191 kcal),0,0,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Eafit,3518681009856,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Pâte de curry tandoori,3144550008912,['France'],[],[],?,239,1000 kj(239 kcal),"16,4","1,1",18,"0,4","4,9","10,8","4,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Mélange Sanbahia,2600223008593,['France'],[],[],?,465,1946 kj(465 kcal),18,"6,6",66,13,8,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Tartine Olive Cacahuète Thym,3760153932135,['France'],[],[],?,172,720 kj(172 kcal),"15,7","2,19","5,14","3,43","2,07",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Cien Tolerance facial balm - 50ml,4056489350439,['France'],[],[],?,?,,?,,?,,?,,,,['Crème visage'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cien'],50 ml,['Tube'],,,,,,,,,,
929,Hachis Parmentier,5413848637744,['France'],[],[],?,122,510 kj(122 kcal),"7,4","3,1","8,9","1,6","4,5","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Confiture de Prunes au rhum - Deluxe - 340g,20233556,"['France', 'États-Unis']","['Prunes', 'sucre', 'sirop de glucose-fructose', 'Info Val rhum ', '5%', 'gélfiant: pectine', ' acidifiant: acide citrique']",[],?,?,,"0,1",,"61,9","57,8","0,1","0,1","0,04",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,0.1 g,en faible quantité,,,57.8 g,en quantité élevée,0.1 g,en faible quantité,,,,-62%,,+16%,+13%,-81%,+331%,+331%,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Deluxe', 'Lidl', 'Göbber']",340 g,"['Verre', 'Métal']",,,,"['E440 - Pectines', 'E330 - Acide citrique']",4,,,,['Lidl'],
931,"Original Beans, Wild Dark Chocolate Beni Harvest 66%",7610148308833,['France'],[],[],?,568,2377 kj(568 kcal),41,25,48,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
