,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,manufacturing,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,markets,allergens,traceability_code,link,additives,generic_name,palm_ingredients
533,Lait de coco,2006050023424,['France'],[],[],?,12,13,"1,1",1,50 kj(12 kcal),12,"1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Huile Argan - Le Moulin de mon père,3760047720077,['France'],[],[],?,900,100,0,0,3766 kj(900 kcal),20,0,0,0,,,['Le Moulin de mon père'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",,,,100 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+11%,+9%,+9%,+16%,,,,,,12,+8%,D,+8%,,,,,,,,,,,,,,,,
535,Happy Belly Banana Chips,5400606985049,['France'],[],[],?,502,"26,1","63,6","1,2",2100 kj(502 kcal),"24,3","21,2",,,,,['Happy Belly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Thé vert matcha Japon,6922163622957,['France'],[],[],?,15,0,0,0,63 kj(15 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Mini viennoiserie,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Cookies,3760174581411,['France'],[],[],?,512,27,60,"5,7",2142 kj(512 kcal),13,24,"0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Fenyx rising Switch,3307216144243,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Karak,8590228029812,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Colin péruvien boulgour/romanesco - Crous Resto,3760270250525,['France'],[],[],?,100,"4,5","6,5","7,2",418 kj(100 kcal),2,"0,8","0,78","0,312",,,['Crous Resto'],"['Plats préparés', 'Plats préparés au poisson']",,,,4.5 g,en quantité modérée,2 g,en quantité modérée,0.8 g,en faible quantité,0.78 g,en quantité modérée,,-44%,-42%,-57%,-26%,-22%,-47%,-23%,-24%,-24%,1,-79%,B,-79%,,,,,,,,,,,,,,,,
542,Madeleine fourrer a la confiture de fraise,,['France'],[],[],?,410,20,53,"4,3",1715 kj(410 kcal),"5,1",33,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Calamar -  - 1kg,5413270209854,['France'],[],[],?,?,?,?,?,,,,,,1 kg,,,"['Produits de la mer', 'Mollusques', 'Calamars', 'Calmar']",,,,,,,,,,,,,,,,,,,,,,,,,,E,89.8%,0.0%,2.0%,5.9%,1.0%,1.3%,13,,,,,,,,
544,Crevette rouge d'Argentine crues surgelees,7798090450173,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Farine de blé tendre épicoeur,3770009312387,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Nueces de pecan eco,8430175814034,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Tartes salees chevre lardon miel,5425023965221,['France'],[],[],?,313,"22,7",17,"9,7",1310 kj(313 kcal),"12,7","3,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Saucisson cuit à l ail,2203733023683,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","[""Saucisson à l'ail""]",,,,,,,,,,,,,,,,,,,,,,,,,E,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,
549,Tarte salee asperge jambom,5425023965115,['France'],[],[],?,254,"17,6",15,"7,9",1063 kj(254 kcal),"10,3","1,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Pechugas de pavo marinadas,2967123003425,['France'],[],[],?,83,"0,6","1,6","17,9",347 kj(83 kcal),"0,2","0,3","1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Mélange sportif,2282641019094,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Ronnefeldt Teavelope Red Berries,4006465150607,['France'],[],[],?,2,"0,1","0,3","0,1",8 kj(2 kcal),"0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Poid chicha - Bonduelle - 150g,3083681097269,['France'],"['SE', ' EKOLOGISKA KIKÄRTOR – ÅNGADE', ' INGREDIENSER: VATTEN', 'KIKÄRTOR 42%', 'HAVSSALT', ' ""Ekologiskt odlade', ' Inga konserveringsmedel', 'enligt lagstiftning', ' Förpackad i en skyddande atmosfär', ' Kan värmas upp i mikrovågsugn direkt i påsen', ' Oppna påsen innan uppvärmning', ' ', 'FI', ' LUOMU KIKHERNEET – HÖYRYTETTY', ' AINESOSAT: VESI', 'KIKHERNEET* 42%', 'MERISUOLA', ' *Luamuviljelty', ' Ei säilöntäaineita', 'lainmukainen', ' Pakattu suojakaasuun', 'Voidaan lämmittää mikroaaltouunissa', ' Avaa pakkaus ennen lämmittämistä', ' | ', 'DK/NO', ' ØKOLOGISKE KIKÆRTER – DAMPEDE', ' INGREDIENSER: VAND/VANN', 'KIKÆRTER*/KIKERTER* 42%', 'HAVSALTISJØSALT', ' *Økologisk dyrket', ' Ingen konserveringsmidler', 'i henhold til lovgivningen', ' Pakket i beskyttende atmosfære', ' Kan varmes/ varmes opp i mikroovn/ mikrobolgeovn direkte i posen', ' Åbn posen før den varmes']",[],589,140,"2,4","16,6","9,1",589 kj(140 kcal),"0,3","1,1","0,44","0,176",150 g,['Sachet'],['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Pois chiches', 'Légumes préparés', 'Légumes cuits', 'Pois chiche cuits']",['en:ekologiska'],,,2.4 g,en faible quantité,0.3 g,en faible quantité,1.1 g,en faible quantité,0.44 g,en quantité modérée,+62%,+82%,+76%,+63%,+36%,+71%,-39%,+249%,+12%,+12%,-8,,A,,B,51.0%,0.0%,14.3%,24.9%,8.0%,1.7%,95,['en:Union européenne'],,,,,,,
554,Dibek kahvesi,8699118030041,['France'],[],[],?,505,"20,8",62,"5,3",2113 kj(505 kcal),"20,8",13,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Green Curry Paste,8853662057231,['France'],[],[],?,159,13,5,"2,8",665 kj(159 kcal),"2,2","0,7","8,4","3,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Popcorn mix mélange maïs soufflé,0626394320403,['France'],[],[],?,517,33,37,15,2163 kj(517 kcal),"8,2",20,"1,04","0,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Compost,9782700306361,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Cookeen Cooking Fat 250G Pack,5000232827968,['France'],[],[],?,900,100,0,0,3766 kj(900 kcal),49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Andouillette de guémené,0211197038312,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Poitrine fumée tranche,2299517027947,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Miel et propolis,3770002795156,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,9782211064460,9782211064460,"['France', 'Suisse']",[],[],?,100,0,0,0,418 kj(100 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Jus de raisin rouge,3770013088148,['France'],[],[],?,84,"0,1","20,7","0,1",351 kj(84 kcal),"0,1","20,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Le vegetal escalopes panee de soja,0002000011918,['France'],[],[],?,237,11,18,14,992 kj(237 kcal),"1,1","0,5","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Mix pour Falafels,61897397,['France'],[],[],?,338,6,"43,2","18,2",1414 kj(338 kcal),"1,1","2,8","2,06","0,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Punch Pêche,0059600061744,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Haricots Mungo Peeles,8850521692213,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,100% Pur jus de grenade,3701269700744,['France'],[],[],?,54,"0,3","13,1","0,2",226 kj(54 kcal),0,"12,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Lardons allumettes nature,3348580072855,['France'],[],[],?,265,22,"0,7",16,1109 kj(265 kcal),"8,8","0,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Batonnets a macher,4056489142522,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Forme nature,3250392727109,['France'],[],[],?,384,"1,6","81,6","8,3",1607 kj(384 kcal),"0,4","12,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Olives vertes dénoyautées,3760300060964,['France'],[],[],?,180,"18,5","2,9",1,753 kj(180 kcal),"2,5","0,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Graines gourmandes,3770019280003,['France'],[],[],?,356,"9,74","21,5","36,2",1490 kj(356 kcal),"1,16",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Salade de museau,2006050015023,['France'],[],[],?,192,17,"1,2","8,4",803 kj(192 kcal),"4,7","0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Tarte salée,5425023965238,['France'],[],[],?,280,"20,02",16,"7,5",1172 kj(280 kcal),12,"2,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Jambon Cuit Supérieur BIO 3Noix,2210248053722,['France'],[],[],?,161.6,"9,5","0,9","18,1",676 kj(161 kcal),"1,1","0,6","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Saucisson,2688492030767,['France'],[],[],?,353,25,"1,6",29,1477 kj(353 kcal),10,0,"6,2","2,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Chili & Garlic,8719987608469,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Terrine,3770009916615,['France'],[],[],?,329,"30,7","1,8","11,3",1377 kj(329 kcal),"10,8","0,1","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Tete roulee avec langue,2217792015688,['France'],[],[],?,281,"24,89","1,859","12,59",1176 kj(281 kcal),"9,3","0,29","1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Pâte à tartiner chocolat noisettes,3289194000004,['France'],[],[],?,573,37,53,"5,1",2397 kj(573 kcal),"5,6",49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Faro Chipotle Peppers In Abodo Sauce,0075782009336,['France'],[],[],?,50,"0,6","8,3","1,7",209 kj(50 kcal),0,"5,7","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Briau croques saumon,990530101031766851,['France'],[],[],?,170,"8,7","12,8","10,1",711 kj(170 kcal),2,"3,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Tomates sechées,8031556000062,['France'],[],[],?,138.4,"6,7","16,4","3,1",579 kj(138 kcal),1,"5,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,tea earl grey,5021991625121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Pâté croûte,3361711010946,['France'],[],[],?,315,23,16,10,1318 kj(315 kcal),"9,5",0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Mimolette Jeune,2201539019022,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes']",,,,,,,,,,,,,,,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
588,Dashi To Shoyu No Takoyaki Sauce,4970077189129,['France'],[],[],?,128,"0,1","30,3","1,4",536 kj(128 kcal),0,9,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Miel bio de France Forêt,3088541008782,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
590,Tisane Potion Cunegonde,3760189740421,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Crête de coq semi complète à l'ortie,3253511999944,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Saucisses aux oignons,3497800200285,['France'],[],[],?,186,14,0,16,778 kj(186 kcal),"5,7",0,"0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Shortbread,5391528451401,['France'],[],[],?,519,29,57,"7,7",2171 kj(519 kcal),17,18,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Saumon Atlantique Fumé de Norvege,2787447012541,['France'],[],[],?,177,"9,3","0,5",23,741 kj(177 kcal),"1,4","0,5","2,8","1,12",,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés', ""Saumon fumé de l'Atlantique""]",,,,9.3 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2.8 g,en quantité élevée,,-6%,-6%,-14%,-35%,-6%,+47%,+4%,0%,0%,13,-3%,D,-3%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Océan Atlantique'],,,,,,,
595,Radi sel,3770012992088,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Rillette de cabot,9782501052511,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Le Saint Mont Des Alpes,0240830017841,['France'],[],[],?,410,34,0,26,1715 kj(410 kcal),21,0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Ougat chocots,7290002329619,['France'],[],[],?,387,"15,4",57,"5,3",1619 kj(387 kcal),"2,5",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Rillettes au foie gras et magret fumé,3547170000258,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Petits oignons - Biorganica Nuova,8029689008710,['France'],[],"['Végétalien', 'Végétarien']",?,37,"0,1","6,5","0,8",155 kj(37 kcal),"0,1","6,2","2,15","0,86",,,['Biorganica Nuova'],,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,"Bœuf Bourguignon - Leclerc - 0,444kg",0203676046185,['France'],"['Bœuf', 'eau', 'champignon', 'lardon fumé ', 'poitrine de porc', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'fumage au bols de hêtre', 'acidifiants : acétate de sodium', 'antioxydants : érythroblaste de sodium', 'conservateurs : E250', 'nitrite de sodium', 'oignons', 'vin rouge ', 'SUL FEITES', 'bouillon de bœuf ', 'sel', 'maltodextrine: arome', 'dextrose', 'épice et aromate', 'viande de bœuf', 'exhausteur de goût ', ' 636', 'huile végétale de tournesol', 'colorant ', 'caramel: E150c', 'maïzena', 'concentré de tomate ', 'purée de tomate', 'ail', ' \r Contient: SULFITES']","['Non végétalien', 'Non végétarien']",?,119,"6,9","2,1",14,498 kj(119 kcal),"2,2","0,6","0,94","0,376","0,444 kg",['Barquette'],['Leclerc'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']",,,4,6.9 g,en quantité modérée,2.2 g,en quantité modérée,0.6 g,en faible quantité,0.94 g,en quantité modérée,,+24%,+26%,+138%,+120%,-64%,-59%,+39%,+16%,+16%,2,,B,,E,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,['Anhydride sulfureux et sulfites'],,,"['E262i - Acétate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,
602,"Aiguillettes végétales au caramel, riz & brocoli - Seazon",3701456308630,['France'],[],[],?,149,4,22,6,623 kj(149 kcal),0,4,1,"0,4",,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Vinaigre de vin blanc,3760108452763,['France'],[],[],?,28,"0,1",0,"0,01",117 kj(28 kcal),"0,1",0,0,0,,,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+65%,+65%,+16%,+545%,-100%,-100%,-94%,-100%,-100%,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,
604,Jambon superieur cuit bouillon porc francais,3700118302672,['France'],[],[],?,101,"1,9","0,8","20,3",423 kj(101 kcal),"0,7","0,4","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Huile vierge de Coco,115703,['France'],[],[],?,888,98,"1,6","0,5",3715 kj(888 kcal),92,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Anchois en tempura - Picard,3270160749614,['France'],"[""FR Filets d'anchois avec peau "", 'poissons', ' 50% [Engraulis encrasicolus sauvage pêché en Atlantique Nord-Est ', 'FAO 27', 'Atlantique Centre-Est ', 'FAO 34', 'Méditerranée ', 'FAO 37', ']', 'eau', 'chapelure 15% [farine de blé ', 'gluten', 'eau', 'sel', 'levure]', 'farine de blé ', 'gluten', 'huile de tournesol', ""blanc d'œuf "", 'liquide', 'pasteurisé', 'amidon de maïs', 'sel', 'jus de citron concentré', ' Produit élaboré dans un atelier qui utilise : crustacés', 'lait', 'mollusques', ' NL Ansjovisfilets met vel ', 'vis', ' 50% [Engraulis encrasicolus in het wild gevangen in de noordoostelijke Atlantische Oceaan ', 'FAO 27', 'midoostelijke Atlantische Oceaan ', 'FAO 34', 'de Middellandse Zee ', 'FAO son', 'à 4 min ec un nt de unod : tarwemeel ', 'gluten', 'zonnebloemolie', 'eiwit ', 'vloeibaar', 'gepasteuriseerd', '37', 'water', 'paneermeel 15% [tarwemeel ', 'gluten', 'water', 'zout', 'gist', 'euse', ' maïszetmeel', 'zout', 'citroensapconcentraat', ' Product verwerkt in een bedrijf waar de volgende zaken worden gebruikt: :', '9 pu schaaldieren', 'melk', 'weekdieren', ' midden ', 'finh', ' F0% wild North Fast Atlantic ', 'FAO 27', ',']","['Non végétalien', 'Non végétarien']",?,211,"9,7",19,12,883 kj(211 kcal),"1,5","0,5","0,7","0,28",,,['Picard'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],"['Œufs', 'Poisson', 'Gluten']",,,,,
607,Gésiers de canard confits émincés en persillade,3461956702382,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Mélange Peps,2600697029780,['France'],[],[],?,575,46,20,18,2406 kj(575 kcal),"4,5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Le châtaignier,0201101034776,['France'],[],[],?,319,25,"1,5",22,1335 kj(319 kcal),19,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Pain seigle et citron,3419280023451,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Honduras,3483981900687,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Raffolé - saveurs en'or Hauts-de-France - 370g,10478422,['France'],"['Confiture de lait 84,5% ', 'lait entier frais ', '61%', 'sucre', 'lait écrémé en poudre ', '8,4%', 'påte de noisette 13%', 'cacao pur 2,5%', 'sel', ' ""origine France - Sans gluten', ' Sans huile de palme EN - Dulce de leche cocoa with 13% hazelnut - Ingredients: Dulce de leche 84,5% ', ""whole milk' 61%"", 'sugar', 'dried skimmed milk 8,4%', 'hazelnut paste 13%', 'cocoa 2,5%', ' origin France - Gluten free', ' Palm oil free ES - Dulce de leche con cacao y 13% avellanas - Ingredientes: Dulce de leche ', '84,5%', ' ', 'Leche entera fresca* ', '61%', 'azúcar', 'leche desnatada en polvo 0% de grasa ', '8,4%', 'crema de avellanas ', '13%', 'cacao puro ', '2,5%', 'sal', ' *origen Francia - Sin gluten', ' Sin aceite de palma DE-Milchkonfitüre Kakao mit 13% haselnüssen - Zutaten: Milchkonfitüre 84,5% ', 'frische Vollmilch ', '61%', 'zucker', 'Magermilchpulver ', '8,4%', 'Haselnusspaste 13%', 'Kakaopulver 2,5%', 'salz', ' *Ursprung: Frankreich-Glutenfrei', ' Frei von Palmol Valeurs énergétiques et nutritionnelles']",['Non végétalien'],?,?,?,?,?,,,,,,370 g,['Plastique'],"[""saveurs en'or Hauts-de-France""]",,"['Sans gluten', 'Sans huile de palme']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Thon albacore - Auchan,3596710474370,['France'],[],[],?,484,"1,6",0,25,2025 kj(484 kcal),"0,4",0,"1,2","0,48",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Brioche sucre au beurre,3495563623402,['France'],[],[],?,339,"8,7","57,7",8,1418 kj(339 kcal),"5,4","17,1","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Bande de Flan,0219174032148,['France'],[],[],?,196,"7,3",29,"3,3",820 kj(196 kcal),"4,7",18,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Fromage à racette viande des grisons,2096948028990,['France'],[],[],?,350,28,"1,5",22,1464 kj(350 kcal),18,"0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Dessert pomme caramel,3289194000059,['France'],[],[],?,77,"1,7","14,5",0,322 kj(77 kcal),"1,1","13,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Coca Cola Zero,5000112612448,['France'],[],[],?,0.3,0,0,0,1 kj(0 kcal),0,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Guimauve fantasie enrobé de chocolat au lait,2608104019485,['France'],[],[],?,406,11,74,"3,7",1699 kj(406 kcal),"6,5",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Emmental de Savoie RDF,0200041023680,['France'],[],[],?,396,32,"0,5",27,1657 kj(396 kcal),20,"0,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Compote de pommes au gingembre,3760320230361,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Découpe de poulet fermier élevé en plein air,0262014039951,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Crème dessert praliné,2265720306858,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
