,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,quantity,markets,additives,link,palm_ingredients
295,Aiguillettes de dinde Bleu Blanc Coeur - Monoprix,2201266043758,,['Monoprix'],,,['France'],[],,[],,,,,,,,,,?,,114,,477 kj(114 kcal),,2,,"0,7",,0,,0,,25,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,['Monoprix'],,,
296,Filets de poulet - Monoprix,2201270033394,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],"['Poulet né', 'élevé et abattu en France', ' Produit frais', 'classe A']",,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,['Monoprix'],,,
297,Filet de poulet - Monoprix,2201270033851,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],"['Luché Tradition Volailles Z', 'I', 'du Breil 72800 Luché - Pringé 2 FILETS DE POULET Conditionné SOCiS atmosphère protectrice']",,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bleu Blanc Cœur'],,,,['Monoprix'],,,
298,Filets de poulet - Monoprix,2201270035558,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],[],,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bleu Blanc Cœur'],,,,['Monoprix'],,,
299,Filets de Poulet - Monoprix - 296g,2201270035824,B,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],['Poulet'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Sous atmosphère protectrice', 'Barquette', 'Plastique']","['Viande-francaise', 'Bleu Blanc Cœur', 'Volaille-francaise']",['France'],,296 g,['Monoprix'],,,
300,Filets de poulet x2 - Monoprix,2201270037460,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,['Monoprix'],,,
301,Filets de poulet - Monoprix,2201270039167,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],['les'],,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,['Monoprix'],,,
302,Filet de poulet - Monoprix,2201270039693,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],['Les'],,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,0,-100%,0,-100%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,['Monoprix'],,,
303,Escalopes extrafines de poulet - Monoprix,2201271038183,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,['France'],[],,[],,1.4 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,107,-19%,448 kj(107 kcal),-19%,"1,4",-48%,"0,5",-31%,0,-100%,0,-100%,24,+10%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,['Monoprix'],,,
304,Escalope extrafine de dinde - Monoprix,2201273025785,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Bleu Blanc Cœur'],,,,['Monoprix'],,,
305,Escalope de dinde - Monoprix,2201273027550,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Bleu Blanc Cœur'],,,,['Monoprix'],,,
306,Escalope de dinde - Monoprix,2201273028342,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
307,Escalope extrafine de dinde,2201273028601,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Bleu Blanc Cœur'],,,,,,,
308,Escalope Extrafine De Dinde - Monoprix,2201273031168,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
309,2 Escalopes Extrafine de Dinde - Monoprix - Variable,2201273032141,C,['Monoprix'],"['Viandes', 'Viandes fraîches', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],"['Dinde née', 'élevée et abattue en France', ' Produit frais', 'classe A']",,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,117,-32%,490 kj(117 kcal),-32%,2,-81%,"0,7",-83%,0,-100%,0,-100%,25,+35%,"0,1",-85%,"0,04",-85%,-4,-196%,A,-196%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,2 Escalopes Extrafine de Dinde,"['Fresh', 'Plastic']","['Viande-francaise', 'Point Vert', 'Bleu Blanc Cœur', 'Volaille-francaise']",['France'],['France'],Variable,['Monoprix'],,,
310,Escalope de dinde - Monoprix,2201273032677,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],"['Dinde née', 'élevée et abattue en France']",,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
311,"Escalope extrafine de dinde - Monoprix - 0,260g",2201273033193,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,"0,260 g",['Monoprix'],,,
312,Escalope extra fine de dinde,2201273033728,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,"['Viande Française', 'Volaille-francaise']",,,,,,,
313,Escalope extra fine de dinde - Monoprix,2201273034244,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
314,Escalope extrafinde de dinde - Monoprix,2201273034442,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],"['Dinde née', 'élevée et abattue en France', ' Produit frais', 'classe A']",,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
315,Escalopes de dinde - Monoprix,2201273035227,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],['Les'],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
316,Escalopes fines de dinde,2201273035494,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
317,2201274022370,2201274022370,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Escalope extrafine de dinde - Monoprix,2201275016736,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],['Les'],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
319,Escalope extrafine de dine - Monoprix,2201275017054,,['Monoprix'],,,['France'],[],,[],,,,,,,,,,?,,114,,477 kj(114 kcal),,2,,"0,7",,0,,0,,25,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,['Monoprix'],,,
320,Escalope extra fine de dinde - Monoprix,2201275017979,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],"[""l'EST UN CHOIX Dinde levée ut abattue en France"", ' Produit frais', 'classe A', ' Les']",,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
321,Escalope fine de dinde - Monoprix,2201275019157,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,['Monoprix'],,,
322,Escalope extrafine de dinde - Monoprix,2201275021525,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",['France'],"['BRAVO', ""C'EST UN CHOIX E"", ' Dinde née', 'élevée et abattue en France', ' Produit frais', 'classe A']",,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,"['Viande Française', 'Bleu Blanc Cœur', 'Volaille-francaise']",,,,['Monoprix'],,,
323,Foie de poulet,2201278017914,,,,,['France'],[],,[],,,,,,,,,,?,,115,,481 kj(115 kcal),,"4,8",,"1,7",,0,,0,,18,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
324,Monoprix,2201292029719,,['Monoprix'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,
325,Brochettes de poulet et légumes frais,2201441071118,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",['France'],[],,[],,,,,,,,,,?,,74,,310 kj(74 kcal),,"1,1",,"0,3",,"2,3",,"1,8",,14,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,
326,Mimolette jeune -,2201539022305,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
327,Larroque,2201564051899,B,['Larroque'],"['Poissons et viandes et oeufs', 'Foies gras']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Sous vide'],,['France'],['Montauban'],,['Carrefour'],,,
328,MORBIER 60 jours affinage AOP,2201608022892,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['France'],[],,[],,30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,363,+3%,1519 kj(363 kcal),+3%,30,+4%,21,+8%,"1,3",+67%,0,-100%,22,-3%,"1,6",+12%,"0,64",+12%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
329,Gratin dauphinois -,2201804046579,B,,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']","['FR 37.261.430 CE', 'Tours (Indre-et-Loire, France)']",['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,
330,Biscuit Spéculoos - ECO Biscuits - Variable,2202000000006,C,['ECO Biscuits'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",,['France'],"['Farine de froment', 'sirop de pomme', 'graisse de palme', 'sirop de maïs', 'sirop de blé', 'cocos', 'cannelle', 'épic de spéculoos', 'poudre à lever', 'sel', 'maizena']",['Gluten'],['Huile de palme'],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,Biscuit Spéculoos,['Vrac'],"['Bio', 'Bio européen', 'BE-BIO-02', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,Variable,,,,['Huile de palme']
331,Chipolatas piment d'espelette - Fipso Les Soleillades,2202031034704,E,['Fipso Les Soleillades'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,['France'],"['Viande de porc', 'eau', 'sel', ""piment d'Espelette "", '0,4%', 'dextrose', 'saccharose', 'arômes naturels', 'épices et plantes aromatiques ', 'ail', 'coriandre', 'gingembre', 'paprika', 'poivre', 'raifort', 'boyaux naturels', ' Viande de porc origine France']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,205,-14%,858 kj(205 kcal),-14%,15,-21%,"5,6",-22%,0,-100%,0,-100%,16,+4%,"1,7",-6%,"0,68",-6%,14,-16%,D,-16%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,
332,Ciabatta -,2202060000855,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Andouillette au canard,2202063018567,,,,,['France'],[],,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,16,,"6,2",,"0,6",,"0,01",,17,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
334,Andouillettes au canard,2202063019298,,,,,['France'],[],,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,16,,"6,2",,"0,6",,"0,001",,17,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
335,Andouillettes au canard - Le Gaulois,2202063019885,E,['Le Gaulois'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['France'],"['Abats de porc 56%', 'viande de canard avec peaux 25%', 'oignons', 'eau', 'moutarde ', 'dont sulfites', 'sel', 'vin blanc', 'épices', 'plantes aromatiques', 'arômes', 'dextrose de blé', 'extrait de poivre', 'ferments', 'antioxydant : érythorbate de sodium', 'conservateur : sel nitrité']","['Moutarde', 'Anhydride sulfureux et sulfites']",[],4,16 g,en quantité modérée,6.2 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,216,-6%,904 kj(216 kcal),-6%,16,-8%,"6,2",-19%,"0,6",-3%,"0,1",-73%,17,-6%,"1,4",-19%,"0,56",-19%,14,-16%,D,-16%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"['Plastique', 'Réfrigéré']","['Viande-francaise', 'Point Vert', 'Volaille-francaise']",,['France'],,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,
336,Andouillettes au canard - Le gaulois,2202063023813,E,['Le gaulois'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['France'],[],,[],,16 g,en quantité modérée,6.2 g,en quantité élevée,0.0001 g,en faible quantité,1.4 g,en quantité modérée,?,,216,-6%,904 kj(216 kcal),-6%,16,-8%,"6,2",-19%,"0,6",-3%,0,-100%,17,-6%,"1,4",-19%,"0,56",-19%,14,-16%,D,-16%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,['Sarthe'],,,,,
337,Andouillette au canard,2202063024407,,,,,['France'],[],,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,16,,6,,1,,0,,17,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
338,Andouillettes de canard,2202063025398,E,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de canard']",,['France'],[],,[],,16 g,en quantité modérée,6.2 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,276,+24%,1155 kj(276 kcal),+24%,16,-1%,"6,2",+1%,"0,6",-28%,"0,1",+1274%,17,-1%,"1,4",0%,"0,56",0%,15,+5%,D,+5%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,
339,Andouillette de canard,2202063026241,,,['Andouillettes de canard'],,['France'],[],,[],,16 g,en quantité modérée,6.2 g,en quantité élevée,0.001 g,en faible quantité,1.4 g,en quantité modérée,?,,216,-3%,904 kj(216 kcal),-3%,16,-1%,"6,2",+1%,"0,6",-28%,"0,001",-86%,17,-1%,"1,4",0%,"0,56",0%,14,-2%,D,-2%,,,,,,,,,,,,,,,,,
340,Andouillette au canard,2202063026838,,,,,['France'],[],,[],,,,,,,,,,?,,212,,887 kj(212 kcal),,"15,3",,"6,8",,"0,3",,"0,2",,"17,7",,"1,31",,"0,524",,,,,,,,,,,,,,,,,,,,,,
341,Cuisses de poulet au paprika,2202076027426,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],,[],,10.1 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,1.06 g,en quantité modérée,?,,165,-14%,690 kj(165 kcal),-14%,"10,1",-19%,"2,8",-16%,0,-100%,0,-100%,"18,3",-1%,"1,06",+39%,"0,424",+39%,3,-15%,C,-15%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
342,Cuisse de poulet au paprika,2202076027884,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],,[],,10.1 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,1.06 g,en quantité modérée,?,,165,-14%,690 kj(165 kcal),-14%,"10,1",-19%,"2,8",-16%,0,-100%,0,-100%,"18,3",-1%,"1,06",+39%,"0,424",+39%,3,-15%,C,-15%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
343,Cuisses de poulet au paprika,2202076028218,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],,[],,10.1 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,1.06 g,en quantité modérée,?,,165,-14%,690 kj(165 kcal),-14%,"10,1",-19%,"2,8",-16%,0,-100%,0,-100%,"18,3",-1%,"1,06",+39%,"0,424",+39%,3,-15%,C,-15%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
344,l'escalope extra fine,2202088051037,,,['Escalopes'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Veritable andouille de gueméne,2202168029062,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,['France'],[],,[],,20 g,en quantité modérée,10 g,en quantité élevée,0 g,en faible quantité,2.4 g,en quantité élevée,?,,244,-2%,1021 kj(244 kcal),-2%,20,-1%,10,-1%,0,-100%,0,-100%,16,-2%,"2,4",+0%,"0,96",+0%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,
346,Paupiettes de Dinde,2202186037063,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
