,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
225,Pur brebis - Pural - 220g,26064963,"['Frais', 'Film plastique']",['Pural'],['France'],"['Lait pasteurisé de brebis', 'sel', 'présure animale', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,400,1674 kj(400 kcal),34,25,"1,5","0,5",22,"1,6","0,64",C,220 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de France', 'Fromages pasteurisés', 'Fromages de brebis', 'Fromage de brebis des Pyrénées']","['Point Vert', 'Au Lait pasteurisé', 'Eco-Emballages', 'Fabriqué dans les Pyrénées Atlantiques']",['Aldi'],34 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+10%,+11%,+10%,+20%,+66%,+84%,+10%,-35%,-35%,16,-8%,D,-8%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,['Lait'],3,"['FR 31.582.001 CE', 'Villefranche-de-Lauragais (Haute-Garonne, France)']",,Fromage de France au lait pasteurisé de brebis,"['Les Fromageries Occitanes - LFO (Filiale Sodiaal International) - ZI Borde Blanche - 31290 Villefranche-de-Lauragais', 'Haute-Garonne', 'Midi-Pyrénées', 'France']",,"['France', 'Aquitaine', 'Les Fromageries Occitanes - LFO (Filiale Sodiaal International) - 14 Avenue Marcel Dassault - ZI Induspal - 64140 Lons', 'Pyrénées-Atlantiques']",,,,
226,Munster (27 % MG) - Le Grand Ballon - 200g,26065199,"['Frais', 'Film plastique']",['Le Grand Ballon'],['France'],['Lait pasteurisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1368,327,1368 kj(327 kcal),27,19,1,1,20,"1,775","0,71",B,200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée', 'Munsters', 'Munsters au lait pasteurisé', 'Petits Munsters', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']",['AOP'],['Aldi'],27 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,1.77 g,en quantité élevée,+3%,+1%,+1%,+1%,+2%,+80%,+90%,-0%,-1%,-1%,16,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,"['FR 88.079.001 CE', 'Bulgnéville (Vosges, France)']",,"Fromage de France AOP, à pâte molle à croûte lavée, au lait pasteurisé de vache","[""Union Laitière Vitelloise (ULV)-Fromagerie de l'Ermitage - 718 Rue de la Division Leclerc - 88140 Bulgnéville"", 'Vosges', 'Lorraine', 'France']",,['France'],,,,
227,Chevre anjou - Clovis Lefranc - 180g,26065885,,['Clovis Lefranc'],['France'],[],[],?,298,1247 kj(298 kcal),26,18,"0,5","0,5",17,"1,4","0,56",D,180 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:Fromages', 'en:Fromages de montagne', 'en:Produits de montagne', 'en:Produits fermentés', 'en:Produits laitiers', 'en:Produits laitiers fermentés']",,,26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+5%,+6%,+14%,+17%,-76%,-72%,+7%,+9%,+9%,14,-7%,D,-7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 64.371.100 CE', 'Mauléon-Licharre (Pyrénées-Atlantiques, France)', 'EMB 20929', 'FR 49.107.001 CE', 'Cornillé-les-Caves (Maine-et-Loire, France)', 'EMB 64284', 'Jurançon (Pyrénées-Atlantiques, France)', 'FR 64.284.100 CE', 'Jurançon (Pyrénées-Atlantiques, France)', 'FR 50.298.001 CE', 'Méautis (Manche, France)', 'EMB 05407']",,,,,,,,,
228,Jambon de Bayonne tranché affiné 9 mois - Le Flutiau - 100g,26067827,"['Plastique', 'Atmosphère protectrice', 'Frais']",['Le Flutiau'],['France'],"['Jambon de porc', 'sel', 'conservateur : nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1077,258,1077 kj(258 kcal),"15,2","6,9","0,8","0,5","29,5","5,2","2,08",E,100 g,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['IGP', 'Point Vert', 'Fabriqué en France', 'Origine France']",['ALDI'],15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.2 g,en quantité élevée,+1%,+5%,+5%,+9%,+16%,+26%,+8%,+1%,+9%,+9%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,3,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",Jambon de Bayonne affiné 9 mois,"[""Bassin de l'Adour"", 'France']",,,,,,
229,Saucisson sec - Aldi - 150g,26067988,,"['Aldi', 'Le Flutiau']",['France'],"['Viande de porc ', 'origine : UE', 'sel', 'lactose', 'dextrose', 'épices et plante aromatique', 'antioxydant : erythorbate de sodium', 'conservateur : nitrate de potassium nitrite de sodium', 'ferments', ' 149 g de viande deporc mis en ?uvre pour 100 g de produitfini']","['Non végétalien', 'Non végétarien']",?,387,1619 kj(387 kcal),31,31,"2,4","1,5",25,"4,4","1,76",D,150 g,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,['Aldi'],31 g,en quantité élevée,31 g,en quantité élevée,1.5 g,en faible quantité,4.4 g,en quantité élevée,,-6%,-6%,-5%,+142%,+3%,-2%,-8%,-5%,-5%,24,-1%,E,-1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Lait'],4,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)', 'EMB 69238', 'Saint-Symphorien-sur-Coise (Rhône, France)']","['E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,
230,4 Muffins - Arizona - 300g e,26082219,"['Sachet', 'Plastique']",['Arizona'],['France'],"['Farine [farine de blé ', 'contient du gluten', 'agent de traitement de la farine : E300', 'farine de malt de blé ', 'contient gluten', ']', 'sucre', 'œufs', 'huile de colza', 'fourrage noisettes 13% [sucre', 'huile végétale ', 'colza', 'beurre de cacao', 'noisettes 1,7%', 'cacao maigre', 'lait entier en poudre', 'lactosérum en poudre   ', 'contient de lait', 'émulsifiant : lécithine de tournesol', 'arôme]', 'pépites de chocolat 9% [sucre', 'masse de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille]', 'stabilisants ', 'E422', 'E415', 'amidon transformé de maïs', 'lactosérum en poudre ', 'contient de lait', 'poudres à lever ', 'E450', 'E500', 'amidon de blé ', 'contient du gluten', 'arômes ', 'contient alcool', 'sel', 'gluten de blé', 'enzymes', 'poudre de lait écrémé', 'protéines de lait', 'conservateur ', 'E202', "" Traces éventuelles d'arachides""]",['Non végétalien'],?,450,1883 kj(450 kcal),26,"3,5",49,30,"5,8","0,71","0,284",C,300 g e,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Gâteaux au chocolat', 'Muffins aux fruits', 'Muffins aux myrtilles', 'Muffins au chocolat']","['Agriculture durable', 'Point Vert', 'en:UTZ Certified', 'Triman', 'Produits retirés du marché lors du scandale du fipronil']",['ALDI'],26 g,en quantité élevée,3.5 g,en quantité modérée,30 g,en quantité élevée,0.71 g,en quantité modérée,,+27%,+26%,+53%,+10%,+4%,+18%,+21%,+18%,+18%,17,+28%,D,+28%,77.5%,13.0%,4.2%,3.1%,2.2%,0.0%,58,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,,"['E300 - Acide ascorbique', 'E322i - Lécithine', 'E422 - Glycérol', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4 Muffins goût vanille pépites chocolat avec fourrage à la noisette,['Belgique'],,,,,,
231,Nougat - Folidouss - 200g,26097534,,['Folidouss'],['France'],"['sucre', 'sirop de glucose', 'amande ', '20%', 'miel', 'blanc d’œuf', 'pain azyme ', 'fécule de pomme de terre et huile de tournesol', ' et arôme vanille']","['Sans huile de palme', 'Non végétalien']",?,441,1845 kj(441 kcal),13,1,74,62,7,"0,07","0,028",E,200 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,13 g,en quantité modérée,1 g,en faible quantité,62 g,en quantité élevée,0.07 g,en faible quantité,,-1%,-1%,-21%,-49%,+13%,+14%,-2%,-7%,-7%,15,-6%,D,-6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,"['Œufs', 'Fruits à coque']",4,,,,,,,,,,
232,Confiture de prunes - Tamara - 340g e,27004746,"['Glas', 'Verre', 'métal', 'Bocal']","['Tamara', 'Migros', 'Effe', 'Favorit']","['France', 'Suisse']","['Abricots', 'sucre', 'gélifiant: pectine', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",915,157,915 kj(157 kcal),"0,5","0,1",60,"3,1","0,5","0,02","0,008",D,340 g e,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot"", 'Confitures de fruits rouges', 'Confitures de fraises']",['Avec édulcorants'],['Migros'],0.5 g,en faible quantité,0.1 g,en faible quantité,3.1 g,en faible quantité,0.02 g,en faible quantité,-0%,-28%,-0%,+121%,+134%,+13%,-94%,-0%,-9%,-9%,0,-100%,B,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,4,,"['E440 - Pectines', 'E330 - Acide citrique']",Attention plusieurs produits dans cette fiche.,['Suisse'],,,,,,
233,"Pomme - cannelle thé noir aromatisé - westminster - 62,5g",27005378,['Boite'],['Westminster'],"['Belgique', 'France']","[""écorce de fruits d'églantier 55%"", 'hibiscus 45%']",[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,A,"62,5 g","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés aromatisés']","['Agriculture durable', 'en:UTZ Certified']",['Aldi'],,,,,,,,,,-67%,-67%,-100%,-100%,-49%,-61%,-100%,-100%,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,1,,,,['Allemagne'],,,,,,
234,Sandwichs - délipain - 450g,27018156,['sachet plastique'],['délipain'],"['Belgique', 'France']","['farine de blé', 'eau', 'levure', 'sucre', 'oeufs beurre ', 'lait', ' ', '3%', 'huiles végétales ', 'navette', 'tournesol', 'dextrose', 'sel iodé', 'émulsifiant ', 'E482', 'protéines végétales ', 'pomme de terre', 'pois', 'farine de feves', 'épaississant ', 'E466', 'arôme', 'lactosérum en poudre ', 'lait', 'maltodextrine', 'amidon', 'colorant ', 'E160a', ' Peut contenir des traces de: fruits à coque', 'graines de sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,304,1272 kj(304 kcal),"6,1","2,5",53,6,"8,2","1,2","0,48",,450g,"['Sandwichs', 'Sandwichs au beurre']",,,6.1 g,en quantité modérée,2.5 g,en quantité modérée,6 g,en quantité modérée,1.2 g,en quantité modérée,,+26%,+26%,-41%,-26%,+113%,+84%,-23%,-9%,-9%,11,+42%,D,+42%,,,,,,,,"['Gluten', 'Lait']",4,,"['E482 - Stéaroyl-2-lactylate de calcium', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', 'E160a - Carotènes mélangés']",,,,,,,,
235,Yaourt Muesli Chocolat - Milsani - 150g,27039267,['Pot'],['Milsani'],"['Belgique', 'France']","['yaourt doux ', 'lait', '13% muesli croquant ', 'floconsd avoine', 'sucre', 'flocons de blé', ""flocons d'orge"", '2% chocolat au lait entier ', 'sucre', 'pâte de cacao', 'poudre de lait entier', 'beurre de cacao', 'émulsifant : lécithine de tournesol', 'miel', 'huile de palme', 'coco desséché', 'sel de mer', 'poudre de lait écrémé', 'sucre,']","['Huile de palme', 'Non végétalien']",?,146,611 kj(146 kcal),"4,5","2,7","20,5","16,2","5,3","0,13","0,052",,150g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Aldi'],4.5 g,en quantité modérée,2.7 g,en quantité modérée,16.2 g,en quantité élevée,0.13 g,en faible quantité,,+24%,+24%,+18%,+34%,+35%,+40%,+20%,+6%,+6%,3,+91%,C,+91%,,,,,,,,['Lait'],3,,['E322i - Lécithine'],,['Breuberg'],,,['Huile de palme'],,,
236,Yaourt Maigre à Boire - Milsa - 709ml,27065570,,['Milsa'],"['Belgique', 'France']",[],[],?,65,272 kj(65 kcal),"0,9","0,5",11,11,"3,1","0,1","0,04",E,709 ml,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,0.9 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,,-10%,-11%,-40%,-47%,-3%,+3%,+7%,-6%,-6%,18,+12%,E,+12%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,,,,,,
237,Mozzarella - Casale Fresco - 125g,27065860,"['Frais', 'Plastique']","['Casale Fresco', ""D'Antelli""]","['Belgique', 'France']","['lait de vache ', 'pasteurisé', 'sel', 'ferments lactiques', 'présure ', 'microbienne', 'acidifiant : acide citrique', ' Sans conservateurs']",['Non végétalien'],?,247,1033 kj(247 kcal),"8,5","5,5",1,1,20,"0,5","0,2",D,125 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['Sans conservateurs'],['Aldi'],8.5 g,en quantité modérée,5.5 g,en quantité élevée,1 g,en faible quantité,0.5 g,en quantité modérée,,-5%,-4%,-59%,-61%,-3%,+33%,+19%,-26%,-26%,5,-51%,C,-51%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],3,['DE BY-40408 EG'],['E330 - Acide citrique'],Mozzarella,['Allemagne'],,,,,,
238,Filet de poulet - Délifin - 150g,27067611,['Plastique'],"['Délifin', 'Aldi']","['Belgique', 'France']","['Filet de poulet ', '86%', 'eau', 'sel', 'épices', 'arôme ', 'contient œufs', 'sirop de glucose', 'maltodextrine', 'dextrose', 'stabilisants ', 'carraghénane', 'di - et triphosphates', 'antioxydants ', 'ascorbate de sodium', 'lactate de sodium', 'conservateur ', 'nitrite de sodium']","['Non végétalien', 'Non végétarien']",?,121,506 kj(121 kcal),5,"1,7","1,5","0,3",17,2,"0,8",D,150g,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['Aldi'],5 g,en quantité modérée,1.7 g,en quantité modérée,0.3 g,en faible quantité,2 g,en quantité élevée,,-8%,-7%,+74%,+128%,+213%,+23%,-25%,+167%,+167%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Œufs'],4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",Filet de poulet,,,,,,,
239,Crackers graines de citrouille & sesame - kempi - 150g,27080238,,['Kempi'],"['Belgique', 'France']","[""farine de blé'"", ""graines de citrouille' 14 %"", ""7 % graines de sésame'"", ""huile de navette'"", ""semoule de maïs'"", ""farine de maïs'"", ""amidon de mais'"", ' levure', ""oeuf'"", ""graines de lin'"", ""flocons de blé'"", 'sel', ""herbes et épices'"", 'agent de traitement de la farine ', 'acide ascorbique', ""amidon de pomme de terre'"", "" \r 'issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,450,1883 kj(450 kcal),18,"2,6",57,"0,6",13,"1,1","0,44",B,150 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Bio'],,18 g,en quantité modérée,2.6 g,en quantité modérée,0.6 g,en faible quantité,1.1 g,en quantité modérée,,-3%,-4%,-10%,-52%,-4%,-85%,+31%,-45%,-45%,9,-42%,C,-42%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['Œufs', 'Gluten']",3,,['E300 - Acide ascorbique'],,,,,,,,
240,Cacao & Wheat Pillows - Golden bridge - 750g,27082591,['Carton'],['Golden bridge'],"['Belgique', 'France']","['Farine ', '45 %', ' ', 'blé', 'blé complet', 'maïs complet', 'riz complet', 'sucre', 'huile de palme', 'huile de colza', 'noisettes concassées ', '4 %', 'cacao maigre en poudre ', '3 %', 'sel', 'émulsifiant: lécithines ', 'tournesol', 'arôme naturel', 'niacine', 'vitamine E', 'D-pantothénate de calcium', 'vitamine B6', 'riboflavine', 'thiamine', 'acide folique', 'vitamine B12,']",['Huile de palme'],?,452,1891 kj(452 kcal),16,"4,9",68,34,7,"0,4","0,16",C,750 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Céréales fourrées']","['Enrichi en calcium', 'Riche en fibres', ""Personnage sur l'emballage""]",['ALDI'],16 g,en quantité modérée,4.9 g,en quantité modérée,34 g,en quantité élevée,0.4 g,en quantité modérée,,+4%,+3%,+16%,+30%,0%,+19%,-7%,-38%,-38%,13,0%,D,0%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Gluten', 'Fruits à coque']",4,,['E322i - Lécithine'],Coussins de céréales fourrés avec 40% de crème au nougat avec 8 vitamines,,,,['Huile de palme'],,,
241,Honig - Honigland - 500g,29029426,"['Kunststoff', 'glas']","['Honigland', 'Aldi']","['France', 'Allemagne']",['Honig'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1197,?,1197 kj(286 kcal),"< 0,1","< 0,1",70,70,"0,4","< 0,1","0,04",B,500 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']","['Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert']","['Aldi', 'Aldi-Nord']",0.1 g,en faible quantité,0.1 g,en faible quantité,70 g,en quantité élevée,0.1 g,en faible quantité,-13%,,-2%,-8%,+170%,-9%,+1%,+23%,+517%,+517%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,2,,,Sommerblüten-/Waldhonig,,,,,,,
242,Creme fraiche - Milsani - 200g,29050697,"['Becher', 'Kunststoff', 'produkt']",['Milsani'],"['France', 'Allemagne']",[],[],?,293,1226 kj(293 kcal),30,"20,7",3,3,"2,4","0,08","0,032",C,200 g,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes aigres']",,,30 g,en quantité élevée,20.7 g,en quantité élevée,3 g,en faible quantité,0.08 g,en faible quantité,,+23%,+24%,+29%,+34%,-18%,-8%,-9%,-32%,-32%,13,+11%,D,+11%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,
243,Escalope bolognaise - Père Dodu - 200g - X2,3011250018339,"['Bocal', 'Etui']",['Père Dodu'],['France'],"['Filets de poulet 40%', 'eau', 'farine de blé', 'tomates 6,4%', 'viande de bœuf 2,7%', 'purée de tomate 1,7%', 'viande de poulet 1,5%', 'arômes ', 'céleri', 'gélatine de bœuf', 'carotte', 'huile de tournesol', 'amidon modifié', 'fibres et protéines de blé', 'sel', 'dextrose', 'antioxydant : citrate de sodium', 'oignons 0,34%', 'sucre', 'levure', 'extrait de vin blanc', 'épices', 'coriandre 0,1%', 'flocons de pomme de terre', 'conservateur: sorbate de potassium', 'acidifiant : acide citrique', ' Huile de tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",732,175,732 kj(175 kcal),"7,1","1,1",13,"2,2",14,"1,1","0,44",,200 g - X2,"['Viandes', 'Plats préparés', 'Préparations de viande', 'Spécialités']","['Sans colorants', 'Sans exhausteur de goût', 'Sans huile de palme', 'Nutriscore', 'Nutriscore B', 'Nutriscore B']",,7.1 g,en quantité modérée,1.1 g,en faible quantité,2.2 g,en faible quantité,1.1 g,en quantité modérée,-15%,-14%,-15%,-33%,-66%,+53%,+79%,-11%,-30%,-30%,0,-100%,B,-100%,,,,,,,,"['Céleri', 'Gluten']",4,"['FR 56.261.001 CE', 'Vraie-Croix (Morbihan, France)']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","Préparation à base de filets de poulet traités en salaison, reconstitués 50%, garnie d'une sauce bolognaise 25%, panée 25% et cuite.",['Galliance Elaborés BP24 LA VRAIE CROIX 56250 ELVEN'],https://www.peredodu.fr/les-panes/les-escalopes/les-escalopes-en-sauce/,['Union européenne'],,,,
244,Knorr Sauce Déshydratée Echalote 33g - 33g,3011360011657,['Sachet plastique'],"['Knorr', 'Unilever']",['France'],"['farine de BLÉ', 'maltodextrine', 'graisse de palme', 'amidon de maïs', 'échalote : 9,8%', 'sel', 'tomate¹', 'sucre', 'arômes', 'oignon¹', 'sirop de glucose', 'protéines végétales hydrolysées', 'protéines de LAIT', 'extrait de vin blanc', 'extrait de levure', 'caramel', ""vinaigre de malt d'ORGE"", ' Peut contenir : céleri', 'moutarde', 'œuf', 'soja', "" \r¹Ingrédients issus de l'agriculture durable : 6%""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,70,293 kj(70 kcal),"2,7","1,4","9,8","1,7","1,3","1,2","0,48",,33 g,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']","['Agriculture durable', 'Point Vert', 'Sans colorants artificiels', 'Sans colorants', 'Sans exhausteur de goût']","['Carrefour', 'Franprix', 'Magasins U']",2.7 g,en faible quantité,1.5 g,en quantité modérée,1.8 g,en faible quantité,1.2 g,en quantité modérée,,-73%,-73%,-42%,-3%,-78%,-80%,-83%,-89%,-89%,6,+23%,C,+23%,,,,,,,,"['Gluten', 'Lait']",4,,,Sauce déshydratée.,,http://www.knorr.fr/produits/details/430274/sauce-a-  l-echalote,,['Huile de palme'],,,
245,Endives - D'aucy - 800g,3017800008478,,"[""D'aucy""]",['France'],[],[],?,18,75 kj(18 kcal),1,0,"2,8",2,"0,9","0,33","0,132",B,800 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes-feuilles', 'Endives', 'Endives en conserve', 'Endives']",,['Magasins U'],1 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.33 g,en quantité modérée,,+29%,+23%,+485%,-100%,+35%,+60%,-12%,+126%,+126%,-4,,A,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,,
246,Sauce Italienne à La Viande Rôtie - ZAPETTI - 3x 190g,3021690017281,['boîte'],['ZAPETTI'],['France'],"['Purée de tomate mi-réduite à base de concentré 70,3%', 'viande rôtie 14% ', 'bœuf 9,3%', 'porc', 'carotte 6,2%', 'oignon 2,2%', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon de maïs', 'blanc d’œuf', 'protéines de lait', 'épices ', 'dont céleri', 'ail']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,89,372 kj(89 kcal),"4,3","1,5","8,5","6,1","3,4","1,2","0,48",B,3 x 190 g,"['Epicerie', 'Sauces', 'Sauces tomate']","['Fabriqué en France', 'Nutriscore', 'Nutriscore A']",['Magasins U'],4.3 g,en quantité modérée,1.5 g,en quantité modérée,6.1 g,en quantité modérée,1.2 g,en quantité modérée,,+1%,+4%,+99%,+329%,-29%,-37%,+118%,-7%,-7%,3,-42%,C,-42%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,"['Œufs', 'Lait']",4,,,,,,,,,,
247,Taboulé Persil & Menthe à la libanaise - Zapetti - 525g,3021690026573,"['Carton', 'Conserve', 'Plastique']",['Zapetti'],['France'],"['Garniture 400g ', 'Eau', 'oignons 17,5%', 'courgettes 10%', 'purée de tomate mi-réduite', 'concombres 7,5%', 'persil 5,7%', 'menthe douce de Provence 2,3%', ""huile d'olive vierge extra 2,1%"", 'sel', 'jus de citron concentré', 'sucre', ""jus d'orange concentré"", 'ail', 'épice', 'arômes naturels', 'semoule de couscous 125g ', 'semoule de blé dur précuite à la vapeur']",[],?,118,494 kj(118 kcal),"2,1","0,3",20,"2,3","3,7","0,8","0,32",B,525 g,"['Plats préparés', 'Taboulés']","['en:saveurs-de-l-annee-france', 'Sans colorants', ""Saveurs de l'Année 2016""]",['Magasins U'],2.1 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.8 g,en quantité modérée,,-30%,-30%,-68%,-58%,-6%,-29%,-16%,-15%,-15%,1,-63%,B,-63%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,['Gluten'],4,"['FR 84.029.001 CE', 'Camaret-sur-Aigues (Vaucluse, France)']",,Taboulé Persil & Menthe,['France'],http://www.zapetti.fr/nos-produits/plats-cuisines/taboule/taboule-0,,,,,
