,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
1482,Pompoen,8718265636866,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Stuks', 'sachets']",,,,,,,,,
1483,Caramel Canelé de Bordeaux,0654479009813,['France'],[],[],?,354,1481 kj(354 kcal),"3,5",2,78,54,"3,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Capsules de café Nespresso - Hema,8713745573662,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hema'],,,,,,,,,,,,,
1485,Uova,8719326198705,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Olives Farcies Anchois Co 120G,3222471160619,['France'],[],[],?,149,623 kj(149 kcal),"14,1","2,4","5,6","0,5","1,7","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Vijgen,8718906152854,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Asafoetida,8904012501079,['France'],[],[],?,370,1548 kj(370 kcal),"1,3","0,3",0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Blauwe bessen,8718906860520,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Potatoes,8718796038962,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,['Bags'],,,,,,,,,
1491,Fragole,8436576440025,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,
1492,Beretta pancetta - Fratelli Beretta,8007660486535,"['France', 'Pays-Bas']",[],[],?,313,1310 kj(313 kcal),25,"9,7",1,1,21,"3,5","1,4",,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fratelli Beretta', 'Beretta']",,,,['Barquette'],,,,,,,,,
1493,Pain spécialité - Carrefour,3276556650489,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1494,Prosciutto cotto,2303489203602,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
1495,Cheese,2385421203482,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,['Packet'],,,,,,,,,
1496,Nectar de mangues - Côteaux Nantais - 75cl,3301591003461,['France'],"['eau pulpe de mangues* ', '40%', "" sucre roux* jus concentré de citron* Ingrédient issu de l'agriculture biologique""]",[],?,46,192 kj(46 kcal),0,0,"10,4","9,4",0,0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,,-12%,-12%,-100%,-100%,-16%,-19%,-100%,-100%,-100%,14,-10%,E,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,75 cl,['Côteaux Nantais'],,,,,,,,,,,,,
1497,Feuille de riz,30141513,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Noix pelèes,1800969000016,['France'],[],[],?,675,2824 kj(675 kcal),"62,5",6,"12,1","2,8","14,4","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,62.5 g,en quantité élevée,6 g,en quantité élevée,2.8 g,en faible quantité,0.01 g,en faible quantité,,+9%,+10%,+24%,-5%,-25%,-48%,-26%,-98%,-98%,13,+164%,D,+164%,,,,,,,,,,,,,,,,,,,,,,
1499,Asperges - Carrefour,3523680401259,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1500,Noix pelèes,1800969000016,['France'],[],[],?,675,2824 kj(675 kcal),"62,5",6,"12,1","2,8","14,4","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,62.5 g,en quantité élevée,6 g,en quantité élevée,2.8 g,en faible quantité,0.01 g,en faible quantité,,+9%,+10%,+24%,-5%,-25%,-48%,-26%,-98%,-98%,13,+164%,D,+164%,,,,,,,,,,,,,,,,,,,,,,
1501,Asperges - Carrefour,3523680401259,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1502,Alfajores dulche de leche - Britt,0645860007044,['France'],[],[],?,463,1937 kj(463 kcal),"22,2","14,8","57,4",26,"7,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Britt'],,,,,,,,,,,,,
1503,Filet de poulet fermier - Carrefour,0287567059829,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1504,Filet de poulet,2264420039752,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Halal'],,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,"['FR 89.013.001 CE', 'Appoigny (Yonne, France)']",,,,,,,,,,
1505,Fromage de brebis - Salakis - 892g,2379267008929,['France'],[],[],?,272,1138 kj(272 kcal),"22,8","22,8","16,2","0,8","15,7","2,8","1,12",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']","['Point Vert', 'Fabriqué en France']",22.8 g,en quantité élevée,22.8 g,en quantité élevée,0.8 g,en faible quantité,2.8 g,en quantité élevée,,-25%,-25%,-26%,+9%,+1698%,+194%,-22%,+13%,+13%,18,+3%,D,+3%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,892g,"['Salakis', 'Société des caves', 'Lactalis']",,,"['FR 48.094.011 CE', 'Massegros (Lozère, France)']",['Fresh'],,,,,,,,,
1506,Thin blanc au naturel - Petit Navire,3019081238094,['France'],[],[],?,123,515 kj(123 kcal),3,"0,8",0,0,24,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Petit Navire'],,,,,,,,,,,,,
1507,Chistorra - Hiruak,2474757028538,['France'],[],[],?,407,1703 kj(407 kcal),37,13,"2,7","2,4",15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hiruak'],,,,,,,,,,,,,
1508,Tomme Fermiere au lait cru,2900714001646,['France'],[],[],?,362,1515 kj(362 kcal),"30,1","19,1","0,23",0,"22,6","2,02","0,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Yakitori au poulet grillé à la Japonaise,8858984820587,['France'],[],[],?,164,686 kj(164 kcal),"4,6","1,2","9,6","1,8","21,1","1,48","0,592",E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet', 'Brochettes de poulet Yakitori']",,4.6 g,en quantité modérée,1.2 g,en faible quantité,1.8 g,en faible quantité,1.48 g,en quantité modérée,,+6%,+6%,-0%,-13%,-8%,-73%,+26%,+15%,+15%,4,-18%,C,-18%,76.9%,15.4%,4.2%,1.9%,0.9%,0.7%,32,,,,,,,,,,,,,,,
1510,"Cabanossi, Truthahn Und Schwein - Dulano - 300g",20140366,"['France', 'Allemagne']","['Truthahnfleisch', 'Schweinefleisch', 'Schweinespeck', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumiodat', 'Gewürze', 'Gewürzextrakte ', 'enthält Sellerie', 'Dextrose', 'Antioxidationsmittel: Ascorbinsäure', ' Konservierungsstoff: Natriumnitrit', ' Naturdarm ', 'Schwein', 'Buchenholzrauch']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,"['Viandes', 'Charcuteries', 'Saucissons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,['Dulano'],,,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Céleri'],4,Cabanossi von Truthahn und Schwein,,,,,
1511,Bolognese - 400g,0133000000005,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,
1512,Nectar de pomme et de fraise,3760104610068,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1513,Tapenade De Tomates Séchées,8033891010812,['France'],[],[],?,338,1414 kj(338 kcal),34,"5,7",9,"4,7",1,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Beignets chocolat-noisette - Leclerc,2020000180166,['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['en:palm-oil-free'],18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,,+8%,+8%,+14%,-42%,+4%,+17%,+3%,-4%,-4%,12,0%,D,0%,,,,,,,,,['Leclerc'],,,,,,,,,,,,,
1515,Viennoiseries au beurre,,['France'],[],[],?,437,1828 kj(437 kcal),26,18,40,12,"8,5","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,I Granfarciotti di emma giordanni - voltan - 250g,8003010000345,"['France', 'Italie']",[],[],?,215,900 kj(215 kcal),"6,9","3,4",28,0,"7,9",1,"0,4",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",,6.9 g,en quantité modérée,3.4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+16%,+16%,+28%,+66%,+12%,-100%,+6%,+1%,+1%,5,+23%,C,+23%,,,,,,,,250 g,['Voltan'],,,,,,,,,,,,,
1517,Medaillons fruits secs chocolat,3760115214378,['France'],[],[],?,568,2377 kj(568 kcal),40,22,34,27,10,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Poudre noisette bio,3460422349854,['France'],[],[],?,674,2820 kj(674 kcal),"63,5","4,5","9,3",5,"12,8","0,002","0,001",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Lompi,5099206072138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,ROULE ROULES,3352750700110,['France'],[],[],?,376,1573 kj(376 kcal),0,0,"94,1","79,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Saucisson à Cuire Pur Porc Nature 340g,3375220000312,['France'],[],[],?,294,1230 kj(294 kcal),25,9,1,1,16,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,,,,,,,,,
1522,Boîte goûter,8435477902748,['France'],[],[],?,375,1569 kj(375 kcal),0,0,97,70,0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Raisin sec golden,3700198620369,['France'],[],[],?,337,1410 kj(337 kcal),"0,5","0,1",84,64,"3,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 59400', 'Merville (Nord, France)']",,,,,,,,,,
1524,Sève de bouleau et matcha -,0779997351029,['France'],[],[],?,12,50 kj(12 kcal),0,0,3,3,0,"0,03","0,012",,"['Boissons', 'Boissons sans sucre ajouté', 'Sèves de bouleau']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",0 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,0.03 g,en faible quantité,,+140%,+127%,-100%,-100%,+173%,+308%,-100%,+161%,+161%,4,+233%,C,+233%,,,,,,,,,,,,,,,,,,,,,,
1525,Caramel - Verquin - 125g,3116420002030,['France'],"['strop de ucose', 'sucre', 'graisse végétale totalement hyorogénée ', 'coprah', ' lait écrémé en poudre', 'beurre', 'dextrose sirop de sucre inverti', 'cacao en poudre', 'noisettes hâchees', 'sel', 'extrait de café', 'emulsifiant : E473', 'arôme vanille']",['Non végétalien'],?,410,1715 kj(410 kcal),"10,8","9,6","76,1","52,4","2,1","0,56","0,224",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Caramels']",,10.8 g,en quantité modérée,9.6 g,en quantité élevée,52.4 g,en quantité élevée,0.56 g,en quantité modérée,,+7%,+7%,+11%,+55%,+4%,+3%,+14%,-14%,-14%,26,+24%,E,+24%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,125g,['Verquin'],,,,['Plastique'],"['E473 - Sucroester', '', 'Risque élevé de sur-exposition']",['Lait'],4,,['France'],,,,
1526,Thaï spice bref jerky,5060030541329,['France'],[],[],?,334,1397 kj(334 kcal),"9,3","3,9","31,6",28,"30,1","1,7","0,68",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Coca cola light,5449000016584,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+100%,+100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,1,-11%,B,-11%,,,,,,,,,['Coca-Cola'],,,,,,,,,,,,,
1528,Ras el  hanout  jaune,3760197941735,['France'],[],[],?,?,,?,,?,,?,,,,"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Sea salt bops,15884408,['France'],[],[],?,429,1795 kj(429 kcal),15,"2,5",75,2,"4,1",2,"0,8",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Brandade de morue - Carrefour,0203884025989,['France'],[],[],?,651,2724 kj(651 kcal),"9,6","0,9","10,1","0,3","7,2","0,8","0,32",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,+195%,+195%,-42%,-57%,+28%,-58%,+6%,-8%,-8%,11,+159%,D,+159%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1531,Chipos persilles bio x4,2443821042244,['France'],[],[],?,205,858 kj(205 kcal),15,"5,8","0,6","0,6",17,"1,8","0,72",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Guibérico saucisson,8437012739802,['France'],[],[],?,449,1879 kj(449 kcal),"36,8","14,8","1,4","0,5",28,"4,175","1,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Delhaize Gelée Framboises,5400111087955,['France'],[],[],?,243,1017 kj(243 kcal),"0,2","0,1","58,1","55,3","0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],['Delhaize'],,,,,,,,,,,,
1534,Harissa naturelle extra,6191409603931,['France'],[],[],?,?,,?,,?,,?,,,C,"['Epicerie', 'Sauces', 'Harissas']",,,,,,,,,,,,,,,,,,,,,,,,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,,,,,
1535,Edam jeune - €co+,2860010011544,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['€co+'],,,,,,,,,,,,,
1536,Pâte New Orléans Gumbo,5000385021657,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Strawberry extra jam - Cirio,8001440128530,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Cirio'],,,,,,,,,,,,,
1538,Paturages des Monts du Lyonnais,3760196790389,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Magret de canard - Delpeyrat,2672687040013,['France'],[],[],?,305,1276 kj(305 kcal),26,"8,2","1,5","0,5",15,"1,39","0,556",E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,26 g,en quantité élevée,8.2 g,en quantité élevée,0.5 g,en faible quantité,1.39 g,en quantité modérée,,-10%,-10%,-11%,-18%,+20%,-25%,-16%,-16%,-16%,17,-8%,D,-8%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,['Delpeyrat'],,,,,,,,,,,,,
1540,Mini Muffins Einhorn Edition,4035600922991,['France'],[],[],?,456,1908 kj(456 kcal),23,17,57,39,"4,5","0,66","0,264",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,23 g,en quantité élevée,17 g,en quantité élevée,39 g,en quantité élevée,0.66 g,en quantité modérée,,+15%,+15%,+14%,+353%,+17%,+45%,-13%,-11%,-11%,25,+62%,E,+62%,,,,,,,,,,,,,,,,,,,,,,
1541,Pho bo beef flavor - Vifon,8934561261919,['France'],"['riz', 'sel', 'sucre', 'amidon de tapioca modifie', 'eau', 'huile de palme', 'exhausteurs de goût: E621', 'E627', 'E631', 'piment', 'arôme de bœuf', 'GLUTEN de BLE texturés', 'maltodextrine', 'épices ', 'cannele', 'girofle', 'échalote rouge', 'ail', 'stabilisant: E412', 'concentré de tomate', 'oignon nouveau séché', 'poivre', 'amidon de mais modifié,colorant E160a', 'coriandre longue séché', ""correcteurs d'acidité: E260"", 'E330', 'antiagglomérant: E551', 'consenateur E202', 'antioxydant']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,240,1004 kj(240 kcal),2,1,51,4,5,"2,39","0,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vifon'],,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E412 - Gomme de guar', 'E160a - Carotènes mélangés', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E551 - Dioxyde de silicium']",['Gluten'],4,,,,,['Huile de palme'],
1542,Tehina,7290010983599,['France'],[],[],?,344,1439 kj(344 kcal),"19,3","3,8","12,9","1,9","6,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Havana Club Anejo 3YO 40%,8501110089319,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Huile de tournesol,5410556196341,['France'],[],[],?,900,3766 kj(900 kcal),100,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Pizza jambon fromage,5712872729563,['France'],[],[],?,224,937 kj(224 kcal),"6,3","2,3",36,"4,8",0,"1,2","0,48",C,"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage']",,6.3 g,en quantité modérée,2.3 g,en quantité modérée,4.8 g,en faible quantité,1.2 g,en quantité modérée,,+2%,+1%,-7%,-33%,+31%,+63%,-100%,-15%,-15%,10,+26%,C,+26%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,,,,,,,,,,,,,,
1546,Berkoukes roulé main,6134397000139,['France'],[],[],?,360,1506 kj(360 kcal),2,0,72,16,12,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Pine apple juice,0804531110708,['France'],[],[],?,46,192 kj(46 kcal),0,0,"10,9","9,7","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Simply salted nuts,4750024000321,['France'],[],[],?,612,2561 kj(612 kcal),52,10,6,"4,5",30,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Huile De Paraffine Cooper,3400934372230,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Chorizo,8437000999652,['France'],[],[],?,433,1812 kj(433 kcal),"35,14","12,91","5,55","0,6","23,63","1,3","0,52",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,35.1 g,en quantité élevée,12.9 g,en quantité élevée,0.6 g,en faible quantité,1.3 g,en quantité modérée,,+6%,+6%,+3%,+0%,+90%,-66%,+3%,-65%,-65%,20,-16%,E,-16%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,,
1551,Soupe chorba aux épices douces aux petits légumes et poulet,3355570003324,['France'],[],[],?,50,209 kj(50 kcal),0,0,"3,9",0,"5,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Pain mais,0244079008530,['France'],[],[],?,330,1381 kj(330 kcal),"6,6","0,2",64,0,12,"1,6","0,64",,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Crème glacée Chocolat Intense,3770013312236,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Filet mignon au bois de hêtre,2859740024474,['France'],[],[],?,?,,?,,?,,?,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 80.799.001 CE', 'Villers-Bretonneux (Somme, France)']",,,,,,,,,,
1555,Luxury fudge - Iceland,5010482731472,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Iceland'],,,,,,,,,,,,,
1556,La ferme Marty debat,3760267350207,['France'],[],[],?,70,293 kj(70 kcal),"3,5","1,77","4,7","4,7","4,04",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Crème glacée Pistache,3770013312045,['France'],[],[],?,?,,?,,?,,?,,,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la pistache']",,,,,,,,,,,,,,,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,,
1558,Confiture cerises noires - Maison Herbin,3355430002887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Herbin'],,,,,,,,,,,,,
1559,Tropical pineapple flavored cookies,0855378004866,['France'],[],[],?,433,1812 kj(433 kcal),10,"3,3",24,11,1,"0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,La brandade de morue,0287992036860,['France'],[],[],?,156,653 kj(156 kcal),"9,6","0,9","10,1","0,3","7,2","0,8","0,32",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,-29%,-29%,-42%,-57%,+28%,-58%,+6%,-8%,-8%,0,-100%,B,-100%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,,,,,
1561,Pavé aux céréale U,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
