,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
1206,Granolas bio chanvre & noix,3770010956136,"['Bio', 'Sans gluten']",['France'],[],[],?,470,1966 kj(470 kcal),23,"2,7",47,"10,2","15,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Sugo,4008100168572,,"['France', 'Allemagne']",[],[],?,47,197 kj(47 kcal),"1,2","0,2","6,4","6,2","1,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
1208,Lingue Di Passero,8003477100176,['Fabriqué en Italie'],['France'],[],[],?,355,1485 kj(355 kcal),"1,2","0,2","72,5",1,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Mini Cookidz - Good Goût - 115g,3760269311251,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France']",['France'],"['Fanne de ble""', 'beurre"" 22% chocolat noir 20% ', 'påte de cacao', 'sucre de canne beurre de cacao extrait de vanille', 'farine complète de blė 18%', 'sucre roux de canne', 'pépites de chocolat noir 7%', 'sucre de canne', 'pate de cacao', ' beurre de cacao oeufs entiers en poudre', "" poudres a lever carbonates d'ammonium - carbonates de sodium extrait de vanille sel mann ingredient issu de l'agnculture biologique"", ' Peut contenir des traces de soja', ' de fruits a coque', ""de graines de sésame et d'arachides""]",[],?,535,2238 kj(535 kcal),31,19,53,22,"7,9","0,57","0,228",115 g,['Good Goût'],,['Lait'],3,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits bio']",31 g,en quantité élevée,19 g,en quantité élevée,22 g,en quantité élevée,0.57 g,en quantité modérée,,+13%,+12%,+49%,+88%,-17%,-25%,+22%,-3%,-3%,17,-14%,D,-14%,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Sachet'],,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']",https://www.goodgout.fr/kids/des-36-mois/mini-cookidz-vanille-nappes-au-chocolat-36/181,,,,
1210,La pâte à tartiner Amandes Noisettes - Quarré de Chocolat - 280g,3760246620147,['Point Vert'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,280 g,['Quarré de Chocolat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Linsen - Clever - 530g,9009504009497,,"['Autriche', 'France', 'Allemagne']","['Linsen', 'Wasser', 'Speisesalz']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,"0,5",,12,0,"6,1","0,55","0,22",530g,['Clever'],,,3,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",0.5 g,en faible quantité,,,0 g,en faible quantité,0.55 g,en quantité modérée,,,,-66%,,-64%,-100%,-66%,+90%,+90%,,,,,,A,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,"['Dose', 'plastikbeutel']",,,,,,,
1212,Gouda Holland igp jeune cumin,0204599010369,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
1213,Mélange étudiant Bio - Optimys,7640149390759,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],?,465,1946 kj(465 kcal),31,3,39,27,12,0,0,,['Optimys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Dinkel Vollkornmehl - Schlafen Mühle - 1kg,4000950072702,,"['France', 'Allemagne']",[],[],?,355,1485 kj(355 kcal),"3,6","0,5","63,7","0,4","8,3","12,7","5,08",1kg,"['Schlafen Mühle', 'Schapfen Mühle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Broccoli - Migros Bio - 500g,7613312011232,,"['France', 'Suisse']",[],[],?,32,134 kj(32 kcal),"0,5","0,5","2,5","2,5",3,0,0,500g,['Migros Bio'],['Migros'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Brocolis']",0.5 g,en faible quantité,0.5 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,+7%,+8%,+12%,+390%,+21%,+98%,+16%,-100%,-100%,-6,,A,,,B,67.2%,0.0%,0.0%,13.2%,18.9%,0.6%,98,,,,,,,,,
1216,Garana matcha,0018705067860,,['France'],[],[],?,422,1766 kj(422 kcal),"22,9","3,4","44,4","38,7","9,7","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Sodebo le classic - 160g,3242272878452,"['Nutriscore', 'Nutriscore B']",['France'],[],[],?,264,1105 kj(264 kcal),10,1,31,"2,2",10,"1,6","0,64",160 g,['Sodebo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Graines de Courges de Bio,3760276300095,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,570,2385 kj(570 kcal),45,"8,8","1,2","1,2",36,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",45 g,en quantité élevée,8.8 g,en quantité élevée,1.2 g,en faible quantité,,,,+1%,+1%,+2%,+16%,-85%,+3%,+20%,,,,,,,,,,,,,,,,,,,,,,,,
1219,HITSCHIES ( Mermaid Mix ) - Hitschler - 125.0g,4100250006794,,"['France', 'Allemagne']",[],[],1692,400,1692 kj(400 kcal),"5,4",3,86,67,"1,4","0,07","0,028",125.0 g,['Hitschler'],,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",5.4 g,en quantité modérée,3 g,en quantité modérée,67 g,en quantité élevée,0.07 g,en faible quantité,-8%,-5%,-4%,-63%,-54%,+29%,+35%,-67%,-52%,-52%,17,-7%,D,-7%,,,,,,,,,,,['Tüte'],,,,,,,
1220,King Size white Creme Peanut Butter Eg - Reese's,0034000473397,,['France'],['peanuts'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,180,753 kj(180 kcal),11,"3,5",18,15,4,375,150,,"[""Reese's""]",,['Arachides'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,4 croissants + 4 pains au chocolats pur beur - 2020g,0202784019685,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,2020 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Maglie di Zito,8003477100435,,['France'],[],[],?,355,1485 kj(355 kcal),"1,2","0,2","72,5",1,"11,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Dr Pepper Energy 500ML Dose,4000140705175,,['France'],[],[],?,45,188 kj(45 kcal),0,0,"11,1","11,1",0,,,,['Dr Pepper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Montana,8000250333028,,['France'],[],[],?,193,808 kj(193 kcal),14,6,4,"0,2",11,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Minestrone du verdure - Alce nero - 500g,8009004810747,,"['France', 'Italie', 'Suisse']",[],[],?,35,146 kj(35 kcal),"0,2",0,"5,4","1,2","1,8","0,68","0,272",500g,['Alce nero'],,,,,"['Plats préparés', 'Soupes']",0.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.68 g,en quantité modérée,,-39%,-38%,-90%,-100%,-6%,-31%,-18%,-21%,-21%,0,-100%,B,-100%,,,,,,,,,,,['Portionen'],['Cesena Italia'],,,,,,
1226,Sauce piquante aux piments Jalapeno,7501017660391,,['France'],[],[],?,1.8999999761581,8 kj(1 kcal),"0,71",0,34,0,"1,1","4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Derica doppio concentrato pomodoro - 70g,8000607001235,,"['Autriche', 'France']",[],[],?,109,456 kj(109 kcal),"0,3","0,1","19,5","13,1","4,3","0,1","0,04",70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Tub', 'Dose']",,,,,,,
1228,Carambars nougat - Carambar - 1368g,3664346313414,,['France'],[],[],1666,394,1666 kj(394 kcal),"6,5","3,1",82,54,"1,6","0,28","0,112",1368 g,['Carambar'],,"['Lait', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Pineappel Pieces - aro - 340g,4337182002444,,"['France', 'Allemagne']",[],[],?,67,280 kj(67 kcal),0,,16,"13,6","0,2",,,340g,['Aro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,
1230,Letscho Paprika in Tomatensauce - Beste Ernte - 680g,4316268517799,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,680g,['Beste Ernte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
1231,Tapioca (tapioca Granuliert) 500G Yoki,7891095300648,,['France'],[],[],?,360,1506 kj(360 kcal),0,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Riso Arborio - Spar - 1kg,8001300417408,,"['Autriche', 'France', 'Allemagne']",[],[],?,346,1448 kj(346 kcal),"0,7","0,2",78,0,"6,8",0,0,1kg,['Spar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,GRANDE 100% ARABICA - Carrefour,3560071233990,,['France'],[],[],?,?,,?,,?,,?,0,0,,['Carrefour'],['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Souris d'agneau fondante cuite dans son jus au thym - Picard - 500g,0206076056280,,['France'],[],[],?,150,628 kj(150 kcal),"7,1","3,1","1,1","0,6",21,"0,85","0,34",500 g,['Picard'],['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Hörnchen,4334011013138,,"['France', 'Allemagne']",[],[],?,365,1527 kj(365 kcal),"2,6","0,6",70,"3,3",14,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Beutel'],,,,,,,
1236,Milde Bohne - Amaroy - 144g,4061458003254,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,144 g,['Amaroy'],,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,
1237,Fruchtstern Mango-Nektar - Frucht Stern,4316268451093,['en:German Agricultural Society'],"['France', 'Allemagne']","['Wasser', 'Mangomark', 'Zucker', 'Säuerungsmittel: Citronensäure', ' Antioxidationsmittel: Ascorbinsäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",224,53,224 kj(53 kcal),"12,1","< 0,1","12,1","12,1","0,2","< 0,01","0,004",,['Frucht Stern'],,,3,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",12.1 g,en quantité élevée,0.1 g,en faible quantité,12.1 g,en quantité élevée,0.01 g,en faible quantité,+7%,+2%,+3%,+6775%,+333%,-2%,+4%,-26%,-3%,-3%,17,+9%,E,+9%,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Flasche'],,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,
1238,Collagen protein powder,0604565127303,,['France'],[],[],?,364,1523 kj(364 kcal),0,0,0,0,91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Corned Beef - Rio Plata - 340g,4002442200341,,"['France', 'Allemagne']",[],[],?,226,946 kj(226 kcal),14,"5,5",1,1,24,"2,3","0,92",340g,['Rio Plata'],,,,,"['Conserves', 'Viandes', 'Viandes en conserve']",14 g,en quantité modérée,5.5 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,,+14%,+18%,+11%,+7%,-17%,+157%,+38%,+42%,+42%,17,+43%,D,+43%,,,,,,,,,,,['Dose'],,,,,,,
1240,Dinkelmehl 1050 - SchneeKoppe - 1000g,4061458041546,"['Bio', 'en:EG-Öko-Verordnung']","['France', 'Allemagne']",[],[],?,343,1435 kj(343 kcal),"1,2","0,1",68,"0,6","12,5","0,1","0,04",1000g,['SchneeKoppe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Céréales petit déjeuner - Cacao & Noisettes grillées - Loumaë - 350g,3770015981010,"['Bio', 'Bio européen', 'Sans huiles végétales', '100% végétal', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'AB Agriculture Biologique', 'Au sucre de fleur de coco à Index Glycémique Bas', 'Cereales-completes', 'Fair for Life', 'Reduit-en-sucre']",['France'],"['Céréales complètes* ', 'blé*', 'seigle*', 'épeautre*', 'sarrasin*', 'noisettes*', 'sucre de fleur de coco*', 'cacao en poudre*', 'poudre à lever : bicarbonate de sodium', ""*Ingrédients issus de l'agriculture biologiqueAllergènes : Gluten"", 'Fruits à coques', ' Peut contenir des traces de sésame et arachides']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1707,408,1707 kj(408 kcal),"12,7","1,3","59,1","17,5",10,"0,1","0,04",350 g,['Loumaë'],,"['Gluten', 'Fruits à coque']",4,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",12.7 g,en quantité modérée,1.3 g,en faible quantité,17.5 g,en quantité élevée,0.1 g,en faible quantité,+0%,+2%,+2%,+46%,-41%,-11%,+5%,+7%,-72%,-72%,-1,-119%,A,-119%,,B,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Le packaging est un sachet en papier kraft et PET refermable de 350g.'],"['France', 'Noisy-le-Sec (93)']",['E500ii - Carbonate acide de sodium'],,,,,
1242,Croquines:croquants aux amandes,3760026940519,,['France'],[],[],?,494,2067 kj(494 kcal),19,2,68,57,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Oignon frit au miso et a l'huile de soja - 210g,4710678220346,,['France'],[],[],?,640,2678 kj(640 kcal),50,0,50,5,0,"6,6","2,64",210 g,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",50 g,en quantité élevée,0 g,en faible quantité,5 g,en quantité modérée,6.6 g,en quantité élevée,,+13%,+13%,+18%,-100%,+25%,-53%,-100%,+500%,+500%,13,-4%,D,-4%,,E,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,,,,,,
1244,Salmon loin,2403052108232,,['France'],[],[],?,209,874 kj(209 kcal),"13,6","2,6",0,0,"20,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Milka Alpenmilch - 150g,7622210230201,,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,150 g,['Milka'],,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,
1246,Gingembre En Poudre Bio / Ground Ginger Organic Spice,3760162880052,['Bio'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,,B,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,
1247,4 Mini Rocher aux chocolat,3391860048002,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Citrus Akuta Konzentrat - Gallon - 500ml,29025145,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,500ml,"['Gallon', 'Akuta']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,
1249,"Bio-Sirup Rhabarber - Sodastream - 0,5Liter",8718692613508,,"['France', 'Allemagne']","['Rhabarbersaft* 46%', 'Rohrzucker', 'Rübenzucker*', 'Aroniasaft*', 'Zitronensaftkonzentrat* * aus kontrolliert biologischem Anbau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,50,209 kj(50 kcal),"0,1",0,83,83,"0,1",0,0,"0,5 Liter",['Sodastream'],,,3,,['Sirops'],0.1 g,en faible quantité,0 g,en faible quantité,83 g,en quantité élevée,0 g,en faible quantité,,-81%,-81%,-4%,-100%,+27%,+35%,+2%,-100%,-100%,9,-27%,C,-27%,,,,,,,,,,,['Flasche'],,,,,,,
1250,Pesto Arrabbiata - Bernbacher - 140g,4000470012240,,"['France', 'Allemagne']",[],[],?,278,1163 kj(278 kcal),27,18,"6,9","5,4","7,4","2,9","1,16",140g,['Bernbacher'],,,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",27 g,en quantité élevée,18 g,en quantité élevée,5.4 g,en quantité modérée,2.9 g,en quantité élevée,,-23%,-22%,-19%,+267%,-18%,-4%,+84%,+41%,+41%,24,+51%,E,+51%,,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,['Glas'],,,,,,,
1251,Gezuckerte Kondensmilch - Dovgan - 90g,4032549005747,,"['France', 'Allemagne']","['Vollmilch', '45% Zucker']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1372,352,1372 kj(352 kcal),8,"5,4","56,4","56,4","6,9","0,2","0,08",90 g,['Dovgan'],,['Lait'],3,,"['Produits laitiers', 'Laits concentrés', 'Laits concentrés sucrés', 'Lait concentré entier sucré']",8 g,en quantité modérée,5.4 g,en quantité élevée,56.4 g,en quantité élevée,0.2 g,en faible quantité,+1%,+10%,+2%,+3%,+11%,+3%,+5%,-4%,-7%,-7%,19,+5%,E,+5%,,B,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,['Aluminium'],,,,,,,
1252,Reissirup - Bio - 250ml,4061458099134,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung']","['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,250 ml,['Bio'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Édulcorants', 'Sirops', 'Sirops simples', 'Sirops de céréales', 'Sirops de riz']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,
1253,Foie gras de canard entier - 200g,3760026196527,,['France'],[],[],?,587,2456 kj(587 kcal),62,29,"1,8","1,5","5,9","1,3","0,52",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Ajvar,3800018508355,,['France'],[],[],?,78,326 kj(78 kcal),"4,6","0,5","7,2","7,1",1,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Wasabi - 43g,0074880020120,['en:gluten-free'],"['Canada', 'France']",[],[],?,300,1255 kj(300 kcal),10,2,60,20,2,8,"3,2",43 g,,,,,,"['Epicerie', 'Sauces', 'Pâtes au wasabi']",10 g,en quantité modérée,2 g,en quantité modérée,20 g,en quantité élevée,8 g,en quantité élevée,,+26%,+24%,+18%,+3%,+74%,+198%,-24%,+65%,+65%,18,+49%,D,+49%,,,,,,,,,,,['boîte'],,,,,,,
1256,Vivident Xylit Cube Ice Green,80743668,,['France'],[],[],?,179,749 kj(179 kcal),"0,5","0,5",72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Naturyoghurt -  - 600g,4260055880415,,"['France', 'Allemagne']",['Joghurt mild 100 %'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,64,268 kj(64 kcal),"3,7","2,3","4,4","4,4",32,"0,1","0,04",600 g,,,,1,,['en:joghurts'],3.7 g,en quantité modérée,2.3 g,en quantité modérée,4.4 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,,,,-3,,A,,['DE BB 017 EG'],,,,,,,,,,['Kunststoff'],,,,,,,
1258,pâte pour soupe Tom Kha - 227g,8858135001360,,['France'],[],[],?,207,866 kj(207 kcal),12,2,21,21,3,21,"8,4",227 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Juvamine Curcuma Ghondroïtine Glucosamine,3160920644863,,['France'],[],[],?,?,,?,,?,,?,,,,['Juvamine'],,,,,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Granola Tomates et Paprika Fort 200g BIO - Natifood - 200g,3770013545696,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Végé-friendly']",['France'],"[""Flocons d'avoine*"", 'purée de patate douce*', 'tomate en poudre* 8%', 'amandes*', 'huile de colza désodorisée*', ""sirop d'agave*"", 'sel', 'paprika* 0,3%', ""*Ingrédients issus de l'agriculture biologique ECOCERT FR-BIO-01Les allergènes sont indiqués en gras"", ' Peut contenir des traces de lait', ""d'œuf"", 'de gluten', ""d'autres fruits à coques et de graines de sésame""]",[],1924,460,1924 kj(460 kcal),18,"2,3",54,"7,8",14,"1,4","0,56",200 g,['Natifood'],,['Fruits à coque'],3,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Granola salé']",18 g,en quantité modérée,2.3 g,en quantité modérée,7.8 g,en quantité modérée,1.4 g,en quantité modérée,+8%,+11%,+11%,+37%,-31%,-11%,-54%,+42%,+705%,+705%,9,+83%,C,+83%,,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,"['Carton', 'Carton-recyclable', 'sachet-plastique']",['Ile de France'],,,,,,
1261,Pain faluche,0233384010505,,['France'],[],[],?,268,1121 kj(268 kcal),"1,4","0,3",54,"1,5","8,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Sonnenblumenkerne,4009790009107,,['France'],[],[],?,600,2510 kj(600 kcal),49,"5,4","12,3",0,"26,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Pain pallasse du larzac,0266018013122,,['France'],[],[],?,256,1071 kj(256 kcal),"1,2","0,38","51,3","1,9","8,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Karamel zeezout pindakaas,8717796023503,,"['France', 'Allemagne']",[],[],?,626,2619 kj(626 kcal),50,11,16,0,24,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
1265,"Jambon sec - Le Saloir du Périgord - 500g, 20tr.",3449350000877,,['France'],"['Jambon porc', 'sel', 'nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,0,0 kj(0 kcal),13,5,"0,5","0,3",29,"5,7","2,28","500 g, 20 tr.",['Le Saloir du Périgord'],,,3,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",13 g,en quantité modérée,5 g,en quantité modérée,0.3 g,en faible quantité,5.7 g,en quantité élevée,,-100%,-100%,+2%,+3%,-15%,-20%,0%,+14%,+14%,14,-16%,D,-16%,,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,['Plastique'],,,,,,,
1266,Mix active - Auchan,8435177055355,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,476,1992 kj(476 kcal),24,"2,7",49,33,12,"0,1","0,04",,['Auchan'],['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Real Dairy Ice cream,4088600108483,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Tomatenmark - Campo Verde - 200g,4045178000960,"['Bio', 'Bio-dynamie', 'Demeter', 'Agriculture UE']","['France', 'Allemagne']","['Tomaten ', 'konzentriert', 'Aus biologisch-dynamischem Anbau ', 'Demeter', ' EU-Landwirtschaft']",[],293,70,293 kj(70 kcal),"0,4","0,1","11,6","9,6","3,4","0,12","0,048",200 g,['Campo Verde'],,,1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",0.4 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité modérée,0.12 g,en faible quantité,-25%,-25%,-25%,-37%,-18%,-24%,-31%,-24%,-85%,-85%,-5,,A,,,A,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,['Glas'],,,,,,,
