,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
1460,Tiptree tomato ketchup - Wilkin & Sons - 260ml,0043647868039,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']","['France', 'Allemagne', 'Espagne']","['Tomates ', '180g pour 100g de ketchup', 'Sucre', 'Vinaigre de Vin', 'Jus de citron', 'Sel', 'Épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,31 g,en quantité élevée,1.2 g,en quantité modérée,770,184,770 kj(184 kcal),0,0,41,31,"1,5","1,2","0,48",13,D,,260 ml,,+79%,+74%,+75%,-100%,-100%,+81%,+58%,+15%,-40%,-40%,+7%,+7%,B,['Wilkin & Sons'],37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,"['70 GL', '40 FE']",,,,3,['Great Britain'],,,http://www.tiptree.com/tomato-ketchup-310g,,,
1461,Mais - Albacore - 285g,0044300053816,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve', 'Maïs doux en conserve']",['France'],[],[],,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,460,1925 kj(460 kcal),?,0,0,0,?,0,0,,,,285g,,,+417%,+409%,,-100%,-100%,-100%,,-100%,-100%,,,B,['Albacore'],46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,,,,,,,,,,,
1462,Fig Bar / Barres aux Figues - Nature's Bakery - 57g,0047495491555,"['Snacks', 'Snacks sucrés', 'Barres']","['Canada', 'France']","['farine de blé entière ', 'sucres ', 'sucre de canne ,sirop de riz brun ', 'jus de pommes', ' ', 'pâte de figue ', 'confiture de framboise ', 'Sucre  de  ,glycérine  ,amidon de riz ', 'framboises ,poudre de pomme ', 'arôme  naturel  ,pecti citrique ', 'gomm de caroube ', ' ,huile de canola ', 'avoine entière', ' glycérine', ' sel marin ', 'arôme naturel', ' acide citrique', ' bicarbonate de sodium']",[],8.77 g,en quantité modérée,0.702 g,en faible quantité,33.3 g,en quantité élevée,0.351 g,en quantité modérée,?,350.87719298246,1468 kj(350 kcal),"8,772","0,702","66,667","33,333","5,263","0,351","0,14",9,C,,57 g,['Arômes naturels'],,-22%,-22%,-57%,-92%,+21%,-2%,-37%,+2%,+2%,-47%,-47%,,"[""Nature's Bakery""]",,,,,,,,['Plastic'],,['E422 - Glycérol'],,4,,,,,,,
1463,Astronaut food cookies & cream ice cream sandwich - Space Food - 1.1oz,0048143300083,"['Snacks', 'Snacks sucrés', 'Aliments pour astronautes']",['France'],[],[],19.3 g,en quantité modérée,12.9 g,en quantité élevée,38.7 g,en quantité élevée,0.1 g,en faible quantité,?,387,1619 kj(387 kcal),"19,3","12,9","48,4","38,7","6,5","0,1","0,04",22,E,,1.1 oz,,,-14%,-14%,-5%,+30%,-16%,+9%,+9%,-74%,-74%,+16%,+16%,,['Space Food'],,,,,,,,,,,,,,,,,,,
1464,Aluminum bottles - Coca-Cola,0049000050998,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,['Fabriqué en France'],,,,,,,,,,,,,,['Coca-Cola'],,,,,,,,,,,,,,,,,,,
1465,Shimaya Bonito Flavoured Soup Stock x (50g) - 50g,0049319110017,,['France'],"['Glucose ', 'extrait de fécule de maïs', 'Acide citrique 621', 'Sel', 'Bonito en poudre ', 'poisson', 'Bonito extrait ', '<10%', 'Exhausteur de goût E631', 'Guanylate de sodium', 'Extrait de levure']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,259,1084 kj(259 kcal),"0,8","0,2","41,5","0,2","21,4",12,"4,8",,,,50 g,,,,,,,,,,,,,,,['Shimaya'],,,,,,,,['Sachet'],,"['E330 - Acide citrique', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']",['Poisson'],4,,,,,,,
1466,Shanghai - Marks & Spencer - 350g,00419543,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés']","['France', 'Royaume-Uni']","['Nouilles udon cuites ', '33 %', ' ', 'Farine de blé ', 'contient Gluten', ' • Eau', ' • Viande de bœuf cuite ', '14 %', ' • Oignons • Germes de haricot • Eau • Champignons noirs • Pak-choï ', '4 %', ' • Sauce soja foncée ', 'Eau • Fèves de soja • Blé ', 'contient Gluten', ' • Sel', ' • Huile de colza • Toban djan ', ""Piments rouges • Fèves de soja • Sel • Huile de colza • Eau • Purée de gingembre • Piments rouges déshydratés • Correcteur d'acidité : Acide citrique • blé "", 'contient Gluten', ' • Sucre • Piments rouges • Huile de sésame ', 'Graines de sésame', ' • Bouillon de poulet ', 'Eau • Os de poulet', ' • Fèves de soja noir • Fécule de maïs • Purée de gingembre • Huile de tournesol • Colorant : Caramel ordinaire • Fèves de soja noir fermentées ', ""Fèves de soja • Eau • Correcteur d'acidité : Acide acétique • Sel • Farine de blé contient Gluten "", 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' • Sel • Vinaigre • Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine']","['Non végétalien', 'Non végétarien']",4.1 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en faible quantité,0.85 g,en quantité modérée,?,129,540 kj(129 kcal),"4,1","0,5","15,1","2,5","7,2","0,85","0,34",-1,A,,350 g,"['en:FSC', 'FSC Mix', 'Point Vert', 'FSC-C012938']",,-29%,-28%,-55%,-82%,+2%,+15%,-4%,-17%,-17%,-120%,-120%,,['Marks & Spencer'],,,,,,,,"['Frais', 'Plastique', 'Carton']",['Marks & Spencer'],"['E330 - Acide citrique', 'E150a - Caramel E150a', 'E170i - Carbonate de calcium', 'E505 - Carbonate de fer']","['Gluten', 'Graines de sésame', 'Soja']",4,['Royaume-Uni'],,"Nouilles udon avec des lanières de viande de bœuf marinées, frites au wok, dans une sauce soja, recouvertes de pak-choï et de piments rouges.",,,,
1467,Swiss Chocolatr - Marks & Spencer - 100g,00434010,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs extra fin', 'Chocolats suisses']","['France', 'Royaume-Uni']",[],[],43.4 g,en quantité élevée,26.4 g,en quantité élevée,27 g,en quantité élevée,0.03 g,en faible quantité,?,572,2393 kj(572 kcal),"43,4","26,4","31,8",27,8,"0,03","0,012",17,D,,100 g,,,+3%,+4%,+23%,+32%,-35%,-41%,+21%,-75%,-75%,-28%,-28%,E,['Marks & Spencer'],85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Carton'],['Marks & Spencer'],,,,,,,,,,
1468,Pure squeezed spanish clementine juice - Marks & Spencer,00463348,"['Boissons', 'Boissons sans sucre ajouté']",['France'],"[""O jus de clémentine d'Espagne pasteurisé non é base de concentré CONSEILS Servir frais"", ' Ce produit peut se dissocier naturellement', ' Bien secouer avant de servir', ' CONSERVATION']",[],0.1 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0.1 g,en faible quantité,?,44,184 kj(44 kcal),"0,1",0,"10,6","9,8","0,4","0,1","0,04",14,E,['FSC-C014047'],,['Fabriqué en Espagne'],,0%,-7%,-70%,-100%,+23%,+45%,-20%,+111%,+111%,+154%,+154%,,['Marks & Spencer'],,,,,,,,['composite-carton'],['Marks & Spencer'],,,,,,,,,,
1469,2 Large Garlic and Coriander Naans - Marks & Spencer - 300g e,00485418,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Naans']","['France', 'Royaume-Uni']","['Farine de blé contient Gluten ', 'Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', 'Lait entier', 'Eau', 'Poudre à lever E450', 'Bicarbonate de soude', 'œufs pasteurisés Coriandre', ' Huile de colza', 'Beurre ', 'Lait', 'Ail', 'Sel']",[],5.3 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,1.83 g,en quantité élevée,?,274,1146 kj(274 kcal),"5,3","0,9","46,3","2,7",9,"1,83","0,732",8,C,,300 g e,"['Sans arômes artificiels', 'Sans colorants artificiels', 'Sans conservateurs']",,+7%,+4%,-10%,+10%,-0%,-16%,+10%,+88%,+88%,+572%,+572%,,['Marks & Spencer'],,,,,,,,"['Sachet', 'Plastique', 'Frais', 'mixed plastic-packet']",['Marks & Spencer'],,,,['Royaume-Uni'],,Naans à l'Ail et à la Coriandre,,,,
1470,Fourré Choco - Gross - 300g,0050702510017,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",['France'],"['crème au goût de cacao [sucre', 'graisse végétale ', 'palme', 'poudre de ', 'acao', 'sucre', 'graisse végétale ', 'palme', 'palmiste', 'sirop de glucose', 'amidon de blé', 'sel', 'oudres à lever ', 'carbonate acidede sodium', ""carbonate acide d'ammonium"", ' acidifiant ', 'acide citrique', 'arôme']",['Huile de palme'],19 g,en quantité modérée,10.5 g,en quantité élevée,30.5 g,en quantité élevée,0.56 g,en quantité modérée,?,490,2050 kj(490 kcal),19,"10,5",72,"30,5","6,5","0,56","0,224",24,E,,300 g,,,+4%,+4%,-1%,+24%,+8%,-8%,+12%,+1%,+1%,+21%,+21%,D,['Gross'],84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,"['E502 - Carbonates', ""E503ii - Carbonate acide d'ammonium"", 'E330 - Acide citrique']",,4,,,,,,,['Huile de palme']
1471,Biscuits Fourres Fraise - Gross,0050702520139,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",['France'],"['biscuits fourrés à la crème parfum fraise de blé crème au goût de fraise [sucre', 'graisse végetJe concentrés de fruit et legumes ', ""pomme cassis de b'• acidifiant "", 'aode ', 'itnqge!lr sucre', 'gratsse vegétd!e ', 'palme', 'palmiste', 'de blé sel', 'à lever ', 'carbonate acide de acidifiant ', 'acide citrique', '/ arôme', 'gluten ', 'de ble', 'fiûtRttU des amandes du lait', 'de [œuf', 'de de daM un endroit et sec']","['Huile de palme', 'Non végétalien']",18.5 g,en quantité modérée,10.5 g,en quantité élevée,34 g,en quantité élevée,0.49 g,en quantité modérée,?,482,2017 kj(482 kcal),"18,5","10,5",73,34,5,"0,49","0,196",25,E,,,,,+3%,+2%,-4%,+24%,+9%,+3%,-14%,-12%,-12%,+26%,+26%,D,['Gross'],80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['E502 - Carbonates', 'E330 - Acide citrique']","['Œufs', 'Gluten']",4,,,Biscuits fourrés aux fruits à la crème saveur fraise,,,,['Huile de palme']
1472,"Hellema, Fourre, Vanilla - Hellema Hallum B.V.",0050702530022,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['France', 'États-Unis']","['Wheat flour', '28% vanilla cream [sugar', 'vegetable oil and fat ', 'palm', 'coconut', 'canola', 'palm', 'kernel', 'whey powder', 'dextrose', 'emulsifier ', 'canola lecithin', 'artificial vanillin flavouring', 'natural vanilla flavouring', 'acidulant ', 'citric acid', ']', 'sugar', 'vegetable oil and fat ', 'palm', 'coconut', 'canola', 'palm kernel', 'glucose syrup', 'salt', 'raising agents ', 'ammonium bicarbonate', 'sodium bicarbonate', 'whey powder', 'skimmed milk powder', 'acidulant ', 'citric acid', 'artificial anillin flavoring', 'egg herbal extract ', 'rosemary color', ' and egg']",[],17.5 g,en quantité modérée,10 g,en quantité élevée,35 g,en quantité élevée,0.5 g,en quantité modérée,?,500,2092 kj(500 kcal),"17,5",10,75,35,5,"0,5","0,2",19,E,,,,,+5%,+5%,-16%,-1%,+17%,+19%,-23%,-15%,-15%,-4%,-4%,C,['Hellema Hallum B.V.'],80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['E330 - Acide citrique', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",,4,,,,,,Hellema-Hallum B.V.,
1473,Goûter Fourré Parfum Chocolat,0050702530183,,['France'],[],[],,,,,,,,,?,450,1883 kj(450 kcal),"16,32","8,95","64,21","26,58","9,47","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Beurre de cacahuète - Smucker's - 454g,0051500017005,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",['France'],"['Arachides', 'sel ', '1 % ou moins']",[],48 g,en quantité élevée,7.5 g,en quantité élevée,3 g,en faible quantité,0.31 g,en quantité modérée,?,600,2510 kj(600 kcal),48,"7,5",18,3,24,"0,31","0,124",13,D,,454 g,,,0%,+0%,-0%,-10%,+25%,-53%,-2%,-42%,-42%,+18%,+18%,C,"[""Smucker's""]",74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,"['Bocal', 'Verre', 'métal']",,,['Arachides'],,,,,,,,
1475,Confiture (bleuets),0051500040195,,['France'],"['blueberries', 'glucose-fructose', 'glucose', 'sugar', 'pectin', 'citric acid', ' ingrédients : bleuets', 'glucose-fructose', 'glucose', 'sucre', 'pectine', 'acide citrique', ' questions? 1-800-567-1897 www', 'smuckers', 'ca imported by/importe par ©/® smucker foods of canada corp', ' or its affiliates/ou ses sociétés affiliées', 'markham', 'on l3r op3']",[],,,,,,,,,?,333,1393 kj(333 kcal),0,0,80,73,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique']",,4,,,,,,,
1476,Maranatha almond butter raw - 340g,0051651093064,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques']",['France'],"['PDIENTS: RAW ALMONDS', ' S TREE NUTS', ' MAY CONTAIN N PEANUTS AND SOY', ' Va NGREDIENTS: AMANDES CRUES', ' Per CONTIENT DES NOIX', ' PEUT CONTENIR pol DES ARACHIDES ET DU SOJA']",[],46.7 g,en quantité élevée,3.33 g,en quantité modérée,6.67 g,en quantité modérée,0 g,en faible quantité,?,600,2510 kj(600 kcal),"46,667","3,333",20,"6,667",20,0,0,9,C,,340g,,,-1%,-1%,-6%,-55%,+46%,+10%,-13%,-100%,-100%,-3%,-3%,,['Maranatha'],,,,,,,,,,,['Fruits à coque'],,,,,,,,
1477,MAYONNAISE - BAMA - 1,0052500082253,"['Epicerie', 'Sauces', 'Mayonnaises', 'en:Epicerie']",['France'],[],[],81.6 g,en quantité élevée,13 g,en quantité élevée,2.25 g,en faible quantité,1.13 g,en quantité modérée,?,737,3084 kj(737 kcal),"81,6",13,"2,5","2,25","0,92","1,135","0,454",24,E,,1,,,+168%,+171%,+283%,+465%,-77%,-69%,-54%,-60%,-60%,+85%,+85%,D,['BAMA'],80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,"['en:DES OEUFS', 'en:EAU', 'en:EXTRA DE PAPRIKA', 'en:HUILE DE CITRON', 'en:HUILE DE SOYA', 'en:OEUFS', 'en:OIGNON ET AUTRES ASSAISONNEMENTS NATURELS', 'en:SEL', 'en:SUCRE', 'en:VINAIGRE']",,,,,
1478,Probiotic blended lowfat yogurt blueberry - La Yogurt,0053600000017,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['France', 'États-Unis']","['Cultured pasteurized grade a lowfat milk', 'sugar', 'blueberries', 'high fructose corn syrup', 'modified cornstarch', 'non fat milk solids', 'natural flavors', 'pectin', 'citric acid', 'locust bean gum', 'potassium sorbate ', 'to maintain freshness', 'red 40', 'blue 1', 'vitamin a palmitate and vitamin d3', ' contains active yogurt with l', ' bulgaricus', 's', ' thermophilus', 'bifidobacterium bb-12', 'l', ' acidophilus and l', ' casei cultures']",[],0.59 g,en faible quantité,0.59 g,en faible quantité,15.3 g,en quantité élevée,0.135 g,en faible quantité,?,94.12,394 kj(94 kcal),"0,59","0,59","17,65","15,29","2,94","0,135","0,054",3,C,,,['en:gluten-free'],,+2%,+3%,-82%,-71%,+60%,+51%,-22%,+17%,+17%,-2%,-2%,,['La Yogurt'],,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E410 - Gomme de caroube', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,4,,,,,,"Johanna Foods, Inc.",
1479,Rocky Mountain Marshmallows Mega,0054300091008,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],['Mountai MADE A True America-n Traditiovx•'],[],0 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0.2 g,en faible quantité,?,324,1356 kj(324 kcal),0,0,79,65,2,"0,2","0,08",14,D,,,,,-9%,-10%,-100%,-100%,-5%,+12%,-6%,+65%,+65%,-3%,-3%,E,['Rocky Mountain'],90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1480,Quaker capn crunch cereal g,0055577106662,,['France'],"['FARINE DE MAÏS', 'SUCRE', ""FARINE D'AVOINE"", 'CASSONADE', 'HUILE DE COCO', 'SEL', 'COLORANT', 'BHT ', 'AGENT DE CONSERVATION', ' VITAMINES ET MINÉRAUX : FER', 'NIACINAMIDE', 'MONONITRATE DE THIAMINE ', 'VITAMINE B1 PANTOTHÉNATE DE CALCIUM', 'CHLORHYDRATE DE PYRIDOXINE ', 'VITAMINE B6', 'ACIDE FOLIQUE', "" CONTIENT DES INGRÉDIENTS DE L'AVOINE"", ' PEUT CONTENIR DU BLÉ']",[],,,,,,,,,?,360,1506 kj(360 kcal),"4,5",3,78,36,3,"0,675","0,27",,,,,,,,,,,,,,,,,,,['Quaker'],,,,,,,,,,['E321 - Butylhydroxytoluène'],['Avoine'],4,,,,,,,
1481,Proteine veg-e - Artic Gardens,0055686210328,,['France'],"['OuO CUIT ENRICHI ', 'EAU/ SEMOULE DE SULFATE ', 'ASPERGES/ CHOU OIGNONS', '/ SAUCE ', ""EAU/ HUILE DE Arctic Gardens@-is a registered trademark of Bonduelle that harvests vegetables in Ontario and Quebec in the surroundin areas listed below:/ - Arctic Gardens@est Une marque déposée de Bonduefie qui récolte '&iéaurnes au Québec et en Ontario en périphérie de : "", 'ON St-Césaire ', 'QC', '/ St-Denis-sur-Richelieu ', 'QC', '/ ttrathroy ON', '/ Tecumseh ', 'ON', ' CANADA INC', ' k QC CANADA H3M 3E2 Comments/Commentaires : www', 'arcticgardens', 'ca']",[],,,,,,,,,?,120,502 kj(120 kcal),5,"1,5",16,1,4,"0,2","0,08",,,,,,,,,,,,,,,,,,,['Artic Gardens'],,,,,,,,,,,,,,,,,,,
1482,Lait chocolat sans lactose,0055872107418,,['France'],[],[],,,,,,,,,?,58.0645,243 kj(58 kcal),"0,968","0,645","8,71","8,71","3,548","0,153","0,061",,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Crème à fouetter 35% - Québon,0055872240573,"['Produits laitiers', 'Laits']","['Canada', 'France']","['CRÈME', 'LAIT', 'CELLULOSE MICROCRISTALLINE', 'GOMME DE CAROUBE', 'CARBOXYMETHYL - CELLULOSE', 'CARRAGHÉNINE', 'POLYSORBATE 80']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",33.3 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,333.3333,1395 kj(333 kcal),"33,333",20,0,0,2,0,0,14,D,,,,,+405%,+409%,+1518%,+1581%,-100%,-100%,-44%,-100%,-100%,+2335%,+2335%,D,['Québon'],78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,"['E460i - Cellulose microcristalline', 'E410 - Gomme de caroube', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition']",['Lait'],4,,,,,,,
1484,Coors light -,0056327183230,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Canette'],,,,,,,,,,,
1485,Greek Yogurt Plain 2% M. F. - Danone,0056800938623,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",['France'],[],[],2 g,en faible quantité,1.5 g,en quantité modérée,3 g,en faible quantité,0.075 g,en faible quantité,?,70,293 kj(70 kcal),2,"1,5",4,3,9,"0,075","0,03",-4,A,,,,,-40%,-40%,-71%,-66%,-54%,-62%,+103%,-35%,-35%,-198%,-198%,,['Danone'],,,,,,,,,,,,,,,,,,,
1486,Jus de tomate - Heinz,0057000003401,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']","['Canada', 'France']",[],[],0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.48 g,en quantité modérée,?,50,209 kj(50 kcal),0,0,10,6,2,"0,48","0,192",2,C,,,['Sans additifs'],,+150%,+155%,-100%,-100%,+171%,+86%,+167%,+13%,+13%,,,,['Heinz'],,,,,,,,,,,,,,,,,,,
1487,Ensemble Repas Fajita,0058300461977,,['France'],[],[],,,,,,,,,?,268.65671641791,1124 kj(268 kcal),"7,463","3,731","44,776","2,985","4,478","2,351","0,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Original Chocolate Bar Snack Size - Mars,0058496434236,,['France'],[],[],,,,,,,,,?,60,251 kj(60 kcal),"2,5","1,5",9,8,1,0,0,,,,,,,,,,,,,,,,,,,['Mars'],,,,,,,,,,,,,,,,,,,
1489,M&M's,0058496442644,,['France'],[],[],,,,,,,,,?,220,920 kj(220 kcal),11,7,25,22,5,2,"0,8",,,,,,,,,,,,,,,,,,,"[""M&M's""]",,,,,,,,,,,,,,,,,,,
1490,Mélange De Noix Deluxe - Planters,0058716869503,,['France'],[],[],,,,,,,,,?,280,1172 kj(280 kcal),20,3,17,5,9,4,"1,6",,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,,,,,,,,
1491,Planters Crunchy Peanut Butter,0058716989812,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",['France'],[],[],56 g,en quantité élevée,11 g,en quantité élevée,7 g,en quantité modérée,0.5 g,en quantité modérée,?,720,3012 kj(720 kcal),56,11,21,7,0,"0,5","0,2",21,E,,,,,+27%,+28%,+24%,+40%,+59%,+17%,-100%,-9%,-9%,+54%,+54%,C,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
1492,Salted almonds - Planters,0058716991730,,['France'],"['Calories / Calories 330 Fat / Lipides 28 g Saturated / saturés 2,5 g   Trans / trans 0,1 g Cholesterol / Cholestérol 0 mg Sodium / Sodium 70 mg Carbohydrate / Glucides 9 g Fibre / Fibres 4 g Protein / Protéines 10 g Vitamin A / Vitamine A Vitamin C / Vitamine C Iron / Fer']",[],,,,,,,,,?,330,1381 kj(330 kcal),28,0,9,2,10,"6,9","2,76",,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,,,,,,,,
1493,VITA 7 - Biotta - 500ml,0058854500306,"['Breuvage', 'Jus']","['Canada', 'France']","[""Jus d'orange"", 'jus de carotte', 'purée de banane', 'jus de pomme', ""jus d'ananas"", 'petit-lait ', 'lait', 'jus de raisin', ""jus de baies d'argousier"", 'jus de betterave', 'jus de citron concentré', 'jus de citron', 'eau', '\rTeneur en Fruits : 76 %', ' Teneur en légumes 14 %', ' Pasteurisé']",['Non végétalien'],0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0.05 g,en faible quantité,?,52,218 kj(52 kcal),0,0,"13,2",10,"0,12","0,05","0,02",1,B,,500 ml,"['Bio', 'Biologique Canada']",,+21%,+22%,-100%,-100%,+35%,+28%,-60%,+627%,+627%,-36%,-36%,,['Biotta'],,,,,,,,['Bouteille en verre'],['TAU'],,['Lait'],4,['Tägerwilen (Suisse)'],['Suisse'],Biotta Vita 7,,,,
1494,Krema,0059161451107,,['France'],[],[],,,,,,,,,?,250,1046 kj(250 kcal),19,12,12,7,8,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Sauce a Poutine - Selection,0059749875516,,['France'],[],[],,,,,,,,,?,3.3333,14 kj(3 kcal),"1,667","0,5",5,"1,667","0,833","1,417","0,567",,,,,,,,,,,,,,,,,,,['Selection'],,,,,,,,,,,,,,,,,,,
1496,Ripples ondulées BBQ - Selection,0059749878760,,['France'],[],[],,,,,,,,,?,540,2259 kj(540 kcal),32,2,58,4,6,1,"0,4",,,,,,,,,,,,,,,,,,,['Selection'],,,,,,,,,,,,,,,,,,,
1497,Pesto au Basilic - Selection - 270g,0059749882811,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",['France'],[],[],41.3 g,en quantité élevée,3.33 g,en quantité modérée,0 g,en faible quantité,0.567 g,en quantité modérée,?,386.6667,1618 kj(386 kcal),"41,333","3,333","2,667",0,"2,667","0,567","0,227",8,C,,270 g,,,-14%,-13%,-6%,-49%,-55%,-100%,-44%,-77%,-77%,-59%,-59%,C,['Selection'],77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,['Pot'],,,,,,,,,,,
