,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
1457,Biscuits secs bio leader price - 300g,8054383507764,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Arômes naturels', 'Pur beurre']",['France'],"['Farine de blé*', 'sucre de canne', 'beurre*', 'sirop de glucose-fructose', 'amidon de blé*', 'œuf *', 'lait entier en poudre', ""extrait de malt d'orge*"", ""poudres à lever : carbonates de sodium - carbonates d'ammonium et tartrates de potassium"", ' sel', 'arômes naturels', ' *biologiques', ' Traces éventuelles de fruits à coque', ""graines de sésame et soja Conserver à l'abri de la lumière"", 'dans un lieu frais et sec', ' Agricuture UE/non UE']",[],?,439,11,"74,5","9,5",300g,1837 kj(439 kcal),"7,5","21,2","0,75","0,3",['Leader price'],['Biscuits et gâteaux'],,+2%,-42%,+30%,+60%,,,,,,,['Leader Price'],,11 g,en quantité modérée,7.5 g,en quantité élevée,21.2 g,en quantité élevée,0.75 g,en quantité modérée,+2%,-12%,-27%,+33%,+33%,17,-8%,D,-8%,,,,,,,,,,,,,,
1458,"Cassoulet - Mercadier - 1,250kg",3321950019650,,['France'],[],[],?,?,?,?,?,"1,250 kg",,,,,,['Mercadier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Confiture Peche de Vigne,3349550003381,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,0,0,80,0,,0 kj(0 kcal),0,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Ail rose de Lautrec - nos régions ont du talent - 350g,3564709163314,['Label Rouge'],['France'],['ail rose'],[],?,?,?,?,?,350 g,,,,,,['nos régions ont du talent'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Légumes français', 'Ail', 'Ail rose de Lautrec']",,,,,,,A,['Filet'],['France'],['Lautrec'],,['Leclerc'],,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,
1461,Miel bio montagne - La Ruche aux Délices,3088541003121,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,['La Ruche aux Délices'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1462,Spécialités de fruits - Auchan - 12x 90g,3596710472543,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Nutriscore', 'Nutriscore A']",['France'],[],[],?,60,"0,5",12,"0,5",12 x 90 g,251 kj(60 kcal),"0,1",11,"0,01","0,004",['Auchan'],,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Sauce tomates - Franprix,3263851445315,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,61,"2,6","4,4","4,2",,255 kj(61 kcal),"1,2","3,5","0,7","0,28",['Franprix'],,,,,,,"['EMB 84080B', 'Monteux (Vaucluse, France)']",,,,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,500ml,3560071081058,,['France'],[],[],?,?,?,?,?,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Dattes dénoyautées - Rapunzel,6194000395120,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,309,"0,1",70,"2,2",,1293 kj(309 kcal),"0,1",68,"0,02","0,008",['Rapunzel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Thon albacore,3263670000085,,['France'],[],[],?,122,2,0,26,,510 kj(122 kcal),"0,7",0,1,"0,4",,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",,-2%,-4%,-100%,+4%,,D,,,,,,,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,-1%,+29%,-100%,+3%,+3%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
1467,Jerky Original - Lidl,20178048,['Pur bœuf'],"['France', 'Royaume-Uni']","['ingredients beef', 'sugar', 'salt', 'acidity regulator: sodium citrates', 'natural flavouring', 'yeast extract', 'spices', 'antioxidant: sodium erythorbate: dried onion', 'preservative: sodium nitrite,']",[],?,275,5,"24,9",32,,1151 kj(275 kcal),2,"23,2","3,06","1,224",['Lidl'],,,,,,,,,['Sachet plastique'],,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"['E331 - Citrates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
1468,Pâtes de fruits - Jeff de Bruges,3660523087079,,['France'],[],[],?,321,"0,2",80,"0,2",,1343 kj(321 kcal),0,72,"0,05","0,02",['Jeff de Bruges'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,+2%,-41%,+5%,-69%,,C,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,72 g,en quantité élevée,0.05 g,en faible quantité,+2%,-100%,+8%,-58%,-58%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,
1469,Pousses d'épinards | Jungspinat - Betty Bossi,7613356464599,"['Bio', 'Bio européen', 'CH-BIO-006']",['France'],[],[],?,29,"0,5",2,3,,121 kj(29 kcal),0,"0,5","0,07","0,028",['Betty Bossi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Épinards', 'en:raw-spinach-young-leaves']",,,-1%,+89%,+21%,,B,,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.07 g,en faible quantité,+26%,-100%,+25%,,,-6,,A,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,,,,,,
1470,hand gel - aptonia - 75ml,3583788767138,['Fabriqué en France'],['France'],[],[],?,?,?,?,?,75 ml,,,,,,['Aptonia'],['Gel main'],,,,,,['MH44025'],,,,['France'],,['Decathlon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,"MorgenStund', Hirse Buchweizen Brei",4260196680264,,['France'],[],[],?,381,"7,3","62,5","12,9",,1594 kj(381 kcal),"0,95","12,82","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Leffe blonde,5410228254065,,['France'],[],[],?,?,?,?,?,,,,,,,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
1473,Lasagna Funghi Porcini,3760273250683,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,169,"7,8","16,6","6,9",,707 kj(169 kcal),"4,47","3,9","1,07","0,428",,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées']",,+26%,+29%,+33%,+11%,,,,,,,,,7.8 g,en quantité modérée,4.47 g,en quantité modérée,3.9 g,en faible quantité,1.07 g,en quantité modérée,+27%,+75%,+48%,+37%,+37%,6,+154%,C,+154%,,,,,,,,,,,,,,
1474,Crackers Fleur de sel - Nocoé,3760278560282,"['Nutriscore', 'Nutriscore B']",['France'],[],[],?,478,21,54,15,,2000 kj(478 kcal),"2,7","6,1","0,66","0,264",['Nocoé'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,+3%,+6%,-9%,+52%,,B,,,,,,,21 g,en quantité élevée,2.7 g,en quantité modérée,6.1 g,en quantité modérée,0.66 g,en quantité modérée,+2%,-50%,+56%,-67%,-67%,0,-100%,B,-100%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
1475,NoCOé Crackers Romarin - 100g,3760278560299,"['Bio', 'Bio européen', 'Agriculture UE', 'Nutriscore', 'Nutriscore B', 'en:Fr-bio-007', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",['France'],"['Purée de pommes', 'farine de blé', 'farine de petit épeautre', 'huile de colza', 'farine de chanvre', 'graines de courge', 'graines de sésame toastées', 'quinoa rouge', 'sel fin', 'romarin', 'ail']",[],2004,470,21,54,15,100g,2004 kj(470 kcal),"2,7","6,1","0,56","0,224",['Nocoé'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",+0%,+1%,+6%,-9%,+52%,"['EMB 53062', 'Château-Gontier (Mayenne, France)']",A,['Carton'],['France'],['France'],http://nocoe.fr/,,3,21 g,en quantité élevée,2.7 g,en quantité modérée,6.1 g,en quantité modérée,0.56 g,en quantité modérée,+2%,-50%,+56%,-72%,-72%,0,-100%,B,-100%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Gluten'],NoCOé Crackers Romarin,,,,
1476,Aqualyse,3760196531098,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Tomates Farcies aux légumes Riz à la tomate s0 - Marie - 350g,3248830000426,"['Sans colorants', 'Sans conservateurs', 'Nutriscore']",['France'],"['Les ingrédients des Tomates fancies aux légumes', 'Riza la Tomate Sont : Pourcentages exprimés sur le total de la recette', ' tomates farcies 62,8% [tomates fraiiches 40%', 'pois chiche 6,1%', 'feves de soja 2,9%', 'lentilles vertes 2,8%', 'oignons préfrits 1,6% ', 'dont huile de tournesol', ""huile d'olive vierge"", 'chapelure ', 'farine de blé', 'sel', 'carottes 1,4%', 'ceufs de poules élevées en plein air', 'persil', 'échalotes', 'emmental rápé 0,6%', 'sel', 'ail', 'basilic thai', 'zeste de citron', 'thym', 'poivre', 'piment fort]', 'riz cuit 16% ', 'riz', 'eau', 'tomates 11,7% ', 'tomates pelées concassées', 'jus et pulpe de tomates', 'oignons préfrits ', 'dont huile de tournesol', 'concentré de tomates 1,6%', 'eau', ""huile d'olive vierge"", ""purée d'ail"", 'fromage', 'tomates semi déshydratées et marinées 0,5% ', 'tomates', 'huile de colza', 'sel', 'origan', 'ail', 'vin blanc', 'persil', 'sel', 'thym', 'poivre', ' Informations en gras destinées aux personnes allergiques', ' Ce produit est faboriqué dans un atelier qui utilise : poisson', 'crustacés', 'mollusgues', 'céleri', 'moutarde', "" Recette végétarienne dans le cadre d'un régime ovo-lacto - vegétarien Énergie Matières dont acid Glucides dont suc Fibres al Protéine Sel *Apports Qu Ce plat cuisin devraient re OÙ TRO LES PRO DE CES TOMATE FARCIES Tous ls agagahts t le savoin - faire culinaire de Moale sun WwW"", 'MARIE FR vette dans Ne pas mettre la barquette']",['Non végétalien'],?,108,"4,4",13,"3,3",350 g,452 kj(108 kcal),"0,8","2,1","0,66","0,264",['Marie'],"['Plats préparés', 'Plats à base de riz', 'Légumes préparés', 'Tomates farcies et riz']",,-5%,-16%,+17%,-24%,"['EMB 29020FR', 'Briec (Finistère, France)']",,,['France'],['France'],,['Match'],3,4.4 g,en quantité modérée,0.8 g,en faible quantité,2.1 g,en faible quantité,0.66 g,en quantité modérée,-4%,-50%,+2%,-6%,-6%,0,-100%,B,-100%,,,,,,,,,"['Céleri', 'Crustacés', 'Gluten', 'Lait', 'Moutarde']",,,,,
1478,Saumon Atlantique fumé bio - 100g,5902627493270,,['France'],[],[],?,188,12,"0,5",20,100 g,787 kj(188 kcal),"2,5","0,5","3,1","1,24",,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,+2%,+14%,+1%,-10%,,E,,,,,,,12 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en quantité élevée,+2%,+21%,+50%,+10%,+10%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
1479,Belin croustilles,7622210729903,,['France'],[],[],?,483,21,55,15,,2021 kj(483 kcal),"4,3","2,3","1,61","0,644",['Belin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Côté d'or chocolat pur noir,8001841217727,,"['Belgique', 'France']",[],[],?,530,"29,5",56,"5,1",,2218 kj(530 kcal),"18,5","53,5","0,01","0,004",,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Tzatziki - 300g,3353820999601,['Sans conservateurs'],['France'],[],[],?,112,"9,2","2,5","3,7",300 g,469 kj(112 kcal),"3,1","2,5","0,55","0,22",,,,,,,,"['EMB 93047', 'Montfermeil (Seine-Saint-Denis, France)', 'FR 93.047.034 CE', 'Montfermeil (Seine-Saint-Denis, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Sport Orange,5054267000483,,['France'],[],[],?,28,0,"6,5",0,,117 kj(28 kcal),0,"3,6","0,13","0,052",,,,,,,,,,"['mixed plastic-sleeve', 'pet-bottle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Gourmandises de volaille - Maître Coq,3230890003851,"['Sans arômes artificiels', 'Sans colorants', 'Nutriscore', 'Nutriscore B']",['France'],[],[],?,204,14,"3,5",16,,854 kj(204 kcal),"4,3","1,6","0,4","0,16",['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,naturactive - pierre fabre - 2×45,3700026996031,,['France'],"['Extrait sec de myrtille Extrait sec de cresson Huile de coco Huile de carthame Complexe de tocotriénols et de tocophérols dont vitamine E Zinc Selénium Vitamine B3 Vitamine B5 Vitamine B6 Vitamine B8 1 capsule 10 mg 100 mg 200 mg 50 mg 9', '1 mg 1', '44 mg ', '12% VNR*', ' 15 mg ', '150% VNR*', ' 25 µg ', '45', '5% VNR*', ' 18 mg ', '112,5% VNR*', ' 0,9 mg ', '15% VNR', ' 2 mg ', '143% VNR*', ' 0,15 mg ', '300% VNR*', ' *VNR =']",[],?,?,?,?,?,2×45,,,,,,['pierre fabre'],['Cheveux et ongles'],,,,,,,,['Boite'],,,,['Pharmacie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Indie Pale ale,5056025408746,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Canapés seigle,20298074,,['France'],[],[],?,264,"4,1",45,"8,8",,1105 kj(264 kcal),"0,6","4,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Manner Nougatcreme Knödel - 240g,9000331605371,,"['Autriche', 'France']",[],[],?,?,?,?,?,240 g,,,,,,['Manner'],,,,,,,,,['Stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Galettes de pomme de terre,3384089983001,,['France'],[],[],?,262,16,25,"3,3",,1096 kj(262 kcal),"1,9","0,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Golden Cube,8719992250349,,['France'],[],[],?,590,42,46,"7,5",,2469 kj(590 kcal),"8,4",26,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Foie gras de canard entier du sud-ouest - Deluxe - 300g,4056489136217,['IGP'],['France'],[],[],?,529,"54,5","2,8","6,9",300 g,2213 kj(529 kcal),"23,6","0,7","1,16","0,464",['Deluxe'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,0%,+0%,+18%,-8%,,B,,,,,,,54.5 g,en quantité élevée,23.6 g,en quantité élevée,0.7 g,en faible quantité,1.16 g,en quantité modérée,+0%,+2%,-47%,-3%,-3%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
1491,Gnocchi à poêler aux flocons de pomme de terre - Casino Bio,3222477308985,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,204,"2,4",39,"5,5",,854 kj(204 kcal),"0,3",0,"1,2","0,48",['Casino Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchis cuits', 'Gnocchi à poêler']",,+0%,-41%,+17%,-7%,,B,,,,,['Casino'],,2.4 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,+1%,-78%,-100%,-9%,-9%,4,-32%,C,-32%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,
1492,Gazpacho - Zalea,8436549520051,,['France'],[],[],?,27,"1,1","3,3","0,9",,113 kj(27 kcal),"0,1","3,11","0,6","0,24",['Zalea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Authentique foie gras de canard entier du Sud-Ouest - Delpeyrat,3067163645964,['Sans conservateurs'],['France'],"['foie gras de canard du Sud-Ouest ', 'origine : France', 'sel', 'poivre', 'épice']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,544,56,"2,2","7,5",,2276 kj(544 kcal),24,"0,9","1,3","0,52",['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,+6%,+6%,-6%,+8%,,B,,,,,,3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,+6%,+7%,-33%,+7%,+7%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
1494,Pâte à tartiner,3700774300869,,['France'],[],[],?,581,41,46,"6,7",,2431 kj(581 kcal),"6,6",45,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Bonbons Menthe fraîche -,3250392500665,,['France'],"['Sirop de glucose ', 'dont sulfites', 'sucre', 'arôme naturel de menthe', ' Traces éventuelles de : lait', 'fruits à coque']",['Sans huile de palme'],?,381,"0,5","95,2","0,5",,1594 kj(381 kcal),"0,1","63,9","0,01","0,004",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+7%,-73%,+14%,-76%,,E,,,,,,4,0.5 g,en faible quantité,0.1 g,en faible quantité,63.9 g,en quantité élevée,0.01 g,en faible quantité,+6%,-91%,+10%,-92%,-92%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1496,Raclette Nature - Bio Village,3564707159869,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",['France'],[],[],?,335,27,0,23,,1402 kj(335 kcal),19,0,2,"0,8",['Bio Village'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",,-3%,-2%,-100%,-3%,,B,['Barquette'],['France'],,,['Leclerc'],,27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,-3%,+3%,-100%,+19%,+19%,17,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
1497,Ristretto N°12 Puissant - Plantation,3564706594753,,['France'],[],[],?,?,?,?,?,,,,,,,"['Plantation', 'Marque Repère']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Foie gras - Delpeyrat - 330g,3067163645513,['Sans conservateurs'],['France'],"['foie gras de canard du Sud-Ouest ', 'Origine:France', 'BaU', 'sel', 'Armagnac', 'poivre,']","['Non végétalien', 'Non végétarien']",?,482,50,"2,1","5,9",330g,2017 kj(482 kcal),21,"0,9","1,1","0,44",['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,-6%,-5%,-10%,-15%,,B,,,,,['Super U'],3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,-6%,-7%,-33%,-9%,-9%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
1499,Tortilla chips Cheese,8436002420218,,['France'],[],[],?,479,21,65,"6,1",,2004 kj(479 kcal),"2,8","2,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Boisson de riz amande - Le Bio Pour Tous,3760295170242,['Bio'],['France'],[],[],?,69,"1,9","12,5","0,5",,289 kj(69 kcal),"0,3","6,4","0,07","0,028",['Le Bio Pour Tous'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons multivégétaux']",,+28%,+6%,+44%,-19%,,,,,,,,,1.9 g,en quantité modérée,0.3 g,en faible quantité,6.4 g,en quantité élevée,0.07 g,en faible quantité,+27%,-15%,+45%,-25%,-25%,1,+77%,B,+77%,,,,,,,,,,,,,,
1501,Splend'or delice de thé - Lutti - 245g,3116740035954,,['France'],[],[],?,532,32,52,"6,6",245 g,2226 kj(532 kcal),19,48,"0,12","0,048",['Lutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,11011736,11011736,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Bulots cuits pasteurisés -  - 500g,4056489045151,,['France'],"['99% bulots', 'sel']",[],?,99,"0,7","4,3",19,500g,414 kj(99 kcal),"0,5","0,5",1,"0,4",,"['Produits de la mer', 'Mollusques', 'Bulot']",,-1%,-19%,+44%,-5%,['IE DL0031 EC'],,['Frais'],['FAO 27'],,,,3,0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,-2%,+158%,-38%,-5%,-5%,0,-100%,B,-100%,,,,,,,,,['Mollusques'],,,,,
1504,Crocrobons - Belledonne,3700531211551,['Bio'],['France'],[],[],?,597,44,43,"7,8",,2498 kj(597 kcal),30,42,"0,24","0,096",['Belledonne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Alfalfa Ou Graine De Luzerne,3380390220507,,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,3401521206884,3401521206884,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Confiture Bonne Maman 4 fruits,3608580980759,,['France'],[],[],?,239,"0,1",58,"0,5",,1000 kj(239 kcal),0,58,0,0,['Bonne Maman'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Rocky rice,8606018700455,,['France'],"['млечен крем производ 68% ', 'шекер', 'растително масло од соjја', 'обезмастено млеко во прав 12%', 'кокосово брашно 10%', 'какао путер', 'сурутка во прав', 'кокос путер 2%', 'емулгатор ', 'соја лецитин', 'ароми', 'експандиран интегрален ориз 32%', 'Млечниот крем производ содржи најмалку 12% безмасни млечни суви материи', 'Да се чува на суво и ладно место', 'Увозник и дистрибутер: ,ИНКОФУДС"" ДОО', 'ул', 'Максим Горки бр', '3', 'Скопје', 'тел:  38923213303', 'GR/CY ZuOTaтика: креца']",[],?,517,"30,5","54,2","5,1",,2163 kj(517 kcal),"13,4",34,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Crumble au saumon fumé - Delpierre - 500g,3038684906919,['Label Rouge'],['France'],"['Patates douces 26', '4%', 'carottes 26', '4%', 'eau', 'saumon fumé 10%', 'pommes de terre 8', '7% ', 'gluten', 'oignons', 'croûtons 2', '1% ', 'farine de blé', 'huile de tournesol haut oléique', 'sel', 'levure', 'poivrons ', 'vert', 'rouge', 'tomate', ""huile d'olive"", 'basilic', 'sucre', 'ail', 'persil', 'romarin', 'thym', 'poivre', 'huile de colza', 'crème 1', '3% ', 'crème', 'stabilisant: carraghénanes', 'parmigiano reggiano 0', '7% ', 'lait', 'sel', 'présure', 'graines de lin 0', '7%']","['Non végétalien', 'Non végétarien']",505,121,"6,7","10,8","4,2",500 g,505 kj(121 kcal),"1,47","4,1","0,78","0,312",['Delpierre'],"['Plats préparés', 'Frais', 'Plats préparés au poisson', 'Plats préparés frais', 'Snacking']",,,-38%,-57%,-44%,"['FR 17.197.004 CE', 'Jonzac (Charente-Maritime, France)']",,,,['Transformé en France'],,,4,6.7 g,en quantité modérée,1.47 g,en faible quantité,4.1 g,en faible quantité,0.78 g,en quantité modérée,-46%,-65%,+53%,+3%,+3%,3,-54%,C,-54%,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Poisson', 'Gluten', 'Lait']","Préparation à base de patates douce, saumon fumé, croûtons et parmesan",,,,
