,name,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,allergens,link,traceability_code,palm_ingredients,bar_code,brand_owner
956,Bio Hackfleisch gemischt - Lidl,,,,,['Lidl'],,['Bio'],,,,['France'],[],[],,?,,234,,18,,"6,7",,0,,0,,18,,"0,13",,"0,052",,,,,,,,,,,,,,,,,979 kj(234 kcal),,,,,,,,,,,20249342,
957,Pera - Fruits & Compagnie - 750g,,,750 g,"['Carton', 'Plastique']",['Fruits & Compagnie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Poires', 'Poires fraîches']",['Catégorie I'],['France'],,['LIDL'],['France'],"['Poires Louise Bonne ', 'calibre 55-60 mm']",[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20250157,
958,Salad tomatoes,,,,['pp-bag'],,,,,,,['France'],[],[],,?,,14,,"0,1",,"0,1",,3,,3,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,59 kj(14 kcal),,,,,,,,,,,20250348,
959,Ail - Ferme de Fontenay - 500g,A,,500 g,"['Film', 'Filet']",['Ferme de Fontenay'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons']",,,,,['France'],['oignon rouge'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,?,,,,?,,,,?,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,,,,,,,,,"['EMB 10154', 'Fontenay-de-Bossery (Aube, France)']",,20250423,
960,Crunchy Peanut Butter - Mcennedy - 454g,D,,454 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Mcennedy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,,,['Lidl'],['France'],"['95% cacahuètes', 'sucre de canne', 'huile de palme', ""1% huile d'arachide"", 'sel']","['Huile de palme', 'Végétalien', 'Végétarien']",3,2521,-0%,?,,"50,2",+4%,"7,7",-7%,"7,5",-48%,"5,9",-7%,26,+6%,"0,97",+82%,"0,388",+82%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,50.2 g,en quantité élevée,7.7 g,en quantité élevée,5.9 g,en quantité modérée,0.97 g,en quantité modérée,2521 kj(603 kcal),+1%,4,-64%,C,-64%,,['Arachides'],,,['Huile de palme'],20250684,
961,Ail nature mariné - 180g,B,,180g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",,,,,"['France', 'Allemagne']",[],[],,?,,64,-28%,"0,1",-96%,"0,1",-68%,"9,8",-28%,4,+61%,"3,9",-10%,"3,75",+495%,"1,5",+495%,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,0.1 g,en faible quantité,0.1 g,en faible quantité,4 g,en faible quantité,3.75 g,en quantité élevée,268 kj(64 kcal),-37%,3,,C,,,,,,,20252328,
962,"Joghurt, Toffee Mit Toffeesplits - Mcennedy - 150g",,,150 g,,['Mcennedy'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,['Lidl'],['France'],"[""O édab do toffco'ct ee"", 'Mat', ' Gr', ' dans ta partie ', 'tait', ' 9', 'XtC', 'dZ1tzse', 'e de eucosetructose,è tait e sucte caramé!sé', 'Stop brome', 'fibres de blé* émue* ', 'scia', ""' Peut contenir dcs traces de tra ct6arachides"", ' Non ouvett4 à et consommer de']",[],,?,,137,+49%,"5,5",+68%,"3,4",+66%,"17,3",+57%,"16,3",+61%,4,+6%,"0,13",+13%,"0,052",+13%,,,,,,,,5.5 g,en quantité modérée,3.4 g,en quantité modérée,16.3 g,en quantité élevée,0.13 g,en faible quantité,573 kj(137 kcal),+49%,5,+63%,C,+63%,,,,,,20252878,
963,Treccine zuccherate in superficie,,,,,,,['en:palm-oil-free'],,,,['France'],[],['Sans huile de palme'],,?,,411,,"15,7",,"6,6",,58,,"21,8",,"8,6",,"0,46",,"0,184",,,,,,,,,,,,,,,,,1720 kj(411 kcal),,,,,,,,,,,20254117,
964,Macédoine de légumes - mayonnaise - Saladinettes - 300g,,Macédoine de légumes assaisonnée,300 g,"['Frais', 'Barquette', 'Plastique']",['Saladinettes'],"['Plats préparés', 'Frais', 'Plats préparés frais', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']","['Point Vert', 'Eco-Emballages']",,"['Martinet (Filiale FPM) - 24 Rue du Limousin - Zone Industrielle - 38070 Saint-Quentin-Fallavier', 'Isère', 'Rhône-Alpes', 'France']",['Lidl'],['France'],"['Carotte cuite 27 %', 'haricot vert 15 %', 'petit pois 15 %', 'flageolet', 'pomme de terre 10 %', 'huile de colza', 'eau', 'épice', ""vinaigre d'alcool"", 'moutarde ', 'eau', 'graine de moutarde', ""vinaigre d'alcool"", 'sel', 'sel', ""jaune d'œuf"", 'sucre', 'sirop de glucose', 'amidon transformé', 'conservateur : sorbate de potassium', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,,131,+42%,10,+78%,"0,8",+63%,6,+3%,"1,4",-14%,"2,5",+6%,"0,95",+22%,"0,38",+22%,,,,,,,,10 g,en quantité modérée,0.8 g,en faible quantité,1.4 g,en faible quantité,0.95 g,en quantité modérée,548 kj(131 kcal),+41%,2,+809%,B,+809%,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde']",,"['EMB 38449A', 'Saint-Quentin-Fallavier (Isère, France)']",,20255497,
965,Cheesecakes - Mcennedy,,,,['Pots'],['Mcennedy'],,,,,['Lidl'],['France'],"['Huile de palme stéarique,huile de graines de palme', 'amidon de tapioca', 'carboxyméthyl cellulose sodique ', 'fibres de blé', ""mono et diglycérides d'acides gras"", ""esters polyglycériques d'acides gras"", 'acide lactique', 'amidon de maïs modifié,jus de carotte noire', 'citrates de sodium', 'extrait de paprika ', 'farine de blé enrichie', 'carbonates de calcium', 'niacine ', 'thiamine', 'sirop de sucre inverti ', 'carbonates de sodium', 'carbonates de calcium,']","[""Pourrait contenir de l'huile de palme""]",4,?,,254,,11,,"5,6",,"35,3",,"22,3",,3,,"0,25",,"0,1",,,,,,,,,,,,,,,,,1063 kj(254 kcal),,,,,,"['E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E270 - Acide lactique', 'E331 - Citrates de sodium', 'E160c - Extrait de paprika', 'E170 - Carbonates de calcium']",['Gluten'],,,['Huile de palme'],20255534,
966,Brochette de Dinde,,,,,,,,,,,['France'],[],[],,?,,121,,"5,2",,"1,8",,"1,1",,"0,4",,"17,1",,"0,25",,"0,1",,,,,,,,,,,,,,,,,506 kj(121 kcal),,,,,,,,,,,20257743,
967,Bacon em Pedaços,,,,,,,,,,,['France'],[],[],,?,,280,,22,,"8,2",,"6,5",,"0,5",,"13,9",,"2,75",,"1,1",,,,,,,,,,,,,,,,,1172 kj(280 kcal),,,,,,,,,,,20258177,
968,Vin Rouge - Caveneta - 1.5l,C,Vin rouge,1.5 l,['Brique'],['Caveneta'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins espagnols']",,['Espagne'],,,['France'],['Contient des sulfites'],[],3,?,,?,,?,,,,?,,,,?,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,20258542,
969,"Choco Softies Kokos Schaumküsse (mini), Mit K... - Lidl",,,,,['Lidl'],,"['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",,,['Lidl'],['France'],"['40% weiBe Fettglasur ', 'Zucker', 'Palmkernôl', 'Palmôl', 'Sheaôl', 'SüBmolkenpulver', 'Magermilchpulver', 'Emulgator: Lecithine ', 'Sonnenblume', ' Aromal', 'Glukose-Fruktose-Sirup', '15% Kokosraspel', '13% kakaohaltige Fettglasur ', 'Zucker', 'Palmkernôl', 'Palmôl', 'Sheaôl', 'SüBmolkenpulver', '6% mageres Kakaopulver', 'Emulgator: Lecithine ', 'Sonnenblume', ' Aroma', 'Speisesalzl', 'Wasser', 'Feuchthaltemittel: Sorbit', ' HühnereieiweiBpulver*', 'natürliches Aroma', 'Speisesalz', ' *von Eiern aus Bodenhaltung']",['Non végétalien'],4,?,,496,,"28,1",,"24,8",,"55,5",,"49,4",,"3,1",,"0,09",,"0,036",,,,,,,,,,,,,,,,,2075 kj(496 kcal),,,,,,"['E322 - Lécithines', 'E420 - Sorbitol']",['Lait'],,,,20258696,
970,Apple Nectar - Lidl,,,,,['Lidl'],,,,,,['France'],[],[],,?,,38,,"0,5",,"0,1",,"9,1",,"8,9",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,159 kj(38 kcal),,,,,,,,,,,20263096,
971,Krustenbrot Mit 37% Roggenmehl - Toque du chef - 820g,,,820 g,,['Toque du chef'],,,,,['Lidl'],['France'],"['8 Pommes - de-- terre ', '50%', 'conservateur disulfite de sodium', ' Sauce : eau', 'fromage fondu 16% ', 'fromage 40%', 'reblochon 3096', 'eau', 'beurre', 'lactosérum', 'sels de fonte', 'sel', 'crème fraîche', 'huile de colza', 'amidon transformé de maïs', 'arômes ', 'dont lait', 'sel', 'stabilisants : E466', 'E407', ' Lardons fumés ', '9%', ' ', 'sel', 'dextrose', 'conservateurs : E250', 'E316', 'acidifiant : E330', ' ', 'oignons ', '5,8%', ' Contient : lait', 'sulfites']","['Non végétalien', 'Non végétarien']",4,?,,139,,"0,93",,"0,22",,"9,81",,"0,6",,"8,16",,0,,0,,,,,,,,,,,,,,,,,582 kj(139 kcal),,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E330 - Acide citrique']","['Lait', 'Anhydride sulfureux et sulfites']",,,,20263829,
972,Fior di cioccolato - italiamo - 400g,,,400 g,,['Italiamo'],,"['Agriculture durable', 'en:UTZ Certified']",,,['Lidl'],['France'],"['farine de blé', 'margarine végétale ', 'huile de palme', 'eau ', '13,1 % pépites de chocolat ', 'sucre', 'pâte e cacao* ', 'cacao maigre en poudre* ', 'beurre de cacao* ', 'émulsifiant : lécithine ', 'soja', 'sucre', 'beurre ', 'lait', 'sirop de glucose', ""poudre à lever : carbonates d'ammonium"", 'carbonates de sodium', 'tartrates monopotassique ', ' sel', 'amidonde blé', 'arôme naturel', ' *cachet certified', ' Traces éventuelles de fruits coque', ""d'arachides et d'œufs""]","['Huile de palme', 'Non végétalien']",4,?,,478,,"20,2",,"6,1",,"65,9",,"22,8",,"6,7",,"0,56",,"0,224",,,,,,,,,,,,,,,,,2000 kj(478 kcal),,,,,,"['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E336i - Tartrate monopotassique']","['Gluten', 'Lait', 'Soja']",,,['Huile de palme'],20264635,
973,New Zealand Cannon of Lamb frozen - Deluxe - 300g,,"Filet d'agneau de Nouvelle-Zélande, désossé, surgelé",300 g,"['Carton', 'Surgelé']",['Deluxe'],"['Viandes', 'Surgelés', ""Viandes d'agneau""]",,['Nouvelle-Zélande'],['Allemagne'],['LIDL'],['France'],"[""100% viande d'agneau""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,434,-39%,103,-31%,"2,9",-59%,"1,6",-41%,0,-100%,0,-100%,"19,2",+2%,"0,13",-87%,"0,052",-87%,,,,,,,,2.9 g,en faible quantité,1.6 g,en quantité modérée,0 g,en faible quantité,0.13 g,en faible quantité,434 kj(103 kcal),-31%,-3,-207%,A,-207%,,,,['DE NI-11126 EG'],,20267964,
974,VITAFIT jus de raisin - 1litre,D,,1 litre,,['VITAFIT'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",,,,['Lidl'],['France'],[],[],,?,,66,-1%,"0,01",-95%,"0,01",-66%,16,-2%,16,+1%,"0,2",-34%,"0,01",+53%,"0,004",+53%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.01 g,en faible quantité,0.01 g,en faible quantité,16 g,en quantité élevée,0.01 g,en faible quantité,276 kj(66 kcal),-2%,10,+3%,E,+3%,,,,,,20269623,
975,Farine Belbake Weizenmehl Type 405 2 KG - 2kg,,Weizenmehl Type 405,2kg,"['PAP', '22', 'Papiertüte']",['Belbake'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'de:Weizenmehl', 'de:Weizenmehl Type 405']",,,,['Lidl'],"['France', 'Allemagne']",['Weizenmehl Type 405'],[],,?,,338,-10%,"1,1",-85%,"0,1",-88%,69,+14%,"0,4",-82%,11,-7%,"0,01",-84%,"0,004",-84%,,,,,,,,1.1 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,0.01 g,en faible quantité,1414 kj(338 kcal),-11%,-5,,A,,,,,,,20269821,
976,Compote pomme fraise - Verger gourmands  - 4,,,4,,['Verger gourmands'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20274095,
977,Boudoirs - Sondey - 400g,C,,400 g,['Plastique'],['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",,,,['LIDL'],['France'],"['Sucre', 'farine de blé', '25 % oeufs issus de poules élevées au sol', 'sirop de glucose-fructose', ""poudre à lever : carbonates d'ammonium"", 'arôme']",[],4,1649,+4%,?,,3,-20%,"0,9",-20%,83,+7%,54,+11%,"7,4",-3%,"0,08",-63%,"0,032",-63%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,3 g,en quantité modérée,0.9 g,en faible quantité,54 g,en quantité élevée,0.08 g,en faible quantité,1649 kj(394 kcal),+4%,14,-3%,D,-3%,"[""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten']",,,,20274653,
978,Riz Long Grain - GOLDENSUN - 1kg e,C,Riz Long Grain,1 kg e,"['boîte', 'Carton', 'Plastique']",['GOLDENSUN'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,,"['Llidl', 'Lidl']",['France'],['Riz Long Grain'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1504,+3%,354,+5%,"0,4",-62%,"0,1",-58%,"80,4",+10%,"0,2",-31%,"6,7",-8%,0,-100%,0,-100%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,0.4 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1504 kj(354 kcal),+6%,0,,B,,,,,,,20274801,
979,"Lord Nelson Zitrone Tee Getränk, Zitrone",,,,,['Lord nelson'],,,,,['Lidl'],['France'],[],[],,?,,384,,"0,1",,"0,1",,91,,"89,5",,"0,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,1607 kj(384 kcal),,,,,,,,,,,20276072,
980,Figues Séchées - Alesto,D,,,,['Alesto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",,,,,['France'],[],[],,?,,291,+5%,2,+32%,"0,7",+147%,"61,1",+6%,"59,5",+27%,"2,9",-11%,"0,08",-42%,"0,032",-42%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,2 g,en faible quantité,0.7 g,en faible quantité,59.5 g,en quantité élevée,0.08 g,en faible quantité,1218 kj(291 kcal),+6%,2,-33%,B,-33%,,,,,,20276102,
981,Palitos de Mar - Ocean Sea - 300g,,,300 g,,['Ocean Sea'],"['Produits de la mer', 'Poissons']",,,,['Lidl'],['France'],"['surimi ', 'pescado', 'cefa16podo tmoluscol', 'agua', 'aceite de girasol', 'almidôn y almidôn modificado', 'sal', 'albümina de huevo', 'proteina vegetal', 'aroma de cangreio ', 'crustâ', ' ceo', 'potenciador del sabor: glutamato de monosodio', ' azücar', 'colorantes: cochinilla', 'extracto de piment6n', ' Conservaci6n: Producto refrigerado']","['Non végétalien', 'Non végétarien']",4,?,,99,-48%,"3,7",-67%,"0,5",-79%,8,+285%,3,+423%,"8,5",-54%,2,+31%,"0,8",+31%,,,,,,,,3.7 g,en quantité modérée,0.5 g,en faible quantité,3 g,en faible quantité,2 g,en quantité élevée,414 kj(99 kcal),-48%,4,-42%,C,-42%,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Poisson'],,,,20276164,
982,CATAGO - Biscuits aux amandes - Sondey - 175g,D,Biscuits aux amandes,175 g,"['Carton', 'Sachet plastique', 'Barquette plastique']",['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",['Fabriqué en Belgique'],,['Belgique'],['Lidl'],['France'],"['Farine de blé', 'sucre', '13% beurre', '10% amandes', 'sel marin', 'poudre à lever: carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,469,+3%,17,-4%,"7,2",+41%,69,+13%,34,-7%,"8,2",-3%,"0,7",+137%,"0,28",+137%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,17 g,en quantité modérée,7.2 g,en quantité élevée,34 g,en quantité élevée,0.7 g,en quantité modérée,1962 kj(469 kcal),+3%,22,+31%,E,+31%,['E500 - Carbonates de sodium'],['Gluten'],,,,20276614,
983,Butter waffles - Catago - 125g,,,125 g,,['Catago'],,['Fabriqué en Belgique'],,,,['France'],[],[],,?,,499,,"23,1",,"15,2",,"65,7",,"26,8",,"6,4",,1,,"0,4",,,,,,,,,,,,,,,,,2088 kj(499 kcal),,,,,,,,,,,20276621,
984,14 Variétés de Biscuits,,,,,,,['Fabriqué en Belgique'],,,,['France'],[],[],,?,,549,,"32,9",,"14,7",,"52,4",,"39,7",,"7,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,2297 kj(549 kcal),,,,,,,,,,,20276645,
985,Creamy quark dessert - Milbona - 180g,,,180 g,,['Milbona'],,['Fabriqué en Allemagne'],,,,['France'],[],[],,?,,123,,"4,6",,3,,15,,15,,"4,5",,"0,13",,"0,052",,,,,,,,,,,,,,,,,515 kj(123 kcal),,,,,,,,,,,20277017,
986,Viande  hachée - L'ETAL DU BOUCHER - 500g,,Viande hachée 100% pur bœuf 20%MG,500 g,"['barquette filmée', 'Frais']","[""L'ETAL DU BOUCHER""]","['Viandes', 'Bœuf']",,['France'],['72400 La Ferté Bernard'],"[""L'IDL""]",['France'],['Viande de bœuf 100%'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,?,,248,+39%,20,+106%,"8,6",+117%,0,-100%,0,-100%,17,-15%,22,+1882%,"8,8",+1882%,,,,,,,,20 g,en quantité modérée,8.6 g,en quantité élevée,0 g,en faible quantité,22 g,en quantité élevée,1038 kj(248 kcal),+38%,21,+301%,E,+301%,,,,"['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",,20277741,
987,Empanada de thon - Chef Select,,,,,['Chef Select'],['es:Empanadas-vegetales'],"['Point Vert', 'Pêche durable', 'Pêche durable MSC']",,,,"['France', 'Espagne']",[],[],,?,,259,,"12,1",,"1,7",,28,,"2,4",,8,,"1,27",,"0,508",,,,,,,,,12.1 g,en quantité modérée,1.7 g,en quantité modérée,2.4 g,en faible quantité,1.27 g,en quantité modérée,1084 kj(259 kcal),,5,,C,,,,,['MSC-C-55974'],,20278564,
988,beef meat balls,,,,,,,,,,,['France'],[],[],,?,,252,,"18,7",,"8,4",,3,,"2,3",,"17,6",,"0,72",,"0,288",,,,,,,,,,,,,,,,,1054 kj(252 kcal),,,,,,,,,,,20279080,
989,2 Classic Burgers - McEnnedy - 2 * 140g (280g),,"Préparation de viande de boeuf précuite, avec pain spécial, cornichons, ketchup et moutarde, surgelés",2 * 140 g (280 g),"['Carton', 'surgelé']",['McEnnedy'],"['Surgelés', 'Sandwichs', 'Hamburgers']",,,['Pays-Bas'],['LIDL'],['France'],"['39% pain spécial ', 'farine de blé', 'eau', 'sucre', 'huile de tournesol', 'sel', 'levure', 'graines de sésame', 'émulsifiants : stéaroyl-2-lactylate de sodium', ""esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'antioxydant : acide ascorbique', 'conservateur : propionate de calcium', '32% préparation de viande de bœuf cuite ', '30,1% viande de bœuf', 'amidon de riz', 'sel', 'épices', 'plantes aromatiques', 'arôme', 'extraits de plantes aromatiques', '11% cornichons ', 'cornichons', 'eau', 'vinaigre', 'sel', 'extraits de plantes aromatiques naturels', 'sucre', '9% ketchup ', 'eau', 'purée de tomates', 'sucre', 'amidon modifié ', 'pomme de terre', 'sel', ""correcteurs d'acidité : acide acétique"", 'acide citrique', 'plantes aromatiques', 'épices', 'sucre caramélisé', 'jus de betterave rouge concentré', 'conservateurs : sorbate de potassium', 'acide acétique', '9% moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'sure', 'épices']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,836,-20%,?,,"5,6",-55%,"2,3",-51%,"25,7",+25%,"5,7",+81%,"10,4",-21%,"1,7",+45%,"0,68",+45%,,,,,,,,5.6 g,en quantité modérée,2.3 g,en quantité modérée,5.7 g,en quantité modérée,1.7 g,en quantité élevée,836 kj(200 kcal),-20%,12,+20%,D,+20%,"['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique', 'E282 - Propionate de calcium', 'E14XX - Amidons modifiés', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Moutarde', 'Graines de sésame']",,['NL 3389 EG'],,20283247,
990,Hot Dog - McEnnedy,E,,,,['McEnnedy'],"['Sandwichs', 'Hot-dogs']",['Contient une source de phénylalanine'],,,['Lidl'],['France'],"['36% pain spécial ', 'farine de blé', 'eau', 'levure', 'sirop de glucose-fructose', 'huile de colza', 'sel', 'sucre', 'conservateur: propionate de calcium', ' émulsifiant: stéaroyl-2-lactylate de calcium', ' graisse de palme', 'enzyme ', 'blé', 'farine de blé', '36% préparation de viande de porc ', '32,4% viande de porc', 'eau', 'sel', 'plantes aromatiques', 'épices ', 'moutarde', 'céleri', 'dextrose', 'lactose ', 'lait', ""correcteurs d'acidité: acétates de sodium"", 'citrates de sodium', ' sirop de glucose déshydraté', 'épaississant: gomme guar', "" émulsifiant: mono - et diglycérides d'acides gras"", ' stabilisant: diphosphates', "" correcteurs d'acidité: acide ascorbique"", 'acide citrique', 'ascorbate de sodium', ' plantes aromatiques', 'extrait de levure', 'conservateur: nitrite de sodium', "" extrait d'épices"", 'extrait de plantes aromatiques', 'zeste de citron', 'arôme naturel', 'fumée', '7% sauce rémoulade ', 'eau', 'huile de colza', 'vinaigre', 'sirop de glucose-fructose', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'épices', 'amidon de mais', 'œuf', 'jaune d’œuf', 'amidon modifié ', 'maïs cireux', 'sel', 'plantes aromatiques', 'épaississants: gomme xanthane', 'gomme guar', ' acidifiant: acide lactique', ' arôme', 'conservateur: sorbate de potassium', ' colorant: riboflavines', ' épices', ""extrait d'oignon"", 'extrait de poireau', ""édulcorant: sel d'aspartame-acésulfame"", 'antioxydant: calcium disodium EDTA', '6 % cornichons aigre-doux ', 'cornichons', 'eau', 'vinaigre', 'sel', 'extraits de plantes aromatiques naturels', 'sucre', '6% ketchup ', 'eau', 'purée de tomates', 'sucre', 'amidon modifié ', 'pomme de terre', 'sel', ""correcteurs d'acidité: acide acétique"", 'acide citrique', ' plantes aromatiques', 'épices', 'sucre caramélisé', 'jus de betterave rouge concentré', 'conservateurs: sorbate de potassium', 'acide acétique', '5% moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'sucre', 'épices', '4% oignons grillés ', '3% oignon', 'huile de palme', 'farine de blé', 'sel', ' Contient une source de phénylalanine']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,343,+25%,"16,7",+23%,"5,5",+14%,"38,1",+50%,"4,8",+6%,"9,6",-13%,"1,67",-1%,"0,668",-1%,80.8%,9.4%,2.9%,1.9%,1.1%,4.0%,36,16.7 g,en quantité modérée,5.5 g,en quantité élevée,4.8 g,en faible quantité,1.67 g,en quantité élevée,1435 kj(343 kcal),+24%,17,+21%,D,+21%,"['E282 - Propionate de calcium', 'E482 - Stéaroyl-2-lactylate de calcium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E331 - Citrates de sodium', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine', ""E962 - Sel d'aspartame-acésulfame"", 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E260 - Acide acétique']","['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde']",,,['Huile de palme'],20283261,
