,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,nova_score,traceability_code,generic_name,additives,allergens,ingredients_origins,manufacturing,origin_detail,producer_info,link,palm_ingredients,brand_owner
392,Fromage frais de Normandie - Sylvain Hardel - 500g,3368910000075,['France'],"['Fromage frais ', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,?,?,?,C,500g,['Sylvain Hardel'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Fromages blancs natures']",,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,,,,,,,,,,,,,"['Frais', 'Pot', 'Plastique']",3,"['FR 50.363.004 CE', 'Moyon (Manche, France)']",,,['Lait'],,,,,,,
393,Poudre d amande,3700056703593,['France'],[],[],?,636,52,"19,35","25,8",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,+2%,-2%,+123%,+11%,,,,,,,,2661 kj(636 kcal),"3,95","4,63","0,04","0,016",,52 g,en quantité élevée,3.95 g,en quantité modérée,4.63 g,en faible quantité,0.04 g,en faible quantité,+2%,-6%,+10%,+54%,+54%,11,+97%,D,+97%,,,,,,,,,,,,,
394,"GEROLSTEINER LEICHT & FRUCHTIG - 0,75l",4001513005953,['France'],"['Eau minérale naturelle', 'jus de pomme à base de concentré ', '17%', 'jus de pamplemousse à base de concentré ', '3%', 'fructose', 'dioxyde de carbone,jus de citron concentré ', 'égal à 2% de teneur en fruit', 'arôme naturel de pamplemousse']",[],?,19,0,"4,2",0,C,"0,75l",['Gerolsteiner'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pamplemousse', 'Jus de pomme', 'Jus de pomme à base de concentré', 'Jus de pamplemousse à base de concentré']",,,-47%,-100%,-50%,-100%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,79 kj(19 kcal),0,"4,1",0,0,,0 g,en faible quantité,0 g,en faible quantité,4.1 g,en quantité modérée,0 g,en faible quantité,-48%,-100%,-46%,-100%,-100%,-4,-410%,B,-410%,,4,,,['E290 - Dioxyde de carbone'],,,,,,,,
395,Mandarin Segments In Juice - Tesco,5052004163866,"['France', 'Royaume-Uni']",[],[],?,496,"19,3","57,2","15,3",B,,['Tesco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,+18%,+79%,-14%,+34%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,2075 kj(496 kcal),"2,9","2,4","1,2","0,48",,19.3 g,en quantité modérée,2.9 g,en quantité modérée,2.4 g,en faible quantité,1.2 g,en quantité modérée,+18%,+28%,-4%,-37%,-37%,13,+2%,D,+2%,"['card-box', 'mixed plastic-packet']",,,,,,,,,,,,
396,Olivada arbequina - Blai Peris,8413062050029,['France'],[],[],?,174,"17,7","0,7","1,7",,,['Blai Peris'],,,,,,,,,,,,,,,728 kj(174 kcal),"2,8","0,2","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Thé minceur,3683080308227,['France'],[],[],?,?,?,?,?,B,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Infusions minceur', 'Thés minceur']",,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Bouchons Porc Combava - En Mode Créole,3760175790522,['France'],"['Farine de blé', 'eau', 'gluten', ' Farce : Maigre et gras de porc ', '73,6 %', 'eau', 'oignon vert', 'ail', 'gingembre', 'sel', 'poudre de manioc', 'combava ', '0,5 %', ' ', 'poivre gris', 'exhausteur de goût : glutamate de sodium', 'acidifiant : bicarbonate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,276,"24,25","2,89","10,44",,,['En Mode Créole'],"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés surgelés']",,,+52%,+167%,-80%,+25%,,,,,,,,1155 kj(276 kcal),"0,2","0,44","0,53","0,212",,24.2 g,en quantité élevée,0.2 g,en faible quantité,0.44 g,en faible quantité,0.53 g,en quantité modérée,+51%,-93%,-77%,-54%,-54%,0,-100%,B,-100%,"['Sachet', 'Plastique', 'Surgelé']",4,,"Bouchées de viande au porc aromatisées au combava, surgelées.","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",['Gluten'],['Union européenne'],,,,,,
399,Pain d'épices,5410383585011,['France'],[],[],?,326,10,75,"3,1",B,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,-3%,+187%,+6%,-29%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,1364 kj(326 kcal),"0,2",39,"0,54","0,216",,10 g,en quantité modérée,0.2 g,en faible quantité,39 g,en quantité élevée,0.54 g,en quantité modérée,-4%,-84%,-4%,+24%,+24%,14,-1%,D,-1%,,,,,,,,,,,,,
400,Wrap Falafel Mit Hummus,22173836,['France'],[],[],?,215,11,23,"4,2",,,,,,,,,,,,,,,,,,900 kj(215 kcal),1,"2,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Foie gras de canard cru Extra surgelé - Maison Montfort - Poids variable,3104544018013,['France'],"['foie gras de canard cru qualité extra ', 'origine France']",[],?,560,58,"1,9","7,2",B,Poids variable,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,+6%,+7%,-21%,-5%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,2343 kj(560 kcal),26,"1,2","0,07","0,028",['Origine France'],58 g,en quantité élevée,26 g,en quantité élevée,1.2 g,en faible quantité,0.07 g,en faible quantité,+6%,+13%,-11%,-94%,-94%,16,-23%,D,-23%,['Sous skin'],,,,,,['France'],"['Les Herbiers', 'France']",,,,,
402,2947753,2030500255882,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,300g,08027795,['France'],[],[],?,?,?,?,?,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Miel de Châtaigner - Rucher du Morvan - 1kg,3560180000117,['France'],[],[],?,?,?,?,?,B,1 kg,['Rucher du Morvan'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Filaments de safran - Lidl,20228415,['France'],[],[],?,?,?,?,?,B,,['Lidl'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Safran']",,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Mascarpone,35420729,['France'],[],[],?,375,38,"4,3","3,9",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",,,-2%,-3%,+38%,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1569 kj(375 kcal),"25,5","4,3","0,08","0,032",,38 g,en quantité élevée,25.5 g,en quantité élevée,4.3 g,en faible quantité,0.08 g,en faible quantité,-1%,-6%,+42%,-15%,-15%,12,+1%,D,+1%,,,,,,,,,,,,,
407,Yougurt,9416892596803,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Bio Tofu Bowl,3399130020444,['France'],[],[],?,159,"9,8","13,4","3,2",,,,,,,,,,,,,,,,,,665 kj(159 kcal),"1,2","2,4","0,66","0,264","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,"['EMB 60139A', 'Chambly (Oise, France)']",,,,,,,,,,
409,Eccellente panettone - Motta,8034097873331,['France'],"['farine de blé', 'oeufs', 'sucre', 'beurre ', '16,2%', 'levure naturelle ', 'gluten', ""émulsifiant: mono - et diglycérides d'acides gras "", 'palme', ' ', 'sel', 'lait écrémé en poudre', 'arômes', ' Peut contenir fruits à coque et soja', ' Conserver au sec', ""à l'abri de la chaleur"", ' PRODUIT FABRIQUÉ EN ITALIE']","['Huile de palme', 'Non végétalien']",?,412,22,45,"8,1",D,,['Motta'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,+10%,+47%,-13%,+19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,1724 kj(412 kcal),15,20,"0,77","0,308",['Fabriqué en Italie'],22 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,0.77 g,en quantité modérée,+11%,+67%,-23%,+75%,+75%,22,+18%,E,+18%,,4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']",,,,,,['Huile de palme'],
410,Bûche de chèvre l'intense - President,3228024170074,"['Belgique', 'France']","['lait de chèvre pasteurisé ', ""lait d'origine UE"", 'sel', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,292,24,1,18,E,,['President'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",['Delhaize'],,+2%,+5%,-30%,-4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,1222 kj(292 kcal),18,0,"1,5","0,6",,24 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,+2%,+12%,-100%,+6%,+6%,14,+1%,D,+1%,,3,,,,,['Union européenne'],,,,,,
411,Sėrė aux fruit banane - Emmi,7610900129522,"['France', 'Suisse']",[],[],500,?,"2,5",17,7,,,['Emmi'],,,,,,,,,,,,,,,500 kj(120 kcal),"1,5",16,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Jambon cuit - Espuña - 180g,8410060388703,['France'],"['Viande de porc ', 'jambon', ' ', '89%', 'eau', 'sel', 'dextrose', 'arômes', 'antioxydants ', 'citrate de sodium', 'ascorbate de sodium', ' et conservateur ', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,118,"3,5",1,21,,180 g,['Espuña'],"['Viandes', 'Charcuteries', 'Jambons']",,,-31%,-54%,+51%,-11%,,,,,,,,494 kj(118 kcal),1,1,2,"0,8",,3.5 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,2 g,en quantité élevée,-30%,-66%,+88%,-31%,-31%,4,-62%,C,-62%,['Sachet plastique sous vide'],4,,Jambon cuit supérieur (4 tranches),"['E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,
413,Sao Tome & Principe 75% - Alain Ducasse - 75g,3700829006753,['France'],[],[],?,541,25,28,"8,6",,75 g,['Alain Ducasse'],,,,,,,,,,,,,,,2264 kj(541 kcal),25,24,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Pain paysan -,3276550363286,['France'],"[""Ingredients farine de blé eau GLUTEN de BLE l farine d'orge malte torrefie 0"", '5% farine de BLE malte torréfié 0', '2°%', 'Levure farine de SLE malté agent de traitement de La farine acide ascorbique R']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,
415,Banane Chips,2600128008865,['France'],[],[],?,509,29,58,"0,01",E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",,,+5%,+15%,-4%,-99%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,2130 kj(509 kcal),25,15,"0,08","0,032",,29 g,en quantité élevée,25 g,en quantité élevée,15 g,en quantité élevée,0.08 g,en faible quantité,+5%,+30%,-28%,-35%,-35%,14,+19%,D,+19%,,,,,,,,,,,,,
416,Coeur fondant au chocolat noir - Monoprix,3350033547179,['France'],[],[],?,365,22,34,"6,4",,,['Monoprix'],,['Monoprix'],,,,,,,,,,,,,1527 kj(365 kcal),14,23,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Cream Cheese - Elle & Vire - 180g,3451790964442,['France'],"['lait et crème pasteurisés', 'protéines de lait', 'sel ', '0', '9%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,D,180g,"['Elle & Vire', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],4,"['FR 49.373.001 CE', 'Vihiers (Maine-et-Loire, France)']",,,['Lait'],,,,,,,
418,Casa Rinaldi Passata Di Pomodoro Fresco,8006165388436,['France'],[],[],?,29,"0,1",6,"1,1",,,['Casa Rinaldi'],['it:Passata di pomodoro'],,,,,,,,,,,,,,121 kj(29 kcal),0,4,"0,5","0,2",,0.1 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.5 g,en quantité modérée,,,,,,2,,B,,,,,,,,,,,,,,
419,panier chèvre épinards - Coeur d'or - 480g,3512660038202,['France'],"['Pâte feuilletée 47% ', 'farine de blé', 'matière grasse végétale de palme', 'eau', 'huile végétale de colza', 'sel', "" émulsifiant mono- et diglycérides d'acides gras"", ' acidifian acide citrique', ' oeufs', 'épinards 16%', 'fromage de chèvre 15%', ' eau', 'amidon modif de pomme de terre', 'poudre de lactosérum', ' matière grasse végétale de palme', ' sir de glucose', ' lait écrémé en poudre', ' proteines de lait', ' stabilisant farine de caroub creme fraiche', ' oeufs', ' lactose', 'sel', 'poivre', 'muscade']","['Huile de palme', 'Non végétalien']",?,270,"14,3","25,6","8,6",,480 g,"[""Coeur d'or""]","['Plats préparés', 'Feuilleté salé', 'Paniers feuilletés']",,,+0%,-15%,+14%,+21%,,,,,,,,1130 kj(270 kcal),8,"3,3","1,2","0,48",,14.3 g,en quantité modérée,8 g,en quantité élevée,3.3 g,en faible quantité,1.2 g,en quantité modérée,-2%,-21%,+2%,+18%,+18%,13,-15%,D,-15%,,4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']",,,,,,,
420,Confiture d'hiver,3283875222600,['France'],[],[],?,224,"0,4","53,2","0,6",D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,+1%,+53%,-1%,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,937 kj(224 kcal),"0,1","52,6","2,5",1,['Fabriqué en France'],0.4 g,en faible quantité,0.1 g,en faible quantité,52.6 g,en quantité élevée,2.5 g,en quantité élevée,+1%,+101%,+3%,+10676%,+10676%,21,+126%,E,+126%,,,,,,,,,,,,,
421,Grande tranches a la farine complete,3560049790234,['France'],[],[],?,281,"4,8",50,"7,1",,,,,,,,,,,,,,,,,,1176 kj(281 kcal),"0,4",6,"1,5","0,6",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Anneaux paprika,3770007419248,['France'],[],[],?,351,"1,5",70,12,,,,,,,,,,,,,,,,,,1469 kj(351 kcal),"0,2","7,2",,,"['Bio', 'Bio européen', 'Nutriscore', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,soft delly rolls,3523680415492,['France'],[],[],?,270,"4,8","4,6","8,5",,,,,,,,,,,,,,,,,,1130 kj(270 kcal),"1,8","2,2","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Confibreizh abricots,3760074419562,['France'],[],[],?,201,0,48,"0,7",,,,,,,,,,,,,,,,,,841 kj(201 kcal),0,47,0,0,,,,,,,,,,,,,,,,,,,,,"['EMB 22278K', ""Saint-Brieuc (Côtes-d'Armor, France)""]",,,,,,,,,,
425,Sachet papillotes tout praliné - Ivoria - 940g,3250390188810,['France'],"['Sucre', 'praliné 20% ', 'sucre', 'pâte de noisettes ', ""pâte d' amandes "", 'pâte de cacao', 'graisses végétales ', 'palme', 'palmiste', 'beurre de cacao', 'poudre de lait  entier', 'lactosérum en poudre*', 'cacao maigre en poudre', 'matière grasse de lait  anhydre', 'émulsifiant : lécithines de tournesol', 'arômes', 'lactose*', ' * dont _lait']","['Huile de palme', 'Non végétalien']",?,547,34,53,"5,4",,940 g,['Ivoria'],,['Intermarché'],,,,,,,,,,,,,2289 kj(547 kcal),19,52,"0,1","0,04",,,,,,,,,,,,,,,,,,,,4,,,['E322i - Lécithine'],"['Lait', 'Fruits à coque']",,,,,,,
426,Bolognaise champignons - Panzani,3038359004049,['France'],[],[],?,79,"3,5","6,4","4,5",E,,['Panzani'],"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']",,,-9%,-15%,-2%,+0%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,331 kj(79 kcal),"1,3","5,2","1,5","0,6","['Sans colorants', 'Sans conservateurs']",3.5 g,en quantité modérée,1.3 g,en faible quantité,5.2 g,en quantité modérée,1.5 g,en quantité modérée,-8%,+7%,+9%,+36%,+36%,6,+163%,C,+163%,,,,,,,,,,,,,
427,Coca cola sans sucres,3348630001347,['France'],[],[],?,0,0,"0,1","0,05",,,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,,-100%,-100%,+22%,+47%,,,,,,,,0 kj(0 kcal),0,0,"0,017","0,007",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.017 g,en faible quantité,-100%,-100%,-100%,+10%,+10%,0,-100%,B,-100%,,,,,,,,,,,,,
428,Fromage blanc fermier,3760132540047,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Huile olive et citron vert frais presses - Oliviers & Co,3547130091760,['France'],[],[],?,?,?,?,?,,,['Oliviers & Co'],['Matières grasses'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Pomme -,3590920323053,['France'],[],[],?,?,?,?,?,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Chocolat en poudre - Voisin - 250g,,['France'],"['35% cacao', '65% sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,D,250 g,['Voisin'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
432,Confiture artisanale biologique abricot - Les 4 GourMands - 360g,3770002754047,['France'],[],[],?,?,?,?,?,A,360 g,['Les 4 GourMands'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",,,,,,,,,,,,
433,Pain au raisins - Auchan,2030500477772,['France'],[],[],?,?,?,?,?,C,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",['Auchan'],,,,,,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Cereales fourrées - Netto,3250391466627,['France'],[],[],?,427,"13,3","65,3","7,8",C,,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Céréales fourrées']",['Netto'],,-2%,-4%,-4%,+4%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,1787 kj(427 kcal),"2,2","34,2","0,41","0,164",,13.3 g,en quantité modérée,2.2 g,en quantité modérée,34.2 g,en quantité élevée,0.41 g,en quantité modérée,-2%,-42%,+20%,-36%,-36%,15,+15%,D,+15%,,,,,,,,,,,,,
435,Moelleux lait de cacao & coco - P'tit Déli - 420g,3564706552906,['France'],[],[],?,438,21,54,"6,8",,420 g,"[""P'tit Déli"", 'Marque Repère']",,['Leclerc'],,,,,,,,,,,,,1833 kj(438 kcal),15,32,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Tassimo Kenco Pure Colombian Pods X16,8711000500521,['France'],[],[],?,?,?,?,?,,,['Tassimo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Tahin - Terre exotique - 180g,3760063339833,['France'],[],[],?,33,9,"15,2",0,C,180g,['Terre exotique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",,,-95%,-84%,+139%,-100%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,138 kj(33 kcal),"0,5",0,0,0,,9 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-95%,-94%,-100%,-100%,-100%,0,-100%,B,-100%,,,"['EMB 37203C', 'Rochecorbon (Indre-et-Loire, France)']",,,,['Liban'],,,,,,
438,Bleu d'auvergne,0278535022303,['France'],[],[],?,?,?,?,?,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Haricots verts extra fins - Valfrutta,8001440131127,['France'],[],[],?,24,"0,3","2,3","1,3",,,['Valfrutta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve']",,,-65%,-54%,-73%,-69%,,,,,,,,100 kj(24 kcal),"0,1","0,5","0,41","0,164",['Bio'],0.3 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.41 g,en quantité modérée,-65%,-25%,-69%,-37%,-37%,-4,,A,,,,,,,,,,,,,,
440,Farine de Riz Complet - Happy Bio,3273120028699,['France'],"['farine de riz"" complet', ' ""Produit issu de logriculture biologique', ' Traces possibles de soja', 'fruits à coques', 'sésame', 'gluten']",[],?,352,"2,8",74,"6,4",B,,['Happy Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",,,-1%,+61%,-4%,-7%,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,1473 kj(352 kcal),"0,7","0,9","0,02","0,008","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",2.8 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.02 g,en faible quantité,-0%,+61%,+66%,+68%,+68%,1,,B,,,1,,,,,,,,,,,
441,Toasted Oats Wild Fruit 500G - White's,5011371212157,"['France', 'Espagne']",[],[],?,443,14,67,"8,8",C,,"[""White's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,+11%,+61%,+0%,-6%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,1854 kj(443 kcal),"2,2",21,"0,07","0,028",,14 g,en quantité modérée,2.2 g,en quantité modérée,21 g,en quantité élevée,0.07 g,en faible quantité,+11%,0%,+26%,-80%,-80%,11,+104%,D,+104%,,,,,,,,,,,,,
442,La cucina,8718158330482,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Sanpellegrino aranciata - San Pellegrino,8002270005619,['France'],[],[],?,?,?,?,?,,,['San Pellegrino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
