,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
1045,aloe drink original,8809041429441,['France'],[],[],?,20,84 kj(20 kcal),0,0,5,4,0,0,0,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Spécialité céréalière au riz et à la châtaigne bio - Léa nature Jardin Bio - 150g,15848758,['France'],"['farine de riz*', 'farine de châtaigne* 25 %', 'sel marin', "" *Produits issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,374,1565 kj(374 kcal),"1,5","0,5",82,"5,1","7,2","0,55","0,22","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France', 'Sans lactose', 'De bio 01 agriculture ue']",,B,150g,['plastique et carton'],"['Léa nature Jardin Bio', 'Léa Nature', 'Jardin Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",['France'],,['Carrefour'],3,,-2%,-67%,+16%,-27%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,1.5 g,en faible quantité,0.5 g,en faible quantité,5.1 g,en quantité modérée,0.55 g,en quantité modérée,-2%,-51%,-9%,-38%,-38%,1,-67%,B,-67%,,,,,,,
1047,Fromage blanc lissé - Alsace Lait - 5kg,3262970805062,['France'],[],[],206,48,206 kj(48 kcal),"< 0,5","0,2","5,3","5,3","6,8","0,09","0,036",['Produits destinés aux professionnels'],,B,5 kg,"['Pot', 'Plastique']",['Alsace Lait'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",['France'],,,,-45%,-47%,-88%,-19%,+5%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,0.5 g,en faible quantité,0.2 g,en faible quantité,5.3 g,en quantité modérée,0.09 g,en faible quantité,-46%,-92%,-12%,-16%,-16%,-3,-1145%,A,-1145%,,,,['France'],,,
1048,Huile Tournesol 3l - Rochambeau,3439495001440,['France'],[],[],?,900,3766 kj(900 kcal),100,11,0,0,0,0,0,,"['EMB 33063', 'Bordeaux (Gironde, France)', 'EMB 59155', 'Coudekerque-Branche (Nord, France)']",D,,['Bouteille en plastique'],['Rochambeau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,,,,,+3%,+3%,-100%,-100%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+3%,+4%,-100%,-100%,-100%,11,0%,D,0%,,,,,,,
1049,Riz au lait rhum - Ursi - 460g,2006050001187,['France'],[],[],?,123,515 kj(123 kcal),"2,5","1,6",22,15,"2,6","0,11","0,044",,,B,460 g,,['Ursi'],"['Desserts', 'Puddings', 'Riz au lait']",,,,,,-15%,-33%,-3%,-24%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,2.5 g,en faible quantité,1.6 g,en quantité modérée,15 g,en quantité élevée,0.11 g,en faible quantité,-14%,-30%,+11%,-15%,-15%,4,-1%,C,-1%,,,,,,,
1050,Barista corsé et équilibré,3700926110032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Nour,3459860005224,['France'],[],[],?,92,385 kj(92 kcal),"1,2","0,4",4,"1,6","16,5","2,7","1,08",['Fabriqué en France'],"['FR 56.166.001 CE', 'Plouay (Morbihan, France)']",,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,"The Genuine Reber-mozart Kugeln, Violin, 4.94oz",4101730003739,['France'],[],[],?,509,2130 kj(509 kcal),"28,4","10,1","54,1","48,1",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Gateau ciambellina,8052283910073,['France'],[],[],?,484,2025 kj(484 kcal),"22,6","2,8","61,3","27,2","8,5","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Mayonnaise (Full fat),5000128256292,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,['bottle(s)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Gilde karbonadedeig 5%fett - 400g,7037203627362,['France'],[],[],?,121,506 kj(121 kcal),5,"2,6",0,0,19,"1,1","0,44",,,,400g,,['Gilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Store lomper,7055450010287,"['France', 'Norvège']",[],[],?,?,,?,,?,,?,,,,,,,['Product'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Isey skyr,5690527443401,['France'],[],[],?,57,238 kj(57 kcal),"0,2","0,1","4,1","3,9","9,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Wijko Hot Satésaus Kant En Klaar,8718053070155,['France'],[],[],?,256,1071 kj(256 kcal),13,"2,1",25,18,7,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Huile d'olive basilic,3451080150821,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","13,7",0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,10425349,10425349,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Harissa maison,3770009494120,['France'],[],[],?,104,435 kj(104 kcal),"9,9","0,2","4,7","1,9",1,1,"0,4",,,C,,,,"['Epicerie', 'Sauces', 'Harissas']",,,,,,-2%,+125%,-48%,-60%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,9.9 g,en quantité modérée,0.2 g,en faible quantité,1.9 g,en faible quantité,1 g,en quantité modérée,-2%,-68%,-49%,-73%,-73%,5,-41%,C,-41%,,,,,,,
1062,Poulpes calmars et crevettes au citron confit et à l'ail - Pêcheur de Saveurs,3418840571739,['France'],[],[],?,214,895 kj(214 kcal),15,"1,8","2,2","0,5",16,"1,8","0,72",['Sans colorants'],,,,,['Pêcheur de Saveurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Barre extra sablée,7622210953834,['France'],[],[],?,496,2075 kj(496 kcal),24,13,61,33,"6,8","1,06","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,"Ruinart ''R'' De Ruinart 37,5 CL, Frankrig",3185370288603,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Chili sauce piment chinois,3365072803742,['France'],[],[],?,439,1837 kj(439 kcal),0,0,25,15,1,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Puding au chocolat,8690906000802,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Cocktail 4 fruits - Leader Price,3263852070899,['France'],[],[],?,64,268 kj(64 kcal),0,0,14,12,0,0,0,,"['EMB 30341D', 'Vauvert (Gard, France)']",,,,['Leader Price'],,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Candy stix,8719992179664,['France'],[],[],?,369,1544 kj(369 kcal),"3,43","1,6",83,57,"1,3","0,1","0,04",['Halal'],,E,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,+4%,+84%,-0%,-39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,3.43 g,en quantité modérée,1.6 g,en quantité modérée,57 g,en quantité élevée,0.1 g,en faible quantité,+3%,+51%,-2%,-17%,-17%,15,+4%,D,+4%,,,,,,,
1069,Miel de montagne,3368044011275,['France'],[],[],?,?,,?,0,?,,?,,,,,B,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,0 g,en faible quantité,,,,,,-100%,,,,,,,,,,,,,,
1070,Thon en morceaux,3664217001129,['France'],[],[],?,99,414 kj(99 kcal),"0,8","0,2","0,5","0,1",23,1,"0,4",,"['EMB 29158F', 'Penmarch (Finistère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Confiture Mangue Papaye - Maison Francis Miot,3396748500795,['France'],[],[],?,190,795 kj(190 kcal),"0,5",0,46,46,"0,4",0,0,,,,,,['Maison Francis Miot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Confiture de figues et noix - Biolo Klock,3560000415282,['France'],[],[],?,321.2,1344 kj(321 kcal),"9,1","0,9",56,"54,7","2,4",0,0,['Bio'],,D,,,['Biolo Klock'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,,,,,+38%,+1891%,+1%,+227%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,9.1 g,en quantité modérée,0.9 g,en faible quantité,54.7 g,en quantité élevée,0 g,en faible quantité,+38%,+1251%,+3%,-100%,-100%,13,+37%,D,+37%,,,,,,,
1073,Mini Tuiles aux pepites de chocolat,3760183296016,['France'],[],[],?,364,1523 kj(364 kcal),17,7,44,35,"8,1","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Golden breakfast - 750g,20247768,['France'],[],"['Végétalien', 'Végétarien']",?,385,1611 kj(385 kcal),"3,7","1,4",75,23,10,"0,51","0,204","['en:German Agricultural Society', 'Végétarien', ""Médaille d'or de la Société Allemande d'Agriculture"", 'Végétalien', ""Médaille d'or 2019 de la Société Allemande d'Agriculture"", 'Union Végétarienne Européenne']",,,750 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,lasagnes au boeuf et légumes de saison - Monsieur et Madame BOC - 300g,4154274580259,['France'],"['lait demi écrémé', 'égrené de bœuf français 24,5% ', '100% pure viande bovine 15% MG ', '100% muscle', 'coulis de tomate 12,3% ', 'tomate 93,5% ', 'pulpe de tomate fraîche 78%', 'concentré de tomate 15,5%', 'huile de tournesol', 'oignon', 'sucre', 'sel', 'basilic', 'pâtes alimentaires 5,8% ', '100% semoule de blé dur de qualité supérieure', 'œufs', 'champignon 4,9%', 'oignon 4,9%', 'carotte 4,9%', 'courgette 4,9%', 'emmental ', 'lait pasteurisé de vache', 'sel', 'ferments lactiques', 'présure', 'anti agglomérant : amidon de pomme de terre', 'beurre demi-sel ', 'beurre', 'sel', 'farine de blé', ""huile de tournesol et huile d'olive vierge extra "", 'vitamine D', 'sel', 'noix de muscade', 'poivre noir']",['Non végétalien'],746,?,746 kj(178 kcal),11,,"9,4","3,6",10,"0,65","0,26","['Sans colorants', 'Sans conservateurs']",,C,300 g,['Verre'],['Monsieur et Madame BOC'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",['Boufféré'],,,3,+40%,,+81%,-25%,+58%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,11 g,en quantité modérée,,,3.6 g,en faible quantité,0.65 g,en quantité modérée,+34%,,+32%,-17%,-17%,,,,,,,"['Œufs', 'Gluten', 'Lait']",['Vendée'],,,
1076,Fidelini corti - Savino,3580281186138,['France'],[],[],?,348,1456 kj(348 kcal),"1,1","0,1",71,"3,5",12,,,['Fabriqué en Italie'],,,,,['Savino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Fristi Red Fruits,8713300043319,['France'],[],[],?,43,180 kj(43 kcal),0,0,"7,7","7,7",2,"0,12","0,048",['en:FSC'],['FSC-C081801'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,aceto balsamico di modena,80728801,['France'],[],[],?,0,0 kj(0 kcal),0,0,15,11,0,,,,,B,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,-100%,-100%,-53%,-100%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,,,-100%,-100%,-62%,,,,,,,,,,['Italie'],,,
1079,Steak slices,5052449643350,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,['packet(s)'],,"['Viandes', 'Steaks']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Erdbeeren - River - 245g,20141134,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,245g,,"['River', 'River Valley']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Arome Artificiel De Pandan,8850058002875,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,12 oeufs frais coqigny,3760058480199,['France'],[],[],?,?,,?,,?,,?,,,,,D,,,,"[""Produits d'élevages"", 'Œufs']",,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,
1083,Vitamin C & zinc - Waitrose - 60tablets,5000169198926,['France'],"['Ascorbic acid', 'dicalcium phosphate', 'zinc oxide', 'cellulose', 'cross-linked sodium carboxymethylcellulose', 'hydroxypropyimethylcellulose', 'magnesium stearate', 'stearic acid', 'silicon dioxide', 'antioxidant tartaric acid II']",[],?,?,,?,,?,,?,,,,,,60 tablets,,['Waitrose'],"['Compléments alimentaires', 'Vitamines']",,,['Waitrose'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E341ii - Phosphate dicalcique', 'E460 - Cellulose', 'E468 - Carboxyméthylcellulose de sodium réticulée', 'E572 - Stéarate de magnésium', 'E570 - Acide stéarique']",,,,,,
1084,PAVES DE SAUMON X2,3661483025804,['France'],[],[],?,?,,?,,?,,?,,,,,E,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,
1085,GELEE ROYALE bio,3760192465441,['France'],[],[],?,?,,?,0,?,,?,,,"['Bio', 'Bio européen', 'GR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,La poule chocolat noir bio,3173284319209,['France'],[],[],?,555,2322 kj(555 kcal),36,22,48,45,6,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Creamy Snacks - Sheba - 48g,4008429115462,['France'],"['Viandes et sous-produits animaux ', 'dont bœuf 4%', 'sous-produits d’origine végétale', 'huiles et graisses', 'lait et produits de laiterie ', 'dont protéines de lait 0,5%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['Sans sucre ajouté'],,,48g,['4x12g'],['Sheba'],"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,
1088,AXA de veau,26079813,['France'],[],[],?,408,1707 kj(408 kcal),"5,2","1,6","2,5",2,"9,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Vitamin D - Boots - 90tablets,5045098579361,['France'],"['Calcium Carbonate', 'Cellulose', 'Maltodextrin', 'Acacia', 'Sucrose', 'Magnesium Stearate', 'Silicon Dioxide', 'Vitamin D3 ', 'Cholecalciferol']",[],?,?,,?,,?,,?,,,['Sans lactose'],,,90 tablets,,['Boots'],"['Compléments alimentaires', 'Vitamines']",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E460 - Cellulose', 'E572 - Stéarate de magnésium']",,,,,,
1090,Folic acid - Boots - 60tablets,5045097866844,['France'],"['Dicalcium Phosphate', 'Cellulose', 'Magnesium Stearate', 'Folic Acid']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,E,60 tablets,,['Boots'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Compléments alimentaires', 'Vitamines']",,,,4,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,"['E341ii - Phosphate dicalcique', 'E460 - Cellulose', 'E572 - Stéarate de magnésium']",,,,,,
1091,Amandes complètes en poudre bio,3278584950012,['France'],[],[],?,611,2556 kj(611 kcal),51,4,11,"4,4",21,0,0,['Bio'],,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,,,,-2%,-4%,+27%,-9%,,,,,,,,51 g,en quantité élevée,4 g,en quantité modérée,4.4 g,en faible quantité,0 g,en faible quantité,-2%,-5%,+4%,-100%,-100%,5,-10%,C,-10%,,,,,,,
1092,Le bridé,2602601075302,['France'],[],[],?,394,1648 kj(394 kcal),"31,3","13,3","3,1","1,36",25,"4,53","1,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,RIO INTAG,3760170556406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Smint,8419485,['France'],[],[],?,?,,?,,?,,?,,,['en:gluten-free'],,E,,,"['Smint', 'Chupa Chups', 'Sera']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,
1095,Pain à la coupe Campagne,,['France'],[],[],?,225,941 kj(225 kcal),"0,9","0,1",44,1,"9,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Véritables gaufres pour beurre - 300g,3438351359671,['France'],[],[],?,?,,?,,?,,?,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Pois chiche - Marmara,4012625438119,['France'],[],[],?,122,510 kj(122 kcal),"2,5","0,3",14,0,"7,4","0,55","0,22",,,B,,,['Marmara'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,,,,-36%,-17%,-41%,-27%,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,2.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.55 g,en quantité modérée,-35%,-23%,-100%,+15%,+15%,-1,,A,,,,,,,,
1098,Réussir votre gâteau au fromage blanc - 2x 60g,26031323,['France'],[],[],?,344,1439 kj(344 kcal),"0,1",0,"85,5",0,"0,4",0,0,,,,2 x 60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,"Petit épeautre bio - Biothentic - 0,268kg",2205926011095,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,"0,268 kg",,['Biothentic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Blés', 'Petits épeautres']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Biotin - Holland&Barrett - 1mg,5017174079614,['France'],"['Bulking Agents ', 'Microcrystalline Cellulose', 'Dicalcium Phosphate', 'Biotin ', 'as d-Biotin', 'Anti-Caking Agents ', 'Silicon Dioxide', 'Magnesium Stearate']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,,1 mg,,['Holland&Barrett'],"['Compléments alimentaires', 'Vitamines']",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E460i - Cellulose microcristalline', 'E341ii - Phosphate dicalcique', 'E551 - Dioxyde de silicium', 'E572 - Stéarate de magnésium']",,,,,,
1101,Oeufs,3700716400022,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Banini - 210,06207144,['France'],"['farine de blé', 'sucre', 'sirop de glucose', 'graisse de palme', ""purée d'abricot concentrée "", '5', '2%', 'purée de pomme', 'beurre ', 'lait', ' ', '2,8%', 'humectant ', 'E422', 'oeuf en poudre', 'poudres à lever ', 'E503', 'E500', 'E450', 'arômes', 'colorant ', 'E160a', ""correcteur d'acidité "", 'E330', 'sel', 'gélifiant ', 'E440', 'émulsifiant ', 'lécithine de soja', 'conservateur ', 'E202', ' Peut contenir traces de fruits à coque', ""d'arachides et de céleri"", ' Conserver dans un endroit frais', 'sec et sombre']","['Huile de palme', 'Non végétalien']",?,402,1682 kj(402 kcal),11,6,?,,?,,,,,,210,['Papier'],['Banini'],,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E422 - Glycérol', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E330 - Acide citrique', 'E440 - Pectines', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Gluten', 'Lait', 'Soja']",,,['Huile de palme'],
1103,Saucisses paysannes,3425851040666,['France'],[],[],?,303,1268 kj(303 kcal),"28,1","8,6","1,6","1,6","11,8","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Andalusien Baena DOP - REWE Feine Welt,4388860212129,"['France', 'Allemagne']",['Natives Olivenöl Extra'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['AOP'],,D,,,['REWE Feine Welt'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,['REWE'],2,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,
1105,CROUTE A BOUCHEE 4,0201308035422,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Petit salé aux lentilles - 350g,3303700005281,['France'],[],[],?,182,761 kj(182 kcal),"8,5","1,3","9,9","0,7",14,"0,9","0,36",,,C,350 g,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']",,,,,,+44%,+77%,+27%,+48%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,8.5 g,en quantité modérée,1.3 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en quantité modérée,+50%,-21%,-8%,-2%,-2%,1,,B,,,,,,,,
1107,Ventoux,3250392585099,['France'],[],[],?,?,,?,0,?,,?,,,['Fabriqué en France'],,C,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Ventoux']",,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,-100%,,,,,,,,,,,['France'],,,
1108,Mondo Italiano - 1000g,4316268588942,['France'],[],[],?,?,,?,,?,,?,,,,,,1000 g,,['Mondo Italiano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Polpa Pomodoro,8008857010038,"['France', 'Italie']",[],[],?,57,238 kj(57 kcal),"0,2",0,3,3,"0,9","0,1","0,04",,,,,['boîte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Cold water infusers - Clipper,5021991942181,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['Clipper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,A-Z multivitamins & minerals - Wilko - 90tablets,03483015,['France'],"['Calcium Carbonate', 'Magnesium Oxide', 'Ascorbic Acid Maltodextrin', 'Cellulose', 'Dicalcium Phosphate', 'Ferrous Fumarate', 'Hydroxypropylmethylcellulose', 'Vitamin E Acetate', 'Nicotinamide', 'Zinc Oxide', 'Cross-linked Sodium Carboxymethylcellulose', 'Magnesium Stearate', 'Silicon Dioxide', 'Modified Maize Starch', 'Calcium Pantothenate', 'Manganese Sulphate', 'Acacia', 'Talc', 'Maize Starch', 'Copper Sulphate', 'Hydroxypropylcellulose', 'Pyridoxine Hydrochloride', 'Thiamine Mononitate Riboflavin', 'Vitamin A Acetate', 'Sucrs Folic Acid', 'Chromium Chloride', 'Potassium iodide', 'Triglycerides', 'Antioxidant ', 'Tocopherol', 'Sodium Molybdate', 'Sodium Selenite', 'Vitamin K', 'Biotin', 'Vitamin D3', 'Trisodium Citrate', 'Vitamin B12', 'Citric Acid']",[],?,?,,?,,?,,?,,,,,,90 tablets,,['Wilko'],"['Compléments alimentaires', 'Vitamines']",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E460 - Cellulose', 'E341ii - Phosphate dicalcique', 'E464 - Hydroxypropylméthylcellulose', 'E468 - Carboxyméthylcellulose de sodium réticulée', 'E572 - Stéarate de magnésium', 'E553b - Talc', 'E463 - Hydroxypropylcellulose', 'E306 - Extrait riche en tocophérols', 'E331iii - Citrate trisodique', 'E330 - Acide citrique']",,,,,,
