,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,additives,packaging,manufacturing,generic_name,link,palm_ingredients
361,Tourte des Écoliers aux 3 Viandes - Tempé - 500g,3301091900314,,500 g,['Tempé'],"['Plats préparés', 'Produits à la viande', 'Tartes', 'Plats préparés à la viande', 'Réfrigérés', 'Plats préparés réfrigérés', 'Tourtes']",['Union européenne'],,['France'],"['Garniture ', '53,5 %', ' : viande ', '20 %', ' et gras de porc', 'viande de dinde ', '6 %', 'viande de veau ', '4 %', 'champignons', 'eau', 'œufs', 'foie de porc', 'riesling', 'lait', 'oignons', 'sel', 'jus de cuisson', 'plasma de porc', 'fécule de pomme de terre', 'épices', 'aromates et plantes aromatiques', 'protéines de porc', 'persil', 'dextrose', 'sirop de glucose', 'acidifiants : acide citrique', 'citrates de sodium', 'acétates de sodium', 'antioxydants érythorbate de sodium', 'acide ascorbique', 'ascorbate de sodium', 'stabilisants diphosphates', 'polyphosphates', 'arômes', 'exhausteur de goût glutamate monosodique', 'sucre', ""huile d'olive"", 'conservateur : nitrite de sodium', ' Pâte ', '46,5 %', ': farine de blé', 'beurre ', '11 %', ' ', 'dont lait', 'eau', 'sucre', 'sel', 'lait écrémé', 'huile de colza', 'protéines de lait', 'protéines de petit pois']","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,18 g,en quantité modérée,8.2 g,en quantité élevée,1.4 g,en faible quantité,1.6 g,en quantité élevée,?,,305,+10%,1276 kj(305 kcal),+11%,18,+25%,"8,2",+95%,21,-24%,"1,4",-50%,13,+62%,"1,6",+29%,"0,64",+29%,18,+97%,D,+97%,,,,,,,,"['Sans arômes artificiels', 'Sans colorants']",,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Frais', 'Plastique']",,Tourte des Écoliers aux 3 Viandes,,
362,Tartelette tomate chèvre,3301091901267,,,,,,,['France'],[],,[],,,,,,,,,,?,,288,,1205 kj(288 kcal),,18,,10,,24,,"5,1",,2,,1,,"0,4",,,,,,,,,,,,,['AOP'],,,,,,,
363,Tartelette tradition Saumon & épinard,3301091901281,,,,,,,['France'],[],,[],,,,,,,,,,?,,329,,1377 kj(329 kcal),,22,,12,,21,,2,,11,,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,
364,Filet mignon de porc en croute traiteur & ses legumes - Tempé,3301091902059,,,['Tempé'],,,,['France'],"['FILET MIGNON DE PORC EN CROUTE TRAITEUR AVEC SES LEGUMES Ingréd ients : Garniture ', '57%', ' farce ', 'g [as et viande de porc', 'brocolis viande et gras de veau', 'eau', 'carottes ', 'If]Ù', ' céleri ', '15%', ' ', '1,70', ' crème fraiche ', 'dont lait', ' oignons ', '1%', ' poireaux ', '01%', ' échalote vin blanc beurre ', 'dont lait', 'sel stabilisants : diphosphates', 'dextrose', 'épices', 'arômes', 'exhausteur de goût : glutamate monosodique', 'acidifiants acide citrique', 'correcteur diacid ité : citrates de sodium', 'antioxydants : ascorbate de sodium acide érythorbique', 'acide ascorbique', 'conservateur : lactate de sodium acétates de sodium', ' filet mignon ', 'filet mignon de porç ', '2371', ' eall sel', 'arômes naturels dexttdse', 'sucre', 'antioxydant : ascorbate de sodium', 'sirop de glucose', 'conservateur nitrite', 'de sodium', ' Pâte ', '43%', ' : farine de blé', 'beurre ', '8%', ' ', 'dont lait', ' eau sucre', 'lait écrémé/ huile de colza', 'protéinés de lait protéines de petit pois', ' Peut contenir des traces de poissons crustacés Ëlusques', 'pistaches moutarde et oeufs Porc : origine Union Européenne', ' VeôÌJ origine Union Européenne']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,273,,1142 kj(273 kcal),,15,,"7,4",,21,,"1,8",,13,,"1,6",,"0,64",,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E325 - Lactate de sodium']",,,,,
365,Palette à la diable - Tempe,3301091953709,,,['Tempe'],,,,['France'],[],,[],,,,,,,,,,?,,205,,858 kj(205 kcal),,15,,"1,4",,"1,4",,"0,4",,15,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,
366,Friand gourmand a la viande - Tempé,3301091973776,E,,['Tempé'],"['Plats préparés', 'Feuilleté salé', 'Friands', 'Feuilleté à la viande']",,,['France'],[],,[],,18 g,en quantité modérée,9.8 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,?,,311,-6%,1301 kj(311 kcal),-6%,18,-15%,"9,8",-8%,25,+1%,"1,6",+18%,12,+24%,"1,4",-1%,"0,56",-1%,18,-2%,D,-2%,90.4%,4.5%,1.1%,1.2%,0.6%,2.3%,21,,,,,,,,
367,Pâté en croûte - Tempé,3301092081371,,,['Tempé'],,,,['France'],"['Garniture ', '68%', ' : viande et gras de porc', 'eau', 'pistaches', 'gélatine de porc de b?uf', 'sel', 'vin blanc', 'riesling', 'alcool', 'épices et aromates', 'oignons', 'persil', 'exhausteur de goût ', ' glutamate monosodique', 'dextrose', 'acidifiants ', ' citrate de sodium', 'acide tartrique', 'antioxydant : érythorbate de sodium', 'arômes', 'maltodextrine', 'extrait de levure', 'colorants : extrait de paprika', 'caramel ammoniacal', 'conservateur : nitrite de sodium', ' Pâte ', '32%', ' : farine de blé', 'beurre ', '8%', ' ', 'dont lait', 'eau', 'lait écrémé', 'sel', 'sucre', 'levure désactivée', 'huile de colza', 'protéine de lait', 'protéine de petit pois', 'colorant : caroténoïdes', 'oeufs', ' Peut contenir des traces de poissons', 'mollusques', 'crustacés', 'céleri et moutarde']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,282,,1180 kj(282 kcal),,20,,"8,9",,13,,1,,13,,"1,7",,"0,68",,,,,,,,,,,,,,,"['E428 - Gélatine', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E334 - Acide L-tartrique', 'E316 - Érythorbate de sodium', 'E160c - Extrait de paprika', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']",,,,,
368,Fraises - Sans marque - 500g,3301220105009,C,500 g,['Sans marque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",,,['France'],['Fraises cat 1'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,"['Film plastique', 'Point vert']","['Ets Boy', '46130', 'Biars sur Cere', 'France']",,,
369,Noix - Boy,3301221000327,,,['Boy'],,,,['France'],"[""composition ngrédients : Noix sèches en coques Suggestions d'utilisation : Le cerneau"", ""facile à utiliser : prendra la vedette aux cacahuètes dès l'apéritif • sera le complément indispensable de vos salades • s'associera aussi bien avec les pâtisseries"", ""desserts qu'avec le salé : mariage inédits avec les viandes"", 'poissons', 'fromages', 'saveur nouvelle pour les sauces', ' Conservation : Pour préserver toute leur saveur', 'conservez ces noix en coques dans un endroit frais', ""sec et à l'abri de la lumière"", ' Fabriqué par Ets BOY', '79 avenue de la république', '46130 Biars sur Cère Service consommateur : 05 65 38 43 88 Poids net : snnée de récotte : consommer de préférence avant le : I Lot NO : 1 Kg Call 32+ Récolte: 2016 DLUO: 03-2018 Catl Marbot']","['Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,691,,2891 kj(691 kcal),,63,,"5,8",,12,,"4,7",,15,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,
370,Cepes cuisines a l'huile - Boy Maury,3301221001003,,,['Boy Maury'],,,,['France'],[],,[],,,,,,,,,,?,,131,,548 kj(131 kcal),,"12,2",,"1,1",,"0,7",,"0,6",,"4,6",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,
371,cèpes cuisinés à l'huile -,3301221001508,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
372,Croc salé cumin épeautre,3301310011128,,,,,,,['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,447,,1870 kj(447 kcal),,"19,3",,"3,6",,55,,"4,3",,9,,"2,8",,"1,12",,,,,,,,,,,,,"['Bio', 'en:palm-oil-free']",,,,,,,
373,12 crêpes gourmandes - 400g,3301440000269,,400 g,,,,,['France'],[],,[],,,,,,,,,,?,,341,,1427 kj(341 kcal),,"8,5",,"5,1",,"58,8",,"28,2",,"7,1",,"1,32",,"0,528",,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
374,Miel de thym catalan - Val de Sournia - 310g,3301510014073,B,310 g,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
375,Miel de clémentinier Catalan - Rayon d'Or - 350g,3301510015056,A,350 g,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']","['Espagne', 'Catalogne']",,['France'],['Miel de clémentinier'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,"['Bocal', 'Verre']",,,,
376,Miel d'Ille sur Têt - Rayon d'Or - 125g,3301510201152,A,125 g,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels crémeux']","['France', ""Garrigues proches du site d'Orgues Ille sur Têt"", 'Languedoc Roussillon']",,['France'],['Miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,"['Verre', 'Bocal']",['France'],,,
377,Miel de cerisier - Rayon d'Or,3301510201244,,,"[""Rayon d'Or""]",,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
378,350g,3301510201411,,350 g,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
379,Miel de bruyère blanche - Rayon d'Or - 350g,3301510304013,A,350 g,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de bruyère', 'Miels crémeux', 'Miels de bruyère blanche']","['France', 'Languedoc Roussillon', 'Pyrénées Orientales']",['Péchés Gourmands'],['France'],['Miel de bruyère blanche'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Fabriqué en France', 'Origine France', 'Sud de France']",,,"['Bocal', 'Verre']","['Languedoc Roussilon', 'France']",Miel de bruyère blanche,,
380,3301510701614,3301510701614,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
381,Miel Crémeux - Rayon d'Or,3301511003076,B,,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels crémeux']",['France'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
382,Miel de Montagne - Rayon d'Or - 750g,3301511006077,A,750 g,"[""Rayon d'Or""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne', 'Miels liquides']",['Espagne'],,['France'],['Miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,"['Bocal', 'Verre', 'métal']",['France'],,,
383,Miel de thym catalan - Rayon d’or - 750gr,3301511014072,,750gr,['Rayon d’or'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,
384,Jus de Pommes - Côteaux Nantais - 25cl,3301591000088,A,25 cl,['Côteaux Nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,['France'],"['Pommes ', '100%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11.4 g,en quantité élevée,0 g,en faible quantité,?,,45,-2%,188 kj(45 kcal),-2%,0,-100%,0,-100%,"11,4",+4%,"11,4",+10%,0,-100%,0,-100%,0,-100%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,"['Bouteille', 'Verre']",,,,
385,Jus Pommes Pruneaux - Coteaux nantais - 75cl,3301591000149,C,75 cl,['Coteaux nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,11.5 g,en quantité élevée,0 g,en faible quantité,205,+6%,48,+4%,205 kj(48 kcal),+7%,0,-100%,0,-100%,"11,8",+11%,"11,5",+19%,0,-100%,0,-100%,0,-100%,5,+32%,C,+32%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
386,Pur jus pommes pruneaux - Planet Bio - 75cl,3301591000187,,75 cl,['Planet Bio'],,,,['France'],[],,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,0,,0,,"11,8",,"11,5",,0,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
387,Jus de pommes cassis Sans conservateur. - Planet Bio,3301591000682,,,['Planet Bio'],['Boissons'],,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0 g,en faible quantité,?,,48,-14%,201 kj(48 kcal),-17%,0,-100%,0,-100%,"11,8",+4%,"11,3",+20%,0,-100%,0,-100%,0,-100%,15,+96%,E,+96%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
388,Jus de fruits Côteaux Nantais Pomme/Rhubarbe Bio,3301591000828,,,,,,,['France'],[],,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,"12,6",,"11,3",,0,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
389,Apibul Pomme Citron,3301591000965,,,,,,,['France'],[],,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"11,2",,11,,0,,,,,,,,,,,,,,,,,,,,,,,,
390,Jus de fruits pommes grenades - Planet Bio,3301591001009,,,['Planet Bio'],['Boissons'],,,['France'],"['jus de pommes bio ', '60%', 'jus de grenades bio ', '40%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,12.9 g,en quantité élevée,0 g,en faible quantité,?,,54,-4%,226 kj(54 kcal),-6%,0,-100%,0,-100%,"13,5",+19%,"12,9",+37%,0,-100%,0,-100%,0,-100%,7,-9%,D,-9%,,,,,,,,['Bio'],,,,,,,
391,Jus de pommes mangues - Beillevaire - 25cl,3301591001023,C,25 cl,['Beillevaire'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Fruits', 'Jus et nectars', 'Fruits tropicaux', 'Jus de fruits', 'Mangues', 'Jus de pomme']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,12.4 g,en quantité élevée,0 g,en faible quantité,?,,54,-16%,226 kj(54 kcal),-15%,0,-100%,0,-100%,"13,1",-8%,"12,4",+1%,0,-100%,0,-100%,0,-100%,7,,D,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,['Bio'],,,,,,,
392,Jus de pommes myrtilles - Beillevaire - 25cl,3301591001030,D,25 cl,['Beillevaire'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Fruits', 'Jus et nectars', 'Fruits rouges', 'Jus de fruits', 'Jus de pomme', 'Myrtilles']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,,,?,,47,-24%,197 kj(47 kcal),-24%,0,-100%,0,-100%,"11,4",-23%,"10,5",-18%,0,-100%,,,,,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,37,,,,,,,,
393,Jus de fruits pommes pêches pur jus - Planet Bio - 75cl,3301591001436,C,75 cl,"['Planet Bio', ""Planet'Bio""]","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",,,['France'],"['pommes bio ', '70 %', 'purée de pêches bio ', '30 %']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,205,+2%,?,,205 kj(49 kcal),+2%,0,-100%,0,-100%,"11,7",+5%,10,-4%,0,-100%,0,-100%,0,-100%,4,-11%,C,-11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['EPB1A0243'],,"['Bouteille', 'Verre']",,Jus de pommes pêches,,
394,Jus pommes cerises - Coteaux nantais,3301591001450,D,,['Coteaux nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0 g,en faible quantité,?,,54,+12%,226 kj(54 kcal),+13%,0,-100%,0,-100%,"13,1",+19%,"11,2",+8%,0,-100%,0,-100%,0,-100%,6,+35%,D,+35%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Bio'],,,,,,,
395,Jus de pommes - Retour Des Vergers - 75cl,3301591001535,C,75 cl,['Retour Des Vergers'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,['France'],['Pommes bio 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11.4 g,en quantité élevée,0 g,en faible quantité,?,,45,-2%,188 kj(45 kcal),-2%,0,-100%,0,-100%,"11,4",+4%,"11,4",+10%,0,-100%,0,-100%,0,-100%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['Bio', 'Point Vert', 'Pur jus']",,,['Bouteille'],,Jus de pommes,,
396,Apibul Pommes Poires - Coteaux nantais,3301591001689,,,['Coteaux nantais'],['Boissons'],,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité élevée,0 g,en faible quantité,?,,48,-14%,201 kj(48 kcal),-17%,0,-100%,0,-100%,"11,3",0%,"7,2",-24%,0,-100%,0,-100%,0,-100%,12,+57%,E,+57%,,,,,,,,['Bio'],,,,,,,
397,Jus pommes mangues - Retour des Vergers - 75cl,3301591001726,D,75 cl,['Retour des Vergers'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Fruits', 'Jus et nectars', 'Pommes', 'Jus de fruits', 'Jus de mangue']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,12.4 g,en quantité élevée,,,?,,54,+10%,226 kj(54 kcal),+10%,0,-100%,0,-100%,"13,1",+6%,"12,4",+18%,0,-100%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
398,Apibul - Planet Bio,3301591001771,,,['Planet Bio'],,,,['France'],[],,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,"11,3",,"11,3",,0,,0,,0,,,,,,,,,,,,,['Bio'],,,,,,,
399,Pommes Gingembre - Planet Bio,3301591002006,,,['Planet Bio'],,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"11,6",,10,,0,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
400,Le nectar de cassis - Côteaux nantais - 75cl,3301591002051,,75 cl,['Côteaux nantais'],['Nectars de cassis'],,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité modérée,0 g,en faible quantité,?,,42,-21%,176 kj(42 kcal),-21%,0,-100%,0,-100%,"8,8",-31%,"8,8",-28%,0,-100%,0,-100%,0,-100%,1,-93%,B,-93%,,,,,,,,['Bio'],,,,,,,
401,Jus de pamplemousse rose - Coteaux nantais - 25cl,3301591002396,D,25 cl,['Coteaux nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,0 g,en faible quantité,?,,41,+5%,172 kj(41 kcal),+6%,0,-100%,0,-100%,"7,4",-15%,"7,4",-9%,0,-100%,0,-100%,0,-100%,1,-46%,B,-46%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Bio'],,,,,,,
402,Jus de pommes poires - Beillevaire - 25cl,3301591002426,D,25 cl,['Beillevaire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de pomme poire']",,,['France'],[],,[],,1 g,en faible quantité,1 g,en quantité modérée,11 g,en quantité élevée,1 g,en quantité élevée,?,,1,-98%,4 kj(1 kcal),-98%,1,+393%,1,+1329%,"12,4",+15%,11,+11%,1,+221%,1,+5081%,"0,4",+5081%,3,+50%,C,+50%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Bio'],,,,,,,
403,jus de fruits pommes myrtilles - Planet Bio,3301591444844,D,,['Planet Bio'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Fruits', 'Jus et nectars', 'Fruits rouges', 'Jus de fruits', 'Jus de pomme', 'Myrtilles']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,?,,47,-24%,197 kj(47 kcal),-24%,0,-100%,0,-100%,"11,4",-23%,"10,5",-18%,0,-100%,0,-100%,0,-100%,4,,C,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,37,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
404,Cidre doux bio - Planet Bio - 75cl,3301592000049,C,75cl,['Planet Bio'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,['Magasins U'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Bio'],,,"['Bouteille', 'Verre']",,,,
405,Cidre pur jus pressé - Côteaux Nantais - 75cl,3301592000155,C,75cl,['Côteaux Nantais'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Bouteille'],,,,
406,Cidre Bouché Demi-Sec - Côteaux Nantais - 75cl,3301592000247,B,75 cl,['Côteaux Nantais'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres demi-secs', 'Cidres bouchés']",,,['France'],['Cidre demi-sec'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",,,"['Verre', 'Bouteille']",,,,
