,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
1087,Saupiquet,3165950214451,,,,,['Saupiquet'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Cheese mix - Milbona - 500g,4056489143499,D,Préparation de fromages râpés à base de 49% de fromage à pâte mi-dure et de 49% de fromage à pâte dure Tilsit.,500 g,['Sachet plastique'],['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,['Pays-Bas'],,['Lidl'],['France'],"['49% fromage à pâte mi-dure ', 'lait pasteurisé', 'sel de cuisine', 'ferments lactiques', ""enzyme coagulante d'origine microbienne"", '49% fromage Tilsit ', 'lait pasteurisé', 'sel de cuisine', 'ferments lactiques', ""enzyme coagulante d'origine microbienne"", 'colorant : caroténoïdes', 'amidon de pomme de terre']",['Lait'],['Non végétalien'],4,1310,-16%,315,-16%,"23,4",-19%,"1,8",+86%,"24,3",-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['NL Z 0187 EG'],23.4 g,en quantité élevée,16.4 g,en quantité élevée,0.1 g,en faible quantité,1.57 g,en quantité élevée,1310 kj(315 kcal),-16%,"16,4",-15%,"0,1",-72%,"1,57",+57%,"0,628",+57%,14,+9%,D,+9%,['E160 - Caroténoïdes'],,,,,
1089,Amande fleur d'oranger - Yves Rocher,3660005350967,,,,,['Yves Rocher'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Candy tubes - Becky's - 1kg,8713305810664,,,1 kg,,"[""Becky's""]",,"['Point Vert', 'Halal']",,,,['France'],[],,[],,?,,365,,"1,4",,88,,"0,1",,,,,,,,,,,,,,,,,,1527 kj(365 kcal),,"0,8",,50,,"0,21",,"0,084",,,,,,,,,,,
1091,Jus pomme fraise,3770009923071,,,,,,,,,,,['France'],[],,[],,?,,48,,"0,229",,"9,96",,"0,37",,,,,,,,,,,,,,,,,,201 kj(48 kcal),,"0,042",,"7,96",,0,,0,,,,,,,,,,,
1092,Canela molida - Dani,8410721000180,B,,,,['Dani'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,"['France', 'Espagne']",[],,[],,?,,?,,?,,?,,?,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Raisins blancs -,27061299,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins frais', 'Raisins blancs']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,12 Oeufs extra frais moyen KERHOAS -,3301632600123,D,,,,,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,,,,['France'],[],,[],,?,,142,+2%,"9,86",+9%,"0,8",+25%,"12,6",+2%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,9.86 g,en quantité modérée,0 g,en faible quantité,0.22 g,en faible quantité,0 g,en faible quantité,594 kj(142 kcal),+2%,0,-100%,"0,22",-50%,0,-100%,0,-100%,-4,,A,,,,,,,
1095,Old El Paso Kit De Fajitas Para Dos,8410076470652,,,,,['Old el paso'],,,,,,['France'],[],,[],,?,,215,,"3,5",,"38,6",,"6,4",,,,,,,,,,,,,,,,,,900 kj(215 kcal),,"0,8",,"6,1",,2,,"0,8",,,,,,,,,,,
1096,Lomo de cerdo ibérico adobado (filetes),8436017762327,,,,,,,,,,,['France'],[],,[],,?,,150,,"9,6",,0,,"17,9",,,,,,,,,,,,,,,,,,628 kj(150 kcal),,"3,8",,2,,"1,68",,"0,672",,,,,,,,,,,
1097,Chips nature - Belle France,3258561239781,,,,,['Belle France'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,,,['France'],[],,[],,2246,+4%,?,,34,+15%,50,-8%,"5,5",-4%,,,,,,,,,34 g,en quantité élevée,2.8 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en quantité modérée,2246 kj(537 kcal),+4%,"2,8",-9%,"0,4",-83%,"1,1",-17%,"0,44",-17%,7,-40%,C,-40%,,,,,,
1098,Sorbet Coco,3576370720437,,,,,,,,,,,['France'],[],,[],,?,,1041,,"15,6",,"24,4",,"2,5",,,,,,,,,,,,,,,,,,4356 kj(1041 kcal),,"14,2",,"21,7",,,,,,,,,,,,,,,
1099,Ultimate power - 50cl,5902854101108,,,50 cl,['Canette'],['Ultimate power'],"['Boissons', 'Boissons énergisantes']",,,,,['France'],[],,[],,?,,6,-83%,0,-100%,0,-100%,"0,8",+452%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,25 kj(6 kcal),-83%,0,-100%,0,-100%,0,-100%,0,-100%,1,-91%,B,-91%,,,,,,
1100,Fette Biscottate Tostate - Gentilini - 175g,007465518134,B,,175g,,['Gentilini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']","['Fabriqué en Italie', 'Sans conservateurs']",,,,['France'],"['Farine de blé', 'Beurre', 'OEufs frais', 'Miel', 'Levure', 'Extrait de malt en poudre ', 'malt de blé', ""malt d'orge"", 'maïs', 'Sel', 'Lait en poudre', ' Peut contenir des traces de soja et sésame', ' Produit sans conservateurs']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],3,?,,425,+9%,"9,5",+29%,?,,"11,2",+2%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,9.5 g,en quantité modérée,3.75 g,en quantité modérée,6.25 g,en quantité modérée,3.5 g,en quantité élevée,1780 kj(425 kcal),+9%,"3,75",+139%,"6,25",+15%,"3,5",+185%,"1,4",+185%,16,+188%,D,+188%,,,,,,
1101,3760222090858,3760222090858,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Apéro sticks tomate-emmental - Pural,3184340047004,,,,,['Pural'],,"['Bio', 'Bio européen', 'en:palm-oil-free']",,,,['France'],[],,['Sans huile de palme'],,?,,436,,18,,47,,15,,,,,,,,,,,,,,,,,,1824 kj(436 kcal),,"4,9",,"2,6",,"2,5",,1,,,,,,,,,,,
1103,Notte jardin les originales - Notre Jardin,3564706583368,,,,,['Notre Jardin'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Eau de coco,3760101960074,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,,,['France'],[],,[],,?,,23,+21%,0,-100%,"5,8",+27%,0,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,5.5 g,en quantité modérée,0 g,en faible quantité,96 kj(23 kcal),+16%,0,-100%,"5,5",+52%,0,-100%,0,-100%,8,+225%,D,+225%,,,,,,
1105,Sainte Marguerite,3250392791322,,,,['Bouteille'],['Marguerite'],"['Boissons', 'Eaux', 'Eaux aromatisées', 'Eaux aromatisées sans sucre ajouté']","['Peu ou pas de sucre', 'Sans sucre']",,,,['France'],[],,[],,?,,0,-100%,0,,0,-100%,0,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.08 g,en faible quantité,0 kj(0 kcal),-100%,0,,0,-100%,"0,08",+3900%,"0,032",+3900%,0,-100%,B,-100%,,,,,,
1106,Compote Pomme Abricot - Comme j'aime - 100g,3700977708073,B,,100 g,,"[""Comme j'aime""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes allégées', 'Compotes pommes abricot']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Fabriqué en France', 'Nutriscore', 'Nutriscore A']",['France'],,"[""Comme j'aime""]",['France'],"['Purée de pommes 71,02%', ""purée d'abricots 25%"", 'sucre', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,265,+3%,63,-2%,"0,5",+47%,15,+7%,"0,5",+14%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,0.5 g,en faible quantité,0.2 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,265 kj(63 kcal),-0%,"0,2",+171%,14,+10%,"0,01",+22%,"0,004",+22%,-3,,A,,['E300 - Acide ascorbique'],,,,,
1107,Chocolat au lait 55% cacao - Lindt,4000539480508,,,,,['Lindt'],,,,,,['France'],[],,[],,?,,604,,47,,33,,"8,8",,,,,,,,,,,,,,,,,,2527 kj(604 kcal),,29,,31,,"0,17",,"0,068",,,,,,,,,,,
1108,Cocktail kid’s - Vitamont,3289196260260,,,,['Brique en carton'],['Vitamont'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté']",,,,['France'],[],,[],,?,,44,,0,,"10,7",,0,,,,,,,,,,,,,,,,,,184 kj(44 kcal),,0,,"10,7",,0,,0,,,,,,,,,,,
1109,Pata Negra,3660071009325,,,,,,,,,,,['France'],[],,[],,?,,319,,19,,1,,36,,,,,,,,,,,,,,,,,,1335 kj(319 kcal),,"6,8",,"0,5",,"2,9",,"1,16",,,,,,,,,,,
1110,Croquetas de jamón ibérico - Bo de Debo,8480004114408,,,,,['Bo de Debo'],"['Viandes', 'Préparations de viande']",,,,,"['France', 'Espagne']",[],,[],,?,,276,+35%,"15,9",+50%,"23,2",+174%,"1,9",-88%,,,,,,,,,15.9 g,en quantité modérée,6.3 g,en quantité élevée,1.2 g,en faible quantité,0.8 g,en quantité modérée,1155 kj(276 kcal),+35%,"6,3",+97%,"1,2",-2%,"0,8",-49%,"0,32",-49%,12,+57%,D,+57%,,,,,,
1111,EXTRA STRONG - Bellarom,20402860,,,,,['Bellarom'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,
1112,Sorbet pêche jaune de la vallée  du Rhône - Thiriet,3292590516239,C,,,,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la pêche']","['Sans colorants', 'Sans conservateurs']",,,['Thiriet'],['France'],[],,[],,?,,116,-6%,0,-100%,27,-10%,0,-100%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,0 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0.01 g,en faible quantité,485 kj(116 kcal),-6%,0,-100%,24,-4%,"0,01",-19%,"0,004",-19%,4,-14%,C,-14%,,,,,,
1113,Nutripops - Nestlé,7613037059519,,,,,['Nestlé'],,['Sans sucre ajouté'],,,,['France'],[],,[],,?,,423,,"8,6",,76,,"9,7",,,,,,,,,,,,,,,,,,1770 kj(423 kcal),,"1,4",,"2,8",,"0,017",,"0,007",,,,,,,,,,,
1114,Jamón cocido extra ecológico lonchas sin gluten sin lactosa,8436583391389,E,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Bio'],,,,"['France', 'Espagne']",[],,[],,?,,111,-16%,"3,6",-25%,"0,4",-40%,20,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,3.6 g,en quantité modérée,1.2 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en quantité élevée,464 kj(111 kcal),-15%,"1,2",-35%,"0,2",-66%,"1,7",-9%,"0,68",-9%,4,-43%,C,-43%,,,,,,
1115,Château la joie bergerac,3700898211515,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
1116,IMMUNOSTIM Défenses de l'Organisme. Boîte 30 sticks,3401564352715,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Manzanilla muy fina de sanlúcar de barrameda,8410061221542,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Lait demi écrémé biologique - Bio village Leclerc - 1L,3564701000846,C,,1L,,['Bio village Leclerc'],"['Produits laitiers', 'Laits']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,['France'],"['LAIT DEMI-ECREMÉ STÉRILISÉ U', 'H', 'T', "" ISSU DE L'AGRICULTURE BIOLOGIQUE"", ' LAIT ORIGINE FRANCE', ' nFORMATIONS NUTRITIONNELLES aleurs nutritionnelles oyennes pour : 100 ml 192 kJ ']",,['Non végétalien'],1,?,,?,,?,,?,,?,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,UDON saveur crevette - 173g,3661945390143,,,173 g,,,,,,,,['France'],[],,[],,?,,147,,"0,4",,31,,"4,5",,,,,,,,,,,,,,,,,,615 kj(147 kcal),,"0,1",,"1,8",,"2,3",,"0,92",,,,,,,,,,,
1120,Quinoa Bio - Eric Bur - 255g,3144550007663,B,,255 g,"['Pot', 'Plastique']",['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,['France'],['Quinoa blanc bio'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1622,+11%,392,+19%,"5,8",+8%,69,+25%,13,+10%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,5.8 g,en quantité modérée,4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,1622 kj(392 kcal),+18%,4,+513%,1,-60%,~ 0,-100%,0,-100%,2,,B,,,,,,,
1121,Maisstangen -  - 60g,5903018640006,B,,60 g,"['stück', 'stück', 'stück']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de maïs']",['Sans gluten'],,,,"['France', 'Allemagne']",[],,[],,?,,398,+18%,3,+86%,83,+17%,"8,7",+22%,70.7%,16.5%,7.5%,3.4%,2.0%,0.0%,81,,3 g,en quantité modérée,0.4 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1665 kj(398 kcal),+17%,"0,4",+48%,"0,7",+4%,0,-100%,0,-100%,-3,,A,,,,,,,
1122,Almond - Ecomil,8428532192741,D,,,,['Ecomil'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]","['Bio', 'Bio européen', 'ES-ECO-019-CT', 'en:FSC', 'Point Vert']",,,,['France'],[],,[],,?,,143,+276%,"1,9",-11%,"3,2",-14%,"0,9",+4%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['FSC-C014047'],1.9 g,en quantité modérée,0.3 g,en faible quantité,0.3 g,en faible quantité,0.14 g,en faible quantité,598 kj(143 kcal),+276%,"0,3",+21%,"0,3",-89%,"0,14",+59%,"0,056",+59%,1,+580%,B,+580%,,,,,,
1123,Comprimés Confort et Légèreté de jambes vigne rouge,3700211192552,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Cerneau de noix extra - Bedros Et Savino,3580281238790,D,,,,['Bedros Et Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,,['France'],[],,[],,?,,674,-2%,67,+5%,11,+13%,16,+7%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,67 g,en quantité élevée,6.4 g,en quantité élevée,3.4 g,en faible quantité,0 g,en faible quantité,2820 kj(674 kcal),-2%,"6,4",+8%,"3,4",+6%,0,-100%,0,-100%,4,+55%,C,+55%,,,,,,
1125,Noix de coco - 147g,2868520011412,,,147 g,,,,['Sans conservateurs'],,,,['France'],[],,[],,?,,369,,"36,8",,5,,"3,6",,,,,,,,,,,,,,,,,,1544 kj(369 kcal),,"33,3",,"0,9",,"0,08",,"0,032",,,,,,,,,,,
1126,Serozinc - La roche posay - 150ml,3433422406728,,,150ml,,['La roche posay'],['Zinc'],['Fabriqué en France'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Cal Valls Conc. Agave Eco,8427406022214,,,,,['Cal Valls'],,,,,,['France'],[],,[],,?,,311,,0,,"76,6",,"1,1",,,,,,,,,,,,,,,,,,1301 kj(311 kcal),,0,,"65,9",,0,,0,,,,,,,,,,,
1128,Bresaola - Citterio,8008410531116,E,,,,['Citterio'],"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Bresaola']",['en:gluten-free'],,,,['France'],"['viande de boeuf sel arômes naturels', 'conservateurs ', 'E 250', 'E252', ' Produit emballé sous atmosphère protectrice SANS GLUTEN SANS PROTEINE DE LAIT']",,[],3,?,,154,-5%,20,+527%,"0,5",+14%,34,+4%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,20 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,4.9 g,en quantité élevée,644 kj(154 kcal),-5%,10,+663%,"0,5",+51%,"4,9",+25%,"1,96",+25%,20,+64%,E,+64%,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
1129,Rea Délice orange mangue,3020648106664,,,,,,,,,,,['France'],[],,[],,?,,28,,0,,"6,7",,0,,,,,,,,,,,,,,,,,,117 kj(28 kcal),,0,,"6,4",,0,,0,,,,,,,,,,,
1130,Lait en poudre entier,8717896001647,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Mascarpone -,8002011000255,D,,,['Frais'],,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",,,,,['France'],[],,[],,1463,-5%,355,-7%,36,-8%,3,-4%,"5,8",+17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,36 g,en quantité élevée,25 g,en quantité élevée,3 g,en faible quantité,0.07 g,en faible quantité,1463 kj(355 kcal),-8%,25,-7%,3,-1%,"0,07",-25%,"0,028",-25%,11,-8%,D,-8%,,,,,,
1132,Pomme chataigne - Auchan - 400g,3596710472857,B,,400 g,,"['Auchan', 'Auchan Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes châtaigne']","['Bio', 'Nutriscore', 'Nutriscore A']",,,['Auchan'],['France'],[],,[],,?,,88,-19%,"0,6",+41%,20,-18%,"0,5",-4%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,0.6 g,en faible quantité,0.2 g,en faible quantité,18 g,en quantité élevée,0.01 g,en faible quantité,368 kj(88 kcal),-19%,"0,2",+67%,18,-11%,"0,01",-56%,"0,004",-56%,-2,,A,,,,,,,
1133,Mermelada de fruta exótica,8410134023288,,,,,,,['en:gluten-free'],,,,['France'],[],,[],,?,,216,,"0,15",,52,,"0,3",,,,,,,,,,,,,,,,,,904 kj(216 kcal),,0,,52,,0,,0,,,,,,,,,,,
1134,"Brisures de riz, cassé 2 fois",3760105890018,,,,,,,,,,,['France'],[],,[],,?,,351,,"0,8",,"77,6",,"8,2",,,,,,,,,,,,,,,,,,1469 kj(351 kcal),,"0,4",,"77,6",,0,,0,,,,,,,,,,,
1135,Leche Puleva Max Energia+crecimiento 1L,8411700810011,D,,,,['Puleva'],"['Produits laitiers', 'Laits']",,,,,['France'],[],,[],,?,,58,-12%,"2,9",+41%,"5,3",-12%,"2,6",-27%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,2.9 g,en faible quantité,1.2 g,en faible quantité,5.3 g,en quantité modérée,0.17 g,en faible quantité,243 kj(58 kcal),-11%,"1,2",+1%,"5,3",-2%,"0,17",+37%,"0,068",+37%,1,+74%,B,+74%,,,,,,
1136,Le Moelleux - ker cadelac - 350g,3259426039577,D,,350g,,['ker cadelac'],"['Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",,,,,['France'],"['Farine de blé 27,5% - Huile de colza - Sucre - Oeufs entiers 19,5% - Stabilisants : sorbitols - Protéines de lait - Poudre de lait écrémé - Poudres à lever : diphosphates', ""carbonates de sodium - Emulsifiants : mono-et diglycérides d'acides gras "", 'origine végétale', ' - Sel - Arômes naturels ', 'contient alcool <0,6%']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,457,+8%,26,+14%,49,+0%,"6,1",+6%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,26 g,en quantité élevée,2.3 g,en quantité modérée,25 g,en quantité élevée,1.1 g,en quantité modérée,1912 kj(457 kcal),+7%,"2,3",-81%,25,-11%,"1,1",+8%,"0,44",+8%,16,-30%,D,-30%,"['E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
1137,Espresso San Marco,3259234175009,,,,,['San Marco'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Compote pomme châtaigne - Valade,3174061051176,B,,,,['Valade'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes châtaigne']",['Fabriqué en France'],,,,['France'],[],,[],,?,,121,+12%,"0,6",+41%,27,+11%,"0,6",+15%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,0.6 g,en faible quantité,0.1 g,en faible quantité,22.2 g,en quantité élevée,0 g,en faible quantité,506 kj(121 kcal),+11%,"0,1",-17%,"22,2",+10%,0,-100%,0,-100%,0,,B,,,,,,,
1139,Donuts strawberry,8681270476140,B,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,,['France'],[],,[],,?,,536,+31%,"32,4",+42%,"52,2",+17%,"6,3",+6%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,32.4 g,en quantité élevée,17.6 g,en quantité élevée,20.3 g,en quantité élevée,0.04 g,en faible quantité,2243 kj(536 kcal),+31%,"17,6",+66%,"20,3",+21%,"0,04",-96%,"0,016",-96%,20,+3%,E,+3%,,,,,,
1140,"Inmune bebida refrescante de zumo de naranja, - El Corte Ingles",8433329095112,,,,,['El Corte Ingles'],,,,,,"['France', 'Espagne']",[],,[],,?,,35,,"0,5",,"7,9",,"0,3",,,,,,,,,,,,,,,,,,146 kj(35 kcal),,0,,"7,9",,0,,0,,,,,,,,,,,
1141,Cookie spiruline cranberries - Leaderprice - 120g,3263852938212,,,120 g,,['Leaderprice'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['France'],[],,[],,?,,465,,19,,64,,"7,7",,,,,,,,,,,,,,,,,,1946 kj(465 kcal),,"5,3",,33,,"0,74",,"0,296",,,,,,,,,,,
1142,PC Original Table Syrup -,0060383873493,,,,,,,,,,,['France'],"['GLUCOSE', 'GLUCOSE-FRUCTOSE', 'EAU', 'ARÔME NATUREL', 'COLORANT CARAMEL', 'BENZOATE DE SODIUM', 'SEL', 'GOMME DE CELLULOSE', 'ACIDE SORBIQUE']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,,383,,0,,95,,0,,,,,,,,,,,,,,,,,,1600 kj(383 kcal),,,,"53,3",,"0,188",,"0,075",,,,,,"['E150 - Caramel', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,,,,
1143,Clear WHEY ISOLATE - MyProtein,5056281177721,,,,,['MyProtein'],,,,,,['France'],[],,[],,?,,346,,"0,5",,"2,8",,82,,,,,,,,,,,,,,,,,,1448 kj(346 kcal),,"0,2",,1,,"0,1",,"0,04",,,,,,,,,,,
1144,Gelée royale Arkopharma Arkoroyal,3578835501803,,,,,['Arkopharma'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans conservateurs']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Courgettes mi-sechées farcies - Auchan - 200g,3596710476619,,,200 g,,['Auchan'],,"['Produit en braille', 'Nutriscore', 'Nutriscore A']",,,['Auchan'],['France'],[],,[],,?,,100,,"3,8",,"8,4",,"6,4",,,,,,,,,,,,,,,,,,418 kj(100 kcal),,"0,4",,"3,8",,"0,96",,"0,384",,,,,,,,,,,
1146,8436545623701,8436545623701,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'IT-BIO-006']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
