,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,markets,additives,allergens,nova_score,palm_ingredients,link,producer_info
1662,Barres céréales pétales chocolatées talon lait - U Mat & Lou - 150g,3256225041428,,150 g,"['U Mat & Lou', 'U']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['France'],"['Céréales croustillantes cacaotées 42% [Pétales cacaotés 35', '8% ', 'farine de BLE', 'sucre', ""farine d'AVOINE"", 'cacao', ""farine d'ORGE maltée"", 'poudre de LAIT écrémé 2,4%', 'sel', 'céréales cacaotées ', 'farine de BLE', 'sucre', 'cacao', ""farine d'AVOINE"", 'malt de BLE', 'sel', 'arôme naturel de vanille', ']', 'sirop de glucose', 'pâte à glacer 12% ', 'sucre', 'graisse de palmiste', 'LAIT écrémé en poudre', 'émulsifiant : lécithine de SOJA', 'poudre de chocolat au lait 6,8% ', 'sucre', 'pâte de cacao', 'poudre de LAIT entier', 'beurre de cacao', 'poudre de LAIT écrémé', 'huile de palme', 'stabilisant : sorbitols', 'cacao maigre en poudre 1,8%', 'arôme', ""émulsifiant : sucroesters d'acides gras"", ' Traces éventuelles de fruits à coques', 'sulfites et arachides']","['Huile de palme', 'Non végétalien']",12.1 g,en quantité modérée,8.8 g,en quantité élevée,32.9 g,en quantité élevée,0.3 g,en quantité modérée,1760,-5%,?,,1760 kj(421 kcal),-1%,"12,1",-23%,"8,8",+48%,"68,5",+14%,"32,9",+21%,"6,8",-9%,"0,3",-23%,"0,12",-23%,17,+29%,D,+29%,,,,,,,,,"['Carton', 'boîte', 'Plastique']","['Huile de palme durable', 'RSPO', 'Point Vert', 'en:RSPO Mass Balance or Book and Claim', 'Transformé en France']","['France', 'Hors  France']",['France'],,"['Super U', 'Magasins U']","['E322i - Lécithine', 'E420 - Sorbitol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Avoine', 'Soja']",4,['Huile de palme'],,
1663,Cuillers pâtissiers fraise - U - 200g,3256225041978,B,200 g,['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",['France'],"['Sucre', 'OEUFS frais 34%', 'farine de BLÉ ', 'France', ' 30 %', 'jaunes d OEUFS frais 5%', 'stabilisant : glycérol', 'sirop de sucre inverti', 'arôme naturel', 'sel', 'acidifiant : tartrates de potassium', 'colorant : cochenille', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",5.1 g,en quantité modérée,2.2 g,en quantité modérée,48 g,en quantité élevée,0.46 g,en quantité modérée,1501,-5%,?,,1501 kj(359 kcal),-6%,"5,1",+35%,"2,2",+95%,69,-11%,48,-1%,"7,7",+1%,"0,46",+113%,"0,184",+113%,17,+18%,D,+18%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,Biscuits cuillers aux œufs frais saveur fraise,"['Boîte', 'Carton', 'Plastique', 'Sachet']","['Point Vert', 'Transformé en France', 'Blé français', 'Farine de blé français', ""Blé issu d'une culture maitrisée""]",['France'],,,"['Super U', 'Magasins U']","['E422 - Glycérol', 'E336 - Tartrates de potassium', 'E120 - Acide carminique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",4,,,
1664,"Pack mini paquets de céréales - U Mat & Lou - 8pièces, 285g",3256225042371,,"8 pièces, 285 g","['U Mat & Lou', 'U']",,['France'],"['Boules miel : Céréales [semoule de maïs ', 'France', ' 43%', 'farine de blé ', 'France', ' 39%],sucre', 'miel 5%', 'sel', 'antiagglomérant : carbonate de calcium', 'arôme naturel', 'colorants : béta carotène et rocou', 'caramel ', 'sucre', 'eau', 'sirop de sucre caramélisé', 'vitamines : niacine ', 'PP', ' -acide pantothénique ', 'B5', ' - riboflavine ', 'B2', ' - thiamine ', 'B1', ' - B6 - B12 - acide folique ', 'B9', ' -biotine ', 'B8', 'fer', ' Fourrées au lait : Céréales 50% [semoule de riz', 'farine de blé ', 'France', ' 16%', ""farined'avoine"", 'farine complète de blé ', 'France', ' 2%]', 'fourrage au lait 40% [lait entier en poudre13%', 'sucre', 'graisses de tournesol et de coprah', 'lait écrémé en poudre 2%', 'lactosérum en poudre', 'émulsifiant : lécithine de tournesol]', 'chocolat en poudre 4%', 'sucre', 'cacao en poudre', 'inuline ', 'fibres solubles', 'sucre', 'cacao maigre en poudre', 'vitamines : niacine ', 'PP', ' - E - B6 - riboflavine ', 'B2', ' - thiamine ', 'B1', ' - acide folique ', 'B9', ' - B12', 'fer', 'sel', 'antioxydant : extrait riche en tocophérols', 'antiagglomérant : carbonate de calcium', ' Fourrées chocolat : Céréales 55% ', 'semoule de riz', 'farine de blé ', 'France', ' 17%', ""farine d'avoine"", 'farine complète de blé ', 'France', ' 2,4%', 'fourrage chocolat 35% [sucre', 'graisses de tournesol et de coprah', 'lactosérum en poudre', 'chocolat 4,5% ', 'sucre', 'cacao en poudre', 'beurre de cacao', 'noisettes 1%', 'émulsifiant : lécithines de tournesol', 'arôme]', 'chocolat en poudre5% ', 'sucre', 'cacao en poudre', 'inuline ', 'fibres solubles', 'sucre', 'cacao maigre en poudre,vitamines : niacine ', 'PP', ' - E - B6 - riboflavine ', 'B2', ' - thiamine ', 'B1', ' - acide folique ', 'B9', ' - B12,fer', 'sel', 'antioxydant : extrait riche en tocophérols', 'antiagglomérant : carbonate de calcium', ' Pétales de blé chocolat : Céréales [farine de blé ', 'France', ' 40%', 'farine de blé complet ', 'France', '25%', 'semoule de maïs ', 'France', ' 3%]', 'chocolat en poudre 22% ', 'sucre', 'cacao en poudre', ',sucre', 'sirop de glucose', 'huile de tournesol', 'sel', 'arômes naturels', ""émulsifiant : esterscitriques des mono- et diglycérides d'acides gras"", 'vitamines : niacine ', 'PP', ' - acidepantothénique ', 'B5', ' - riboflavine ', 'B2', ' - B6 - thiamine ', 'B1', ' - acide folique ', 'B9', ' - biotine ', 'B8', ' -B12', 'fer', 'CFS : Maïs* ', 'France', 'sucre*', ""extrait de malt d'orge"", 'sel', ""émulsifiant : mono- et diglycérides d'acides gras"", 'vitamines : niacine ', 'PP', ' - acide pantothénique ', 'B5', ' - B6 - riboflavine ', 'B2', ' - thiamine ', 'B1', ' - acide folique ', 'B9', ' - biotine ', 'B8', ' - B12', 'fer', '* Fabriqué à partir de 76 g de maïs et 29 g de sucre pour obtenir 100 g de produit fini', ""Boules miel : Traces éventuelles d'arachide"", 'soja', 'lait', 'fruits à coque et sésame', "" Fourrées au lait : Traces éventuelles d'arachide"", 'soja', 'fruits à coque et graines de sésame', "" Fourrées chocolat : Traces éventuelles d'arachide"", 'soja', 'autres fruits à coque et graines de sésame', "" Pétales de blé chocolat : Traces éventuelles d'arachide"", 'soja', 'lait', 'fruits à coque et graines de sésame', ""CFS : Traces éventuelles d'arachide"", 'soja', 'lait', 'fruits à coque et graines de sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,1612,,?,,1612 kj(385 kcal),,"0,9",,"0,1",,85,,25,,"6,7",,"0,5",,"0,2",,,,,,,,,,,,,,,"['Transformé en France', 'Blé français', 'Maïs de France', ""Blé issu d'une culture maitrisée"", ""Maïs issu d'une culture maitrisée""]",,,,['Magasins U'],"['E170i - Carbonate de calcium', 'E160ai - Bêta-carotène', 'E160b - Rocou', 'E150 - Caramel', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait', 'Fruits à coque', 'Avoine']",4,,,
1665,"Coupelle dessert de fruits pommes, fraise et + pommes, framboise - U - 100g, 1200g",3256225048311,A,"100 g, 1200g",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",['France'],"['Dessert de fruits pomme - fraise : Purée de pommes 71%', 'purée de fraises 21%', 'sucre', 'jus concentré de sureau', 'antioxydant: acide ascorbique', ' Dessert de fruits pomme - framboise : Purée de pommes 72,7%', 'purée de framboises 20%', 'sucre', 'antioxydant: acide ascorbique']",[],0.2 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,293,+9%,?,,293 kj(70 kcal),+5%,"0,2",-39%,0,-100%,15,+3%,15,+13%,"0,5",+20%,0,-100%,0,-100%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,Dessert de fruit pomme-fraise et pomme-framboise,['Pots'],['Transformé en France'],,['France'],,['Magasins U'],['E300 - Acide ascorbique'],,3,,,
1666,Préparation instantanée pour boisson au café et aromatisée à la vanille - U - 14g,3256225048397,,14 g,['U'],['Cappuccino'],['France'],"['Sucre', 'LAIT écrémé en poudre', 'graisse de coco', 'café soluble 8%', 'sirop de glucose', ""régulateur d'acidité : E501"", 'arôme naturel', 'stabilisant : E339', 'sel', 'maltodextrine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",11 g,en quantité modérée,10.1 g,en quantité élevée,56.2 g,en quantité élevée,1.12 g,en quantité modérée,1791,+9%,?,,1791 kj(428 kcal),+28%,11,+27%,"10,1",+25%,"69,1",+25%,"56,2",+39%,"11,9",+89%,"1,12",+86%,"0,448",+86%,29,+46%,E,+46%,,,,,,,,Préparation instantané pour boisson au café et aromatisé à la vanille,"['Boîte', 'Carton', 'sticks']",,,,,"['Super U', 'Magasins U']","['E501 - Carbonates de potassium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,
1667,Yaourt à boire sucré pulpe fruits fraise-pêche-framboise - U Mat & Lou - 8x 100g,3256225051076,D,8 x 100 g,"['U Mat & Lou', 'U']","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Boissons avec sucre ajouté']",['France'],"['LAIT écrémé pasteurisé', 'sucre 9%', 'fruits 6% : fraise - pêche - framboise', 'CREME ', 'LACTOSE et protéines de LAIT', 'citrate de calcium', 'minéraux du LAIT', 'jus concentré de citron', 'amidon de maïs', 'arômes naturels', 'ferments ', 'dont LAIT', 'vitamine D ', 'dont LACTOSE']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.8 g,en quantité modérée,1.2 g,en quantité modérée,12.7 g,en quantité élevée,0.1 g,en faible quantité,347,-6%,?,,347 kj(83 kcal),-9%,"1,8",-35%,"1,2",-31%,13,+5%,"12,7",+8%,"3,5",-2%,"0,1",-12%,"0,04",-12%,20,+492%,E,+492%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,,['Frais'],"['Arômes naturels', 'Sans colorants', 'Transformé en France', 'en:lait-francais-french-milk']",,,,['Magasins U'],,['Lait'],4,,,
1668,Yaourt à boire sucré pulpe de fraise - U Mat & Lou - 4x 100g,3256225051083,C,4 x 100 g,"['U Mat & Lou', 'U']","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts à boire goût fraise', 'Yaourts à la fraise', 'Boissons avec sucre ajouté', 'Yaourts sucrés', 'Boissons sans sucre ajouté']",['France'],"['LAIT écrémé pasteurisé', 'sucre 9%', 'fraise 6%', 'CREME', 'LACTOSE et protéines de LAIT', 'citrate de calcium', 'minéraux du LAIT', 'jus concentré de citron', 'amidon de maïs', 'arôme naturel', 'ferments ', 'dont LAIT', 'vitamine D ', 'dont LACTOSE']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.8 g,en quantité modérée,1.2 g,en quantité modérée,12.7 g,en quantité élevée,0.1 g,en faible quantité,347,+13%,?,,347 kj(83 kcal),+14%,"1,8",+24%,"1,2",+28%,13,+12%,"12,7",+12%,"3,5",+24%,"0,1",-3%,"0,04",-3%,20,+28%,E,+28%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,,"['Bouteille', 'Carton', 'Plastique', 'Frais']","['Arômes naturels', 'Sans colorants', 'Transformé en France', 'en:lait-francais-french-milk']",['France'],,,['Magasins U'],,['Lait'],4,,,
1669,"P'tit lacté saveur nature sucré 6 mois, - U Tout Petits - 400g",3256225052561,,400 g,"['U Tout Petits', 'U']","['Aliments pour bébé', 'Goûters et desserts pour bébé']",['France'],"['Lait entier ', 'France', ' 85,1%', 'eau', 'sucre de canne 3,80%', 'amidon de maïs', 'lait écrémé reconstitué 0,45%', ""correcteur d'acidité :acide citrique"", 'épaississants :farine de graines de caroube et pectine', 'arôme naturel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,370,+28%,?,,370 kj(88 kcal),-8%,3,+72%,"1,5",+122%,"11,8",-31%,"6,5",-39%,3,+88%,"0,105",+114%,"0,042",+114%,,,,,,,,,,,,,,"['Lait Français', 'Transformé en France', 'en:lait-francais-french-milk', 'Emballage PEFC']",,,,['Magasins U'],"['E330 - Acide citrique', 'E410 - Gomme de caroube', 'E440 - Pectines']",['Lait'],4,,,
1670,"P'tit lacté saveur vanille dès 6 mois, - U Tout Petits - 400g",3256225052592,,400 g,"['U Tout Petits', 'U']","['Aliments pour bébé', 'Goûters et desserts pour bébé']",['France'],"['LAIT entier ', 'France', ' 91,6%', 'sucre de canne', 'amidons de maïs', 'extrait de vanille', 'arôme naturel de vanille', ""correcteur d'acidité : hydroxyde de potassium"", 'épaississant : farine de graines de caroube']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,367,+27%,?,,367 kj(88 kcal),-8%,"3,4",+95%,"2,3",+240%,"10,9",-36%,"7,2",-33%,"3,1",+94%,"0,08",+63%,"0,032",+63%,,,,,,,,,,,,,,"['Lait Français', 'Transformé en France', 'en:lait-francais-french-milk', 'Emballage PEFC']",,,,['Magasins U'],"['E525 - Hydroxyde de potassium', 'E410 - Gomme de caroube']",['Lait'],4,,,
1671,"P'tit lacté saveur caramel dès 6 mois, - U Tout Petits - 400g",3256225052608,,400 g,"['U Tout Petits', 'U']","['Aliments pour bébé', 'Goûters et desserts pour bébé']",['France'],"['LAIT entier ', 'France', ' 90%', 'caramel 3,9% ', 'sucre', 'eau', 'amidons de maïs', 'sucre de canne', ""arôme naturel de caramel,correcteur d'acidité : hydroxyde de potassium"", 'épaississant : farine de graines de caroube', 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,379,+31%,?,,379 kj(91 kcal),-5%,"3,4",+95%,"2,4",+255%,"11,7",-31%,"7,2",-33%,3,+88%,"0,08",+63%,"0,032",+63%,,,,,,,,,,,,,,"['Lait Français', 'Transformé en France', 'en:lait-francais-french-milk', 'Emballage PEFC']",,,,['Magasins U'],"['E525 - Hydroxyde de potassium', 'E410 - Gomme de caroube']",['Lait'],4,,,
1672,Sucettes boules cola - U - 192g,3256225057900,E,192 g,['U'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",['France'],"['Sirop de glucose', 'sucre', 'acidifiant : acide citrique', 'arôme naturel', 'colorant : caramel ordinaire']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,61 g,en quantité élevée,0.01 g,en faible quantité,1668,+7%,393,+5%,1668 kj(393 kcal),+5%,"0,5",-50%,"0,1",-81%,97,+9%,61,-15%,"0,5",-47%,"0,01",-90%,"0,004",-90%,14,-5%,D,-5%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Sachet'],"['Colorants naturels', 'Arômes naturels', 'Transformé en France']",,,,['Magasins U'],"['E330 - Acide citrique', 'E150a - Caramel E150a']",,4,,,
1673,Sucettes au lait assorties - U - 192g,3256225057917,E,192 g,['U'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",['France'],"['Sirop de glucose', 'sucre', 'lait entier en poudre 2', '1%', 'graisse de palme', 'sel', 'arômes', 'colorants : curcumine - caramel ordinaire', 'denrées alimentaires colorantes : concentrés de radis', 'de pomme et de cassis']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2 g,en faible quantité,1.1 g,en faible quantité,60 g,en quantité élevée,0.74 g,en quantité modérée,1650,+6%,389,+3%,1650 kj(389 kcal),+4%,2,+102%,"1,1",+106%,92,+3%,60,-16%,"0,5",-47%,"0,74",+625%,"0,296",+625%,18,+22%,D,+22%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Sachet'],['Transformé en France'],,,,['Magasins U'],"['E100 - Curcumine', 'E150a - Caramel E150a']",['Lait'],4,['Huile de palme'],,
1674,"Gambas géantes entières crues sauvages - U - 3/4pièces, 500g",3256225057931,D,"3/4 pièces, 500 g",['U'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Crustacés', 'Fruits de mer surgelés', 'Crevettes', 'Poissons surgelés', 'Gambas', 'Gambas surgelées']",['France'],"['CREVETTES ', 'Penaeus monodon', ' entières crues', 'pêchées au chalut en Océan Indien ', 'zones FAO 51 et 57', 'conservateur: DISULFITE de sodium']","['Non végétalien', 'Non végétarien']",0.6 g,en faible quantité,0.19 g,en faible quantité,0.4 g,en faible quantité,0.366 g,en quantité modérée,385,+7%,?,,385 kj(92 kcal),+4%,"0,6",-21%,"0,19",-29%,"< 0,1",-72%,"< 0,4",+178%,"21,4",+7%,"0,366",-55%,"0,146",-55%,-3,,A,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,"['Surgelé', 'Carton', 'Surgelés']","['en:FSC', 'Conditionné en France', 'Pêché au chalut']","['FAO 51', 'FAO 57', 'Océan indien']",,,['Magasins U'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Crustacés', 'Anhydride sulfureux et sulfites']",3,,,
1675,Boisson au soja chocolat - U Bio - 250ml,3256225058686,A,250 ml,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons végétales de soja au chocolat', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['France'],"['Jus de soja 90 % ', 'eau', 'graines de soja 8 %', 'sucre de canne', 'chocolat en poudre 1 % ', 'sucre', 'cacao en poudre', 'cacao maigre en poudre 1%', 'épaississants : carraghénanes', 'gomme xanthane', 'arôme naturel de cacao']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",2.1 g,en quantité modérée,0.4 g,en faible quantité,9.4 g,en quantité élevée,0.04 g,en faible quantité,?,,76,+6%,318 kj(76 kcal),+6%,"2,1",-5%,"0,4",-18%,"10,1",+9%,"9,4",+11%,"3,7",+6%,"0,04",-63%,"0,016",-63%,0,,B,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,"['Brique', 'Carton']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Soja Français', 'Triman']",['France'],,,"['Super U', 'Magasins U']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['Soja'],4,,,
1676,Gourdes pomme pruneau sans sucre ajouté - U - 4x 120g,3256225059119,B,4 x 120 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes pruneau']",['France'],"['Pomme 65%', 'Pruneau 35% ', 'pruneau 17', '5%', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,10.9 g,en quantité modérée,0 g,en faible quantité,343,+11%,?,,343 kj(82 kcal),+5%,"0,3",-10%,"0,1",+30%,"17,7",+4%,"10,9",-26%,"0,5",-12%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,"['en:FSC', 'Sans sucre ajouté', 'Transformé en France']",,,,['Magasins U'],,,1,,,
1677,Gourdes pommes Granny Smith - U - 4x 120g,3256225059157,B,4 x 120 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",['France'],"['Pommes Granny Smith 97%', 'sucre', 'antioxydant : acide ascorbique']",[],0.2 g,en faible quantité,0 g,en faible quantité,13.3 g,en quantité élevée,0 g,en faible quantité,279,+4%,?,,279 kj(67 kcal),0%,"0,2",-39%,0,-100%,15,+3%,"13,3",0%,"0,3",-28%,0,-100%,0,-100%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,"['en:FSC', 'Transformé en France']",,,,['Magasins U'],['E300 - Acide ascorbique'],,3,,,
1678,Dessert de fruits pommme fraise abricot U,3256225059843,,,['U'],,['France'],"['Purée de pommes 63,9%', ""purée d'abricots 20%"", 'purée de fraises 8%', 'sucre', ""jus concentré d'aronia"", 'antioxydant : acide ascorbique', ' Les ingrédients de ce produit ne proviennent pas de France']",[],,,,,,,,,?,,81,,339 kj(81 kcal),,"0,5",,"0,15",,18,,17,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,['E300 - Acide ascorbique'],,,,,
1679,Purée de pomme grenade myrtille sans sucres ajoutés - U - 4x 100g,3256225059867,B,4 x 100 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",['France'],"['Purée de pommes 79', '5%', 'jus de grenade 15%', 'purée de myrtille 5%', ""jus concentré d'acérola 0"", '5%', ' \rnon']",[],0.6 g,en faible quantité,0.17 g,en faible quantité,11 g,en quantité modérée,0.005 g,en faible quantité,249,-7%,?,,249 kj(60 kcal),-11%,"0,6",+83%,"0,17",+100%,"12,1",-17%,11,-17%,"0,5",+20%,"0,005",-50%,"0,002",-50%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,['Frais'],"['Sans sucre ajouté', 'Transformé en France']",,,,['Magasins U'],,,1,,,
1680,Chips ondulées saveur chèvre poivre - U - 135g,3256225059966,B,135 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre ', 'France', ' 61,4%', 'huile de tournesol 31,4%', 'base aromatisante chèvre poivre ', 'LACTOSÉRUM en poudre', 'arôme', 'FROMAGE de chèvre 5%', 'poivre 4%', 'sel', 'Traces éventuelle de céréales contenant du gluten', 'moutarde', 'soja et arachides']",['Non végétalien'],32 g,en quantité élevée,3 g,en quantité modérée,4.2 g,en faible quantité,1.5 g,en quantité modérée,2157,-2%,517,-2%,2157 kj(517 kcal),-2%,32,0%,3,+2%,49,-5%,"4,2",+81%,"6,1",-0%,"1,5",+5%,"0,6",+5%,10,-12%,C,-12%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,Chips de pommes de terre ondulées saveur chèvre poivre,"['Sachet plastique à jeter', 'Point vert', 'Pensez au tri!', 'sachet']","['Pommes de terre de France', 'Transformé en France']",['France'],['France'],,"['Super U', 'Magasins U']",,['Lait'],4,,,
1681,Effeuillés steaks pur boeuf race limousin 10%mg VBF - U - 4x 120g,3256225067817,,4 x 120 g,['U'],"['Viandes', 'Surgelés', 'Viandes surgelées', 'Steaks surgelés']",['France'],['100% viande bovine française race limousine'],[],10 g,en quantité modérée,3.7 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,720,-13%,?,,720 kj(172 kcal),-14%,10,-27%,"3,7",-38%,0,-100%,0,-100%,"20,6",+10%,"0,16",-24%,"0,064",-24%,0,-100%,B,-100%,,,,,,,,,"['Surgelé', 'Sachets individuels', 'Surgelés']","['Viande-francaise', 'Fabriqué en France', 'PEFC', 'Viande-bovine-francaise']",['France'],"['Allier', 'Auvergne - Rhône-Alpes', 'France', 'Creuzier-le-Vieux']",,['Magasins U'],,,,,,
1682,Endives au jambon sauce béchamel - U - 650g,3256225094547,C,650 g,['U'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Endives au jambon']",['France'],"['Sauce béchamel 54,6% ', 'eau', 'eau de cuisson des endives', 'EMMENTAL 4,8%', 'farine de BLE', 'LAIT écrémé en poudre', 'BEURRE concentré', 'CREME', 'amidon transformé de maïs', 'sel', 'poivre', 'muscade', 'endives 27,6%', 'jambon cuit supérieur 15,3% [jambon de porc ', 'origine : France', 'eau', 'sel', 'sirop de glucose', 'antioxydant : erythorbate de sodium', 'conservateur : nitrite de sodium]', 'EMMENTAL 2,3%', "" Pourcentages exprimés sur le produit fini Traces éventuelles d'oeufs""]","['Non végétalien', 'Non végétarien']",6.2 g,en quantité modérée,3.7 g,en quantité modérée,2.2 g,en faible quantité,0.68 g,en quantité modérée,?,,106,+1%,444 kj(106 kcal),+1%,"6,2",+4%,"3,7",+17%,"5,4",-4%,"2,2",-14%,"6,9",+13%,"0,68",-10%,"0,272",-10%,3,+9%,C,+9%,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,"['parts)', 'Surgelés', 'unités']","['Sans arômes artificiels', 'Viande-francaise', 'Viande Porcine Française', 'Sans colorants']",,,,['Magasins U'],"['E14XX - Amidons modifiés', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,
