,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
1598,Salade russe  cuisine du sud,3367700022280,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Air action,80854722,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Tempura merlu blanc,3586410332278,['France'],[],[],?,233,975 kj(233 kcal),"11,3","1,9","18,5","0,5","14,4","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
1601,Dinde Escalope a griller vendu ×6,0202321024936,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Grand spicco,2267858042363,['France'],[],[],?,393,1644 kj(393 kcal),29,19,0,0,32,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Mélange Super Fruits,3664641005250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1604,Saute mines volaille,3345100016382,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Confiture aronia,5200134920112,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Olio di Oliva,8014111200114,['France'],[],[],?,824,3448 kj(824 kcal),"91,6",13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Lentilles vertes au naturel,3380380095030,['France'],[],[],?,76,318 kj(76 kcal),"0,7","0,1","10,1","0,2","5,7","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Chorizo sauta doux,8425545121935,['France'],[],[],?,433,1812 kj(433 kcal),35,13,"5,6","1,7",24,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Figues moelleuses sans pédoncule,2180834009566,['France'],[],[],?,246,1029 kj(246 kcal),"2,4","0,8",48,39,"2,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Biscuita aux amandes,9556291308260,['France'],[],[],?,539,2255 kj(539 kcal),31,"11,6",58,58,7,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Boîte en métal'],,,,,,,,,,,,,,
1611,Polpa vegdtables,5060323901656,['France'],[],[],?,27,113 kj(27 kcal),"0,4",0,"3,7",0,"1,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Escalope de dinde,0211631010560,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",,,,,,,,,,,,
1613,Andouillettes ficelées,0212157041595,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.010.004 CE', 'Baud (Morbihan, France)']",,,,,,,,,,,,
1614,Mâch’ sticks,5407007142200,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Aiguillettes de poulet,2694714045266,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,
1616,Riz niçois,1027323332259,['France'],[],[],?,156,653 kj(156 kcal),"6,9","0,6",19,"0,7","4,1","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Teneroni la merenda morbida brioche con salame gran magro,8004225058398,['France'],[],[],?,355,1485 kj(355 kcal),11,"4,6",51,"4,9",12,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Chocobar,0265013016404,['France'],[],[],?,414,1732 kj(414 kcal),23,12,46,22,"4,8","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Cuisses de poulet rôti,0217637025522,['France'],[],[],?,200,837 kj(200 kcal),13,"3,9",0,0,20,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,TOURRON TRUFFEE DE CHOCOLAT AVEC WHISKY,8437019744427,['France'],[],[],?,491,2054 kj(491 kcal),26,"15,7",56,"45,2",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Confiture de fruits,3770016453189,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Les doodingues,3222477639447,['France'],[],[],?,180,753 kj(180 kcal),"6,9","0,7",17,"0,8",12,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Chocolats oeufs,3595181935007,['France'],[],[],?,489,2046 kj(489 kcal),"28,4","15,5","50,2","46,5",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Mimolette reine du nord,0200956022761,['France'],[],[],?,402,1682 kj(402 kcal),19,"18,1","2,1",0,31,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Knort pasta pot bolognese,8584057005383,['France'],[],[],?,91,381 kj(91 kcal),"1,8","0,9",15,"3,1","3,2","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Ossau ira-t-il aop,2232070002105,['France'],[],[],?,422,1766 kj(422 kcal),35,25,"1,6","0,5",25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Pili nuts,0644216527700,['France'],[],[],?,737,3084 kj(737 kcal),73,33,"5,6","2,4",13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,2 filets poulet fermier bio,2233148095319,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Kombucha saveur originale,3701407703835,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,5","4,5",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Pili Nuts Ecuadorian Caco,0019962942334,['France'],[],[],?,684,2862 kj(684 kcal),61,26,21,10,12,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Simple & Bon Emmental beurre léger,3242272864653,['France'],[],[],?,313,1310 kj(313 kcal),16,"9,1",28,"3,2",12,1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",16 g,en quantité modérée,9.1 g,en quantité élevée,3.2 g,en faible quantité,1 g,en quantité modérée,,-17%,-17%,-45%,-54%,+4092%,+673%,-57%,+54%,+54%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['Sans additifs', 'Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,
1632,Gamberetti boreali in salamoia,8032797514721,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,1","0,4","0,1","15,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Souris d'agneau dorée au four,0211937050185,['France'],[],[],?,159,665 kj(159 kcal),"8,8",4,"0,5","0,5",20,"0,94","0,376",,"['Viandes', ""Viandes d'agneau""]",8.8 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.94 g,en quantité modérée,,+6%,+6%,+25%,+47%,-62%,-28%,+6%,-6%,-6%,3,+7%,C,+7%,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
1634,Duo degustation Dolce,8028257004079,['France'],[],[],?,242,1013 kj(242 kcal),14,"5,1",0,0,29,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Jus de clementine,2006050028764,['France'],[],[],?,47,197 kj(47 kcal),"0,5","0,1",11,10,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Prince (goût vanille),3338489554484,['France'],[],[],?,470,1966 kj(470 kcal),17,"5,3",73,35,"5,1","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,La tarte aux quetsches,,['France'],[],[],?,288,1205 kj(288 kcal),"12,9","7,1",37,"19,5","4,2","0,228","0,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Muscat,4840013001078,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Yaourt poire vanille,3760160630314,['France'],[],[],?,90,377 kj(90 kcal),"2,7","1,6","12,8","12,4","3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Meringues,3760178250009,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Pain Country,3289669014406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Filets de poulet,0213044041261,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,
1643,Hirschpastete,4026963017257,['France'],[],[],?,328,1372 kj(328 kcal),20,11,"0,5","0,5",15,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Tapenade d’olives noires Kalamata dénoyautées,5206303004638,['France'],[],[],?,252,1054 kj(252 kcal),"26,7","2,9",8,"0,5","1,3","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Saint-felicien,3700424870230,['France'],[],[],?,12,50 kj(12 kcal),25,19,1,"0,05",12,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 26.281.001 CE', 'Romans-sur-Isère (Drôme, France)']",,,,,,,,,,,,
1646,Confiture de brugnons - Association Anabibou - 500g,,['France'],"['Brugnons', 'sucre', 'jus de citron', 'pectine de fruits']",[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Aides culinaires', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Aides à la pâtisserie', 'Produits artisanaux', 'Confitures', 'Confitures artisanales', 'Aide culinaire sucrée', 'Confitures de brugnons']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,500 g,['Association Anabibou'],"['Verre', 'Sec', 'couvercle métal']","['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique', 'Fabrication artisanale']",,['E440 - Pectines'],4,Confiture artisanale biologique de brugnons,['France'],"['France', 'Tarare']",http://www.anabibou.fr/wp-content/uploads/2019/12/CATALOGUE-PRODUITS-ANABIBOU-2019.pdf,,,['Biocoop'],,,
1647,Spécialité de Coco cubes,2600254021844,['France'],[],[],?,450,1883 kj(450 kcal),"18,8","17,3","63,6","39,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Asda Extra Special Horseradish Sauce,5050854977558,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Baguette paysanne,0239040004468,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Filets hareng à l'huile,3259790123742,['France'],[],[],?,194,812 kj(194 kcal),"14,8","3,12",0,0,"15,1","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 76.259.013 CE', 'Fécamp (Seine-Maritime, France)']",,,,,,,,,,,,
1651,Carotte lacto fermentes,0683489580838,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Assortiment de Biscuits,5410413650009,['France'],[],[],?,100,418 kj(100 kcal),28,"16,2",62,"40,4","5,6","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Custard Mochi,4711931034922,['France'],[],[],?,384,1607 kj(384 kcal),"8,3",2,"76,4","14,3",1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Gommage végétal corps - Yves Rocher - 30ml,3660005762296,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 ml,['Yves Rocher'],['Plastique'],,,,,,,,,,,,,,
1655,Jsbs,1000010068975512,['France'],[],[],?,2,8 kj(2 kcal),2,1,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Ginger Jam,8802373113538,['France'],[],[],?,285,1192 kj(285 kcal),"0,07","0,05","70,96","62,76","0,03","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Tetines qui piquent,3256228054678,['France'],[],[],?,221,925 kj(221 kcal),"0,5","0,1",79,22,"4,8","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,
1658,Eggs,3560071265649,['France'],[],[],?,328,1372 kj(328 kcal),"0,5","0,2",77,58,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Tomme des Pyrénées,0200367021582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Emmental de Savoie IGP,2098817030837,['France'],[],[],?,396,1657 kj(396 kcal),31,20,"0,5","0,5",29,"0,3","0,12",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",31 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.3 g,en quantité modérée,,+5%,+6%,+6%,+2%,-25%,+21%,+5%,-54%,-54%,10,-12%,C,-12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
1661,Mascarpone,8000212050017,['France'],[],[],?,443,1854 kj(443 kcal),46,33,"2,2","2,2","5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Ananas,3760269674714,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Les Galettes d'Antan,3226219013441,['France'],[],[],?,445,1862 kj(445 kcal),13,8,74,31,7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Fratelli beretta i tramezzini viva la mamma salmone,8000787006211,['France'],[],[],?,251,1050 kj(251 kcal),11,"2,9",27,"1,7",11,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Cable usb,3303260150223,['France'],[],[],?,64,268 kj(64 kcal),25,9,67,56,0,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Tools,5412865030026,['France'],[],[],?,524,2192 kj(524 kcal),29,17,58,57,"6,1","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Emmentale,2970469001680,['France'],[],[],?,377,1577 kj(377 kcal),28,"17,3","0,49","0,49","29,4","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Beignet abricot,3187670013121,['France'],[],[],?,1325,5544 kj(1325 kcal),"9,7","9,7",50,50,"6,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Canneberges,26022888,['France'],[],[],?,331,1385 kj(331 kcal),"1,4","0,5",77,65,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Sucettes de caramel salé à la fleur de Guérande,3498751800098,['France'],[],[],?,395,1653 kj(395 kcal),1,"0,7",94,72,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Andalouse sauce,8410066133994,['France'],[],[],?,543,2272 kj(543 kcal),56,"6,5","6,6","5,7","1,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,Yaourt fermier,3770011814923,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,Beemster 26 mois,2852656042044,['France'],[],[],?,441,1845 kj(441 kcal),"36,3","26,1",0,0,"28,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.343.030 CE', 'Lesquin (Nord, France)']",,,,,,,,,,,,
1674,Laitue,20680114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Caramel au beurre D'isigny,3498751003369,['France'],[],[],?,419,1753 kj(419 kcal),"10,9","7,2","77,7","59,3","2,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Jus Pommes & gingembre,3770012535001,['France'],[],[],?,50,209 kj(50 kcal),0,0,11,"9,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Thin noodles,8804970221005,['France'],[],[],?,360,1506 kj(360 kcal),2,1,77,3,10,"1,875","0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Roquefort AOP,0259018027626,['France'],[],[],?,365,1527 kj(365 kcal),31,20,"1,5","0,5",19,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,bricelets plats,7610216580789,['France'],[],[],?,449,1879 kj(449 kcal),12,"6,2",77,27,"8,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Poitrine de dinde fumée,7290005996191,['France'],[],[],?,145,607 kj(145 kcal),6,2,7,1,15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Gingembre confit,3014006007991,['France'],[],[],?,383,1602 kj(383 kcal),"2,7",0,"85,3",58,"2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Lentilles vertes,3363290313302,['France'],[],[],?,380,1590 kj(380 kcal),0,0,63,2,"24,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Rillettes de maquereau de Trouville,3269660018863,['France'],[],[],?,234,979 kj(234 kcal),16,"6,3",3,"0,6",12,"1,01","0,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Cigarettes croustillantes,2250326111975,['France'],[],[],?,529,2213 kj(529 kcal),"27,7",16,"64,2","34,7","5,3","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Sour Blast,8690146125310,['France'],[],[],?,373,1561 kj(373 kcal),3,"1,8",84,60,"2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,saucisse fume bois de hêtre,3250392996048,['France'],[],[],?,1162,4862 kj(1162 kcal),"25,2","10,1","0,5","0,5","13,2","2,05","0,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Coulis fruits jaunes,3564706624306,['France'],[],[],?,118,494 kj(118 kcal),"0,5","0,1",28,26,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1688,Le p'tit brunie Rouge,3770002429532,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Nos tartines à croquer,0205690014430,['France'],[],[],?,88,368 kj(88 kcal),"4,1","1,6",11,"4,2","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Trio de chou jambon comte,0200739018172,['France'],[],[],?,123,515 kj(123 kcal),"9,2","3,2",2,"1,2","7,1","1,6","0,64",,['Trio de chou jambon comte'],9.2 g,en quantité modérée,3.2 g,en quantité modérée,1.2 g,en faible quantité,1.6 g,en quantité élevée,,,,,,,,,,,11,,D,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Queues de crevettes décortiquées blanchies 51/70,8719747682111,['France'],[],[],?,70,293 kj(70 kcal),"0,5",0,0,0,16,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Nut selection hazelnut,8000380187119,['France'],[],[],?,508,2125 kj(508 kcal),25,14,60,37,"8,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Sprinkles,0070896700384,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Miel de Savoie,3770010515005,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Mozzarelle française en cossettes,3428200371824,['France'],[],[],?,269,1125 kj(269 kcal),19,13,0,0,24,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Weetabix,9010012220113,['France'],[],[],?,362,1515 kj(362 kcal),2,"0,8",69,"3,8",12,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1697,Purée poulet et champignons à la crème fraîche,3256228433862,['France'],[],[],?,98,410 kj(98 kcal),"4,2","2,7","2,7",1,"5,5","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
1698,Muffins aux graines,0206260008682,['France'],[],[],?,261,1092 kj(261 kcal),4,"0,7",37,"4,1",11,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Amour,3760258250783,['France'],[],[],?,32,134 kj(32 kcal),"2,5","0,1","6,7","5,1","0,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Ciambella yogurt cacao - Dolciando,8017596114082,['France'],[],[],?,424,1774 kj(424 kcal),21,3,51,27,"6,8","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dolciando'],,,,,,,,,,,,,,,
1701,Petits pains campagne,0206017012467,['France'],[],[],?,?,,?,,?,,?,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Sirop artisanal argousier,3760055834070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,escalope de dinde,2689119047038,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,
1704,Lait,77548641,['France'],[],[],?,1000,4184 kj(1000 kcal),48,"0,1",45,45,0,"7,8","3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Omogeneizzato manzo,20970000,['France'],[],[],?,121,506 kj(121 kcal),"6,4","2,3",7,"0,2","8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Sirop d'érabr,3088542500483,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
